ERR1912976.357__1.357	649756__A0A173RNX6__ERS852475_00267
ERR1912976.284__1.284	329854__R5M2W6__DXD57_07830
ERR1912976.680__1.680	821__A6L0C7__ERS852556_03520
ERR1912976.717__1.717	40519__U2MCQ8__RUMCAL_00556
ERR1912976.808__1.808	329854__B3C787__BACINT_00778
ERR1912976.895__1.895	39488__A0A374NRX1__licR_1
ERR1912976.1254__1.1254	39492__D4JRZ7__smc
ERR1912976.1312__1.1312	487174__R5F2W8__HMPREF9448_01730
ERR1912976.1490__1.1490	239935__A0A2N8HBM4__CXT85_06270
ERR1912976.1593__1.1593	33038__A7B5W1__CDL22_11645
ERR1912976.1881__1.1881	329854__A0A3E4IQD7__BACINT_01717
ERR1912976.2419__1.2419	33038__A0A2N5NUB0__CCY17_12840
ERR1912976.2470__1.2470	1897011__A0A1Q6RBV8__BHW41_06760
ERR1912976.2510__1.2510	1550024__G9RXB5__TQ39_17835
ERR1912976.2673__1.2673	239935__B2URG6__CXU02_00030
ERR1912976.2713__1.2713	165179__D1PHC0__PREVCOP_06640
ERR1912976.2763__1.2763	33038__A0A3E4K4Y5__CDL20_06020
ERR1912976.2921__1.2921	329854__R5MCA7__DXD57_10010
ERR1912976.3238__1.3238	329854__R5MIY1__DXD27_18625
ERR1912976.3245__1.3245	328814__GCA_004558275.1_01822
ERR1912976.3249__1.3249	33038__A7B8N9__CDL21_10000
ERR1912976.3277__1.3277	821__D4VD59__BHV80_04260
ERR1912976.3357__1.3357	33038__A0A2N5PFY8__CDL19_06745
ERR1912976.3488__1.3488	487174__K0X773__DIT83_07170
ERR1912976.3541__1.3541	33038__R5UBY3__lutR_1
ERR1912976.3643__1.3643	1262921__R5LTL7__BN473_02537
ERR1912976.3615__1.3615	818__A0A0P0FSA3__ERS852557_00283
ERR1912976.3619__1.3619	28116__D7J6B1__B5F02_07870
ERR1912976.3782__1.3782	1262743__R5C054__BN727_01980
ERR1912976.3809__1.3809	165179__A0A3E5A554__DXB80_13805
ERR1912976.3885__1.3885	39492__R6RT40__prkC_3
ERR1912976.3937__1.3937	562__P23837__phoQ
ERR1912976.4073__1.4073	28117__B0MT73__ALIPUT_00412
ERR1912976.4435__1.4435	821__A0A174WBC9__ERS852556_03145
ERR1912976.4540__1.4540	384639__GCA_003096855.1_01173
ERR1912976.4972__1.4972	33025__A0A395JBB5__C8D73_107104
ERR1912976.5044__1.5044	301301__A0A395V683__RHOM_00495
ERR1912976.5073__1.5073	39485__R5ZPP8__EUBELI_20334
ERR1912976.5080__1.5080	246787__A0A3D6AYV2__BcellWH2_03647
ERR1912976.5165__1.5165	329854__R5M3H6__DXD27_08960
ERR1912976.5172__1.5172	371601__D7K8P3__SAMN05216250_10395
ERR1912976.5206__1.5206	562__P52045__CW278_17595
ERR1912976.5218__1.5218	28052__A0A174JFD0__ERS852499_01102
ERR1912976.5333__1.5333	821__E5UY21__C800_02204
ERR1912976.5387__1.5387	33038__A7B0X0__CDL26_06830
ERR1912976.5610__1.5610	33038__A0A2N5PQU6__RUMGNA_01940
ERR1912976.5935__1.5935	28116__A7LS06__HMPREF2532_04668
ERR1912976.5879__1.5879	1776045__A0A0U5J7K7__BN3456_00132
ERR1912976.6207__1.6207	28052__A0A174MH21__ERS852499_01905
ERR1912976.6522__1.6522	821__A0A174NM17__lacZ_6
ERR1912976.6545__1.6545	2173__A0A1D2WRY2__Msm_1736
ERR1912976.6823__1.6823	329854__R5LT64__BACINT_03703
ERR1912976.7005__1.7005	820__A0A3E4VXP2__yesR
ERR1912976.7052__1.7052	46503__C9MKX5__HMPREF1078_01651
ERR1912976.7257__1.7257	649756__L1Q2A2__CL2_18610
ERR1912976.7326__1.7326	39485__R5ZT20__ERS852490_00975
ERR1912976.7391__1.7391	384639__GCA_003096855.1_01177
ERR1912976.7547__1.7547	1263000__R5ENX7__BN466_02096
ERR1912976.7631__1.7631	33038__A0A396G4K0__CDL22_09365
ERR1912976.7941__1.7941	214856__E4MFP6__ERS852447_01708
ERR1912976.8069__1.8069	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912976.8247__1.8247	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.8352__1.8352	1262783__R6CYT7__BN558_01276
ERR1912976.8355__1.8355	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.8361__1.8361	821__A0A396F9T7__M097_3427
ERR1912976.8363__1.8363	28052__A0A174KEN0__nagK
ERR1912976.8366__1.8366	820__A0A139KH21__DXC80_01780
ERR1912976.8433__1.8433	39485__C4Z434__tilS
ERR1912976.8873__1.8873	1628085__A0A2U1BGI3__C7386_10130
ERR1912976.9173__1.9173	649756__B0P1H0__DO83_13870
ERR1912976.9157__1.9157	39490__U2QJW9__LG34_07940
ERR1912976.9231__1.9231	329854__A0A3E4KRG9__DXK01_03510
ERR1912976.9278__1.9278	246787__A0A0P0GJP1__BcellWH2_03982
ERR1912976.9361__1.9361	33038__A7AZH0__HMPREF1201_02167
ERR1912976.9416__1.9416	292800__A0A174IVH2__zraR_1
ERR1912976.9463__1.9463	544645__A0A1U7L8K0__DXC42_08675
ERR1912976.9491__1.9491	360807__A0A173WJE3__mcp4_4
ERR1912976.9648__1.9648	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1912976.9943__1.9943	106588__A6NUL8__BACCAP_01900
ERR1912976.10164__1.10164	33038__A7B8N9__CDL21_10000
ERR1912976.10330__1.10330	1297617__A0A0S2W8P7__BIV19_11120
ERR1912976.10372__1.10372	28052__A0A174GZE8__ERS852451_00311
ERR1912976.10746__1.10746	39492__D4JWY0__EUBSIR_01648
ERR1912976.10688__1.10688	821__A6L0C7__ERS852556_03520
ERR1912976.10838__1.10838	820__A0A174EV88__HMPREF1072_01427
ERR1912976.10841__1.10841	28052__A0A174IBJ6__luxQ_1
ERR1912976.10865__1.10865	1263000__R5EGP9__BN466_01419
ERR1912976.10899__1.10899	649756__B0NZX5__lytC_2
ERR1912976.10965__1.10965	28052__A0A174M0I3__ERS852451_02171
ERR1912976.11139__1.11139	329854__R5LY77__DXD27_05730
ERR1912976.11226__1.11226	1263076__GCA_000437615.1_00127
ERR1912976.11389__1.11389	33038__A7B090__ccpA_4
ERR1912976.11570__1.11570	671267__R9IB12__C802_00696
ERR1912976.11644__1.11644	209880__A0A1G5WLL1__SAMN02910343_01460
ERR1912976.11663__1.11663	33038__A0A2N5NXH5__CDL27_14300
ERR1912976.11756__1.11756	39496__A5Z5I2__EUBVEN_00963
ERR1912976.11761__1.11761	329854__R5M1Z6__BACINT_04643
ERR1912976.11891__1.11891	1547__H1ANU0__DXB93_06245
ERR1912976.11942__1.11942	1550024__A0A3B9WKW6__TQ39_07780
ERR1912976.12183__1.12183	384639__GCA_003096855.1_01629
ERR1912976.12324__1.12324	360807__C0FPV5__ERS852444_03160
ERR1912976.12396__1.12396	821__A0A3E4WAR6__DXD64_10735
ERR1912976.12420__1.12420	1304__J7SIV6__pspA_3
ERR1912976.12525__1.12525	821__A0A174ALF2__BvMPK_3016
ERR1912976.12532__1.12532	39491__A0A395V0H6__ERS852580_02570
ERR1912976.12664__1.12664	487174__R5FJY1__DDY40_07045
ERR1912976.12791__1.12791	28052__A0A174KBY5__slyD
ERR1912976.12953__1.12953	1262911__R6GI18__BN557_01377
ERR1912976.13021__1.13021	39485__A0A174ZBK4__ERS852490_01585
ERR1912976.13065__1.13065	821__A0A395UNT8__DXD64_15275
ERR1912976.13148__1.13148	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.13218__1.13218	329854__R5M415__BACINT_04491
ERR1912976.13319__1.13319	39485__C4Z0R8__EUBELI_01181
ERR1912976.13345__1.13345	77095__D8DTW0__SAMN05444375_11339
ERR1912976.13412__1.13412	39485__C4Z5M7__EUBELI_00883
ERR1912976.13461__1.13461	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912976.13490__1.13490	1550024__G9RW08__ASJ35_03155
ERR1912976.13626__1.13626	649756__B0NWY4__blaR1_3
ERR1912976.13790__1.13790	214856__A0A174A0R8__ERS852447_00998
ERR1912976.14039__1.14039	239935__A0A2N8IF99__lpdA
ERR1912976.14096__1.14096	239935__A0A2N8IHY1__CXU06_00035
ERR1912976.14286__1.14286	33038__A0A2N5P082__CDL24_08780
ERR1912976.14320__1.14320	33038__A7B3I2__DXD36_11565
ERR1912976.14489__1.14489	706562__GCA_900112995.1_00065
ERR1912976.14571__1.14571	39485__C4Z434__tilS
ERR1912976.14578__1.14578	39485__A0A174ZMD4__ERS852492_01969
ERR1912976.14797__1.14797	33038__A0A2N5PJY4__C5Y99_04415
ERR1912976.14823__1.14823	239935__A0A2N8I3G2__CXT89_00720
ERR1912976.14829__1.14829	487174__K0XES7__HMPREF9448_00566
ERR1912976.14994__1.14994	1235835__R9LCU2__C814_02677
ERR1912976.15037__1.15037	821__A0A0N7J7X2__SAMN04487923_101621
ERR1912976.15117__1.15117	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.15154__1.15154	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.15208__1.15208	33038__A0A2N5PB54__CDL25_13710
ERR1912976.15329__1.15329	39485__R6AKA4__rssA
ERR1912976.15353__1.15353	329854__B3C787__BACINT_00778
ERR1912976.15361__1.15361	39485__C4Z6K2__ERS852490_00407
ERR1912976.15755__1.15755	28052__A0A174KY36__mepA_13
ERR1912976.15840__1.15840	821__I9R3W6__DXC16_12455
ERR1912976.15876__1.15876	39492__D4MIK7__EUBSIR_00676
ERR1912976.15950__1.15950	28118__F9Z4U0__B5F99_17595
ERR1912976.16114__1.16114	821__I9R3W6__DXC16_12455
ERR1912976.16234__1.16234	28118__F9Z667__NCTC10826_00403
ERR1912976.16257__1.16257	33038__A0A2N5PFY8__CDL19_06745
ERR1912976.16582__1.16582	165179__A0A174SA26__PREVCOP_05758
