#mpa_v30_CHOCOPhlAn_201901
#/home/jlkuser/anaconda3/envs/metaphlan/bin/metaphlan PRJEB17784/ERR1913100/ERR1913100_1.fastq.gz,PRJEB17784/ERR1913100/ERR1913100_2.fastq.gz,PRJEB17784/ERR1913101/ERR1913101_1.fastq.gz,PRJEB17784/ERR1913101/ERR1913101_2.fastq.gz,PRJEB17784/ERR1913102/ERR1913102_1.fastq.gz,PRJEB17784/ERR1913102/ERR1913102_2.fastq.gz,PRJEB17784/ERR1913103/ERR1913103_1.fastq.gz,PRJEB17784/ERR1913103/ERR1913103_2.fastq.gz,PRJEB17784/ERR1913292/ERR1913292.fastq.gz,PRJEB17784/ERR1913293/ERR1913293.fastq.gz,PRJEB17784/ERR1913294/ERR1913294.fastq.gz,PRJEB17784/ERR1913295/ERR1913295.fastq.gz --bowtie2out bowtie2out/SAMEA103958140.bowtie2.bz2 --input_type fastq
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.64973	
k__Eukaryota	2759	0.35027	
k__Bacteria|p__Bacteroidetes	2|976	53.5991	
k__Bacteria|p__Firmicutes	2|1239	40.58513	
k__Bacteria|p__Actinobacteria	2|201174	3.45718	
k__Bacteria|p__Verrucomicrobia	2|74201	1.18376	
k__Bacteria|p__Proteobacteria	2|1224	0.81352	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.35027	
k__Bacteria|p__Lentisphaerae	2|256845	0.01103	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	53.5991	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	32.95121	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	7.32304	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.70022	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.18376	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.75696	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.41185	
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.35027	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.30616	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.1521	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.10783	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.09551	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.05095	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.01103	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	53.5991	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	32.95121	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	7.32304	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.9179	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.18376	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.78231	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.73102	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.41185	
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0.35027	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.30616	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.1521	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.10783	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.09551	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.05095	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.02031	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.01103	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.00563	
