#mpa_v30_CHOCOPhlAn_201901
#/home/jlkuser/anaconda3/envs/metaphlan/bin/metaphlan PRJEB17784/ERR1913115/ERR1913115_1.fastq.gz,PRJEB17784/ERR1913115/ERR1913115_2.fastq.gz,PRJEB17784/ERR1913307/ERR1913307.fastq.gz --bowtie2out bowtie2out/SAMEA103958160.bowtie2.bz2 --input_type fastq
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	52.94745	
k__Bacteria|p__Firmicutes	2|1239	41.58489	
k__Bacteria|p__Proteobacteria	2|1224	3.77957	
k__Bacteria|p__Actinobacteria	2|201174	1.58848	
k__Bacteria|p__Verrucomicrobia	2|74201	0.09961	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	52.94745	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	34.20652	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.70953	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.7742	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.35468	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.19256	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.04751	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.54097	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.09961	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.05693	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.03956	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03049	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	52.94745	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	34.20652	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	3.63417	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.74786	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.35468	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.17476	
