ERR1913243.162__1.162	487174__K0WZN5__HMPREF9448_01108
ERR1913243.182__1.182	487174__R5EP60__DIT83_09045
ERR1913243.251__1.251	40518__R5E4E8__phoR_4
ERR1913243.362__1.362	820__A0A3E5BMG9__DXD40_05130
ERR1913243.319__1.319	487174__K0XIX0__DDY40_06625
ERR1913243.385__1.385	28026__A0A267WLS3__DXD35_07705
ERR1913243.848__1.848	28117__B0N007__BHV66_10275
ERR1913243.939__1.939	821__A0A174WBC9__ERS852556_03145
ERR1913243.950__1.950	40518__R5DVX3__RBL263_01584
ERR1913243.956__1.956	821__C6ZAA5__ERS852556_00403
ERR1913243.1086__1.1086	1550024__G9RNN7__TQ39_03420
ERR1913243.1387__1.1387	2292352__A0A374UQ84__DXC23_03855
ERR1913243.1577__1.1577	46503__A7AG53__DD461_14240
ERR1913243.1555__1.1555	40518__R5DZM6__lytR_3
ERR1913243.1521__1.1521	40520__R7D9N7__RUMOBE_02765
ERR1913243.1665__1.1665	1550024__G9RXI8__TQ39_11495
ERR1913243.1643__1.1643	1262911__R6GII0__BN557_01496
ERR1913243.1866__1.1866	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913243.1893__1.1893	2173__A0A1D2WST6__METSMIALI_00213
ERR1913243.1894__1.1894	301302__A0A0M6WU48__M72_10411
ERR1913243.1989__1.1989	487174__K0XA48__DDY40_03955
ERR1913243.2074__1.2074	39492__D4JRX7__EUBSIR_01480
ERR1913243.2144__1.2144	1262882__R5N2U9__BN519_01221
ERR1913243.2384__1.2384	338188__C9L0Q1__HMPREF1057_02400
ERR1913243.2572__1.2572	371601__D7J175__DXD03_05675
ERR1913243.2650__1.2650	446660__GCA_003428235.1_00351
ERR1913243.2686__1.2686	1262882__R5MYI1__BN519_00416
ERR1913243.2715__1.2715	39492__D4JWY1__rnfA_1
ERR1913243.2707__1.2707	239935__A0A139TPD4__CXT86_06450
ERR1913243.2712__1.2712	745368__A0A1T4WAV4__SAMN02745178_00326
ERR1913243.2745__1.2745	1262882__R5MFA5__BN519_00331
ERR1913243.2749__1.2749	371601__I9UNH8__SAMN04487924_12147
ERR1913243.2765__1.2765	820__A0A3E4HWJ4__DXD40_05945
ERR1913243.2822__1.2822	40518__R5DUU8__DXD86_08440
ERR1913243.3143__1.3143	328814__GCA_004558275.1_00996
ERR1913243.3092__1.3092	39492__D4JTI2__ERS852540_00694
ERR1913243.3253__1.3253	1262882__R5N532__BN519_01420
ERR1913243.3464__1.3464	820__A0A3E4WA06__ERS852554_03404
ERR1913243.3497__1.3497	46506__B0NPY3__BACSTE_02000
ERR1913243.3995__1.3995	40518__R5E2F3__artQ
ERR1913243.4036__1.4036	1262882__R5MLP5__BN519_01602
ERR1913243.4188__1.4188	1262882__R5MYP2__BN519_00435
ERR1913243.4384__1.4384	1262882__A0A356PSJ4__BN519_01180
ERR1913243.4590__1.4590	40518__R5E4E8__phoR_4
ERR1913243.4718__1.4718	40518__R5DYT8__mscS
ERR1913243.4907__1.4907	39492__D4JVG7__ERS852540_00946
ERR1913243.4914__1.4914	418240__A0A174SJB0__toxA_3
ERR1913243.4983__1.4983	39492__A0A174ZL16__EUBSIR_01269
ERR1913243.5088__1.5088	552398__F4XHJ7__HMPREF0866_03101
ERR1913243.5226__1.5226	821__A0A174NM17__lacZ_6
ERR1913243.5280__1.5280	821__A0A174NM17__lacZ_6
ERR1913243.5416__1.5416	1262882__R5MRS7__BN519_01490
ERR1913243.5558__1.5558	1501391__GCA_000786575.1_00067
ERR1913243.5626__1.5626	40518__R5DV58__htrA
ERR1913243.5673__1.5673	39496__A5Z5I2__EUBVEN_00963
ERR1913243.5698__1.5698	39492__D4JVG1__ERS852540_00951
ERR1913243.5730__1.5730	239935__A0A2N8IVR0__CXT87_07115
ERR1913243.5820__1.5820	1262886__R6QIL5__BN563_00897
ERR1913243.5842__1.5842	823__A0A078S9Y4__M096_1441
ERR1913243.5871__1.5871	1262886__R6QHZ9__BN563_00710
ERR1913243.5896__1.5896	40518__R5DY73__DXD86_02865
ERR1913243.5970__1.5970	39492__D4JWY5__rpe
ERR1913243.6067__1.6067	28116__F7M1Q5__CUY_1584
ERR1913243.6224__1.6224	821__A0A174WBC9__ERS852556_03145
ERR1913243.6375__1.6375	1780381__A0A143ZRW1__BN3661_00947
ERR1913243.6703__1.6703	1262882__R5MFK5__BN519_00378
ERR1913243.6878__1.6878	1262882__R5MIC9__BN519_00834
ERR1913243.6945__1.6945	328814__GCA_004558275.1_00033
ERR1913243.7098__1.7098	40518__R5E4Y8__RBATCC27255_01448
ERR1913243.7400__1.7400	28116__A0A395VZB9__Bovatus_03205
ERR1913243.7335__1.7335	28116__D7J6A7__NCTC11153_02798
ERR1913243.7601__1.7601	823__D7IUM6__M091_1082
ERR1913243.7833__1.7833	1262882__R5N3T7__BN519_01188
