ERR1913297.53__1.53	820__A0A139K5A6__DXB48_12175
ERR1913297.55__1.55	820__A0A174M9V5__M093_0237
ERR1913297.135__1.135	166486__D4L398__ERS852572_03633
ERR1913297.136__1.136	820__A0A174TRB5__DXD40_11305
ERR1913297.272__1.272	166486__D4KZ14__inlA_1
ERR1913297.266__1.266	357276__B6W5Q9__HMPREF1063_03125
ERR1913297.352__1.352	357276__I9QBT7__BSEG_03340
ERR1913297.608__1.608	39492__D4JUS6__accD5
ERR1913297.694__1.694	1262920__R5KD76__BN467_01465
ERR1913297.726__1.726	39492__D4JSD3__EUBSIR_00131
ERR1913297.787__1.787	821__I9R3W6__DXC16_12455
ERR1913297.804__1.804	28052__A0A174N8X0__ERS852499_02136
ERR1913297.922__1.922	39492__R6SPM9__pheT
ERR1913297.987__1.987	39492__B0MN61__epsF_2
ERR1913297.1001__1.1001	28111__E5X333__NCTC11155_03016
ERR1913297.1019__1.1019	39492__D4JWY0__EUBSIR_01648
ERR1913297.1048__1.1048	820__A0A173WZS4__DXD90_10250
ERR1913297.1053__1.1053	823__A0A174WTX5__DD466_11965
ERR1913297.1123__1.1123	28116__F7L8H9__BACOVA_00587
ERR1913297.1096__1.1096	706562__GCA_900112995.1_01415
ERR1913297.1171__1.1171	28052__R7NA90__tcyB
ERR1913297.1183__1.1183	39491__C4Z9K7__EUBREC_0050
ERR1913297.1287__1.1287	39491__A0A396FGM9__fliU_1
ERR1913297.1285__1.1285	39492__D4JWG6__EUBSIR_00253
ERR1913297.1351__1.1351	820__A7VAR9__ERS852421_00197
ERR1913297.1334__1.1334	166486__D4KWR9__dapF_1
ERR1913297.1368__1.1368	357276__A0A076IKP2__HMPREF1063_00218
ERR1913297.1496__1.1496	39492__D4JVX0__udk
ERR1913297.1522__1.1522	28111__R5K5Y0__NCTC11155_03071
ERR1913297.1578__1.1578	39492__D4JUP6__ERS852540_01404
ERR1913297.1623__1.1623	39492__D4JQP0__ypeB
ERR1913297.1721__1.1721	40520__R7DCR4__DXB81_00490
ERR1913297.1722__1.1722	820__A0A139K2N9__DXB62_12420
ERR1913297.1801__1.1801	357276__B6VW91__BACDOR_01584
ERR1913297.1862__1.1862	39492__D4JR20__trmD
ERR1913297.1892__1.1892	357276__I8VN30__HMPREF1065_03051
ERR1913297.1912__1.1912	39492__B0MPL6__EUBSIR_01779
ERR1913297.1918__1.1918	820__A0A078S4C2__ERS417307_00828
ERR1913297.1945__1.1945	28052__A0A174IP79__gmr_4
ERR1913297.2127__1.2127	820__A0A174QT76__B5G17_18060
ERR1913297.2134__1.2134	39492__R6SPM9__pheT
ERR1913297.2166__1.2166	706562__GCA_900112995.1_02127
ERR1913297.2216__1.2216	39492__D4JWB3__EUBSIR_00040
ERR1913297.2253__1.2253	40518__R5DZI2__DXD93_06940
ERR1913297.2309__1.2309	1150298__A0A174RJ10__ERS852535_00223
ERR1913297.2413__1.2413	820__A0A139KG60__M094_2679
ERR1913297.2418__1.2418	360807__A0A173T236__RIL183_24471
ERR1913297.2476__1.2476	301302__R5UQW7__ERS852420_02102
ERR1913297.2558__1.2558	39492__D4JR08__ERS852540_02467
ERR1913297.2566__1.2566	39492__D4JUL3__nreC_2
ERR1913297.2606__1.2606	39492__D4JRM9__bglB_2
ERR1913297.2626__1.2626	28052__A0A174JFU5__yhbU_1
ERR1913297.2630__1.2630	239935__R6JCH3__CXT95_08205
ERR1913297.2706__1.2706	28117__B0MYI9__BHV66_05415
ERR1913297.2722__1.2722	39492__D4JR58__EUBSIR_02090
