ERR1913265.120__1.120	1150298__R7JPB1__corA
ERR1913265.153__1.153	28117__B0MXG8__ALIPUT_01814
ERR1913265.372__1.372	39491__A0A395ZHV7__ykvU
ERR1913265.627__1.627	39491__A0A395ZGU6__ERS852417_01456
ERR1913265.579__1.579	671232__T1ZER2__Q615_SPAC00113G0483
ERR1913265.937__1.937	1150298__A0A174FT27__ERS852535_01803
ERR1913265.1019__1.1019	1304__A0A1V0GJ48__SALIVB_1571
ERR1913265.1159__1.1159	40518__R5DZB3__RB5AMG_01719
ERR1913265.1513__1.1513	216816__A0A087BBV6__BFS26_06210
ERR1913265.1652__1.1652	40518__A0A1C6H8C4__DXD93_02535
ERR1913265.1345__1.1345	106588__A6NXS6__BACCAP_03021
ERR1913265.1721__1.1721	745368__A0A1T4WBZ5__SAMN02745178_00335
ERR1913265.1890__1.1890	853__A0A3E2U7E6__ERS852582_01640
ERR1913265.1933__1.1933	33039__D4M1A4__ERS852502_00742
ERR1913265.1934__1.1934	823__A0A355XIK0__CEQ22_011965
ERR1913265.1998__1.1998	33043__D5HF29__eglS_1
ERR1913265.2232__1.2232	853__A0A173T8T3__DW882_06555
ERR1913265.2235__1.2235	1304__W3Y4W5__AWB63_09370
ERR1913265.2473__1.2473	33043__A0A174H5E3__ERS852400_02880
ERR1913265.2567__1.2567	1304__A0A1W5ZCY0__CKU37_03270
ERR1913265.2738__1.2738	853__A0A174C5M1__CGS58_04460
ERR1913265.2820__1.2820	39491__A0A395V6A3__DXB69_00505
ERR1913265.2963__1.2963	39491__A0A173QT73__alaS_2
ERR1913265.3117__1.3117	1680__A0A0B5BL52__ERS852382_00480
ERR1913265.3137__1.3137	357276__I9QBT7__BSEG_03340
ERR1913265.3298__1.3298	310298__B3JPR1__BACCOP_03861
ERR1913265.3639__1.3639	905__D2RL87__SAMN05216495_101230
ERR1913265.3994__1.3994	33043__D5HH62__ERS852575_00121
ERR1913265.4004__1.4004	1150298__A0A174GDE8__ERS852535_00119
ERR1913265.4034__1.4034	1681__E4VBY1__DD718_08225
ERR1913265.4145__1.4145	310298__B3JGJ2__BACCOP_00994
ERR1913265.4158__1.4158	1263109__GCA_000438135.1_00481
ERR1913265.4226__1.4226	823__A6LDT7__CEQ22_002595
ERR1913265.4507__1.4507	1263109__GCA_000438135.1_00177
ERR1913265.4532__1.4532	357276__B6W1J2__BACDOR_03380
ERR1913265.4539__1.4539	28117__B0MY40__BHV66_05170
ERR1913265.4749__1.4749	338188__A0A174ETX3__ERS852397_01955
ERR1913265.4844__1.4844	88431__A6BFJ3__ERS852408_01680
ERR1913265.4892__1.4892	821__A6L0C7__ERS852556_03520
ERR1913265.4915__1.4915	387090__S0F7Y3__BACCOPRO_02028
ERR1913265.5022__1.5022	310298__B3JNR4__BACCOP_03579
ERR1913265.5045__1.5045	1686__B6XTQ5__B5782_1168
ERR1913265.5081__1.5081	2049043__A0A316MKF8__DBY37_14680
ERR1913265.5136__1.5136	40518__A0A2N0UUY0__DXD83_02620
ERR1913265.5243__1.5243	39491__A0A173RJ81__DXB76_01570
ERR1913265.5311__1.5311	1304__T0UNZ5__SSALIVM18_09507
ERR1913265.5293__1.5293	39485__A0A174ZPH7__ERS852490_01992
ERR1913265.5594__1.5594	357276__A0A076ISJ4__B5F95_19420
ERR1913265.5659__1.5659	40518__R5DX31__DXD86_09775
ERR1913265.5745__1.5745	905__D2RP12__Acfer_0382
ERR1913265.5787__1.5787	100884__E7GDX7__DXB30_09185
ERR1913265.5851__1.5851	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913265.5909__1.5909	1304__J7SI29__DL08_08910
ERR1913265.6073__1.6073	40518__R5E2F3__artQ
ERR1913265.6167__1.6167	1150298__A0A174LKY6__ERS852535_00447
ERR1913265.6358__1.6358	28118__F9Z7M2__B5F99_10065
ERR1913265.6439__1.6439	1150298__A0A174EBT8__ERS852406_01739
ERR1913265.6656__1.6656	40518__R5DVR2__RBL236_00303
ERR1913265.6661__1.6661	40518__R5DVL2__penA
ERR1913265.6696__1.6696	204516__U6RAM4__HMPREF1534_03439
ERR1913265.6730__1.6730	1150298__A0A174PLY5__ERS852406_01056
ERR1913265.6757__1.6757	39491__R6UMS6__DXD13_07035
ERR1913265.6759__1.6759	39488__A0A285PNU6__ERS852578_01621
ERR1913265.7022__1.7022	39491__R6UMS6__DXD13_07035
ERR1913265.7067__1.7067	630129__A0A087B617__BKAS_1320
ERR1913265.7118__1.7118	39491__A0A395V1T9__DXD13_03310
ERR1913265.7086__1.7086	214856__A0A174EJT5__mnmA
ERR1913265.7325__1.7325	1680__A0A3E4SB79__BAD_1517
ERR1913265.7556__1.7556	39491__A0A174K265__DXB76_05915
ERR1913265.7610__1.7610	39491__A0A174G6M3__DXD13_14470
ERR1913265.7664__1.7664	1318__I1ZK58__CYK20_05565
ERR1913265.7881__1.7881	47678__A5ZEX0__DW706_08045
ERR1913265.7946__1.7946	1628085__A0A374VPA3__C7386_11438
ERR1913265.8288__1.8288	410072__C0BBS7__ERS852525_00851
ERR1913265.8303__1.8303	1304__A0A074J0C2__V471_05910
ERR1913265.8386__1.8386	821__A0A174AYT0__DXC02_03530
ERR1913265.8466__1.8466	39491__C4ZAT2__ERE_28440
ERR1913265.8510__1.8510	630129__A0A087B617__BKAS_1320
ERR1913265.8659__1.8659	1550024__G9RW43__TQ39_06925
ERR1913265.8820__1.8820	1150298__A0A174SLE6__mlc_1
ERR1913265.8733__1.8733	1262911__R6GY22__BN557_00023
ERR1913265.8842__1.8842	487174__K0XL60__DDY40_11760
ERR1913265.9038__1.9038	1308__Q56S46__AMD33_01255
ERR1913265.9146__1.9146	1304__A0A1V0GJ60__Ssal_01637
ERR1913265.9259__1.9259	216816__A0A133LQN7__BL15B_00780
ERR1913265.9442__1.9442	216816__B3DPC3__CE169_06855
ERR1913265.9608__1.9608	1304__A0A074IX31__AWB63_04865
ERR1913265.9557__1.9557	40518__R5E2F3__artQ
ERR1913265.9780__1.9780	745368__A0A1T4XUK3__SAMN02745178_02339
ERR1913265.9755__1.9755	310298__B3JNF3__BACCOP_03465
ERR1913265.9910__1.9910	1150298__R7JRJ7__ERS852406_01438
ERR1913265.10016__1.10016	310298__B3JFK5__BACCOP_00655
ERR1913265.10086__1.10086	40518__R5E1X3__clcA
ERR1913265.10303__1.10303	40518__R5E670__DXD93_06195
ERR1913265.10357__1.10357	446660__GCA_003428235.1_00751
ERR1913265.10702__1.10702	40518__R5DT16__ysdC_2
ERR1913265.10904__1.10904	39491__C4ZHS4__EUR_24420
ERR1913265.11073__1.11073	1685__A0A2K9B7Y4__BBM1114_01180
ERR1913265.11085__1.11085	39491__A0A396FJJ9__DXB76_11995
ERR1913265.11101__1.11101	28116__A0A1Y4P7B7__M088_2098
ERR1913265.11185__1.11185	39491__C4ZC33__DXC13_11585
ERR1913265.11234__1.11234	216816__D6ZXD1__APC1461_0104
ERR1913265.11374__1.11374	39491__A0A395UYL9__ERS852417_00624
ERR1913265.11546__1.11546	40518__R5E500__RBL263_01193
ERR1913265.11597__1.11597	1263109__GCA_000438135.1_00036
ERR1913265.11719__1.11719	1304__A0A0F3HJ73__RSSL_01900
ERR1913265.11916__1.11916	328813__A0A1Y3QZL2__B5G41_02100
ERR1913265.11929__1.11929	820__A0A173WUD7__DXB48_08055
ERR1913265.12147__1.12147	363265__G6B1Q3__HMPREF0673_02828
ERR1913265.12258__1.12258	246787__R6LCC2__BACCELL_00607
ERR1913265.12436__1.12436	40518__R5DVL2__penA
ERR1913265.12547__1.12547	40518__R5E550__aroK
ERR1913265.12636__1.12636	1681__A0A286TB53__BBBF_1581
ERR1913265.12641__1.12641	1681__A0A286TB53__BBBF_1581
ERR1913265.12813__1.12813	28117__B0MY40__BHV66_05170
ERR1913265.12951__1.12951	40518__R5DUG7__sbcC
ERR1913265.13068__1.13068	487175__F3QJV9__HMPREF9439_01216
ERR1913265.13116__1.13116	214856__I3YPI7__pepD_1
ERR1913265.13123__1.13123	39491__C4ZAT2__ERE_28440
ERR1913265.13447__1.13447	1680__A0A1X3A951__AL0462_1583
ERR1913265.13448__1.13448	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913265.13553__1.13553	1680__A0A087DHN0__AL0462_1532
ERR1913265.13633__1.13633	1680__A0A173W9E6__C8077_07070
ERR1913265.13585__1.13585	40518__R5DPE0__DXD86_06515
ERR1913265.13811__1.13811	40518__R5DZB1__DXD83_08840
ERR1913265.14179__1.14179	1680__R5GSL8__DXD60_03315
ERR1913265.14370__1.14370	1304__J7SIV6__pspA_3
ERR1913265.14536__1.14536	1304__T0T9N5__CQA85_09935
ERR1913265.14713__1.14713	745368__A0A1T4WRJ9__SAMN02745178_00938
ERR1913265.14809__1.14809	40518__R5DNY7__RBATCC27255_00367
ERR1913265.15245__1.15245	1150298__A0A174DPC6__ERS852535_01374
ERR1913265.15412__1.15412	1304__F8LK78__STRSA0001_0840
ERR1913265.15438__1.15438	1150298__A0A174L6T3__cobD
ERR1913265.15472__1.15472	853__A0A2A7B9I6__DW855_13690
ERR1913265.15634__1.15634	821__A0A173XDD3__DXB82_17180
ERR1913265.15868__1.15868	28116__C3QSX8__SAMN05444282_101331
ERR1913265.15983__1.15983	40518__R5E7S2__RBL263_00671
ERR1913265.16106__1.16106	853__A0A174C5M1__CGS58_04460
ERR1913265.16089__1.16089	40518__R5DP61__DXD86_06345
ERR1913265.16217__1.16217	1262743__R5C054__BN727_01980
ERR1913265.16287__1.16287	39485__A0A174YTX0__mro
ERR1913265.16469__1.16469	216816__B7GPE8__I118_0062
ERR1913265.16664__1.16664	40518__R5DU92__DXD93_03170
ERR1913265.16696__1.16696	1535__A7VWN8__CH238_02485
ERR1913265.16836__1.16836	40518__R5DQL2__RBATCC27255_00937
ERR1913265.16838__1.16838	487175__R5E5C4__HMPREF9439_00381
ERR1913265.16845__1.16845	818__A0A139K023__trxA_3
ERR1913265.16902__1.16902	1263109__GCA_000438135.1_01124
ERR1913265.16910__1.16910	1680__A1A1R1__BIFADO_00076
ERR1913265.17061__1.17061	204516__U6RAM4__HMPREF1534_03439
ERR1913265.17159__1.17159	216816__B7GPH6__DXC74_08225
ERR1913265.17163__1.17163	216816__A0A0S2MCH0__AYW81_04880
ERR1913265.17184__1.17184	1263109__GCA_000438135.1_00053
ERR1913265.17219__1.17219	39491__A0A395UZ82__EUR_31520
ERR1913265.17281__1.17281	487175__R5EAP9__HMPREF9439_01753
ERR1913265.17303__1.17303	216816__A0A395XZB7__DXD37_04075
ERR1913265.17821__1.17821	853__A0A2A7B1Y7__C7K05_11930
ERR1913265.17830__1.17830	853__A8S882__C4N23_07600
ERR1913265.17908__1.17908	28117__B0MUY3__BHV66_00515
ERR1913265.17878__1.17878	1263109__GCA_000438135.1_00478
ERR1913265.17942__1.17942	853__A0A173T751__C4N24_10280
ERR1913265.18105__1.18105	218538__C9LQW2__GCWU000321_01944
ERR1913265.18109__1.18109	39491__A0A174M1X5__DXB99_18695
