ERR1913312.55__1.55	357276__A0A076IXE0__HMPREF1064_04364
ERR1913312.61__1.61	1262924__R7HQP2__BN585_01509
ERR1913312.605__1.605	371601__A0A3E4NKK5__B5E52_17685
ERR1913312.665__1.665	1262913__R7JHX2__BN646_02311
ERR1913312.813__1.813	39488__A0A285PT56__ERS852450_02640
ERR1913312.762__1.762	46228__B5CQI6__RUMLAC_01732
ERR1913312.907__1.907	1262988__R7N577__BN816_02671
ERR1913312.1103__1.1103	1262882__R5MLA4__BN519_01536
ERR1913312.1137__1.1137	458033__GCA_001482755.1_02203
ERR1913312.1186__1.1186	1150298__A0A174IJY8__ERS852498_03324
ERR1913312.1405__1.1405	35833__E5Y3G7__HMPREF0179_00728
ERR1913312.1462__1.1462	418240__A0A174T5R0__yehU_2
ERR1913312.1566__1.1566	39491__A0A395V2Y7__DXB72_13970
ERR1913312.1961__1.1961	39491__D6DXZ8__DXB72_15035
ERR1913312.2216__1.2216	40518__R5DV58__htrA
ERR1913312.2260__1.2260	556259__I0PXW0__BSGG_5187
ERR1913312.2468__1.2468	46228__V8CE73__DXD17_11635
ERR1913312.2474__1.2474	246787__A0A108TGC9__BACCELL_01371
ERR1913312.2450__1.2450	39491__A0A174EQV2__DXB69_10230
ERR1913312.2751__1.2751	371601__C3R084__DXD80_12980
ERR1913312.2916__1.2916	39492__D4JW28__spoVFA
ERR1913312.2957__1.2957	39492__D4JTK2__EUBSIR_01439
ERR1913312.3020__1.3020	246787__A0A0P0G254__axeA1_2
ERR1913312.3098__1.3098	1262913__R7JGD1__BN646_02188
ERR1913312.3387__1.3387	1262882__R5MZ58__BN519_00525
ERR1913312.3773__1.3773	40518__R5DP21__RBATCC27255_00348
ERR1913312.3968__1.3968	301301__G2SZ66__RHOM_00485
ERR1913312.4496__1.4496	39491__A0A396FM36__DXB99_00820
ERR1913312.4528__1.4528	39491__A0A395ZBQ4__cph2_2
ERR1913312.5108__1.5108	821__U6RDC2__DXD46_15675
ERR1913312.5120__1.5120	1262882__R5MXS6__BN519_00286
ERR1913312.5210__1.5210	1262882__R5MEI8__BN519_00283
ERR1913312.5241__1.5241	46228__B5CS18__RUMLAC_02269
ERR1913312.5468__1.5468	166486__R6AY46__ROSINTL182_06128
ERR1913312.5624__1.5624	216816__E5Y0K4__B8809_0128
ERR1913312.5658__1.5658	216816__A0A1D7MV89__EK5BL_04715
ERR1913312.5664__1.5664	371601__D6CWZ8__CW3_1356
ERR1913312.5922__1.5922	1262924__R7HRF6__BN585_01735
ERR1913312.5990__1.5990	46228__B5CMW7__DXD17_11810
ERR1913312.6084__1.6084	214856__A0A174A1J3__ERS852447_01000
ERR1913312.6197__1.6197	39492__D4JT68__spoIIIE
ERR1913312.6289__1.6289	853__A0A2A7B9I6__DW855_13690
ERR1913312.6354__1.6354	1735__B7CEC3__EUBIFOR_02567
ERR1913312.6391__1.6391	328814__GCA_004558275.1_00986
ERR1913312.6486__1.6486	39492__D4JX34__ERS852540_00411
ERR1913312.6571__1.6571	214856__A0A174FW22__ERS852447_02437
ERR1913312.6638__1.6638	39492__B0MM26__ERS852540_00640
ERR1913312.6653__1.6653	39492__D4JRZ7__smc
