ERR1913301.129__1.129	28118__F9Z8K4__Odosp_0843
ERR1913301.46__1.46	384639__GCA_003096855.1_00996
ERR1913301.152__1.152	363265__G6B1Q3__HMPREF0673_02828
ERR1913301.318__1.318	301302__R5VGE0__ERS852420_00121
ERR1913301.337__1.337	1262929__R6EV93__BN691_01445
ERR1913301.366__1.366	1550024__G9RWW8__TQ39_12140
ERR1913301.445__1.445	1262929__R6EZP7__BN691_00230
ERR1913301.516__1.516	820__A0A3E4XM43__DXC91_13960
ERR1913301.492__1.492	39492__D4JT68__spoIIIE
ERR1913301.762__1.762	556259__I0PXW0__BSGG_5187
ERR1913301.795__1.795	39492__B0MM26__ERS852540_00640
ERR1913301.700__1.700	301302__R5UL57__ERS852420_00622
ERR1913301.979__1.979	360807__C0FR69__ERS852392_01939
ERR1913301.942__1.942	1318__K8MWD6__CYK20_04200
ERR1913301.1255__1.1255	363265__R7GZ37__HMPREF0673_00915
ERR1913301.1443__1.1443	1262929__R6EU29__BN691_01068
ERR1913301.1444__1.1444	165179__D1PEZ7__DXC61_06515
ERR1913301.1581__1.1581	166486__D4L2C3__ERS852572_01686
ERR1913301.1699__1.1699	1262924__R7HT26__BN585_00306
ERR1913301.1705__1.1705	363265__R6F7I6__HMPREF0673_02057
ERR1913301.1626__1.1626	410072__A0A174L0Z1__ERS852525_00863
ERR1913301.1879__1.1879	818__R7KVH8__SAMN02910322_00597
ERR1913301.1953__1.1953	820__A0A139KG04__ERS852459_01249
ERR1913301.1978__1.1978	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913301.2233__1.2233	626940__E8LG07__BHW43_10200
ERR1913301.2239__1.2239	39492__D4JTG7__EUBSIR_00572
ERR1913301.2262__1.2262	301302__A0A0M6X038__M72_18501
ERR1913301.2320__1.2320	301302__A0A0M6W9I4__M72_19871
ERR1913301.2338__1.2338	1262929__R6FUB1__BN691_00386
ERR1913301.2277__1.2277	165179__A0A3E5E7J5__DXC61_10360
ERR1913301.2285__1.2285	363265__A0A3C0CCR4__HMPREF0673_02830
ERR1913301.2388__1.2388	820__A0A1T4IY71__HMPREF2141_02402
ERR1913301.2558__1.2558	301302__R5V5V1__M72_08471
ERR1913301.2482__1.2482	1501391__GCA_000786575.1_00016
ERR1913301.2621__1.2621	363265__R6F6E7__HMPREF0673_02119
ERR1913301.2811__1.2811	410072__A0A174JCL9__tee6
ERR1913301.3112__1.3112	1501391__GCA_000786575.1_00018
ERR1913301.3344__1.3344	301302__R5UJW6__ERS852420_01698
ERR1913301.3627__1.3627	1262886__R6Q6Q1__BN563_00546
ERR1913301.3919__1.3919	1262936__R7J1T7__BN799_01864
ERR1913301.3844__1.3844	46506__R5K3I5__BACSTE_02520
ERR1913301.3976__1.3976	301302__R5VFQ6__ERS852420_00378
ERR1913301.4132__1.4132	165179__W1I4H6__DXB80_13655
