ERR1913168.436__1.436	360807__A0A0M6WZJ4__ERS852392_03439
ERR1913168.1058__1.1058	823__A0A395YY84__DXC05_19515
ERR1913168.1079__1.1079	820__A0A174QLF0__SAMN05444418_109151
ERR1913168.1184__1.1184	33038__A7AXY7__CDL27_09020
ERR1913168.1290__1.1290	329854__R5LZK1__DXD27_00590
ERR1913168.1634__1.1634	239935__A0A2N8IMC3__CXT96_03840
ERR1913168.1642__1.1642	820__A0A139KIL9__DXC68_05945
ERR1913168.1722__1.1722	39485__A0A174ZG70__ERS852492_00929
ERR1913168.1771__1.1771	360807__A0A0M6WAF4__ERS852392_02663
ERR1913168.2189__1.2189	329854__R5MDC5__DXD57_08415
ERR1913168.2127__1.2127	820__A0A3E4FZM1__adaA_2
ERR1913168.2134__1.2134	39485__C4Z6J7__ERS852492_02047
ERR1913168.2388__1.2388	329854__R7E733__DXD57_00120
ERR1913168.2552__1.2552	820__A0A3E4FZM1__adaA_2
ERR1913168.2737__1.2737	218538__C9LQG5__GCWU000321_01796
ERR1913168.2742__1.2742	1160721__W0U532__RBI_I00944
ERR1913168.2834__1.2834	328814__GCA_004558275.1_00295
ERR1913168.3181__1.3181	246787__A0A3D6ARN8__yehU_6
ERR1913168.3375__1.3375	649756__L1PU84__ERS852571_01295
ERR1913168.3442__1.3442	487174__R5EV44__HMPREF9448_01630
ERR1913168.3448__1.3448	33038__A0A2N5PPH4__DXD36_06695
ERR1913168.3563__1.3563	33038__A0A3E4V548__DXD36_06385
ERR1913168.3857__1.3857	239935__B2UQP8__CXU15_01110
ERR1913168.3900__1.3900	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913168.3920__1.3920	33038__A0A2N5PRF0__CDL25_01605
ERR1913168.4164__1.4164	28116__A0A3D2LWY1__ERS852555_01619
ERR1913168.4182__1.4182	487174__K0X665__DIT83_12000
ERR1913168.4268__1.4268	39491__A0A396FP46__cobD_2
ERR1913168.4303__1.4303	1160721__R6T617__truA
ERR1913168.4741__1.4741	1263000__R5EAZ0__BN466_00537
ERR1913168.4792__1.4792	28117__B0MTD2__ALIPUT_00428
ERR1913168.4825__1.4825	40519__U2MCQ8__RUMCAL_00556
ERR1913168.4852__1.4852	28052__R7NBF2__ERS852451_02191
ERR1913168.4862__1.4862	33038__A0A396G7D8__asnB
ERR1913168.5177__1.5177	39496__A5Z8Q7__EUBVEN_02099
ERR1913168.5283__1.5283	821__A0A396F9T7__M097_3427
ERR1913168.5434__1.5434	165179__A0A3E5AGH1__DXB80_05820
ERR1913168.5419__1.5419	360807__A0A0M6X184__ERS852392_03203
ERR1913168.5477__1.5477	28116__A0A1Y4PHM7__DXA80_25130
ERR1913168.5491__1.5491	821__A6L0C7__ERS852556_03520
ERR1913168.5657__1.5657	39485__A0A174Z2N7__EUBELI_02062
ERR1913168.5728__1.5728	821__A0A174MBW9__SAMN04487923_10272
ERR1913168.5999__1.5999	28116__A0A1G8P076__AA414_01051
ERR1913168.6109__1.6109	821__A0A174NM17__lacZ_6
ERR1913168.6420__1.6420	165179__A0A3E5AHY4__CFT61_07675
ERR1913168.6478__1.6478	301302__R5UM41__M72_15921
ERR1913168.6875__1.6875	88431__A0A174EJA6__DXB16_03345
ERR1913168.7086__1.7086	329854__R5M4V9__BACINT_00775
ERR1913168.7294__1.7294	564__B7LVH7__VL22_0208320
ERR1913168.7745__1.7745	328814__GCA_004558275.1_00056
ERR1913168.7763__1.7763	28052__R7N6Q7__rafA
ERR1913168.7820__1.7820	28052__A0A174YGN0__mcp4_2
ERR1913168.8290__1.8290	562__P0ABQ5__COD41_16240
ERR1913168.8349__1.8349	820__A0A173XIP7__B5G17_16050
ERR1913168.8402__1.8402	820__A0A3E4VZY4__ERS852554_01211
ERR1913168.8546__1.8546	28117__B0MYW7__ALIPUT_02336
ERR1913168.8737__1.8737	562__P77183__CDL50_13955
ERR1913168.8771__1.8771	39485__R5ZNG4__yerB
ERR1913168.9234__1.9234	821__I9R3W6__DXC16_12455
ERR1913168.9321__1.9321	821__A0A396F9T7__M097_3427
ERR1913168.9353__1.9353	328814__GCA_004558275.1_00288
ERR1913168.9703__1.9703	33038__A0A2N5NNJ7__CDL26_12635
ERR1913168.9809__1.9809	39485__A0A174ZA08__EUBELI_01019
ERR1913168.9915__1.9915	328814__GCA_004558275.1_00075
ERR1913168.10074__1.10074	418240__A0A174QSP2__kinA_1
ERR1913168.10512__1.10512	28117__B0MTY2__BHV66_06485
ERR1913168.10974__1.10974	39485__C4Z389__ERS852490_01920
ERR1913168.11138__1.11138	1263000__R5EAZ0__BN466_00537
ERR1913168.12087__1.12087	821__E5UMZ6__BVU_1450
ERR1913168.13064__1.13064	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913168.13341__1.13341	33038__A0A2N5P082__CDL24_08780
ERR1913168.13385__1.13385	328814__GCA_004558275.1_00290
ERR1913168.13533__1.13533	818__A0A3E5HHL6__C799_04659
ERR1913168.13578__1.13578	40519__U2MCQ8__RUMCAL_00556
ERR1913168.13648__1.13648	33038__A0A3E4VAW9__CDL19_05110
ERR1913168.13835__1.13835	39485__C4Z6J7__ERS852492_02047
ERR1913168.13927__1.13927	165179__A0A3E5AHY4__CFT61_07675
ERR1913168.14002__1.14002	360807__A0A0M6WW58__ERS852444_03162
ERR1913168.14182__1.14182	33038__A0A2N5P0D0__CDL18_07990
ERR1913168.14241__1.14241	74426__rpoC
ERR1913168.14701__1.14701	28116__A0A078Q626__HMPREF1070_02735
ERR1913168.14880__1.14880	33038__A0A2N5NPD5__CCY17_06280
ERR1913168.14894__1.14894	328814__GCA_004558275.1_00069
ERR1913168.15462__1.15462	329854__R5M4V3__DXK01_22225
ERR1913168.15613__1.15613	33038__A7AZT7__RUMGNA_00811
ERR1913168.15678__1.15678	29361__B6FQ81__CLONEX_02300
ERR1913168.15868__1.15868	33038__A0A2N5NGH4__CCY17_10680
ERR1913168.16199__1.16199	160404__A0A1M7ACR1__SAMN02745138_03382
ERR1913168.16337__1.16337	1897011__A0A1Q6RE83__BHW41_04925
ERR1913168.16434__1.16434	820__A0A139K1Y6__DXB48_02610
ERR1913168.16724__1.16724	544644__GCA_001915615.1_02239
ERR1913168.17236__1.17236	33039__A0A3D0EY88__ERS852390_03120
ERR1913168.17276__1.17276	2108523__A0A2P2F8B2__LAWASA_2271
ERR1913168.17559__1.17559	1160721__W0U309__BHW50_02320
ERR1913168.17781__1.17781	74426__nifJ
ERR1913168.17855__1.17855	329854__A0A3E4IQD7__BACINT_01717
ERR1913168.17883__1.17883	28116__A0A1Y4PHM7__DXA80_25130
ERR1913168.18128__1.18128	487174__K0WR72__HMPREF9448_02610
ERR1913168.18529__1.18529	33038__A0A2N5PU17__C5Y99_11950
ERR1913168.18539__1.18539	360807__A0A1Q6T7T2__artP
ERR1913168.18587__1.18587	39485__R6AET9__EUBELI_01205
ERR1913168.18775__1.18775	165179__A0A3E5EAM5__DXC61_07785
ERR1913168.18944__1.18944	33038__A0A2N5PKP1__CDL19_11275
ERR1913168.19200__1.19200	556259__E5C7I5__BSGG_0461
ERR1913168.19435__1.19435	1160721__R6TB54__RBI_I01327
ERR1913168.19469__1.19469	28052__A0A174JFU5__yhbU_1
