ERR1913205.32__1.32	649756__D4MXW8__gpr
ERR1913205.111__1.111	1262882__R5N4D8__BN519_01497
ERR1913205.118__1.118	239935__A0A2N8HT44__CXT84_11035
ERR1913205.310__1.310	214856__I3YMN6__Alfi_1938
ERR1913205.355__1.355	214856__R6XUN2__rcsC_1
ERR1913205.454__1.454	239935__B2URG6__CXU02_00030
ERR1913205.508__1.508	328814__GCA_004558275.1_00997
ERR1913205.510__1.510	487174__K0WYC5__HMPREF9448_01493
ERR1913205.577__1.577	1262882__R5MSS9__BN519_01662
ERR1913205.630__1.630	214856__R6XP73__ERS852447_00886
ERR1913205.762__1.762	165179__A0A3E4SID1__DXB80_01945
ERR1913205.822__1.822	214856__R5UN64__ERS852447_02669
ERR1913205.932__1.932	1965604__A0A1Y4ERG6__B5F54_10140
ERR1913205.937__1.937	487174__K0WX28__HMPREF9448_02178
ERR1913205.939__1.939	39491__C4Z8S1__DXB76_06750
ERR1913205.1134__1.1134	239935__A0A2N8HPS5__Amuc_0950
ERR1913205.1236__1.1236	239935__A0A139TPU7__CXT91_06575
ERR1913205.1339__1.1339	239935__A0A2N8I390__CXU16_10675
ERR1913205.1272__1.1272	328814__GCA_004558275.1_00991
ERR1913205.1571__1.1571	214856__I3YPQ4__Alfi_2712
ERR1913205.1606__1.1606	214856__A0A174FW22__ERS852447_02437
ERR1913205.1608__1.1608	1262882__R5MZZ3__BN519_00482
ERR1913205.1746__1.1746	1262882__R5MEN2__BN519_00200
ERR1913205.1682__1.1682	214856__R6XS46__ERS852559_00812
ERR1913205.1909__1.1909	39496__A5Z5I2__EUBVEN_00963
ERR1913205.1863__1.1863	487174__K0WRZ5__HMPREF9448_02826
ERR1913205.2586__1.2586	214856__R6Y1K2__ERS852447_02306
ERR1913205.2589__1.2589	239935__A0A2N8HT44__CXT84_11035
ERR1913205.2674__1.2674	1262882__R5MKU2__BN519_01271
ERR1913205.2945__1.2945	214856__I3YMC8__ERS852447_02666
ERR1913205.3011__1.3011	214856__R6XQX8__ERS852559_02550
ERR1913205.3110__1.3110	1262882__A0A356PSJ4__BN519_01180
ERR1913205.3061__1.3061	1262882__R5MEN2__BN519_00200
ERR1913205.3168__1.3168	214856__R6XNE7__ERS852447_02267
ERR1913205.3252__1.3252	214856__A0A175A6T5__ERS852447_02658
ERR1913205.3333__1.3333	1501391__GCA_000786575.1_00082
ERR1913205.3422__1.3422	1501391__GCA_000786575.1_00103
ERR1913205.3692__1.3692	1262882__R5MPJ1__BN519_01023
ERR1913205.3724__1.3724	214856__R6Y6H8__ERS852447_01719
ERR1913205.3891__1.3891	301301__A0A395VAD5__RHOM_06975
ERR1913205.3906__1.3906	1235793__R9KS08__C809_01872
ERR1913205.3944__1.3944	214856__R6XS02__ERS852447_01685
ERR1913205.4002__1.4002	214856__R6Z7Q9__ERS852447_02172
ERR1913205.4045__1.4045	47678__A5ZHP9__bioD1
ERR1913205.4205__1.4205	214856__A0A175A6T5__ERS852447_02658
ERR1913205.4154__1.4154	1262882__R5MXS6__BN519_00286
ERR1913205.4271__1.4271	214856__R6Z5D0__resA_4
ERR1913205.4471__1.4471	471189__GCA_003340385.1_00088
ERR1913205.4588__1.4588	1501391__GCA_000786575.1_00071
ERR1913205.4788__1.4788	214856__I3YPN9__ERS852447_01389
ERR1913205.4813__1.4813	487174__K0WV96__HMPREF9448_01901
ERR1913205.4903__1.4903	1262882__R5MNC1__BN519_00818
ERR1913205.4892__1.4892	214856__A0A174ZZS1__ERS852559_01484
ERR1913205.5051__1.5051	1262882__R5MQ68__BN519_01178
ERR1913205.5542__1.5542	301302__A0A173R6H4__M72_21671
ERR1913205.5767__1.5767	2108523__A0A2P2F504__LAWASA_1087
ERR1913205.5957__1.5957	214856__R6XQX8__ERS852559_02550
ERR1913205.6068__1.6068	1501391__GCA_000786575.1_00071
ERR1913205.6205__1.6205	1501391__GCA_000786575.1_00115
ERR1913205.6287__1.6287	1501391__GCA_000786575.1_00158
ERR1913205.6309__1.6309	821__A0A078R9Y9__M097_2119
ERR1913205.6828__1.6828	214856__R6XUN2__rcsC_1
ERR1913205.7124__1.7124	214856__I3YPQ0__ERS852447_01379
ERR1913205.7425__1.7425	214856__R6YD52__ERS852447_02171
ERR1913205.7484__1.7484	214856__R5UN64__ERS852447_02669
ERR1913205.7884__1.7884	39492__D4JS87__EUBSIR_02328
ERR1913205.8086__1.8086	214856__A0A173ZUI6__ERS852447_00955
ERR1913205.8190__1.8190	214856__I3YPP2__Alfi_2700
ERR1913205.8265__1.8265	214856__I3YPN0__ERS852447_01398
ERR1913205.8349__1.8349	214856__I3YPP3__Alfi_2701
