ERR1913291.5__1.5	823__A0A174W1A8__panE
ERR1913291.26__1.26	40520__A0A396FSZ4__DXC87_11975
ERR1913291.189__1.189	1262882__R5N526__BN519_01603
ERR1913291.269__1.269	820__A0A3E4PYB0__yejM
ERR1913291.346__1.346	821__A0A174T998__DXB82_10860
ERR1913291.452__1.452	28116__F7L4X5__M089_2857
ERR1913291.706__1.706	1262911__R6GPB1__BN557_00837
ERR1913291.711__1.711	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913291.733__1.733	28116__R6K4N7__ERS852555_03750
ERR1913291.809__1.809	28116__I8Y7V6__HMPREF1017_02728
ERR1913291.754__1.754	28116__E5CEE4__SAMN05444282_12363
ERR1913291.773__1.773	556259__I0PXW0__BSGG_5187
ERR1913291.962__1.962	820__A0A1T4IYF4__mprA_1
ERR1913291.1080__1.1080	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913291.1087__1.1087	28116__A0A3D2LPA1__CUY_3388
ERR1913291.1227__1.1227	28116__I9JM49__NCTC11153_01044
ERR1913291.1261__1.1261	821__A0A0P0M2J4__DXD46_10295
ERR1913291.1264__1.1264	1262882__R5MQ63__BN519_01173
ERR1913291.1376__1.1376	39491__A0A174G6M3__DXD13_14470
ERR1913291.1392__1.1392	28116__A0A1Y4PWV4__C5Z02_15015
ERR1913291.1443__1.1443	1897011__A0A1Q6RE59__BHW41_04605
ERR1913291.1532__1.1532	487174__K0X665__DIT83_12000
ERR1913291.1647__1.1647	1897011__A0A1Q6REP0__BHW41_04040
ERR1913291.1701__1.1701	821__A0A396F1N0__M099_1553
ERR1913291.1797__1.1797	28116__A0A1G8P076__AA414_01051
ERR1913291.1886__1.1886	1262911__R6H2B5__BN557_01151
ERR1913291.2055__1.2055	28116__A7LXT7__HMPREF1070_00356
ERR1913291.2257__1.2257	1262882__R5N5C3__BN519_01664
ERR1913291.2268__1.2268	817__Q64XX5__M126_0821
ERR1913291.2274__1.2274	820__A0A3E4PYB0__yejM
ERR1913291.2304__1.2304	39492__D4JRZ7__smc
