ERR1913201.51__1.51	39488__A0A174DGL6__EUBHAL_03262
ERR1913201.337__1.337	28026__A0A396BA17__DXC83_09095
ERR1913201.339__1.339	1628085__A0A374VPA3__C7386_11438
ERR1913201.404__1.404	410072__A0A173Y221__spoIIIAE
ERR1913201.485__1.485	360807__A0A0M6WAX8__ROSEINA2194_01360
ERR1913201.438__1.438	410072__C0BES0__ERS852389_01714
ERR1913201.525__1.525	410072__A0A174IQI6__ERS852574_01030
ERR1913201.601__1.601	28116__C3R0H4__DXD69_00155
ERR1913201.737__1.737	360807__A0A0M6WZU2__ROSEINA2194_04025
ERR1913201.685__1.685	821__I9R3W6__DXC16_12455
ERR1913201.897__1.897	487174__K0WTV8__DIT83_04385
ERR1913201.984__1.984	1735__B7C7R7__EUBIFOR_00217
ERR1913201.1043__1.1043	301302__A0A173RMN7__ERS852420_00721
ERR1913201.1277__1.1277	46503__R6Y837__PARMER_03866
ERR1913201.1358__1.1358	820__A0A139KJR5__M093_4469
ERR1913201.1375__1.1375	1150298__R7JUX4__ERS852535_02669
ERR1913201.1483__1.1483	1680__A0A173Y6N7__yhaH
ERR1913201.1490__1.1490	820__A0A139KG60__M094_2679
ERR1913201.1530__1.1530	357276__A0A076IP73__BACDOR_04237
ERR1913201.1666__1.1666	853__A0A173YYY4__DWZ04_09420
ERR1913201.1674__1.1674	821__A0A174NM17__lacZ_6
ERR1913201.1915__1.1915	74426__rpoC
ERR1913201.1957__1.1957	821__E5UY21__C800_02204
ERR1913201.1960__1.1960	46503__R6X3F9__DCY29_09585
ERR1913201.1994__1.1994	301302__R5VC75__ERS852420_02858
ERR1913201.2063__1.2063	387090__S0FDL7__BACCOPRO_03555
ERR1913201.2298__1.2298	47678__A5ZHJ2__DXB67_12405
ERR1913201.2311__1.2311	360807__A0A173V2S2__phoR_7
ERR1913201.2373__1.2373	821__A0A174NSU0__BVU_3144
ERR1913201.2473__1.2473	301302__A0A0M6X050__M72_15361
ERR1913201.2494__1.2494	410072__R6LD64__ERS852525_02440
ERR1913201.2629__1.2629	116085__D4J546__DW747_07135
ERR1913201.2638__1.2638	454155__F3QX17__HMPREF9442_02751
ERR1913201.2682__1.2682	410072__A0A174J5N8__sbcC
ERR1913201.2700__1.2700	821__A0A3E4XY72__NCTC10583_01067
ERR1913201.2951__1.2951	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913201.3026__1.3026	357276__I9R994__BACDOR_04044
ERR1913201.3036__1.3036	33039__A0A174Z8F8__ERS852530_05419
ERR1913201.3143__1.3143	216816__B3DNW2__BL171B_07980
ERR1913201.3216__1.3216	47678__R5UA23__C5Z00_15610
ERR1913201.3284__1.3284	33039__D4M281__ERS852530_00073
ERR1913201.3307__1.3307	329854__R5MCJ4__DXK01_19550
ERR1913201.3429__1.3429	360807__A0A1Q6T7G0__ERS852392_03048
ERR1913201.3471__1.3471	853__A0A174CVG7__CGS58_09335
ERR1913201.3537__1.3537	556259__I0PXW0__BSGG_5187
ERR1913201.3566__1.3566	47678__R5UU99__C5Z00_11925
ERR1913201.3610__1.3610	166486__D4KZI1__ERS852572_00422
ERR1913201.3819__1.3819	28052__R6JVH3__ERS852499_00454
ERR1913201.3845__1.3845	28026__A0A072MTT5__BPS1E_1554
ERR1913201.4060__1.4060	310298__B3JQJ5__BACCOP_04231
ERR1913201.4069__1.4069	328814__GCA_004558275.1_02294
ERR1913201.4079__1.4079	301302__R5VGE0__ERS852420_00121
ERR1913201.4333__1.4333	410072__A0A174DEZ0__COPCOM_01936
ERR1913201.4361__1.4361	371601__C3R2J2__ERS852396_04353
ERR1913201.4377__1.4377	33905__A0A0C2Z570__CQR47_0419
ERR1913201.4433__1.4433	47678__R5U7X8__C5Z00_18270
ERR1913201.4441__1.4441	820__A0A139KJ23__celCCA
ERR1913201.4477__1.4477	301302__R5USI9__prsA3
ERR1913201.4677__1.4677	166486__D4L284__ERS852572_01651
ERR1913201.4735__1.4735	74426__asnS
ERR1913201.4701__1.4701	310298__B3JQJ5__BACCOP_04231
ERR1913201.4780__1.4780	454155__F3QQI4__HMPREF9442_00426
