ERR1913285.200__1.200	33043__A0A173YEP6__ERS852575_00888
ERR1913285.338__1.338	165179__A0A229I6N7__DXC61_06720
ERR1913285.381__1.381	165179__R6BQP4__DXC61_02015
ERR1913285.489__1.489	165179__A0A174IYW3__DXC61_01235
ERR1913285.712__1.712	165179__D1PCY7__DXB80_02765
ERR1913285.852__1.852	39491__A0A174K1W6__DXB99_15020
ERR1913285.994__1.994	1262803__R6PQZ2__BN649_00435
ERR1913285.1105__1.1105	239935__A0A2N8J1K0__CXT97_05765
ERR1913285.1189__1.1189	39492__D4JS06__ERS852540_02297
ERR1913285.1245__1.1245	28052__A0A174H9I6__ERS852451_00172
ERR1913285.1261__1.1261	823__A0A174UI22__CF162_13840
ERR1913285.1433__1.1433	165179__A0A229I4J4__proA
ERR1913285.1486__1.1486	1262743__R5CEH5__BN727_01269
ERR1913285.1721__1.1721	165179__R6XIF8__DXC61_07265
ERR1913285.1908__1.1908	239935__A0A2N8I368__CXT95_04550
ERR1913285.2140__1.2140	165179__D1PCL6__DXB80_13435
ERR1913285.2160__1.2160	39491__A0A395V0H6__ERS852580_02570
ERR1913285.2360__1.2360	165179__A0A3E5DX33__PREVCOP_05190
ERR1913285.2431__1.2431	1262911__R6H1P0__BN557_00940
ERR1913285.2568__1.2568	39491__A0A396FFW0__ERE_10580
ERR1913285.2623__1.2623	33043__D5HIC8__vspIM
ERR1913285.2699__1.2699	165179__D1PDG7__DXB80_11180
ERR1913285.3008__1.3008	165179__A0A3E5A832__DXC61_13685
ERR1913285.3130__1.3130	1263000__R5EAZ0__BN466_00537
ERR1913285.3172__1.3172	40518__R5DWP7__ansA
ERR1913285.3224__1.3224	39491__A0A396FSN2__EUBREC_0707
ERR1913285.3272__1.3272	1262803__R6NYF7__BN649_02038
ERR1913285.3376__1.3376	28117__B0MXG8__ALIPUT_01814
ERR1913285.3427__1.3427	28116__A0A078QF71__HMPREF1070_01231
ERR1913285.3534__1.3534	39491__A0A395V297__EUR_01010
ERR1913285.3675__1.3675	47678__R5UV30__C5Z00_12615
ERR1913285.3732__1.3732	39492__D4JWY1__rnfA_1
ERR1913285.3800__1.3800	165179__R6PU83__CFT61_14275
ERR1913285.4153__1.4153	165179__A0A3E5AE59__DXC61_12885
ERR1913285.4251__1.4251	1262746__R5S4S7__BN750_02366
ERR1913285.4260__1.4260	165179__A0A3E5EDP4__DXB80_05800
ERR1913285.4430__1.4430	394340__lepA
ERR1913285.4441__1.4441	239935__A0A2N8I9P4__CXT85_05050
ERR1913285.4469__1.4469	214851__D1PSM7__SUBVAR_07410
ERR1913285.4621__1.4621	360807__C0FQD4__codY
ERR1913285.4641__1.4641	360807__A0A173V2S2__phoR_7
ERR1913285.4651__1.4651	165179__A0A3E5A554__DXB80_13805
ERR1913285.4769__1.4769	165179__D1PCL6__DXB80_13435
ERR1913285.4962__1.4962	165179__R6CNX7__DXB80_02200
ERR1913285.4984__1.4984	1262986__R6AQW4__BN492_00061
ERR1913285.5002__1.5002	165179__A0A174WRI9__DXB80_04870
ERR1913285.5010__1.5010	39492__D4JRV7__EUBSIR_01513
ERR1913285.5083__1.5083	165179__D1PCT4__DXB80_09470
ERR1913285.5185__1.5185	360807__C0FQL8__tipA
ERR1913285.5450__1.5450	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913285.5607__1.5607	165179__D1P8V8__DXC61_01940
ERR1913285.5616__1.5616	33043__A0A173WTV6__ERS852400_02153
ERR1913285.5659__1.5659	29348__B1C363__DXB31_09030
ERR1913285.5773__1.5773	1262911__R6GPI7__BN557_00907
ERR1913285.5809__1.5809	487174__K0XER9__DDY40_08885
ERR1913285.5824__1.5824	40518__R5DS68__hcpC
ERR1913285.5969__1.5969	165179__A0A3E5E8N5__DXC61_13460
ERR1913285.6026__1.6026	28117__B0MYZ8__BHV66_04535
ERR1913285.6027__1.6027	165179__A0A3E5EBQ2__DXC61_01930
ERR1913285.6220__1.6220	39492__D4MIK7__EUBSIR_00676
ERR1913285.6403__1.6403	28117__B0MWC6__BHV66_00965
ERR1913285.6438__1.6438	1263011__R6E1J2__BN553_01468
ERR1913285.6441__1.6441	33043__D5HF43__ERS852445_00477
ERR1913285.6587__1.6587	360807__C0G083__ROSEINA2194_04432
ERR1913285.6599__1.6599	33043__A0A173SQ62__ERS852575_01610
ERR1913285.6608__1.6608	165179__A0A3E5E8N5__DXC61_13460
ERR1913285.6775__1.6775	820__A0A174QT76__B5G17_18060
ERR1913285.7069__1.7069	239935__A0A2N8IRL2__CXU06_01170
ERR1913285.7272__1.7272	33043__A0A3A6J8T3__yvhJ
ERR1913285.7631__1.7631	28117__B0MT73__ALIPUT_00412
ERR1913285.8065__1.8065	28052__A0A174KGM3__ERS852451_01819
ERR1913285.8159__1.8159	33043__D5HH34__ERS852386_00170
ERR1913285.8419__1.8419	165179__R6B8D8__DXC61_09245
ERR1913285.8420__1.8420	28117__B0MXW9__ALIPUT_01981
ERR1913285.8487__1.8487	239935__R7E524__CXT91_06180
ERR1913285.8523__1.8523	360807__C0FN02__ERS852392_01841
ERR1913285.8650__1.8650	371601__A0A174AWE7__BXY_28850
ERR1913285.8718__1.8718	1262992__R5CXM7__BN795_01016
ERR1913285.8866__1.8866	46228__V8C3T3__DXD17_04075
ERR1913285.8959__1.8959	33043__D5HEE1__ERS852386_01671
ERR1913285.9050__1.9050	1262743__R5C564__BN727_01104
ERR1913285.9601__1.9601	33043__A0A173YSY7__tilS
ERR1913285.9832__1.9832	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913285.9944__1.9944	239935__A0A2N8HT44__CXT84_11035
ERR1913285.9956__1.9956	239935__A0A2N8I6R6__CXU04_04335
ERR1913285.10003__1.10003	1393034__GCA_001552785.1_00728
ERR1913285.10078__1.10078	1262945__R6YRW5__BN600_00530
ERR1913285.10165__1.10165	853__A0A173XRA8__CGS56_09290
ERR1913285.10169__1.10169	165179__A0A3E5AE59__DXC61_12885
ERR1913285.10244__1.10244	165179__A0A3E5DZA5__DXB80_12550
ERR1913285.10304__1.10304	187979__A0A174C7K8__ERS852385_02079
ERR1913285.10712__1.10712	165179__A0A3E5ED28__PREVCOP_06655
ERR1913285.10813__1.10813	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913285.11026__1.11026	88431__A0A174IEH2__DXB16_05910
ERR1913285.11103__1.11103	458033__GCA_001482755.1_02203
ERR1913285.11216__1.11216	39491__A0A396FS17__envC
ERR1913285.11232__1.11232	853__A0A173RZ39__C4N22_01650
ERR1913285.11288__1.11288	1263107__GCA_000436995.1_00193
ERR1913285.11350__1.11350	165179__A0A174SA26__PREVCOP_05758
ERR1913285.11379__1.11379	28117__B0MUY3__BHV66_00515
ERR1913285.11524__1.11524	33043__A0A174B7D6__ERS852400_01331
ERR1913285.11650__1.11650	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913285.11621__1.11621	165179__D1PGU8__PREVCOP_06463
ERR1913285.11755__1.11755	28118__F9Z408__NCTC10826_01194
ERR1913285.11734__1.11734	165179__A0A229I4J4__proA
ERR1913285.11875__1.11875	28117__R7JJM9__ALIPUT_00662
ERR1913285.11931__1.11931	1263011__R6DV48__BN553_00646
ERR1913285.12212__1.12212	39492__D4JR04__phoU
ERR1913285.12303__1.12303	360807__A0A173VD35__suhB
ERR1913285.12458__1.12458	853__A0A173T6P2__DWZ46_14595
ERR1913285.12532__1.12532	33043__A0A173WPI1__ERS852400_02100
ERR1913285.12604__1.12604	360807__A0A0M6WR80__RIL183_05221
ERR1913285.12534__1.12534	745368__A0A1T4XZ39__SAMN02745178_02502
ERR1913285.12695__1.12695	39491__A0A173TFQ1__rsmF
ERR1913285.12699__1.12699	1897011__A0A1Q6RH37__BHW41_01795
ERR1913285.12838__1.12838	1393034__GCA_001552785.1_00502
ERR1913285.12985__1.12985	165179__A0A229I6N7__DXC61_06720
ERR1913285.13083__1.13083	165179__R6CJG8__DXC61_09290
ERR1913285.13095__1.13095	820__A0A3E4G826__C801_01612
ERR1913285.13195__1.13195	39492__R6RYB8__ERS852540_00322
ERR1913285.13213__1.13213	33043__D5HGR0__rpfC_2
ERR1913285.13345__1.13345	1150298__A0A174KDX3__ERS852498_01212
ERR1913285.13448__1.13448	40518__R5DQW8__sipW_2
ERR1913285.13500__1.13500	1263011__R6EID3__BN553_01066
ERR1913285.13508__1.13508	165179__D1PCT4__DXB80_09470
ERR1913285.13541__1.13541	165179__R6CJG8__DXC61_09290
ERR1913285.13590__1.13590	33043__A8SWL7__ERS852386_02506
ERR1913285.13612__1.13612	239935__A0A2N8IRW0__A4V05_11620
ERR1913285.13703__1.13703	29361__B6FRT6__CLONEX_02860
ERR1913285.13724__1.13724	487174__K0X353__DIT83_07800
ERR1913285.13785__1.13785	33043__A0A173WXS1__ERS852445_00262
ERR1913285.13826__1.13826	817__K1GRH1__M070_3874
ERR1913285.13855__1.13855	1262803__R6P0X6__BN649_00395
ERR1913285.13882__1.13882	1262911__R6GSH8__BN557_00939
ERR1913285.13997__1.13997	458033__GCA_001482755.1_02203
ERR1913285.14092__1.14092	84030__D6DES2__B5F06_01745
ERR1913285.14312__1.14312	853__A0A2A7A628__CGS57_13755
ERR1913285.14316__1.14316	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913285.14332__1.14332	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913285.14400__1.14400	33043__A0A174B7D6__ERS852400_01331
ERR1913285.14497__1.14497	39492__D4JR04__phoU
ERR1913285.14543__1.14543	823__A0A069SAX6__ERS852380_00710
ERR1913285.14590__1.14590	649756__D4MXB5__ERS852387_00488
ERR1913285.14727__1.14727	165179__R6CNX7__DXB80_02200
ERR1913285.14855__1.14855	1262746__R5S926__BN750_01724
ERR1913285.14978__1.14978	47678__R5UUB1__DXB67_02860
ERR1913285.15134__1.15134	1297617__A0A0S2W267__IB211_01043c
ERR1913285.15402__1.15402	33043__D5HEU4__ftsW_3
ERR1913285.15370__1.15370	39485__C4Z0B2__EUBELI_01024
ERR1913285.15894__1.15894	40518__R5E1X3__clcA
ERR1913285.16229__1.16229	1263011__R6DPZ1__BN553_01005
ERR1913285.16247__1.16247	360807__A0A173YXM7__RIL183_19241
ERR1913285.16213__1.16213	33043__A0A173YSY7__tilS
ERR1913285.16220__1.16220	165179__A0A3E5DN34__DXC61_07865
ERR1913285.16469__1.16469	1262911__R6H1P0__BN557_00940
ERR1913285.16507__1.16507	458033__GCA_001482755.1_02203
ERR1913285.16736__1.16736	165179__A0A174SA26__PREVCOP_05758
ERR1913285.16753__1.16753	28052__A0A174GZE8__ERS852451_00311
ERR1913285.16781__1.16781	239935__A0A2N8J2P6__ADH72_06730
ERR1913285.16837__1.16837	360807__A0A173VD35__suhB
ERR1913285.16847__1.16847	187979__A0A173ZVI7__ptsG_2
ERR1913285.16925__1.16925	28052__A0A174GFL5__ERS852451_00478
ERR1913285.17059__1.17059	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913285.17500__1.17500	1897011__A0A1Q6RIA6__BHW41_01370
ERR1913285.17540__1.17540	33043__D5HIC8__vspIM
ERR1913285.17662__1.17662	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913285.17754__1.17754	165179__D1PAJ7__PREVCOP_04222
ERR1913285.17795__1.17795	360807__A0A1Q6T7T2__artP
ERR1913285.17855__1.17855	165179__D1P8Q2__trpF
ERR1913285.17897__1.17897	28117__B0MXD0__ALIPUT_01669
ERR1913285.18013__1.18013	33043__D5HHY4__luxQ_1
ERR1913285.18040__1.18040	165179__D1PGJ6__DXC61_07300
ERR1913285.18122__1.18122	1897011__A0A1Q6RE76__BHW41_04850
ERR1913285.18148__1.18148	165179__A0A3E5DZD8__DXB80_09150
ERR1913285.18211__1.18211	165179__D1PDJ4__DXB80_08505
ERR1913285.18220__1.18220	239935__B2UL82__CXU14_06655
ERR1913285.18455__1.18455	357276__D1K3K9__EL88_23995
ERR1913285.18596__1.18596	817__A0A2M9USQ3__DXA81_00185
ERR1913285.18690__1.18690	936548__J0SP62__HMPREF1136_1057
ERR1913285.18718__1.18718	28117__B0MWP2__ALIPUT_01468
ERR1913285.18731__1.18731	39492__D4JRV7__EUBSIR_01513
ERR1913285.18857__1.18857	33043__A0A173S5P8__ERS852445_00566
ERR1913285.18895__1.18895	239935__A0A2N8HCF5__CXU15_05660
ERR1913285.18901__1.18901	33043__A0A174BZH6__ERS852400_01477
ERR1913285.18987__1.18987	1262889__R7HCG5__BN634_01481
ERR1913285.19013__1.19013	165179__D1PAV8__DXB80_13055
ERR1913285.19017__1.19017	39491__A0A396FFW0__ERE_10580
ERR1913285.19073__1.19073	821__A0A174TD86__C800_00949
ERR1913285.19254__1.19254	39492__D4JQY4__EUBSIR_01325
ERR1913285.19517__1.19517	39491__A0A395ZF49__DXB69_05290
ERR1913285.19663__1.19663	853__A0A2A7A628__CGS57_13755
ERR1913285.20076__1.20076	853__A0A174CVG7__CGS58_09335
ERR1913285.20085__1.20085	1263011__R6E2H3__BN553_00224
ERR1913285.20121__1.20121	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913285.20328__1.20328	165179__R6XIF8__DXC61_07265
ERR1913285.20365__1.20365	239935__A0A139TPD4__CXT86_06450
ERR1913285.20415__1.20415	165179__A0A174UTZ7__DXC61_06705
ERR1913285.20444__1.20444	100886__A0A174HS89__CATMIT_02596
ERR1913285.20493__1.20493	371601__D6CXU6__CW3_4709
ERR1913285.20498__1.20498	28052__A0A174JNB2__ERS852499_01122
ERR1913285.20598__1.20598	39485__A0A174Z8V5__fliU_2
ERR1913285.20643__1.20643	39492__D4MMN2__EUBSIR_00964
ERR1913285.20977__1.20977	165179__R6C5D6__PREVCOP_04658
ERR1913285.21023__1.21023	165179__A0A3E5AI09__DXC61_05815
ERR1913285.21266__1.21266	1263000__R5EKR4__BN466_01609
ERR1913285.21376__1.21376	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913285.21544__1.21544	165179__A0A3E5E5H1__DXC61_07220
ERR1913285.21728__1.21728	165179__A0A3E5E920__DXB80_11625
ERR1913285.21868__1.21868	239935__A0A2N8IXN0__CXT95_01765
ERR1913285.21994__1.21994	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913285.21931__1.21931	239935__A0A2N8IU45__DEF40_02365
ERR1913285.21947__1.21947	28052__A0A174J1L8__ERS852451_00926
ERR1913285.22000__1.22000	1628085__A0A2U1BGI3__C7386_10130
ERR1913285.22122__1.22122	394340__gyrB
ERR1913285.22203__1.22203	165179__D1P9T6__PREVCOP_04016
ERR1913285.22209__1.22209	39491__A0A395ZG74__licR
ERR1913285.22334__1.22334	165179__A0A3E5A832__DXC61_13685
ERR1913285.22544__1.22544	39485__A0A174YNW2__cph2_3
ERR1913285.22774__1.22774	1262911__R6H174__BN557_01246
ERR1913285.22783__1.22783	239935__B2URG9__CXU00_11290
