ERR1913195.27__1.27	292800__G9YWZ8__A4U99_12635
ERR1913195.76__1.76	301302__A0A0M6WWE7__ERS852420_01309
ERR1913195.81__1.81	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913195.170__1.170	649756__D4MVD8__ERS852475_00940
ERR1913195.291__1.291	301302__A0A173SF21__M72_12691
ERR1913195.420__1.420	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913195.529__1.529	649756__A0A173SZT9__ptsG_1
ERR1913195.564__1.564	2024222__A0A255T0W2__CIK99_03190
ERR1913195.810__1.810	649756__R7C5S2__CL2_01190
ERR1913195.891__1.891	301302__R5UMU6__M72_26821
ERR1913195.1257__1.1257	165179__A0A3E5EAM5__DXC61_07785
ERR1913195.1259__1.1259	1262911__R6GS52__BN557_00834
ERR1913195.1260__1.1260	1680__R5GZF2__DXC60_01925
ERR1913195.1264__1.1264	301302__A0A173SCU7__M72_12871
ERR1913195.1337__1.1337	39485__A0A1Q6PGI7__pehX_3
ERR1913195.1472__1.1472	418240__A0A174M9G4__ERS852523_01208
ERR1913195.1592__1.1592	165179__D1PES9__DXB80_11585
ERR1913195.1609__1.1609	301302__A0A173SF21__M72_12691
ERR1913195.1586__1.1586	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.1717__1.1717	301302__A0A173S436__M72_16191
ERR1913195.1720__1.1720	853__A0A2A7B9I6__DW855_13690
ERR1913195.1746__1.1746	1262882__R5N5D7__BN519_01676
ERR1913195.1970__1.1970	165179__A0A3E5E2S3__DXB80_03455
ERR1913195.1936__1.1936	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913195.2187__1.2187	1262882__R5MKU2__BN519_01271
ERR1913195.2227__1.2227	853__D4JY61__C4N21_10560
ERR1913195.2261__1.2261	301302__A0A173T010__M72_26571
ERR1913195.2363__1.2363	39491__D4JMW8__ERS852497_01971
ERR1913195.3015__1.3015	2293125__A0A374BUJ0__DW917_13495
ERR1913195.3390__1.3390	360807__A0A1Q6T9R3__ERS852392_02666
ERR1913195.3434__1.3434	1262924__R7HT26__BN585_00306
ERR1913195.3471__1.3471	1262929__R6EV27__BN691_00137
ERR1913195.3476__1.3476	1284775__A0A095Y5G0__HMPREF1640_07060
