ERR1913209.41__1.41	39492__D4JTU4__ykfG
ERR1913209.54__1.54	310298__B3JII2__BACCOP_01694
ERR1913209.149__1.149	239935__A0A2N8IVK9__CXU08_03750
ERR1913209.154__1.154	357276__I9G0T7__BACDOR_04266
ERR1913209.332__1.332	1262921__R5LTJ9__BN473_02529
ERR1913209.298__1.298	1124654__GeneID:14005781
ERR1913209.663__1.663	1263000__R5EU91__BN466_01432
ERR1913209.860__1.860	823__A0A395YZG9__M092_4358
ERR1913209.906__1.906	1262921__R5LTL7__BN473_02537
ERR1913209.976__1.976	1262920__R5KD76__BN467_01465
ERR1913209.1045__1.1045	239935__A0A2N8IQX1__dnaA
ERR1913209.1046__1.1046	1262882__R5MIW5__BN519_00945
ERR1913209.1064__1.1064	563769__GeneID:6973156
ERR1913209.1128__1.1128	357276__I8VQA2__HMPREF1065_04183
ERR1913209.1236__1.1236	1262921__R5LTU7__BN473_01717
ERR1913209.1316__1.1316	39492__D4JRM4__tap_5
ERR1913209.1517__1.1517	28117__B0MTW8__ALIPUT_00502
ERR1913209.1581__1.1581	246787__R6KUE5__BcellWH2_01117
ERR1913209.1674__1.1674	39492__D4JWR6__dnaN
ERR1913209.1767__1.1767	820__A0A139KHX1__HMPREF2141_00289
ERR1913209.2046__1.2046	1262911__R6HIV6__BN557_01807
ERR1913209.2419__1.2419	1262882__R5MZZ3__BN519_00482
ERR1913209.2626__1.2626	239935__A0A2N8HQR1__Amuc_0287
ERR1913209.2646__1.2646	1262882__R5N1T9__BN519_00804
ERR1913209.2736__1.2736	301302__R5UHX5__M72_14301
ERR1913209.2787__1.2787	39491__A0A395ZHW9__DXC13_02590
ERR1913209.2900__1.2900	1897011__A0A1Q6REW8__BHW41_04435
ERR1913209.3176__1.3176	239935__A0A2N8HPS5__Amuc_0950
ERR1913209.3276__1.3276	39492__D4JTW7__EUBSIR_00859
ERR1913209.3303__1.3303	147206__GCF_000156215.1_01777
ERR1913209.3335__1.3335	820__A0A374Q854__HMPREF1073_03281
ERR1913209.3346__1.3346	1099853__R7DGD2__NSB1T_01240
ERR1913209.3360__1.3360	39492__D4JRZ7__smc
ERR1913209.3362__1.3362	1262882__R5MRS7__BN519_01490
ERR1913209.3377__1.3377	1262882__R5MH81__BN519_00748
ERR1913209.3585__1.3585	28117__B0MY41__BHV66_05165
ERR1913209.3594__1.3594	28117__B0MXU6__ALIPUT_01958
ERR1913209.3597__1.3597	1150298__A0A174TF64__ERS852406_00108
ERR1913209.3763__1.3763	1150298__R7JPB1__corA
ERR1913209.3796__1.3796	239935__A0A2N8HAQ1__DEF40_05290
ERR1913209.3806__1.3806	823__A0A395YZG9__M092_4358
ERR1913209.3831__1.3831	1099853__G9S4F5__NSB1T_05520
ERR1913209.4147__1.4147	1262882__R5MHQ8__BN519_00707
ERR1913209.4370__1.4370	357276__I8WAB8__B5F00_08100
ERR1913209.4727__1.4727	1897011__A0A1Q6RE83__BHW41_04925
ERR1913209.4774__1.4774	39492__D4JU30__EUBSIR_00838
ERR1913209.4878__1.4878	1262882__R5MN65__BN519_00771
ERR1913209.4861__1.4861	823__A0A078SBS5__DXC05_19830
ERR1913209.4863__1.4863	1262911__R6H1B2__BN557_00840
ERR1913209.4964__1.4964	817__A0A139T1Z4__M069_0866
ERR1913209.5064__1.5064	46228__B5CS18__RUMLAC_02269
ERR1913209.5380__1.5380	310298__B3JII2__BACCOP_01694
ERR1913209.5568__1.5568	39491__A0A396FKI6__mltF
ERR1913209.5629__1.5629	28117__B0MYW7__ALIPUT_02336
ERR1913209.5609__1.5609	1262882__R5MEN2__BN519_00200
ERR1913209.5684__1.5684	1262911__R6HHR1__BN557_01622
ERR1913209.5721__1.5721	1235835__R9LCU2__C814_02677
ERR1913209.5956__1.5956	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913209.5985__1.5985	1262911__R6HI44__BN557_01691
ERR1913209.6098__1.6098	1147158__GeneID:14182428
ERR1913209.6460__1.6460	10678__GeneID:2777432
ERR1913209.6521__1.6521	1262882__R5MGK3__BN519_00655
ERR1913209.6822__1.6822	1262882__R5MHZ2__BN519_00742
ERR1913209.7019__1.7019	328814__GCA_004558275.1_00296
ERR1913209.7204__1.7204	563769__GeneID:6972918
ERR1913209.7319__1.7319	823__D7ILK2__ERS852380_00031
ERR1913209.7405__1.7405	28026__A0A395ZJF9__DXC45_08695
ERR1913209.7506__1.7506	394340__dmsA_10
ERR1913209.7720__1.7720	1262948__R7EC83__BN671_00625
ERR1913209.7784__1.7784	823__A6LBY1__ERS852380_00510
ERR1913209.7874__1.7874	1262882__R5N2U9__BN519_01221
ERR1913209.7934__1.7934	1262911__R6GTB9__BN557_01187
ERR1913209.8020__1.8020	1262882__R5MLK3__BN519_00491
ERR1913209.8131__1.8131	1160721__R6U5L6__RBI_I01802
ERR1913209.8135__1.8135	10678__GeneID:2777387
ERR1913209.8203__1.8203	357276__A0A076IRV2__BACDOR_02822
ERR1913209.8550__1.8550	1262958__R7H5S4__BN645_00730
ERR1913209.8501__1.8501	357276__A0A0K2HI25__DXD47_04465
ERR1913209.8754__1.8754	39492__D4JWY0__EUBSIR_01648
ERR1913209.8894__1.8894	1262882__R5MEK3__BN519_00296
ERR1913209.8895__1.8895	1099853__G9S0I7__NSB1T_04980
ERR1913209.8954__1.8954	817__D1JUE7__M123_3721
ERR1913209.9099__1.9099	1263000__R5EQY7__BN466_01150
ERR1913209.9204__1.9204	1262911__R6GPB1__BN557_00837
ERR1913209.9432__1.9432	853__D4JY61__C4N21_10560
ERR1913209.9582__1.9582	10678__GeneID:2777439
ERR1913209.9963__1.9963	387661__A7AHF8__PRABACTJOHN_00803
ERR1913209.9999__1.9999	1262911__R6GQ41__BN557_00435
ERR1913209.10087__1.10087	820__A7V092__hldE
ERR1913209.10194__1.10194	39492__D4JWY7__EUBSIR_01655
ERR1913209.10268__1.10268	39492__A0A174ZL16__EUBSIR_01269
ERR1913209.10290__1.10290	246787__R6KCH8__csbC
ERR1913209.10472__1.10472	823__A0A395YY84__DXC05_19515
ERR1913209.10668__1.10668	394340__prfA
ERR1913209.10869__1.10869	10678__GeneID:2777399
ERR1913209.10872__1.10872	10678__GeneID:2777439
ERR1913209.10952__1.10952	1099853__G9S0P5__NSB1T_11890
ERR1913209.11090__1.11090	28116__A0A1G8P076__AA414_01051
ERR1913209.11103__1.11103	1262921__R5LTL7__BN473_02537
ERR1913209.11232__1.11232	853__D4JY61__C4N21_10560
ERR1913209.11306__1.11306	239935__A0A2N8HHB6__B5G29_11500
ERR1913209.11391__1.11391	28117__B0MXR4__BHV66_08025
ERR1913209.11396__1.11396	46228__V8BYF1__HMPREF1202_02029
ERR1913209.11409__1.11409	39492__D4JWI6__EUBSIR_01073
ERR1913209.11415__1.11415	1262882__R5MKL9__BN519_00353
ERR1913209.11627__1.11627	1262958__R7GZC7__BN645_01359
ERR1913209.11631__1.11631	28118__F9ZBZ0__DHW44_07740
ERR1913209.11848__1.11848	853__A0A2A7B1Y7__C7K05_11930
ERR1913209.12032__1.12032	1463165__A0A378C0D0__DP204_11280
ERR1913209.12082__1.12082	820__A0A3E4RU03__M093_0563
ERR1913209.12120__1.12120	246787__A0A108TBH4__BACCELL_02980
ERR1913209.12388__1.12388	1105031__J1H3W2__HMPREF1141_2783
ERR1913209.12517__1.12517	1262743__R5C054__BN727_01980
ERR1913209.12657__1.12657	147206__GCF_000156215.1_01777
ERR1913209.12703__1.12703	357276__A0A076IKP7__BACDOR_04239
ERR1913209.12704__1.12704	239935__A0A2N8HPS5__Amuc_0950
ERR1913209.12824__1.12824	239935__A0A2N8IEP3__CXT84_03735
ERR1913209.12902__1.12902	10678__GeneID:2777434
ERR1913209.12951__1.12951	239935__A0A2N8IVK9__CXU08_03750
ERR1913209.12998__1.12998	818__R6VB25__BSIG_5053
ERR1913209.13114__1.13114	221029__GeneID:2777078
ERR1913209.13303__1.13303	28026__A0A396BA17__DXC83_09095
ERR1913209.13387__1.13387	10678__GeneID:2777471
ERR1913209.13555__1.13555	239935__A0A2N8IL82__CXU02_11740
ERR1913209.13664__1.13664	387090__S0F8B2__BACCOPRO_02129
ERR1913209.13832__1.13832	1262921__R5LTU7__BN473_01717
ERR1913209.13873__1.13873	1262882__R5MM90__BN519_01721
ERR1913209.13884__1.13884	1262882__R5MXW0__BN519_00317
ERR1913209.14047__1.14047	823__D0TAX5__HMPREF1075_01064
ERR1913209.14106__1.14106	1262921__R5M2J9__BN473_00593
ERR1913209.14450__1.14450	246787__A0A3D6B0E4__BACCELL_02533
ERR1913209.14545__1.14545	1263000__R5EU91__BN466_01432
ERR1913209.14663__1.14663	1263000__R5ER22__BN466_01180
ERR1913209.14906__1.14906	674529__A0A174P761__SAMN05444400_106145
ERR1913209.15175__1.15175	239935__A0A2N8HBP0__CXT94_04450
