ERR1913203.14__1.14	239935__A0A2N8IEP3__CXT84_03735
ERR1913203.116__1.116	214856__R6XYY8__ERS852447_01722
ERR1913203.284__1.284	1262882__R5N3H1__BN519_01121
ERR1913203.464__1.464	214856__I3YPP2__Alfi_2700
ERR1913203.443__1.443	239935__A0A2N8ILG3__CXT93_10135
ERR1913203.559__1.559	214856__R6Y2Y4__ERS852447_01086
ERR1913203.674__1.674	310298__B3JQJ5__BACCOP_04231
ERR1913203.707__1.707	214856__I3YPP0__ERS852447_01388
ERR1913203.755__1.755	1262882__R5N3T7__BN519_01188
ERR1913203.792__1.792	214856__I3YPN3__ERS852447_01395
ERR1913203.820__1.820	214856__R6YC22__ERS852447_01215
ERR1913203.843__1.843	214856__A0A174CRY5__ERS852559_01060
ERR1913203.1070__1.1070	214856__R6Z5D0__resA_4
ERR1913203.1416__1.1416	214856__R5UN64__ERS852447_02669
ERR1913203.1447__1.1447	214856__I3YPI7__pepD_1
ERR1913203.1480__1.1480	853__A0A2A7B1Y7__C7K05_11930
ERR1913203.1639__1.1639	1262882__R5MIY9__BN519_01097
ERR1913203.1831__1.1831	214856__I3YPN5__Alfi_2693
ERR1913203.1894__1.1894	214856__I3YPP3__Alfi_2701
ERR1913203.2384__1.2384	1262882__R5N2E1__BN519_01117
ERR1913203.2385__1.2385	487174__K0X028__DIT83_00950
ERR1913203.2522__1.2522	214856__R6Z3P8__ERS852559_01737
ERR1913203.2539__1.2539	47678__R5UU99__C5Z00_11925
ERR1913203.2835__1.2835	1150298__R7JUS7__ytlR
ERR1913203.2965__1.2965	214856__I3YPQ4__Alfi_2712
ERR1913203.3076__1.3076	1262882__R5MPL0__BN519_01038
ERR1913203.3208__1.3208	214856__I3YPR6__Alfi_2724
ERR1913203.3234__1.3234	214856__I3YPP3__Alfi_2701
ERR1913203.3351__1.3351	239935__A0A2N8I5A2__DEF40_08455
ERR1913203.3641__1.3641	487174__K0XRP0__DDY40_09260
ERR1913203.3832__1.3832	214856__I3YPR5__ERS852447_01364
ERR1913203.3900__1.3900	290054__A0A1T4NGJ6__SAMN02745114_01599
ERR1913203.4073__1.4073	1262911__R6GPX9__BN557_00406
ERR1913203.4083__1.4083	1262882__R5MLT4__BN519_01496
ERR1913203.4105__1.4105	239935__A0A2N8IVR0__CXT87_07115
ERR1913203.4236__1.4236	487174__R5F5Z4__DIT83_00635
ERR1913203.4360__1.4360	328814__GCA_004558275.1_01006
ERR1913203.4404__1.4404	214856__A0A175A1F5__ERS852559_01764
ERR1913203.4484__1.4484	1262882__R5MYP8__BN519_00439
ERR1913203.4491__1.4491	214856__I3YPR5__ERS852447_01364
ERR1913203.4493__1.4493	239935__A0A2N8IVR0__CXT87_07115
ERR1913203.4854__1.4854	239935__A0A3F3KBB8__CXU16_06755
ERR1913203.4865__1.4865	47678__R5U3U1__BACCAC_03593
ERR1913203.4971__1.4971	214856__R6Z5D0__resA_4
