ERR1913258.46__1.46	1550024__A0A0D8IWM4__TQ39_15635
ERR1913258.58__1.58	39488__A0A374MV67__DXD91_15895
ERR1913258.220__1.220	1262924__R7HM17__BN585_01318
ERR1913258.293__1.293	40518__R5DLM5__RB5AMG_00422
ERR1913258.1161__1.1161	28025__D3R4P5__DD683_00185
ERR1913258.1285__1.1285	1263000__R5EK63__BN466_02075
ERR1913258.1479__1.1479	239935__A0A2N8HMQ8__pgsA
ERR1913258.1582__1.1582	39488__C0EY66__prkC_1
ERR1913258.1621__1.1621	823__A0A355XGQ3__prmC
ERR1913258.1776__1.1776	1263107__GCA_000436995.1_00056
ERR1913258.2188__1.2188	626929__F3PGY0__SAMN05444376_1243
ERR1913258.2162__1.2162	214856__A0A173YXX1__ERS852559_01651
ERR1913258.2304__1.2304	301301__G2T2X5__ERS852391_00403
ERR1913258.2540__1.2540	820__A7VAS1__HMPREF2141_03259
ERR1913258.2563__1.2563	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913258.2775__1.2775	853__A0A329UEG4__CHR60_00585
ERR1913258.2786__1.2786	28117__B0MYW7__ALIPUT_02336
ERR1913258.2841__1.2841	1550024__A0A3B9WJ68__TQ39_07150
ERR1913258.3011__1.3011	1262848__R6U7U6__BN818_00268
ERR1913258.3028__1.3028	1680__A7A8N9__BBMN23_1271
ERR1913258.3136__1.3136	39491__R6TQ09__DXC13_03010
ERR1913258.3260__1.3260	1262848__R6U1A8__BN818_00676
ERR1913258.3376__1.3376	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913258.3388__1.3388	40520__R7DA92__DXC87_13515
ERR1913258.3546__1.3546	1262924__R7HQD9__BN585_00129
ERR1913258.3619__1.3619	216816__C2GUV2__APC1478_0430
ERR1913258.3668__1.3668	1262848__R6UMA7__BN818_01315
ERR1913258.4086__1.4086	1680__A1A1R1__BIFADO_00076
ERR1913258.4535__1.4535	1550024__G9RWE0__TQ39_04155
ERR1913258.4658__1.4658	39496__A5Z4A5__EUBVEN_00528
ERR1913258.4755__1.4755	1897011__A0A1Q6RE78__BHW41_04770
ERR1913258.4927__1.4927	216816__A0A2U0BT35__BL1206_1860
ERR1913258.5029__1.5029	39491__A0A174A751__DXB69_15525
ERR1913258.5246__1.5246	1680__A0A2R4G1K8__BBMN23_0315
ERR1913258.5270__1.5270	1262736__R5Y3W9__BN496_01449
ERR1913258.5377__1.5377	216816__C5E9A6__mutT4
ERR1913258.5414__1.5414	1262743__R5C054__BN727_01980
ERR1913258.5417__1.5417	1263006__R6LRF6__BN515_00540
ERR1913258.5567__1.5567	610243__A0A060QJF7__ASAP_2763
ERR1913258.5680__1.5680	116085__D4J4G2__DW747_15550
ERR1913258.5735__1.5735	853__A0A3E2U7E6__ERS852582_01640
ERR1913258.6016__1.6016	1680__A0A173XYA2__B0703_0121
ERR1913258.6144__1.6144	39491__A0A173QT73__alaS_2
ERR1913258.6298__1.6298	1680__A0A076JNH5__DXC60_03835
ERR1913258.6319__1.6319	45851__D4RW73__BHV86_06745
ERR1913258.6329__1.6329	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913258.6618__1.6618	40520__A0A174FIC2__DXD81_07000
ERR1913258.6674__1.6674	246787__A0A3D6ARN8__yehU_6
ERR1913258.7042__1.7042	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913258.7091__1.7091	28025__A0A0L7BUQ4__Balat_0268
ERR1913258.7284__1.7284	116085__D4J3V0__DW747_12385
ERR1913258.7400__1.7400	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913258.7354__1.7354	216816__D6DC91__DXC72_07710
ERR1913258.7427__1.7427	820__A7V8C2__ERS852554_01338
ERR1913258.7927__1.7927	33043__D5HFD3__ybbD
ERR1913258.7960__1.7960	40518__R5DU74__RBATCC27255_00707
ERR1913258.8255__1.8255	1262992__R5D1H8__BN795_00995
ERR1913258.8401__1.8401	88431__A0A174IEH2__DXB16_05910
ERR1913258.8426__1.8426	762212__A0A087A2N3__BBIA_1009
ERR1913258.8473__1.8473	40518__R5DRG6__ylbJ
ERR1913258.8539__1.8539	384638__B7APR1__BACPEC_00667
ERR1913258.8581__1.8581	39492__D4JU57__EUBSIR_00802
ERR1913258.8639__1.8639	1680__A0A0C2VBJ4__birA
ERR1913258.8852__1.8852	46228__B5CQI6__RUMLAC_01732
ERR1913258.8928__1.8928	40520__A0A174IJ62__DXC87_06795
ERR1913258.9059__1.9059	46503__A7ADV9__ERS852463_01504
ERR1913258.9106__1.9106	301301__A0A395V928__RHOM_04950
ERR1913258.9270__1.9270	301301__A0A395V714__evgS
ERR1913258.9759__1.9759	116085__D4JBS2__DW747_00985
ERR1913258.9879__1.9879	1262924__R7HKP8__BN585_01113
ERR1913258.9886__1.9886	1262848__R6UEX2__BN818_00035
ERR1913258.10015__1.10015	39491__A0A396FFW0__ERE_10580
ERR1913258.10051__1.10051	1263107__GCA_000436995.1_00059
ERR1913258.10056__1.10056	39491__A0A395V5R3__EUBREC_1883
ERR1913258.10076__1.10076	39491__A0A396FQV7__T1815_10751
ERR1913258.10148__1.10148	147206__GCF_000156215.1_01776
ERR1913258.10612__1.10612	39491__C4ZHS4__EUR_24420
ERR1913258.10651__1.10651	1550024__G9RWW8__TQ39_12140
ERR1913258.10655__1.10655	907__G0VQB0__C6362_00485
ERR1913258.10660__1.10660	39491__C4ZAT2__ERE_28440
ERR1913258.10684__1.10684	1681__A0A0E2Z6S2__BBBF_0158
ERR1913258.10785__1.10785	39485__A0A174YVB5__lyc
ERR1913258.10847__1.10847	1263011__R6EQB8__BN553_00541
ERR1913258.11130__1.11130	39491__A0A396FMF1__EUR_28700
ERR1913258.11257__1.11257	487174__K0WUM9__HMPREF9448_02608
ERR1913258.11247__1.11247	649756__B0NZX5__lytC_2
ERR1913258.11443__1.11443	40518__R5DT93__DXD86_08730
ERR1913258.11528__1.11528	28117__B0MXQ6__ALIPUT_01917
ERR1913258.11862__1.11862	39486__B0G239__DXD82_09385
ERR1913258.11840__1.11840	40518__R5DTH7__DXD83_02405
ERR1913258.11944__1.11944	907__S7IXS8__AZ49_01195
ERR1913258.11915__1.11915	239935__A0A2N8I390__CXU16_10675
ERR1913258.12194__1.12194	1262911__R6GUQ4__BN557_01581
ERR1913258.12230__1.12230	1550024__G9RWP9__TQ39_04320
ERR1913258.12307__1.12307	39491__A0A395ZEN3__DXD95_12655
ERR1913258.12312__1.12312	454155__F3QTH4__HMPREF9442_01492
ERR1913258.12289__1.12289	1262924__R7HSB4__BN585_00816
ERR1913258.12366__1.12366	418240__R7CJP2__cycB_1
ERR1913258.12868__1.12868	649756__A0A173UBD8__ytpA
ERR1913258.13234__1.13234	45851__D4RYD1__ytvI
ERR1913258.13650__1.13650	1262848__R6VHS2__BN818_01514
ERR1913258.13690__1.13690	74426__rpoB
