ERR1913153.510__1.510	454155__G5SS31__HMPREF9442_03407
ERR1913153.756__1.756	820__A0A173WUD7__DXB48_08055
ERR1913153.1093__1.1093	216816__C5E8I1__yciB
ERR1913153.1266__1.1266	1160721__R6UA13__BHW50_07285
ERR1913153.1411__1.1411	1150298__A0A174S2H3__spoIIQ
ERR1913153.1810__1.1810	1262911__R6H2J2__BN557_01228
ERR1913153.1821__1.1821	1150298__A0A174RJU1__gsiA_4
ERR1913153.1843__1.1843	39486__G1WPD7__DORFOR_00931
ERR1913153.2168__1.2168	821__A0A0P0L8F8__ERS852509_03705
ERR1913153.2261__1.2261	100886__A0A174HSH4__CATMIT_02717
ERR1913153.2180__1.2180	338188__R6RPM1__BACFIN_05401
ERR1913153.2192__1.2192	301302__A0A0M6WB53__mcp4_4
ERR1913153.2196__1.2196	1150298__R7JUX4__ERS852535_02669
ERR1913153.2603__1.2603	823__A0A174U5E4__BDI_3390
ERR1913153.2825__1.2825	216816__B3DP82__DVB78_09640
ERR1913153.3122__1.3122	301302__A0A0M6W9H8__M72_19621
ERR1913153.3131__1.3131	1680__R5GR82__AD0028_0014
ERR1913153.3233__1.3233	823__A0A395YS82__M091_1569
ERR1913153.3261__1.3261	216816__A0A396FVC5__BL71B_00290
ERR1913153.3415__1.3415	1150298__A0A174FXW8__ERS852535_01851
ERR1913153.3477__1.3477	39491__A0A395ZDC6__addB
ERR1913153.3809__1.3809	28117__B0MXG8__ALIPUT_01814
ERR1913153.3955__1.3955	328814__GCA_004558275.1_00296
ERR1913153.3964__1.3964	39492__R6SA81__EUBSIR_00402
ERR1913153.4175__1.4175	40518__R5DME2__DXD86_07315
ERR1913153.4299__1.4299	39492__D4JQS6__ykoD
ERR1913153.4339__1.4339	1150298__A0A174HEB6__ypdC_2
ERR1913153.4350__1.4350	28117__B0MUT8__ALIPUT_00879
ERR1913153.4408__1.4408	39491__A0A173QT73__alaS_2
ERR1913153.4414__1.4414	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913153.4715__1.4715	1262924__R7HRJ9__BN585_00557
ERR1913153.4750__1.4750	40518__R5E1J7__RBL236_02062
ERR1913153.4756__1.4756	820__A0A174Q0F0__DXB48_08080
ERR1913153.4761__1.4761	649756__L1Q497__ERS852571_03051
ERR1913153.4804__1.4804	1262911__R6H212__BN557_01031
ERR1913153.4848__1.4848	39492__D4JRR5__ERS852540_02089
ERR1913153.4905__1.4905	46503__K5ZBF7__DD461_15285
ERR1913153.4976__1.4976	216816__Q8G4X6__DXD52_09895
ERR1913153.4984__1.4984	40518__R5DUU2__yvhJ_2
ERR1913153.5091__1.5091	47678__R5UES3__CGC64_00760
ERR1913153.5105__1.5105	1150298__A0A174L2G3__ERS852498_01371
ERR1913153.5178__1.5178	1262924__R7HM17__BN585_01318
ERR1913153.5249__1.5249	823__A0A355XFH7__ERS852513_00769
ERR1913153.5390__1.5390	820__A0A3E5E9Y8__DXD90_09110
ERR1913153.5554__1.5554	1150298__A0A174HYM9__ERS852406_01664
ERR1913153.5731__1.5731	820__A0A3E4W4W5__ERS852554_02179
ERR1913153.6079__1.6079	454154__G5SPC2__HMPREF9441_01204
ERR1913153.6831__1.6831	28111__E5WVZ4__NCTC11155_02635
ERR1913153.6866__1.6866	1150298__A0A174J629__ERS852498_00833
ERR1913153.6882__1.6882	454155__F3QTI7__HMPREF9442_01505
ERR1913153.6960__1.6960	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913153.7048__1.7048	387661__K5ZIR7__HMPREF1077_00136
ERR1913153.7118__1.7118	40518__R5DWQ2__DXD93_03810
ERR1913153.7174__1.7174	310298__B3JQJ5__BACCOP_04231
ERR1913153.7291__1.7291	216816__B3DR71__CE159_04070
ERR1913153.7301__1.7301	2108523__A0A2P2F3I3__LAWASA_548
ERR1913153.7660__1.7660	1262886__R6QNM3__BN563_00033
ERR1913153.7721__1.7721	88431__A0A3D0EY52__ERS852573_01763
ERR1913153.7726__1.7726	28111__E5X205__NCTC11155_00661
ERR1913153.7793__1.7793	28111__E5X0Y0__HMPREF1016_02598
ERR1913153.7862__1.7862	28116__A0A3D2LWY1__ERS852555_01619
ERR1913153.7867__1.7867	40518__R5DR72__RBL236_02110
ERR1913153.7883__1.7883	40518__R5DTH7__DXD83_02405
ERR1913153.8412__1.8412	33043__A0A174AMG1__ERS852386_01665
ERR1913153.8423__1.8423	40518__R5DYM0__DXD86_08165
ERR1913153.8531__1.8531	1150298__A0A174SLJ2__ERS852498_03294
ERR1913153.8648__1.8648	39491__A0A396FE96__EUR_00280
ERR1913153.8670__1.8670	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913153.8841__1.8841	46503__R6X8Q3__fepA_2
ERR1913153.8944__1.8944	1263107__GCA_000436995.1_00209
ERR1913153.9030__1.9030	40518__R5DV66__DXD83_04215
ERR1913153.9146__1.9146	39491__A0A173TFQ1__rsmF
ERR1913153.9350__1.9350	410072__A0A174L0Z1__ERS852525_00863
