ERR1913043.66__1.66	39491__C4ZF05__vpr
ERR1913043.101__1.101	310298__B3JNG7__BACCOP_03480
ERR1913043.112__1.112	40518__R5DPE0__DXD86_06515
ERR1913043.190__1.190	626933__H1DGX0__HMPREF9449_01506
ERR1913043.325__1.325	310298__B3JQD7__BACCOP_04095
ERR1913043.355__1.355	39491__A0A395ZBW8__DXC13_08840
ERR1913043.383__1.383	39485__C4Z2X2__ERS852492_01808
ERR1913043.446__1.446	165179__A0A3E5AER8__DXB80_07075
ERR1913043.460__1.460	39488__A0A285PT25__EUBHAL_01908
ERR1913043.546__1.546	39491__C4ZAT2__ERE_28440
ERR1913043.638__1.638	39491__A0A395ZDC6__addB
ERR1913043.671__1.671	69974__A0A090FEL8__MPL3365_630008
ERR1913043.725__1.725	310298__B3JH76__BACCOP_01230
ERR1913043.867__1.867	310298__B3JNG7__BACCOP_03480
ERR1913043.911__1.911	410072__C0B4V0__ERS852481_02420
ERR1913043.897__1.897	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913043.947__1.947	39485__C4Z0R8__EUBELI_01181
ERR1913043.1029__1.1029	69974__A0A090FEL8__MPL3365_630008
ERR1913043.1234__1.1234	410072__A0A174A5E2__dtpT
ERR1913043.1283__1.1283	328814__GCA_004558275.1_00128
ERR1913043.1306__1.1306	88431__A0A3D0F2C1__DORLON_02135
ERR1913043.1409__1.1409	39491__A0A395ZHW3__ERS852417_01359
ERR1913043.1579__1.1579	69974__A0A090FEL8__MPL3365_630008
ERR1913043.1597__1.1597	39491__A0A396FJJ9__DXB76_11995
ERR1913043.1628__1.1628	69974__A0A090FEL8__MPL3365_630008
ERR1913043.1659__1.1659	821__A6L0C7__ERS852556_03520
ERR1913043.1687__1.1687	69974__A0A090FEL8__MPL3365_630008
ERR1913043.1705__1.1705	410072__A0A173Y8R3__rng
ERR1913043.1792__1.1792	28118__R6F390__ypdA_1
ERR1913043.1807__1.1807	1522__G1VMW7__HMPREF1094_03112
ERR1913043.1873__1.1873	204516__U6RFY9__HMPREF1534_02069
ERR1913043.2002__1.2002	39485__A0A174YW66__ERS852490_03040
ERR1913043.2043__1.2043	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913043.2060__1.2060	69974__A0A090FEL8__MPL3365_630008
ERR1913043.2078__1.2078	204516__U6RM57__HMPREF1534_00757
ERR1913043.2132__1.2132	165179__A0A229I7F5__DXB80_02650
ERR1913043.2183__1.2183	1160721__A0A1C6CMR2__BHW50_00085
ERR1913043.2192__1.2192	357276__I9QBT7__BSEG_03340
ERR1913043.2291__1.2291	853__A8S882__C4N23_07600
ERR1913043.2502__1.2502	165179__A0A3E5EA43__DXC61_07775
ERR1913043.2569__1.2569	301301__A0A395V9V2__nplT_1
ERR1913043.2575__1.2575	33039__D4M4W3__RTO_17030
ERR1913043.2877__1.2877	820__A0A078S4C2__ERS417307_00828
ERR1913043.3015__1.3015	1262929__R6F6C8__BN691_01344
ERR1913043.3173__1.3173	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913043.3205__1.3205	1262913__R7J7E0__BN646_00943
ERR1913043.3310__1.3310	69974__A0A090FEL8__MPL3365_630008
ERR1913043.3434__1.3434	40518__R5E6X1__DXD83_01720
ERR1913043.3490__1.3490	310298__B3JNH3__BACCOP_03486
ERR1913043.3511__1.3511	1628085__A0A2U1BCN9__C7386_10764
ERR1913043.3602__1.3602	69974__A0A090FEL8__MPL3365_630008
ERR1913043.3900__1.3900	69974__A0A090FEL8__MPL3365_630008
ERR1913043.3916__1.3916	69974__A0A090FEL8__MPL3365_630008
ERR1913043.3917__1.3917	39485__R5ZT06__EUBELI_20526
ERR1913043.3933__1.3933	1262924__R7HNT3__BN585_00018
ERR1913043.4018__1.4018	69974__A0A090FEL8__MPL3365_630008
ERR1913043.4298__1.4298	40518__R5DR72__RBL236_02110
ERR1913043.4491__1.4491	301302__R5VFW5__M72_26781
ERR1913043.4507__1.4507	1323__A0A380LJM1__NCTC11087_00913
ERR1913043.4582__1.4582	821__A0A0P0M2J4__DXD46_10295
ERR1913043.4620__1.4620	39485__A0A174YMC1__recN
ERR1913043.4721__1.4721	28117__R7JG17__ALIPUT_01859
ERR1913043.4858__1.4858	165179__D1PHC0__PREVCOP_06640
ERR1913043.4904__1.4904	165179__A0A3E5EB26__CFT61_02800
ERR1913043.5100__1.5100	310298__B3JNH3__BACCOP_03486
ERR1913043.5118__1.5118	487173__H1D0C2__HMPREF9453_01060
ERR1913043.5079__1.5079	165179__A0A3E5E8N5__DXC61_13460
ERR1913043.5179__1.5179	69974__A0A090FEL8__MPL3365_630008
ERR1913043.5234__1.5234	39488__C0EVS1__ERS852450_02297
ERR1913043.5529__1.5529	69974__A0A090FEL8__MPL3365_630008
ERR1913043.5553__1.5553	1308__G6ERN5__A9497_05625
ERR1913043.5606__1.5606	40518__R5DT93__DXD86_08730
ERR1913043.5656__1.5656	626933__H1DGX0__HMPREF9449_01506
ERR1913043.5697__1.5697	626933__H1DGX0__HMPREF9449_01506
ERR1913043.5944__1.5944	328814__GCA_004558275.1_00234
ERR1913043.5947__1.5947	1735__B7CE08__EUBIFOR_02443
ERR1913043.5993__1.5993	818__A0A2J6AAG0__C5Z03_04510
ERR1913043.6065__1.6065	1628085__A0A396QTT4__C7386_103139
ERR1913043.6252__1.6252	47678__R5UES3__CGC64_00760
ERR1913043.6359__1.6359	28118__R6F891__NCTC10826_02656
ERR1913043.6371__1.6371	410072__C0B830__ERS852525_01946
ERR1913043.6563__1.6563	310298__B3JEE8__BACCOP_00239
ERR1913043.6647__1.6647	165179__A0A174IPI3__CFT61_10940
ERR1913043.6764__1.6764	28116__I9AKR7__DXA80_22960
ERR1913043.6770__1.6770	28117__R7JIJ8__BHV66_01635
ERR1913043.6776__1.6776	28118__F9ZCN9__DHW44_07820
ERR1913043.6780__1.6780	40518__R5E1J2__DXD93_04070
ERR1913043.6814__1.6814	310298__B3JNH3__BACCOP_03486
ERR1913043.6791__1.6791	310298__B3JH76__BACCOP_01230
ERR1913043.7054__1.7054	1262911__R6GJ95__BN557_01617
ERR1913043.7059__1.7059	39491__D4JMW8__ERS852497_01971
ERR1913043.7184__1.7184	1262929__R6F6C8__BN691_01344
ERR1913043.7277__1.7277	28117__R7JIJ8__BHV66_01635
ERR1913043.7294__1.7294	216816__A0A061M1M5__HMPREF0177_01046
ERR1913043.7589__1.7589	853__A0A173YYY4__DWZ04_09420
ERR1913043.7714__1.7714	310298__B3JPY4__BACCOP_04016
ERR1913043.8006__1.8006	69974__A0A090FEL8__MPL3365_630008
ERR1913043.8134__1.8134	69974__A0A090FEL8__MPL3365_630008
ERR1913043.8225__1.8225	310298__B3JEE8__BACCOP_00239
ERR1913043.8273__1.8273	69974__A0A090FEL8__MPL3365_630008
ERR1913043.8279__1.8279	1323__A0A380LLF9__NCTC11087_00995
ERR1913043.8407__1.8407	40518__R5DVL2__penA
ERR1913043.8509__1.8509	204516__U6RG10__HMPREF1534_02094
ERR1913043.8573__1.8573	626933__H1DGX0__HMPREF9449_01506
ERR1913043.8637__1.8637	820__A0A139K8N1__ERS852554_00951
ERR1913043.8706__1.8706	39485__C4Z6V7__walK
ERR1913043.8686__1.8686	310298__B3JQC6__BACCOP_04084
ERR1913043.8899__1.8899	165179__A0A3E5AER8__DXB80_07075
ERR1913043.8976__1.8976	853__A0A173TAZ8__DWZ46_14590
ERR1913043.8994__1.8994	820__A0A3E4QZJ7__C801_01798
ERR1913043.9018__1.9018	853__A0A173XRA8__CGS56_09290
ERR1913043.9070__1.9070	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913043.9112__1.9112	165179__A0A3E5A5E5__DXC61_13965
ERR1913043.9114__1.9114	165179__A0A3E5A554__DXB80_13805
ERR1913043.9125__1.9125	310298__B3JKM0__BACCOP_02451
ERR1913043.9280__1.9280	214856__I3YMC8__ERS852447_02666
ERR1913043.9282__1.9282	40518__R5E1J7__RBL236_02062
ERR1913043.9352__1.9352	39491__D4JIB6__ERS852417_01685
ERR1913043.9498__1.9498	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913043.9504__1.9504	39485__A0A174Z9M2__yhbU_1
ERR1913043.9481__1.9481	301301__A0A395V948__rsgA_2
ERR1913043.9484__1.9484	165179__A0A3E5DY64__CFT61_10025
ERR1913043.9651__1.9651	626933__H1DGX0__HMPREF9449_01506
ERR1913043.9643__1.9643	853__A0A174AML0__FPR_08640
ERR1913043.9704__1.9704	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913043.9714__1.9714	165179__A0A3E5EB26__CFT61_02800
ERR1913043.9732__1.9732	310298__B3JPY4__BACCOP_04016
ERR1913043.9790__1.9790	39488__A0A173SCK5__ERS852578_00832
ERR1913043.9881__1.9881	1308__Q5M5Z8__STACADC2_0257
ERR1913043.9932__1.9932	39485__C4Z390__EUBELI_01689
ERR1913043.9954__1.9954	1262924__R7HPU8__BN585_00010
ERR1913043.10007__1.10007	69974__A0A090FEL8__MPL3365_630008
ERR1913043.9977__1.9977	626933__H1DGX0__HMPREF9449_01506
ERR1913043.10021__1.10021	39491__A0A0M6WPN4__DXB69_06325
ERR1913043.10091__1.10091	310298__B3JEE8__BACCOP_00239
ERR1913043.10119__1.10119	40518__R5DXI4__DXD86_07420
ERR1913043.10152__1.10152	261299__B0A7K1__SAMN02745147_2581
ERR1913043.10313__1.10313	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913043.10418__1.10418	40518__R5DS23__DXD86_01715
ERR1913043.10512__1.10512	1263044__GCA_000433375.1_03283
ERR1913043.10599__1.10599	39491__A0A395UYA6__EUBREC_0408
ERR1913043.10744__1.10744	1262924__R7HKX0__BN585_01279
ERR1913043.10763__1.10763	853__A0A2A7B9I6__DW855_13690
ERR1913043.10928__1.10928	204516__U6R989__HMPREF1534_03109
ERR1913043.11056__1.11056	39491__C4ZAT2__ERE_28440
ERR1913043.11087__1.11087	165179__A0A3E5EB26__CFT61_02800
ERR1913043.11289__1.11289	1262924__R7HTW9__BN585_00609
ERR1913043.11510__1.11510	88431__A0A174G8Q6__ERS852526_02711
ERR1913043.11542__1.11542	39485__C4Z0R8__EUBELI_01181
ERR1913043.11566__1.11566	69974__A0A090FEL8__MPL3365_630008
ERR1913043.11665__1.11665	165179__A0A3E4SB95__DXC61_13455
ERR1913043.11789__1.11789	28116__C3QQN3__CUY_4207
ERR1913043.11821__1.11821	165179__D1PHC0__PREVCOP_06640
ERR1913043.11900__1.11900	69974__A0A090FEL8__MPL3365_630008
ERR1913043.11873__1.11873	1262924__R7HQ73__BN585_02030
ERR1913043.11931__1.11931	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913043.11982__1.11982	204516__U6RAM4__HMPREF1534_03439
ERR1913043.12073__1.12073	69974__A0A090FEL8__MPL3365_630008
ERR1913043.12178__1.12178	626933__H1DGX0__HMPREF9449_01506
ERR1913043.12300__1.12300	820__A0A374QGD2__ERS852421_02382
ERR1913043.12303__1.12303	626933__H1DGX0__HMPREF9449_01506
ERR1913043.12326__1.12326	165179__D1PCL6__DXB80_13435
ERR1913043.12531__1.12531	69974__A0A090FEL8__MPL3365_630008
ERR1913043.12586__1.12586	626933__H1DGX0__HMPREF9449_01506
ERR1913043.12561__1.12561	626933__H1DGX0__HMPREF9449_01506
ERR1913043.12601__1.12601	165179__R6C330__DXC61_04975
ERR1913043.12661__1.12661	39485__C4Z5L9__ERS852490_00668
ERR1913043.12663__1.12663	410072__A0A174JCL9__tee6
ERR1913043.12816__1.12816	69974__A0A090FEL8__MPL3365_630008
ERR1913043.12953__1.12953	39491__D4JMW8__ERS852497_01971
ERR1913043.12982__1.12982	165179__D1PHC0__PREVCOP_06640
ERR1913043.13041__1.13041	204516__U6R921__HMPREF1534_03932
ERR1913043.13197__1.13197	487175__D9Y3A5__HMPREF9439_00211
ERR1913043.13278__1.13278	28117__B0MY40__BHV66_05170
ERR1913043.13389__1.13389	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.13544__1.13544	853__A0A173T0Y8__CGS54_07215
ERR1913043.13645__1.13645	165179__A0A3E5DR10__DXC61_03505
ERR1913043.13660__1.13660	69974__A0A090FEL8__MPL3365_630008
