ERR1913287.193__1.193	39492__D4JUJ6__ssuB_2
ERR1913287.346__1.346	1262911__R6GI18__BN557_01377
ERR1913287.583__1.583	33043__A8SWM2__ERS852575_01910
ERR1913287.654__1.654	360807__A0A173VD35__suhB
ERR1913287.670__1.670	39491__A0A396FBR6__DXC13_08575
ERR1913287.794__1.794	2293125__A0A374BY09__DW917_11855
ERR1913287.918__1.918	736__I2NJU0__B0184_03665
ERR1913287.1488__1.1488	1262803__R6NHJ2__BN649_01811
ERR1913287.1629__1.1629	239935__R6J9N8__CXT96_07990
ERR1913287.1733__1.1733	853__A0A174C5M1__CGS58_04460
ERR1913287.1682__1.1682	165179__A0A174UTZ7__DXC61_06705
ERR1913287.1805__1.1805	165179__R6CJG8__DXC61_09290
ERR1913287.1899__1.1899	165179__R6BPK1__DXB80_04445
ERR1913287.1991__1.1991	165179__D1PCL6__DXB80_13435
ERR1913287.2125__1.2125	33043__A0A174EE68__rimP
ERR1913287.2374__1.2374	394340__group_470
ERR1913287.2570__1.2570	239935__A0A2N8I3G2__CXT89_00720
ERR1913287.2683__1.2683	1680__A0A3E4SB79__BAD_1517
ERR1913287.2653__1.2653	39491__A0A395UZ82__EUR_31520
ERR1913287.2887__1.2887	33043__A0A174DSP1__essC_2
ERR1913287.2890__1.2890	100886__E2NQ89__ERS852383_05211
ERR1913287.2935__1.2935	165179__A0A229I1J2__DXB80_03950
ERR1913287.3030__1.3030	28118__F9Z4Y7__DF785_06945
ERR1913287.3171__1.3171	39491__A0A396FFW0__ERE_10580
ERR1913287.3330__1.3330	40518__R5E5W1__RBL263_01034
ERR1913287.3282__1.3282	165179__A0A3E5E2S3__DXB80_03455
ERR1913287.3367__1.3367	116085__D4JAV2__DW747_16210
ERR1913287.3485__1.3485	165179__D1PCL6__DXB80_13435
ERR1913287.3674__1.3674	165179__R6CNX7__DXB80_02200
ERR1913287.3840__1.3840	39491__A0A396FQ67__DXB99_07505
ERR1913287.3843__1.3843	1150298__R7JU23__ERS852498_02342
ERR1913287.4024__1.4024	39491__A0A396FQ67__DXB99_07505
ERR1913287.3949__1.3949	357276__A0A076IN30__DXD47_09350
ERR1913287.4034__1.4034	1262803__R6NU79__BN649_00295
ERR1913287.4081__1.4081	357276__D1JY58__BACDOR_04277
ERR1913287.4215__1.4215	33043__D5HHY4__luxQ_1
ERR1913287.4244__1.4244	165179__D1P9T6__PREVCOP_04016
ERR1913287.4379__1.4379	39485__C4Z2X2__ERS852492_01808
ERR1913287.4441__1.4441	2293125__A0A374BRU5__DW917_14365
ERR1913287.4476__1.4476	165179__A0A3E5E2C8__folA
ERR1913287.4604__1.4604	209880__A0A1G5WLL1__SAMN02910343_01460
ERR1913287.4837__1.4837	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913287.5000__1.5000	165179__A0A3E5AI09__DXC61_05815
ERR1913287.5174__1.5174	39496__A5Z8C5__EUBVEN_01966
ERR1913287.5175__1.5175	33043__D5HFA1__ERS852400_02183
ERR1913287.5420__1.5420	28118__F9ZBL4__NCTC10826_02348
ERR1913287.5549__1.5549	28118__F9ZCN9__DHW44_07820
ERR1913287.5594__1.5594	165179__A0A3E4SEG4__DXC61_11235
ERR1913287.5602__1.5602	165179__A0A3E4SG51__DXC61_10575
ERR1913287.5589__1.5589	33043__D5HIL5__ERS852445_01761
ERR1913287.5706__1.5706	239935__A0A2N8IHY1__CXU06_00035
ERR1913287.5730__1.5730	165179__R6XIF8__DXC61_07265
ERR1913287.6002__1.6002	360807__A0A0M6WZU2__ROSEINA2194_04025
ERR1913287.6181__1.6181	39491__A0A396FJA4__DXB99_05435
ERR1913287.6509__1.6509	33043__A0A174A113__ERS852445_00416
ERR1913287.6560__1.6560	165179__D1PCT4__DXB80_09470
ERR1913287.6698__1.6698	2293125__A0A374BRU5__DW917_14365
ERR1913287.6942__1.6942	29361__B6FRT6__CLONEX_02860
ERR1913287.7338__1.7338	187979__A0A173Y1G6__ERS852385_00801
ERR1913287.7340__1.7340	1150298__A0A174C0B7__ERS852406_01193
ERR1913287.7408__1.7408	165179__A0A3E5A554__DXB80_13805
ERR1913287.7359__1.7359	165179__D1PDJ4__DXB80_08505
ERR1913287.7367__1.7367	821__A0A174NVL6__NCTC10583_01782
ERR1913287.7385__1.7385	1262924__R7HQV3__BN585_00017
ERR1913287.7622__1.7622	1150298__A0A174J629__ERS852498_00833
ERR1913287.7639__1.7639	820__A0A139KJR5__M093_4469
ERR1913287.7750__1.7750	1262803__R6NF94__BN649_01522
ERR1913287.7837__1.7837	818__Q8A335__HMPREF2534_01154
ERR1913287.7912__1.7912	28132__D9RV83__HMPREF0660_00835
ERR1913287.7919__1.7919	39492__D4JQL8__ywpJ
ERR1913287.8151__1.8151	2293125__A0A374BY09__DW917_11855
ERR1913287.8305__1.8305	1263011__R6EQB8__BN553_00541
ERR1913287.8519__1.8519	52226__C9KKS0__MITSMUL_03770
ERR1913287.8575__1.8575	853__A0A173T0Y8__CGS54_07215
ERR1913287.8708__1.8708	165179__D1P8V8__DXC61_01940
ERR1913287.8755__1.8755	1262743__R5C2C1__BN727_01560
ERR1913287.8776__1.8776	823__D7ILK2__ERS852380_00031
ERR1913287.8917__1.8917	1262743__R5C4I5__BN727_02237
ERR1913287.9067__1.9067	818__A0A0N7I9H8__ERS852461_00040
ERR1913287.9327__1.9327	165179__R6XLJ7__CFT61_06250
ERR1913287.9493__1.9493	39485__A0A174YVS4__EUBELI_00620
ERR1913287.9757__1.9757	1263030__R5CUH1__BN705_00716
ERR1913287.9775__1.9775	28117__B0MWP2__ALIPUT_01468
ERR1913287.10080__1.10080	544645__A0A373UZ25__DXC42_17170
