ERR1913222.220__1.220	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913222.464__1.464	45851__D4RYI3__BHV86_01630
ERR1913222.486__1.486	209880__A0A1G5VWC9__SAMN02910343_00951
ERR1913222.794__1.794	28117__B0MWP2__ALIPUT_01468
ERR1913222.892__1.892	1262886__R6QBN3__BN563_01269
ERR1913222.1041__1.1041	45851__D4RZC5__BUTYVIB_01191
ERR1913222.1042__1.1042	45851__D4S0T7__BHV86_09275
ERR1913222.982__1.982	454155__F3QXY1__HMPREF9442_03071
ERR1913222.1439__1.1439	1263107__GCA_000436995.1_00090
ERR1913222.1574__1.1574	853__A0A174C5M1__CGS58_04460
ERR1913222.1794__1.1794	165179__D1P9T6__PREVCOP_04016
ERR1913222.1819__1.1819	45851__D4RZ17__BUTYVIB_01081
ERR1913222.1884__1.1884	45851__D4RWG7__BUTYVIB_00298
ERR1913222.2081__1.2081	1262882__R5MLP0__BN519_01597
ERR1913222.2210__1.2210	45851__D4RWC6__BHV86_07010
ERR1913222.2229__1.2229	2173__A0A1D2WXC5__METSMIALI_01265
ERR1913222.2294__1.2294	1735__B7CDP2__carA
ERR1913222.2396__1.2396	328814__GCA_004558275.1_00990
ERR1913222.2754__1.2754	45851__D4S283__BUTYVIB_02205
ERR1913222.2870__1.2870	1262825__R5E9H3__BN724_00255
ERR1913222.3210__1.3210	45851__D4RYS8__BUTYVIB_00989
ERR1913222.3241__1.3241	1297617__A0A0S2W7N2__IB211_02982c
ERR1913222.3433__1.3433	1262761__R6R1H3__BN606_00786
ERR1913222.3622__1.3622	39485__A0A174YYW2__benM
ERR1913222.3922__1.3922	45851__D4RWR5__BHV86_06295
ERR1913222.4393__1.4393	39485__A0A174YNW2__cph2_3
ERR1913222.4404__1.4404	165179__A0A174W369__PREVCOP_04548
ERR1913222.4704__1.4704	821__A0A174WBC9__ERS852556_03145
ERR1913222.4851__1.4851	45851__D4RW43__BUTYVIB_00173
ERR1913222.4861__1.4861	45851__D4RW43__BUTYVIB_00173
ERR1913222.4880__1.4880	418240__A0A174S4S6__adaA_5
ERR1913222.5010__1.5010	88431__A0A174MAX1__ERS852423_01871
ERR1913222.5203__1.5203	818__D7IK38__ERS852430_03017
ERR1913222.5581__1.5581	1262886__R6QNU3__BN563_00612
ERR1913222.5655__1.5655	2173__A0A1D2WW38__METSMIF1_03111
ERR1913222.5667__1.5667	328814__GCA_004558275.1_01002
ERR1913222.5737__1.5737	1262761__R6RXA7__BN606_01380
ERR1913222.5772__1.5772	1262886__R6QNJ6__BN563_00594
ERR1913222.5896__1.5896	45851__D4RWG7__BUTYVIB_00298
ERR1913222.6587__1.6587	45851__D4S2F3__BUTYVIB_02275
ERR1913222.6762__1.6762	165179__A0A3E5AEF7__DXC61_05000
ERR1913222.7847__1.7847	147206__GCF_000156215.1_01816
ERR1913222.7909__1.7909	39485__A0A174ZBK4__ERS852490_01585
ERR1913222.8215__1.8215	1262886__R6QAI4__BN563_00898
ERR1913222.8420__1.8420	1235790__S0J8L6__C805_00148
ERR1913222.9116__1.9116	1262760__R5LDI7__BN758_02041
ERR1913222.9216__1.9216	1150298__A0A174D6N6__accB
ERR1913222.9481__1.9481	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913222.9676__1.9676	454154__G5SPR9__HMPREF9441_01352
ERR1913222.9712__1.9712	1262911__R6GPM2__BN557_00937
ERR1913222.10041__1.10041	45851__D4S069__spoIVA
ERR1913222.10136__1.10136	2173__A0A1D2WW26__METSMIALI_01077
ERR1913222.10473__1.10473	165179__A0A3E5E2S3__DXB80_03455
ERR1913222.10840__1.10840	1262882__R5N5S3__BN519_00085
ERR1913222.10891__1.10891	1262886__R6Q951__BN563_00504
ERR1913222.10985__1.10985	45851__D4RY08__BUTYVIB_00711
ERR1913222.11620__1.11620	853__C7H7F5__DWZ46_01780
ERR1913222.11734__1.11734	1262825__R5E1G0__BN724_01308
ERR1913222.11966__1.11966	39485__A0A175A403__EUBELI_20577
ERR1913222.12039__1.12039	853__A0A3E2U7E6__ERS852582_01640
ERR1913222.11984__1.11984	106588__A6NPX7__BACCAP_00246
ERR1913222.12070__1.12070	487174__K0X1V7__DIT83_03020
ERR1913222.12246__1.12246	39485__C4Z2S3__EUBELI_00292
ERR1913222.12247__1.12247	1262911__R6HP91__BN557_01264
ERR1913222.12530__1.12530	45851__D4RYS4__BHV86_05460
ERR1913222.12776__1.12776	384638__B7AT21__BACPEC_01289
ERR1913222.13217__1.13217	2173__A0A1D2WUQ6__METSMIF1_02304
ERR1913222.13455__1.13455	556259__I0PXW0__BSGG_5187
ERR1913222.13538__1.13538	1150298__A0A174E950__ERS852498_02096
ERR1913222.13646__1.13646	165179__A0A3E5AER8__DXB80_07075
ERR1913222.13657__1.13657	165179__A0A174W369__PREVCOP_04548
ERR1913222.13849__1.13849	33043__A0A173XL07__nadD
ERR1913222.13947__1.13947	45851__D4RYC7__BUTYVIB_00832
ERR1913222.14163__1.14163	2292352__A0A374URH1__DXC23_03540
ERR1913222.14411__1.14411	1680__A0A1E7Y0K2__DXC59_05185
ERR1913222.14937__1.14937	39485__C4Z6V1__ERS852492_02640
ERR1913222.15435__1.15435	45851__D4RYU0__BHV86_05340
