ERR1913161.22__1.22	1550024__A0A0D8J179__ASJ35_09245
ERR1913161.569__1.569	649756__A0A174J035__DO83_03925
ERR1913161.646__1.646	328814__GCA_004558275.1_01205
ERR1913161.581__1.581	1262882__R5MFM2__BN519_00460
ERR1913161.817__1.817	239935__A0A2N8IMC9__CXU09_02095
ERR1913161.921__1.921	239935__A0A2N8I1R3__CXU05_06075
ERR1913161.1220__1.1220	172901__A0A2U1B0G1__C8D82_11268
ERR1913161.1358__1.1358	821__A0A174NM17__lacZ_6
ERR1913161.1366__1.1366	2173__A0A1D2WRY2__Msm_1736
ERR1913161.1508__1.1508	1262992__R5DCV6__BN795_00412
ERR1913161.1583__1.1583	1262882__R5MRT2__BN519_01494
ERR1913161.1684__1.1684	371601__A0A139LNM1__SAMN05216250_15312
ERR1913161.1919__1.1919	1550024__A0A3B9WJ68__TQ39_07150
ERR1913161.2065__1.2065	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913161.2076__1.2076	387090__S0F8B2__BACCOPRO_02129
ERR1913161.2257__1.2257	820__A0A174LJB2__HMPREF1072_04112
ERR1913161.2270__1.2270	360807__A0A173YJ94__ERS852444_03492
ERR1913161.2284__1.2284	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913161.2285__1.2285	28117__B0MWH8__BHV66_01330
ERR1913161.2318__1.2318	216816__A0A396FVC5__BL71B_00290
ERR1913161.2753__1.2753	214856__I3YMC8__ERS852447_02666
ERR1913161.3112__1.3112	820__A0A3E4XDK3__ERS852554_03650
ERR1913161.3203__1.3203	239935__A0A139TMD2__CXU18_02250
ERR1913161.3333__1.3333	239935__A0A2N8HHB6__B5G29_11500
ERR1913161.3423__1.3423	1262869__R7CS48__BN625_00249
ERR1913161.3714__1.3714	216816__A0A396FVC5__BL71B_00290
ERR1913161.4008__1.4008	1304__A0A0F3HH70__CKU37_07480
ERR1913161.4088__1.4088	1263030__R5CW77__BN705_01278
ERR1913161.4543__1.4543	1262882__R5MRS7__BN519_01490
ERR1913161.4719__1.4719	1262938__R5FNJ3__BN812_01830
ERR1913161.4829__1.4829	301301__A0A395V7C8__RHOM_02390
ERR1913161.4923__1.4923	1262882__R5MJ49__BN519_01124
ERR1913161.5345__1.5345	328814__GCA_004558275.1_00034
ERR1913161.5440__1.5440	239935__A0A2N8HB50__CXU17_02615
ERR1913161.5649__1.5649	544645__A0A3E4T7H0__DXC42_10320
ERR1913161.6140__1.6140	1124654__GeneID:3952984
ERR1913161.6436__1.6436	823__A0A078SYK6__DXB14_02485
ERR1913161.6394__1.6394	1547__B0N4Y8__DW242_13370
ERR1913161.6636__1.6636	40518__R5DUU2__yvhJ_2
ERR1913161.6668__1.6668	1965576__A0A1Y4L1T8__B5F19_14890
ERR1913161.6804__1.6804	1262882__R5N5S3__BN519_00085
ERR1913161.7465__1.7465	1262882__R5N678__BN519_01604
ERR1913161.7914__1.7914	357276__A0A0M1W9N4__GV66_05135
ERR1913161.7991__1.7991	1262882__R5N1L4__BN519_00757
ERR1913161.8066__1.8066	1262869__R7CLU9__BN625_01053
ERR1913161.8115__1.8115	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913161.8199__1.8199	1378168__V2YA11__N510_02528
ERR1913161.8532__1.8532	28118__R6F2P2__NCTC10826_02131
ERR1913161.8608__1.8608	1262992__R5DCV6__BN795_00412
ERR1913161.8613__1.8613	214856__R6Z186__ERS852447_00718
ERR1913161.8966__1.8966	357276__I9R1V6__DXD47_04125
ERR1913161.9088__1.9088	214856__I3YPQ3__Alfi_2711
ERR1913161.9016__1.9016	1550024__A0A0D8J296__ASJ35_12655
ERR1913161.9205__1.9205	1262869__R7CNN0__BN625_01419
ERR1913161.9388__1.9388	410072__A0A174IQI6__ERS852574_01030
ERR1913161.9401__1.9401	823__A0A355XJT5__ERS852429_03504
ERR1913161.9477__1.9477	239935__A0A139TMG9__CXU07_10650
ERR1913161.9506__1.9506	1897011__A0A1Q6RET2__BHW41_04000
ERR1913161.9582__1.9582	821__A0A396F9T7__M097_3427
ERR1913161.9702__1.9702	1262882__R5MGK3__BN519_00655
ERR1913161.9725__1.9725	820__A0A374Q4X1__HMPREF2141_02370
ERR1913161.9769__1.9769	33905__A0A0C2Z570__CQR47_0419
ERR1913161.9928__1.9928	1550024__G9RQ59__TQ39_14360
ERR1913161.10093__1.10093	29361__B6FKH5__CLONEX_00621
ERR1913161.10118__1.10118	1262882__R5MLK3__BN519_00491
ERR1913161.10184__1.10184	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913161.10229__1.10229	214856__I3YPQ3__Alfi_2711
ERR1913161.10319__1.10319	820__A7UYX8__DXD40_11635
ERR1913161.10332__1.10332	214856__I3YPP9__Alfi_2707
ERR1913161.10685__1.10685	1550024__G9RZ99__TQ39_02720
ERR1913161.10805__1.10805	292800__A0A174XAG3__HMPREF0372_00094
ERR1913161.10827__1.10827	1550024__G9RUM6__TQ39_16565
ERR1913161.10940__1.10940	214856__A0A174BE38__ERS852559_01399
ERR1913161.11084__1.11084	821__U6RDC2__DXD46_15675
ERR1913161.11145__1.11145	1235835__R9LCU2__C814_02677
ERR1913161.11424__1.11424	246787__R6KBH9__HMPREF1062_04676
ERR1913161.11452__1.11452	33043__D5HEK8__lytR_1
ERR1913161.11531__1.11531	1262882__R5MM10__BN519_01679
ERR1913161.11564__1.11564	1550024__A0A0D8IWM4__TQ39_15635
ERR1913161.11870__1.11870	237446__A0A0R1VPH3__FC59_GL000773
ERR1913161.11902__1.11902	818__A0A3E5HGB5__ERS852511_02145
ERR1913161.11947__1.11947	823__A0A173RD26__B5F32_03910
ERR1913161.11983__1.11983	47678__R5U7U0__DW706_12005
ERR1913161.12118__1.12118	1780376__A0A143XQT4__BN3659_01658
ERR1913161.12388__1.12388	328814__GCA_004558275.1_02021
ERR1913161.12488__1.12488	1965604__A0A1Y4EWD0__B5F54_04425
ERR1913161.12587__1.12587	1683__C4FG47__Bang102_008200
ERR1913161.12780__1.12780	821__C6Z087__DXB90_00750
ERR1913161.13176__1.13176	1550024__G9RWP9__TQ39_04320
ERR1913161.13332__1.13332	33043__A0A173SQ62__ERS852575_01610
ERR1913161.13601__1.13601	328814__GCA_004558275.1_00236
ERR1913161.13564__1.13564	1263005__R6EZ77__BN497_01505
ERR1913161.14265__1.14265	2173__A0A1D2WV05__BK798_06920
ERR1913161.14476__1.14476	28117__B0MT38__BHV66_05995
ERR1913161.14603__1.14603	47678__A5ZJ80__BACCAC_02965
ERR1913161.14610__1.14610	1262869__R7CTL8__BN625_00218
ERR1913161.14707__1.14707	1262882__R5N1T9__BN519_00804
ERR1913161.14636__1.14636	290054__A0A1T4NGJ6__SAMN02745114_01599
ERR1913161.14912__1.14912	1262869__R7CRJ0__BN625_01726
ERR1913161.14969__1.14969	1262882__R5MEN2__BN519_00200
ERR1913161.15081__1.15081	1262938__R5FNJ3__BN812_01830
ERR1913161.15098__1.15098	239935__A0A2N8ITW6__CXT91_06265
ERR1913161.15156__1.15156	239935__R7DVL7__CXT93_01180
ERR1913161.15224__1.15224	357276__B6VXX7__HMPREF1063_02683
ERR1913161.15433__1.15433	357276__A0A076IP73__BACDOR_04237
ERR1913161.15583__1.15583	458033__GCA_001482755.1_02203
ERR1913161.15828__1.15828	239935__A0A139TPG3__CXT86_08810
ERR1913161.15989__1.15989	1683__C4FF87__BBAG_0886
ERR1913161.16009__1.16009	100884__E7GBE2__DXB30_08740
ERR1913161.16049__1.16049	544644__GCA_001915615.1_01909
ERR1913161.16070__1.16070	239935__A0A2N8IVT6__CXU13_08520
ERR1913161.16143__1.16143	1683__A0A126SU27__Bang102_001985
ERR1913161.16238__1.16238	239935__A0A139TM51__CXT91_12120
ERR1913161.16273__1.16273	239935__A0A2N8HZW2__A4V05_11120
ERR1913161.16571__1.16571	1262924__R7HM17__BN585_01318
ERR1913161.16698__1.16698	821__A0A396ER29__ERS852457_02298
ERR1913161.16878__1.16878	239935__R7DVL7__CXT93_01180
ERR1913161.17373__1.17373	239935__A0A2N8ITG2__Amuc_0335
ERR1913161.17495__1.17495	214856__I3YPP9__Alfi_2707
ERR1913161.17720__1.17720	328814__GCA_004558275.1_00007
ERR1913161.17941__1.17941	47678__R5U8S9__DW706_06260
ERR1913161.17854__1.17854	357276__A0A0K2HDP3__IY41_00705
ERR1913161.17915__1.17915	239935__A0A2N8HAQ1__DEF40_05290
ERR1913161.18079__1.18079	1262869__R7CQA4__BN625_01547
ERR1913161.18279__1.18279	1262869__R7CS43__BN625_00206
ERR1913161.18242__1.18242	936548__J0SKJ7__HMPREF1136_0879
