ERR1913249.568__1.568	1680__A0A374QDL4__LMG18897_0432
ERR1913249.841__1.841	147206__GCF_000156215.1_01774
ERR1913249.1148__1.1148	1297617__A0A0S2W724__IB211_02743
ERR1913249.1593__1.1593	1501391__GCA_000786575.1_00054
ERR1913249.1940__1.1940	239935__A0A2N8HPX2__CXT90_09930
ERR1913249.2113__1.2113	853__A0A174C5M1__CGS58_04460
ERR1913249.1942__1.1942	1501391__GCA_000786575.1_00026
ERR1913249.2546__1.2546	328814__GCA_004558275.1_00989
ERR1913249.3062__1.3062	820__A7V470__HMPREF1072_02076
ERR1913249.3109__1.3109	328814__GCA_004558275.1_00294
ERR1913249.3322__1.3322	239935__A0A2N8IEP3__CXT84_03735
ERR1913249.3405__1.3405	820__R9HP61__DXC91_01090
ERR1913249.3975__1.3975	1232426__groL2
ERR1913249.4292__1.4292	1262911__R6H0U7__BN557_01104
ERR1913249.4506__1.4506	1535__A7VUN3__CLOLEP_02280
ERR1913249.5068__1.5068	239935__A0A2N8J2P6__ADH72_06730
ERR1913249.5453__1.5453	74426__purC
ERR1913249.5457__1.5457	1550024__A0A0W7TRR8__TQ39_03380
ERR1913249.5728__1.5728	214856__A0A174G1M7__ERS852559_00594
ERR1913249.5810__1.5810	239935__A0A139TPD4__CXT86_06450
ERR1913249.6166__1.6166	40518__R5E282__DXD86_08940
ERR1913249.6242__1.6242	1197717__A0A1B2I7V2__BED41_13695
ERR1913249.6554__1.6554	239935__A0A2N8IYM5__CXT84_05130
ERR1913249.6610__1.6610	1472761__GCA_002159295.1_01926
ERR1913249.6629__1.6629	208479__A8RM86__HMPREF9472_05936
ERR1913249.6699__1.6699	820__A0A3E4WCX3__C801_02709
ERR1913249.6936__1.6936	239935__A0A2N8IHY1__CXU06_00035
ERR1913249.7094__1.7094	1150298__A0A173YHI7__ERS852406_00466
ERR1913249.7139__1.7139	216816__A0A061M1M5__HMPREF0177_01046
ERR1913249.7409__1.7409	239935__A0A2N8I693__CXU17_08410
ERR1913249.8150__1.8150	239935__A0A139TMY7__CXU13_02020
ERR1913249.8241__1.8241	1550024__G9RWW8__TQ39_12140
ERR1913249.8258__1.8258	239935__A0A2N8I3G2__CXT89_00720
ERR1913249.8316__1.8316	28117__B0MWH8__BHV66_01330
ERR1913249.8321__1.8321	239935__A0A2N8J2P6__ADH72_06730
ERR1913249.8364__1.8364	28117__B0MUY3__BHV66_00515
ERR1913249.8404__1.8404	820__A0A3E4GA19__SAMN05444418_10562
ERR1913249.8828__1.8828	1160721__W0U5X6__RBI_I01796
ERR1913249.9221__1.9221	216816__D6DD25__APC1482_1109
ERR1913249.9286__1.9286	239935__A0A139TMG9__CXU07_10650
ERR1913249.9372__1.9372	44742__A0A0X8JKA0__AXF13_09480
ERR1913249.9504__1.9504	44742__A0A109W4N0__AXF13_11490
ERR1913249.9514__1.9514	1262869__R7CLV2__BN625_01058
ERR1913249.9648__1.9648	239935__A0A2N8I375__menA
ERR1913249.10034__1.10034	1550024__A0A0D8J3J4__TQ39_01275
ERR1913249.10216__1.10216	418240__A0A174M9G4__ERS852523_01208
ERR1913249.10292__1.10292	239935__A0A2N8IXN0__CXT95_01765
ERR1913249.10882__1.10882	1262911__R6GHG8__BN557_01301
ERR1913249.10975__1.10975	1550024__A0A0D8J0M2__TQ39_06330
ERR1913249.10999__1.10999	116085__D4J3V0__DW747_12385
ERR1913249.11048__1.11048	28117__B0MU76__ALIPUT_00202
ERR1913249.11085__1.11085	239935__A0A139TPD4__CXT86_06450
ERR1913249.11146__1.11146	387090__S0F7Y3__BACCOPRO_02028
ERR1913249.11246__1.11246	1262911__R6H2J2__BN557_01228
ERR1913249.11274__1.11274	239935__A0A2N8HT44__CXT84_11035
ERR1913249.11284__1.11284	820__A0A3E4G2R7__DXC07_00510
ERR1913249.11490__1.11490	1501391__GCA_000786575.1_00067
ERR1913249.11777__1.11777	239935__R6JFR5__CXT84_04850
ERR1913249.11947__1.11947	239935__R6IZT7__CXU18_11710
ERR1913249.11996__1.11996	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913249.12140__1.12140	239935__A0A2N8HL50__CXT98_09135
ERR1913249.12244__1.12244	239935__A0A139TT05__CXU09_03335
ERR1913249.12568__1.12568	239935__R7DVL7__CXT93_01180
ERR1913249.12746__1.12746	853__A8SCP3__C4N26_07960
ERR1913249.12850__1.12850	1680__A0A087DHN0__AL0462_1532
ERR1913249.13045__1.13045	1262911__R6GUE9__BN557_01306
ERR1913249.13221__1.13221	821__A0A078R9Y9__M097_2119
ERR1913249.13349__1.13349	853__D4K7X0__DW905_09540
ERR1913249.13591__1.13591	239935__B2UQP8__CXU15_01110
ERR1913249.13707__1.13707	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.14032__1.14032	239935__B2UQP8__CXU15_01110
ERR1913249.14195__1.14195	1680__A0A0C2YNK5__BADO_0780
ERR1913249.14449__1.14449	40518__R5DZ88__DXD93_06320
ERR1913249.14503__1.14503	239935__A0A2N8IIB9__CXU04_01970
ERR1913249.14820__1.14820	1150298__R7JNU0__nagK
ERR1913249.14957__1.14957	216816__A0A087BBV6__BFS26_06210
ERR1913249.14928__1.14928	1262911__R6H2J2__BN557_01228
ERR1913249.15008__1.15008	239935__R6JWJ7__CXT94_02580
ERR1913249.15330__1.15330	28117__B0MY82__BHV66_04755
ERR1913249.15456__1.15456	328814__GCA_004558275.1_00076
ERR1913249.15524__1.15524	1520815__A0A1I3RZF1__SAMN02910435_02223
ERR1913249.15640__1.15640	1262869__R7CLU9__BN625_01053
ERR1913249.15865__1.15865	239935__A0A2N8INK7__Amuc_0521
ERR1913249.15930__1.15930	84112__F0HRI9__Elen_1816
ERR1913249.15939__1.15939	394340__clpB_1
ERR1913249.16031__1.16031	239935__A0A2N8HUU6__CXT90_06150
ERR1913249.16110__1.16110	29361__B6FKH5__CLONEX_00621
ERR1913249.16401__1.16401	239935__A0A2N8HB50__CXU17_02615
ERR1913249.16437__1.16437	216816__A0A396FRQ5__DD678_01245
ERR1913249.16496__1.16496	216816__B3DPC3__CE169_06855
ERR1913249.16690__1.16690	1550024__A0A3B9WI73__ASJ35_03410
ERR1913249.16764__1.16764	239935__R6JAS2__CXU02_10725
ERR1913249.16837__1.16837	239935__A0A2N8J1K0__CXT97_05765
ERR1913249.16884__1.16884	28117__B0MTY2__BHV66_06485
ERR1913249.16886__1.16886	239935__A0A2N8IMD6__CXU03_05585
ERR1913249.16982__1.16982	1263000__R5EXT3__BN466_02213
ERR1913249.16992__1.16992	562__P0A9K7__AUQ29_19530
ERR1913249.17405__1.17405	817__A0A081TWW5__M141_1211
ERR1913249.17476__1.17476	239935__A0A2N8HH03__CXU09_08875
ERR1913249.17529__1.17529	1501391__GCA_000786575.1_00141
ERR1913249.17861__1.17861	239935__A0A2N8IEP3__CXT84_03735
ERR1913249.18125__1.18125	216816__A0A133LQN7__BL15B_00780
ERR1913249.18328__1.18328	216816__A0A2U0BLP0__tsaB
ERR1913249.18392__1.18392	239935__A0A139TPU7__CXT91_06575
ERR1913249.18711__1.18711	1297617__A0A0S2W7N2__IB211_02982c
ERR1913249.18857__1.18857	239935__A0A2N8HH03__CXU09_08875
ERR1913249.19079__1.19079	1550024__G9RPH0__TQ39_05505
ERR1913249.19239__1.19239	239935__A0A2N8IRL2__CXU06_01170
ERR1913249.19301__1.19301	239935__A0A2N8HEH9__CXU07_11710
ERR1913249.19418__1.19418	28117__B0MTV5__BHV66_06415
ERR1913249.19443__1.19443	1520815__A0A1I3NSK6__SAMN02910435_01393
ERR1913249.19705__1.19705	1897011__A0A1Q6RIQ9__BHW41_00470
ERR1913249.19715__1.19715	239935__R6JAS2__CXU02_10725
ERR1913249.19771__1.19771	823__D7IT19__DHP27_03495
ERR1913249.20013__1.20013	1501391__GCA_000786575.1_00080
ERR1913249.20540__1.20540	853__A0A173YYY4__DWZ04_09420
