ERR1913217.134__1.134	1624__A0A089QH34__B6U42_07040
ERR1913217.93__1.93	147206__GCF_000156215.1_01387
ERR1913217.112__1.112	239935__A0A2N8HBM4__CXT85_06270
ERR1913217.223__1.223	154046__A0A174LST6__DXC39_13805
ERR1913217.278__1.278	88431__A0A174KCR9__DXB16_06030
ERR1913217.338__1.338	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913217.353__1.353	1550024__A0A3B9WFL2__ASJ35_03875
ERR1913217.360__1.360	1263006__R6MLA8__BN515_00853
ERR1913217.251__1.251	40518__R5DX17__DXD86_01230
ERR1913217.383__1.383	116085__D4J6V9__DW747_08450
ERR1913217.393__1.393	39485__C4Z6V1__ERS852492_02640
ERR1913217.539__1.539	1550024__A0A0D8J0K7__TQ39_06245
ERR1913217.898__1.898	820__A0A3E4WCC2__lptB_1
ERR1913217.1005__1.1005	357276__I9QPN0__B5F95_09195
ERR1913217.1006__1.1006	2173__A0A1D2WW41__BK798_07915
ERR1913217.773__1.773	239935__A0A2N8IF99__lpdA
ERR1913217.777__1.777	820__A0A139K8N1__ERS852554_00951
ERR1913217.1159__1.1159	1550024__G9RP65__ASJ35_11645
ERR1913217.1168__1.1168	40518__R5DXW3__DXD86_07900
ERR1913217.1208__1.1208	246787__R6LGB3__BcellWH2_02361
ERR1913217.1324__1.1324	1263006__R6LZ17__BN515_01569
ERR1913217.1617__1.1617	2173__A0A1D2WXH6__METSMIALI_01616
ERR1913217.1714__1.1714	239935__R7DVW2__CXU02_03915
ERR1913217.1758__1.1758	1358__D2BMK7__KF146_0304
ERR1913217.1739__1.1739	1680__A7A2Y2__NCTC11814_00537
ERR1913217.1931__1.1931	40518__R5DVH6__DXD86_08955
ERR1913217.2129__1.2129	552398__F4XCR9__HMPREF0866_01636
ERR1913217.2080__1.2080	1358__H5SWP5__ML8_0138
ERR1913217.2384__1.2384	1550024__A0A3B9WE41__ASJ35_03585
ERR1913217.2425__1.2425	1099853__U5CKU4__NSB1T_00755
ERR1913217.2655__1.2655	1263006__R6LGI4__BN515_00844
ERR1913217.2618__1.2618	1263006__R6LLQ1__BN515_01046
ERR1913217.2623__1.2623	47770__A0A0R1GSI9__AEL95_02415
ERR1913217.2765__1.2765	1263006__R6LZM6__BN515_01762
ERR1913217.2931__1.2931	84112__F0HK91__Elen_0229
ERR1913217.2940__1.2940	100886__E2NR50__CATMIT_01053
ERR1913217.3042__1.3042	820__A0A3E4WA06__ERS852554_03404
ERR1913217.3181__1.3181	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913217.3182__1.3182	1203556__S2ZQC1__HMPREF1478_01462
ERR1913217.3457__1.3457	1262882__R5MMD8__BN519_01576
ERR1913217.3565__1.3565	357276__A0A076IRX4__ABI39_13585
ERR1913217.3571__1.3571	552398__F4XCR9__HMPREF0866_01636
ERR1913217.3586__1.3586	100886__A0A174HN43__ERS852383_04112
ERR1913217.3657__1.3657	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913217.3751__1.3751	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913217.3873__1.3873	29361__B6FKH5__CLONEX_00621
ERR1913217.4115__1.4115	1262911__R6H0U7__BN557_01104
ERR1913217.4247__1.4247	239935__A0A2N8IRL2__CXU06_01170
ERR1913217.4364__1.4364	1262911__R6H174__BN557_01246
ERR1913217.4719__1.4719	1263107__GCA_000436995.1_00059
ERR1913217.4798__1.4798	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913217.4869__1.4869	1262911__R6GSH0__BN557_00934
ERR1913217.4937__1.4937	1432052__A0A1E3AQ54__BEI64_02255
ERR1913217.4951__1.4951	610251__A0A2A5RHU0__RT41_GL001196
ERR1913217.5211__1.5211	239935__A0A2N8I368__CXT95_04550
ERR1913217.5373__1.5373	74426__asnS
ERR1913217.5387__1.5387	818__A0A139KKJ5__Btheta7330_00072
ERR1913217.5651__1.5651	1263006__R6LXR8__BN515_01161
ERR1913217.5815__1.5815	1263006__R6LZM6__BN515_01762
ERR1913217.6056__1.6056	1206110__GeneID:14498981
ERR1913217.6078__1.6078	820__A0A1T4IY71__HMPREF2141_02402
ERR1913217.6391__1.6391	745368__A0A1T4Y4V4__SAMN02745178_02738
ERR1913217.6429__1.6429	1262942__R7QZT1__BN520_02233
ERR1913217.6480__1.6480	1262911__R6GMZ7__BN557_01741
