ERR1913060.381__1.381	820__A7V092__hldE
ERR1913060.391__1.391	821__A0A3E4KIM1__M097_3660
ERR1913060.401__1.401	310298__B3JQ37__BACCOP_04069
ERR1913060.317__1.317	649756__R5Z9G3__ERS852571_02234
ERR1913060.1067__1.1067	823__A0A395YZG9__M092_4358
ERR1913060.1396__1.1396	1262930__R6A1N0__BN693_00917
ERR1913060.1437__1.1437	649756__A0A173TB83__HMPREF0369_01758
ERR1913060.1563__1.1563	39488__A0A173RGK1__ERS852450_00574
ERR1913060.1911__1.1911	410072__A0A174ND44__ERS852389_01731
ERR1913060.1954__1.1954	310298__B3JQR0__BACCOP_04272
ERR1913060.1978__1.1978	310298__B3JFH4__BACCOP_00624
ERR1913060.1984__1.1984	410072__C0B9G6__ERS852481_03113
ERR1913060.2535__1.2535	820__A0A3E4GE89__DXB48_02565
ERR1913060.2609__1.2609	853__A0A173T6P2__DWZ46_14595
ERR1913060.2618__1.2618	357276__C3RA36__HMPREF1065_03270
ERR1913060.3189__1.3189	310298__B3JEE8__BACCOP_00239
ERR1913060.3317__1.3317	357276__I8WHY2__HMPREF1063_00555
ERR1913060.3537__1.3537	1262930__R5ZZI5__BN693_01682
ERR1913060.3704__1.3704	2293125__A0A374BMK9__DW917_16190
ERR1913060.3755__1.3755	166486__A0A173RAP7__ROSINTL182_07969
ERR1913060.3815__1.3815	357276__I8WPR6__EL88_06675
ERR1913060.3857__1.3857	357276__A0A0M1W1I8__ABI39_13620
ERR1913060.3828__1.3828	1262992__R5DH03__BN795_00664
ERR1913060.3837__1.3837	821__A0A173XDD3__DXB82_17180
ERR1913060.4294__1.4294	39492__D4JRV7__EUBSIR_01513
ERR1913060.4599__1.4599	357276__I9R4T1__IY41_06800
ERR1913060.4606__1.4606	821__A0A174V2F3__NCTC10583_01474
ERR1913060.4656__1.4656	166486__A0A173RAP7__ROSINTL182_07969
ERR1913060.4739__1.4739	544644__GCA_001915615.1_01854
ERR1913060.4742__1.4742	651822__GCA_000210715.1_00753
ERR1913060.4748__1.4748	1680__A0A2R4G1K8__BBMN23_0315
ERR1913060.4832__1.4832	1262924__R7HRW7__BN585_01894
ERR1913060.4948__1.4948	310298__B3JFK4__BACCOP_00654
ERR1913060.4959__1.4959	1262930__R6AHR4__BN693_00447
ERR1913060.5004__1.5004	818__A0A139JVX2__ERS852557_01101
ERR1913060.5044__1.5044	544644__GCA_001915615.1_01048
ERR1913060.5117__1.5117	471189__GCA_003340385.1_00110
ERR1913060.5202__1.5202	166486__D4KY48__gmr_5
ERR1913060.5232__1.5232	820__A0A3E4PYB0__yejM
ERR1913060.5303__1.5303	39496__A5Z6U6__EUBVEN_01429
ERR1913060.5405__1.5405	46503__R6X8Q3__fepA_2
ERR1913060.5485__1.5485	821__A0A174AYT0__DXC02_03530
ERR1913060.5509__1.5509	2293125__A0A374CMK5__DW917_00330
ERR1913060.5624__1.5624	487174__R5FMM3__DDY40_00820
ERR1913060.5668__1.5668	818__A0A139JVX2__ERS852557_01101
