ERR1913284.369__1.369	40519__U2KBF3__RUMCAL_01572
ERR1913284.660__1.660	853__C7H7F5__DWZ46_01780
ERR1913284.1045__1.1045	28117__R7JPX7__BHV66_00900
ERR1913284.1139__1.1139	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913284.1222__1.1222	39491__A0A395ZEI6__ERE_07950
ERR1913284.1358__1.1358	165179__D1P8V8__DXC61_01940
ERR1913284.1504__1.1504	33043__D5HGZ8__nnr
ERR1913284.1606__1.1606	40520__R7DBI2__ERS852533_03021
ERR1913284.1762__1.1762	39492__D4JX50__EUBSIR_00410
ERR1913284.1857__1.1857	39492__D4JT91__EUBSIR_01750
ERR1913284.1898__1.1898	39491__D6E118__DXB69_05765
ERR1913284.1868__1.1868	39496__A5Z872__EUBVEN_01912
ERR1913284.1873__1.1873	239935__A0A2N8HH03__CXU09_08875
ERR1913284.1925__1.1925	626940__R6WJ89__HMPREF9443_01234
ERR1913284.2000__1.2000	28116__A7M0E3__AA414_00536
ERR1913284.2008__1.2008	39496__A5Z5I2__EUBVEN_00963
ERR1913284.2024__1.2024	328814__GCA_004558275.1_00290
ERR1913284.2269__1.2269	39491__A0A395UVM9__DXB76_04540
ERR1913284.2506__1.2506	39491__A0A395ZM93__DXD13_03490
ERR1913284.2532__1.2532	1160721__W0U3K9__BHW50_11040
ERR1913284.2616__1.2616	1262882__R5N3H1__BN519_01121
ERR1913284.2704__1.2704	853__A0A174UDE9__C4N25_12775
ERR1913284.2744__1.2744	39491__A0A395V0E5__ERE_31370
ERR1913284.2838__1.2838	40518__R5DP91__RBL236_00890
ERR1913284.3019__1.3019	1628085__A0A2U1BHS7__C7386_101494
ERR1913284.3317__1.3317	357276__I9FTR0__HMPREF1065_02861
ERR1913284.3881__1.3881	439703__H1HPN3__HMPREF9944_02127
ERR1913284.4070__1.4070	187979__A0A173ZJ35__ERS852385_01288
ERR1913284.4033__1.4033	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913284.4129__1.4129	165179__A0A3E5DN34__DXC61_07865
ERR1913284.4337__1.4337	28117__B0MXU0__BHV66_07550
ERR1913284.4395__1.4395	39492__R6SPM9__pheT
ERR1913284.4429__1.4429	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913284.4524__1.4524	33043__A0A174ADZ1__dcuS_1
ERR1913284.4586__1.4586	1150298__R7JUS7__ytlR
ERR1913284.4624__1.4624	820__A7VAS1__HMPREF2141_03259
ERR1913284.4628__1.4628	165179__D1PCT4__DXB80_09470
ERR1913284.4762__1.4762	165179__R6CJG8__DXC61_09290
ERR1913284.4852__1.4852	1262911__R6H1K1__BN557_00910
ERR1913284.4926__1.4926	46503__R6X275__DD461_10840
ERR1913284.4877__1.4877	33043__A0A174B5C6__acm_3
ERR1913284.5013__1.5013	46503__A7ADV9__ERS852463_01504
ERR1913284.5117__1.5117	239935__A0A2N8HT44__CXT84_11035
ERR1913284.5151__1.5151	165179__A0A174WRI9__DXB80_04870
ERR1913284.5365__1.5365	239935__A0A2N8IMD6__CXU03_05585
ERR1913284.5452__1.5452	165179__R6C3K4__PREVCOP_05795
ERR1913284.5472__1.5472	821__A0A3E4KIM1__M097_3660
ERR1913284.5672__1.5672	1150298__A0A174R918__ERS852535_01749
ERR1913284.5687__1.5687	33043__D5HFA1__ERS852400_02183
ERR1913284.5745__1.5745	357276__B6W5Q7__DXD47_13945
ERR1913284.5910__1.5910	1472761__GCA_002159295.1_01982
