ERR1913252.674__1.674	1262924__R7HST1__BN585_00215
ERR1913252.885__1.885	2293125__A0A374BMK9__DW917_16190
ERR1913252.1358__1.1358	204516__U6RFV1__HMPREF1534_02560
ERR1913252.1828__1.1828	166486__D4L3B1__ERS852572_03645
ERR1913252.1979__1.1979	33039__A0A174YJ10__ERS852502_01829
ERR1913252.2158__1.2158	820__A0A139K5A6__DXB48_12175
ERR1913252.2578__1.2578	384638__B7ASI3__BACPEC_02038
ERR1913252.2996__1.2996	204516__U6R9H3__HMPREF1534_03348
ERR1913252.3139__1.3139	1099853__U5CB66__NSB1T_01370
ERR1913252.3350__1.3350	310298__B3JQJ5__BACCOP_04231
ERR1913252.3354__1.3354	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.3649__1.3649	2293125__A0A374BN09__DW917_16245
ERR1913252.3865__1.3865	2293125__A0A374CKY3__DW917_01805
ERR1913252.3975__1.3975	1262992__R5DDC9__BN795_00492
ERR1913252.4126__1.4126	2293125__A0A374BSW4__DW917_13420
ERR1913252.4309__1.4309	1262920__R5KD76__BN467_01465
ERR1913252.4357__1.4357	28116__I8YA52__M088_0798
ERR1913252.4445__1.4445	410072__C0B4V0__ERS852481_02420
ERR1913252.4616__1.4616	33039__D4M149__ERS852390_03118
ERR1913252.4620__1.4620	165179__A0A3E5DY64__CFT61_10025
ERR1913252.4835__1.4835	2293125__A0A374BUM7__DW917_12980
ERR1913252.4873__1.4873	1262930__R6AHR6__BN693_00452
ERR1913252.4898__1.4898	820__A0A139K4T0__ERS852510_03146
ERR1913252.4994__1.4994	310298__B3JQJ5__BACCOP_04231
ERR1913252.5278__1.5278	39488__A0A173UQ83__mutY
ERR1913252.5372__1.5372	823__A0A174EFT7__luxQ_5
ERR1913252.5785__1.5785	310298__B3JMG0__BACCOP_03099
ERR1913252.5920__1.5920	310298__B3JMG0__BACCOP_03099
ERR1913252.6077__1.6077	821__A0A0P0M405__DXC02_15075
ERR1913252.6402__1.6402	1628085__A0A374VRN8__C7386_10280
ERR1913252.6535__1.6535	165179__A0A174UTZ7__DXC61_06705
ERR1913252.6682__1.6682	823__A0A355XLS2__ERS852380_02644
ERR1913252.6715__1.6715	410072__A0A174K1W4__apxIB
ERR1913252.6883__1.6883	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.7150__1.7150	310298__B3JFK4__BACCOP_00654
ERR1913252.7311__1.7311	544644__GCA_001915615.1_01953
ERR1913252.7402__1.7402	28052__R7N8Y9__macB_4
ERR1913252.7549__1.7549	165179__D1PGU8__PREVCOP_06463
ERR1913252.7643__1.7643	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913252.7617__1.7617	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.7810__1.7810	166486__D4L0L8__ROSINTL182_08063
ERR1913252.7877__1.7877	328814__GCA_004558275.1_00078
ERR1913252.7929__1.7929	165179__A0A3E5E4T9__DXB80_08030
ERR1913252.8030__1.8030	46503__R6WWC9__PARMER_03215
ERR1913252.8336__1.8336	2293125__A0A374BUM7__DW917_12980
ERR1913252.8905__1.8905	2293125__A0A374BSW4__DW917_13420
ERR1913252.8918__1.8918	310298__B3JMG0__BACCOP_03099
ERR1913252.9048__1.9048	446660__GCA_003428235.1_02337
ERR1913252.9128__1.9128	626933__H1DGX0__HMPREF9449_01506
ERR1913252.9300__1.9300	818__R7KVH8__SAMN02910322_00597
ERR1913252.9281__1.9281	818__Q8A3I3__HMPREF2534_00068
ERR1913252.9497__1.9497	357276__A0A0K2HJA6__DXD47_07320
ERR1913252.9506__1.9506	166486__D4KRN9__ERS852572_01822
ERR1913252.9628__1.9628	1263044__GCA_000433375.1_00353
ERR1913252.9744__1.9744	1262743__R5C054__BN727_01980
ERR1913252.9792__1.9792	301301__A0A395VA63__sbcC
ERR1913252.9841__1.9841	821__A0A173XDD3__DXB82_17180
ERR1913252.10003__1.10003	47678__R5U7T0__CGC64_00755
ERR1913252.10183__1.10183	2293125__A0A374C9I8__DW917_06795
ERR1913252.10385__1.10385	166486__D4KZ24__ROSINTL182_05766
ERR1913252.10858__1.10858	821__A0A174NVL6__NCTC10583_01782
ERR1913252.11120__1.11120	2293125__A0A374BUM7__DW917_12980
ERR1913252.11151__1.11151	28118__F9Z5M5__DHW44_03300
ERR1913252.11197__1.11197	310298__B3JFH4__BACCOP_00624
ERR1913252.11223__1.11223	165179__D1PHC0__PREVCOP_06640
ERR1913252.11336__1.11336	853__C7H7F5__DWZ46_01780
ERR1913252.11550__1.11550	820__A7V8C2__ERS852554_01338
ERR1913252.11862__1.11862	823__A0A174JYU9__DER51_02115
ERR1913252.11987__1.11987	853__A0A173T751__C4N24_10280
ERR1913252.12221__1.12221	46503__R6X275__DD461_10840
ERR1913252.12521__1.12521	1262924__R7HSB4__BN585_00816
ERR1913252.12499__1.12499	310298__B3JFK5__BACCOP_00655
ERR1913252.12825__1.12825	544644__GCA_001915615.1_01890
ERR1913252.12848__1.12848	2293125__A0A374BUM7__DW917_12980
ERR1913252.12880__1.12880	28118__R6FX99__Odosp_1660
ERR1913252.12987__1.12987	853__A8S882__C4N23_07600
ERR1913252.13060__1.13060	166486__D4L2C5__ERS852572_01688
ERR1913252.13141__1.13141	487174__K0X353__DIT83_07800
ERR1913252.13372__1.13372	39491__A0A2U2EK03__ERE_28780
ERR1913252.13506__1.13506	384638__B7APR0__BACPEC_00666
ERR1913252.13534__1.13534	823__A0A174U5E4__BDI_3390
ERR1913252.14358__1.14358	544645__A0A373UZ25__DXC42_17170
ERR1913252.14467__1.14467	166486__D4KVZ0__ERS852572_03130
ERR1913252.14507__1.14507	821__A0A3E4WAR6__DXD64_10735
ERR1913252.14605__1.14605	2293125__A0A374BSW4__DW917_13420
ERR1913252.14668__1.14668	357276__A0A076ISD9__EL88_07480
ERR1913252.14769__1.14769	820__A0A3E4RU03__M093_0563
ERR1913252.14983__1.14983	166486__A0A173VSA0__ROSINTL182_06124
ERR1913252.15322__1.15322	745368__A0A1T4WAW2__SAMN02745178_00328
ERR1913252.15353__1.15353	544644__GCA_001915615.1_02248
ERR1913252.15425__1.15425	360807__A0A173YFC9__ROSEINA2194_03541
ERR1913252.15585__1.15585	39488__A0A174B7Y0__ERS852450_00913
ERR1913252.15664__1.15664	818__A0A139KW19__nedA_1
ERR1913252.16012__1.16012	46503__R6Y0Q3__DCY29_15880
ERR1913252.16281__1.16281	1262746__R5S265__BN750_01952
ERR1913252.16745__1.16745	823__A0A395Z066__M091_0663
ERR1913252.16861__1.16861	357276__A0A076IRX4__ABI39_13585
ERR1913252.16870__1.16870	820__A0A3E4W9D9__B5G17_12400
ERR1913252.17052__1.17052	165179__R6PU83__CFT61_14275
ERR1913252.17090__1.17090	853__A0A174BZY1__xerD_1
ERR1913252.17101__1.17101	1263044__GCA_000433375.1_03409
ERR1913252.17126__1.17126	1262743__R5C054__BN727_01980
ERR1913252.17199__1.17199	820__A0A3E4G826__C801_01612
ERR1913252.17286__1.17286	649756__A0A173QW26__ERS852571_00238
ERR1913252.17723__1.17723	39488__A0A174BSK2__ERS852450_01031
ERR1913252.17791__1.17791	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.18124__1.18124	165179__D1PGU8__PREVCOP_06463
ERR1913252.18241__1.18241	626932__G5HBL4__HMPREF9450_02324
ERR1913252.19142__1.19142	39486__G1WN53__DXD84_08255
ERR1913252.19399__1.19399	310298__B3JQJ5__BACCOP_04231
ERR1913252.19639__1.19639	552398__F4XHU2__HMPREF0866_03196
ERR1913252.20056__1.20056	1262930__R6AS47__BN693_01577
ERR1913252.20099__1.20099	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.20246__1.20246	1263044__GCA_000433375.1_00352
ERR1913252.20309__1.20309	821__A0A3E4WAR6__DXD64_10735
ERR1913252.20732__1.20732	418240__C6JHP9__ERS852478_02092
ERR1913252.20744__1.20744	1262930__R5ZXR2__BN693_01728
ERR1913252.20750__1.20750	821__A0A395US34__C5Z04_18975
ERR1913252.20971__1.20971	821__A0A3E4WAR6__DXD64_10735
ERR1913252.21192__1.21192	821__A0A3E4KIM1__M097_3660
ERR1913252.21459__1.21459	1262930__R6AQF3__BN693_01271
ERR1913252.21517__1.21517	1262924__R7HM98__BN585_01697
ERR1913252.21699__1.21699	1262930__R5ZVH8__BN693_01324
ERR1913252.21722__1.21722	1535__A7VQJ4__CH238_12335
ERR1913252.21877__1.21877	165179__D1PGU8__PREVCOP_06463
ERR1913252.21911__1.21911	204516__U6RFV1__HMPREF1534_02560
ERR1913252.22095__1.22095	166486__D4KWN0__ERS852572_00733
ERR1913252.22146__1.22146	2293125__A0A374BY09__DW917_11855
ERR1913252.22230__1.22230	165179__A0A3E5A5E5__DXC61_13965
ERR1913252.22438__1.22438	1262924__R7HPS8__BN585_00646
ERR1913252.22519__1.22519	39491__A0A174IJH1__DXB76_01865
ERR1913252.22762__1.22762	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913252.22796__1.22796	357276__I9R002__HMPREF1064_01826
ERR1913252.23092__1.23092	820__A0A174RFI5__SAMN05444418_12240
ERR1913252.23296__1.23296	165179__D1PGU8__PREVCOP_06463
ERR1913252.23376__1.23376	821__R9HFW2__DXD01_00365
ERR1913252.23432__1.23432	1262930__R5ZXL8__BN693_01321
ERR1913252.23731__1.23731	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.23956__1.23956	1262930__R6AHR4__BN693_00447
ERR1913252.24088__1.24088	46506__S3YVF9__BACSTE_02487
ERR1913252.24129__1.24129	410072__C0BAS6__ERS852481_01274
ERR1913252.24297__1.24297	820__A0A174M9V5__M093_0237
ERR1913252.24426__1.24426	487174__K0XLV6__DIT83_00940
ERR1913252.24510__1.24510	1262930__R6AB27__BN693_00390
ERR1913252.24637__1.24637	2293125__A0A374BSW4__DW917_13420
ERR1913252.24672__1.24672	39492__D4JV86__spoIIE
ERR1913252.25031__1.25031	853__A0A2A7B9I6__DW855_13690
ERR1913252.25437__1.25437	165179__A0A3E5AHY4__CFT61_07675
ERR1913252.25797__1.25797	2293125__A0A374BSW4__DW917_13420
ERR1913252.26167__1.26167	626932__G5H9U8__HMPREF9450_01413
ERR1913252.26406__1.26406	357276__I8WHY2__HMPREF1063_00555
ERR1913252.26475__1.26475	165179__A0A3E5DY64__CFT61_10025
ERR1913252.26572__1.26572	823__A0A073I5R7__cloSI
ERR1913252.26694__1.26694	166486__C7GFD3__ERS852572_00983
ERR1913252.26745__1.26745	487174__K0WTV8__DIT83_04385
ERR1913252.27054__1.27054	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.27077__1.27077	820__A7V470__HMPREF1072_02076
ERR1913252.27094__1.27094	821__A0A174JYD3__ERS852457_02610
ERR1913252.27357__1.27357	46503__A7AFT6__ERS852463_00204
ERR1913252.27415__1.27415	39486__G1WMI6__DXD18_00590
ERR1913252.27488__1.27488	818__Q8A335__HMPREF2534_01154
ERR1913252.27903__1.27903	1262992__R5D5B1__BN795_00105
ERR1913252.27862__1.27862	2293125__A0A374CMK5__DW917_00330
ERR1913252.28183__1.28183	820__A0A374MXK3__HMPREF1072_00166
ERR1913252.28188__1.28188	487174__K0XEB6__DDY40_08400
ERR1913252.28218__1.28218	310298__B3JQJ5__BACCOP_04231
ERR1913252.28359__1.28359	487174__K0WWY0__DIT83_10195
ERR1913252.28581__1.28581	310298__B3JQJ5__BACCOP_04231
ERR1913252.29078__1.29078	1262930__R6ADH9__BN693_01876
ERR1913252.29105__1.29105	1262924__R7HQ14__BN585_00419
ERR1913252.29940__1.29940	310298__B3JN86__BACCOP_03398
ERR1913252.30188__1.30188	39488__R6GBC5__DXD91_06450
ERR1913252.30646__1.30646	853__A0A3E2V168__FAEPRAM212_00929
ERR1913252.30805__1.30805	39496__A5Z6U6__EUBVEN_01429
ERR1913252.30891__1.30891	821__I9R3W6__DXC16_12455
ERR1913252.31156__1.31156	39488__A0A285PS10__ERS852578_00426
ERR1913252.31222__1.31222	853__A0A2J4JL53__CRH10_10795
ERR1913252.31290__1.31290	88431__A0A174LBC0__DORLON_00105
ERR1913252.31557__1.31557	2293125__A0A374C9I8__DW917_06795
ERR1913252.31479__1.31479	1550024__G9RXA8__TQ39_17870
ERR1913252.31493__1.31493	165179__A0A3E5EAM5__DXC61_07785
ERR1913252.31454__1.31454	1262924__R7HRI6__BN585_00824
ERR1913252.31645__1.31645	1262930__R6AYA7__BN693_00428
ERR1913252.31959__1.31959	33025__A0A395JHB7__C8D73_101754
ERR1913252.31963__1.31963	823__A0A355XN36__DXB14_02385
ERR1913252.32263__1.32263	166486__D4KRN9__ERS852572_01822
ERR1913252.32283__1.32283	410072__C0B556__DXD67_15015
ERR1913252.32320__1.32320	165179__A0A3E5A6S0__PREVCOP_04351
