ERR1913141.6__1.6	1681__A0A0E2ZCN8__DXD31_01560
ERR1913141.117__1.117	1262882__R5MYX5__BN519_00333
ERR1913141.259__1.259	818__A0A3E5HN72__C799_03359
ERR1913141.278__1.278	239935__A0A139TVJ4__CXT86_02020
ERR1913141.534__1.534	1262882__R5MYS9__BN519_00290
ERR1913141.622__1.622	394340__mfd
ERR1913141.719__1.719	820__A7V470__HMPREF1072_02076
ERR1913141.1017__1.1017	820__A0A174CG08__DXB62_13215
ERR1913141.1088__1.1088	239935__A0A139TPD4__CXT86_06450
ERR1913141.1214__1.1214	820__A0A3E4PYB0__yejM
ERR1913141.1476__1.1476	239935__A0A2N8I368__CXT95_04550
ERR1913141.1546__1.1546	46506__R6A5T2__DXC41_10795
ERR1913141.1610__1.1610	301302__R5UU15__ERS852420_02998
ERR1913141.1659__1.1659	28118__F9ZBW3__Odosp_3541
ERR1913141.1742__1.1742	239935__A0A2N8HW65__CXU09_08515
ERR1913141.1792__1.1792	46506__A0A108TBL0__BACSTE_01998
ERR1913141.1803__1.1803	239935__A0A2N8HHY4__DEF40_10850
ERR1913141.1807__1.1807	239935__A0A139TMG9__CXU07_10650
ERR1913141.1851__1.1851	239935__A0A2N8HT44__CXT84_11035
ERR1913141.1999__1.1999	39492__D4JRR5__ERS852540_02089
ERR1913141.2105__1.2105	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913141.2181__1.2181	552398__F4XHU2__HMPREF0866_03196
ERR1913141.2194__1.2194	1262882__R5MH82__BN519_00752
ERR1913141.2462__1.2462	823__A0A069SAX6__ERS852380_00710
ERR1913141.2391__1.2391	820__A0A1T4IY80__ERS852554_01621
ERR1913141.2409__1.2409	46506__A0A108TCU0__etk
ERR1913141.2481__1.2481	1263000__R5EMZ8__BN466_00707
ERR1913141.2632__1.2632	239935__R6J9Y2__CXT85_07000
ERR1913141.2697__1.2697	820__A0A396EUU8__luxQ_3
ERR1913141.3193__1.3193	820__A0A173WUD7__DXB48_08055
ERR1913141.3226__1.3226	357276__A0A076II57__GV66_07710
ERR1913141.3307__1.3307	239935__A0A2N8HBP0__CXT94_04450
ERR1913141.3347__1.3347	1378168__V2YA11__N510_02528
ERR1913141.3367__1.3367	239935__A0A139TPD4__CXT86_06450
ERR1913141.3500__1.3500	1262882__R5MF43__BN519_00282
ERR1913141.3553__1.3553	1262882__R5MZZ3__BN519_00482
ERR1913141.3632__1.3632	1262911__R6GPC5__BN557_00852
ERR1913141.3710__1.3710	239935__A0A2N8HX65__CXU17_02540
ERR1913141.3902__1.3902	1550024__A0A0D8J084__TQ39_06930
ERR1913141.4000__1.4000	818__A0A0P0F4D0__BT_2503
ERR1913141.4024__1.4024	33039__R6PAH6__ERS852577_01830
ERR1913141.4122__1.4122	47678__R5UG30__ERS852558_03525
ERR1913141.4351__1.4351	1262882__R5MIY9__BN519_01097
ERR1913141.4266__1.4266	820__R9I2U8__DXC68_09590
ERR1913141.4267__1.4267	1472761__GCA_002159295.1_00660
ERR1913141.4871__1.4871	1550024__A0A0D8J440__TQ39_00140
ERR1913141.4956__1.4956	853__A0A2A7B9I6__DW855_13690
ERR1913141.5080__1.5080	1263107__GCA_000436995.1_00230
ERR1913141.5101__1.5101	328814__GCA_004558275.1_00294
