ERR1913174.31__1.31	209880__A0A1G5WTG1__SAMN02910343_01605
ERR1913174.90__1.90	28118__F9Z6F1__DER54_08365
ERR1913174.426__1.426	39491__A0A395ZM93__DXD13_03490
ERR1913174.432__1.432	387090__S0F7Y3__BACCOPRO_02028
ERR1913174.477__1.477	28118__F9ZC62__DF785_13495
ERR1913174.485__1.485	371601__C3QME2__CW1_3650
ERR1913174.617__1.617	371601__C3QB87__BN890_8390
ERR1913174.596__1.596	239935__A0A2N8IMC3__CXT96_03840
ERR1913174.636__1.636	820__A0A174F0C1__nreB
ERR1913174.887__1.887	39491__A0A395ZDC6__addB
ERR1913174.965__1.965	333367__C0D662__CLOSTASPAR_04758
ERR1913174.1072__1.1072	823__A0A174VBJ5__M091_5021
ERR1913174.1263__1.1263	818__E5C5U7__SAMN05216253_101163
ERR1913174.1341__1.1341	357276__A0A076IN30__DXD47_09350
ERR1913174.1344__1.1344	745368__A0A1T4XF62__SAMN02745178_01833
ERR1913174.1391__1.1391	820__A0A174R952__DXB48_02570
ERR1913174.1376__1.1376	39491__A0A173QT73__alaS_2
ERR1913174.1451__1.1451	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913174.1596__1.1596	853__A0A173T751__C4N24_10280
ERR1913174.1610__1.1610	360807__C0FSM3__ROSEINA2194_01739
ERR1913174.1786__1.1786	821__A0A174NVL6__NCTC10583_01782
ERR1913174.1797__1.1797	357276__I9QBT7__BSEG_03340
ERR1913174.1893__1.1893	39492__R6SPM9__pheT
ERR1913174.2006__1.2006	357276__C3R5A0__B5F00_02960
ERR1913174.1965__1.1965	820__R9I3Q7__HMPREF1072_01668
ERR1913174.2165__1.2165	39491__A0A3E4YFT8__DXB69_10940
ERR1913174.2240__1.2240	39491__A0A396FJJ9__DXB76_11995
ERR1913174.2430__1.2430	357276__A0A076IP73__BACDOR_04237
ERR1913174.2624__1.2624	39491__A0A396FRE7__EUR_27520
ERR1913174.2690__1.2690	820__A0A078STJ8__DXC68_04690
ERR1913174.2745__1.2745	88431__A6BDR0__DXB16_07995
ERR1913174.2767__1.2767	39486__R6S2M6__DXD84_14080
ERR1913174.2816__1.2816	357276__A0A076IRV2__BACDOR_02822
ERR1913174.2862__1.2862	371601__D7J175__DXD03_05675
ERR1913174.2899__1.2899	39491__D4JIB6__ERS852417_01685
ERR1913174.3051__1.3051	39491__A0A396FIU1__DXC13_07905
ERR1913174.3135__1.3135	39491__A0A2U2EK03__ERE_28780
ERR1913174.3226__1.3226	820__A0A3E4PYB0__yejM
ERR1913174.3271__1.3271	371601__D4WBK5__BN891_3970
ERR1913174.3348__1.3348	820__A0A078S4C2__ERS417307_00828
ERR1913174.3394__1.3394	820__A0A174CK74__DXB48_07060
ERR1913174.3558__1.3558	39491__A0A174M1X5__DXB99_18695
ERR1913174.3515__1.3515	357276__D1JZM4__HMPREF1065_01278
ERR1913174.3639__1.3639	818__D7I7V5__BJP75_001030
ERR1913174.3706__1.3706	820__R9I3N4__M093_0061
ERR1913174.3722__1.3722	820__A0A3E4QZJ7__C801_01798
ERR1913174.3822__1.3822	246787__R6LCL3__AA416_03522
ERR1913174.3796__1.3796	1284775__A0A095ZG56__HMPREF1640_06520
ERR1913174.3797__1.3797	357276__A0A076IN21__BSEG_03078
ERR1913174.3806__1.3806	28117__B0MXL6__ALIPUT_01851
ERR1913174.3900__1.3900	246787__R6KIG0__BcellWH2_02358
ERR1913174.3907__1.3907	28116__R6JAK2__DXD69_23875
ERR1913174.3957__1.3957	820__A0A139K5A6__DXB48_12175
ERR1913174.4063__1.4063	626929__F3PF96__B5F24_01800
ERR1913174.4233__1.4233	47678__A5ZEA3__ERS852558_00257
ERR1913174.4296__1.4296	357276__A6L053__ABI39_04450
ERR1913174.4444__1.4444	820__R9I2U8__DXC68_09590
ERR1913174.4454__1.4454	214856__A0A174Z5D7__ERS852447_00499
ERR1913174.4485__1.4485	357276__I9FRW5__B5F95_21685
ERR1913174.4546__1.4546	626929__R5JTP9__HMPREF9445_01944
ERR1913174.4715__1.4715	166486__D4L082__yicI_5
ERR1913174.4741__1.4741	820__A0A3E5BMG9__DXD40_05130
ERR1913174.5177__1.5177	820__A0A396EUU8__luxQ_3
ERR1913174.5197__1.5197	39491__A0A396FI89__DXD95_01300
ERR1913174.5262__1.5262	357276__I9QXD4__IY41_00345
ERR1913174.5352__1.5352	394340__group_470
ERR1913174.5307__1.5307	357276__A0A0P0M2G3__BACDOR_03913
ERR1913174.5467__1.5467	820__A0A174QT76__B5G17_18060
ERR1913174.5437__1.5437	357276__I8WPR6__EL88_06675
ERR1913174.5626__1.5626	40518__R5E328__DXD86_08885
ERR1913174.5752__1.5752	820__R9I2U8__DXC68_09590
ERR1913174.5793__1.5793	357276__B6W5Q9__HMPREF1063_03125
ERR1913174.5763__1.5763	820__A7VAR9__ERS852421_00197
ERR1913174.5782__1.5782	820__A0A139K9Q2__DXD40_08795
ERR1913174.5886__1.5886	357276__B6VVS0__HMPREF1064_03951
ERR1913174.5958__1.5958	39491__A0A173SH34__EUR_24920
ERR1913174.6341__1.6341	820__A7VAS1__HMPREF2141_03259
ERR1913174.6438__1.6438	1150298__A0A174QAL8__ERS852498_02570
ERR1913174.6466__1.6466	357276__A0A076INK2__BSEG_04225
ERR1913174.6530__1.6530	239935__R6JAS2__CXU02_10725
ERR1913174.6532__1.6532	371601__R6DWQ9__SAMN04487924_11954
ERR1913174.6539__1.6539	823__A0A395YY84__DXC05_19515
ERR1913174.6550__1.6550	357276__A0A076INK2__BSEG_04225
ERR1913174.6560__1.6560	360807__C0FYZ7__ERS852444_03522
ERR1913174.6610__1.6610	821__E5UPR6__SAMN04487923_101768
ERR1913174.6633__1.6633	47678__R5U8Y1__BACCAC_02615
ERR1913174.6696__1.6696	820__A0A174A6K0__M093_0079
ERR1913174.6878__1.6878	818__D7I7V5__BJP75_001030
ERR1913174.6858__1.6858	84112__F0HK48__Elen_0269
ERR1913174.6865__1.6865	823__A0A073I5R7__cloSI
ERR1913174.6899__1.6899	820__A0A139JRS5__HMPREF1073_04025
ERR1913174.7108__1.7108	820__A0A3E4VXP2__yesR
ERR1913174.7236__1.7236	357276__I8WBQ9__HMPREF1065_03212
ERR1913174.7434__1.7434	820__A7VAR9__ERS852421_00197
ERR1913174.7610__1.7610	818__A0A1H7S810__BJP75_003270
ERR1913174.7639__1.7639	853__A0A2J4JL53__CRH10_10795
ERR1913174.7800__1.7800	74426__thrZ
ERR1913174.7769__1.7769	820__R9I3Q7__HMPREF1072_01668
ERR1913174.7980__1.7980	1628085__A0A2U1B8P2__C7386_11431
ERR1913174.8067__1.8067	626929__F3PE25__B5F97_01770
ERR1913174.8091__1.8091	39491__A0A3E4E7C5__DXB69_03255
ERR1913174.8249__1.8249	487174__K0XK83__HMPREF9448_01485
ERR1913174.8565__1.8565	360807__C0G081__ERS852444_03377
ERR1913174.8576__1.8576	239935__A0A139TPD4__CXT86_06450
ERR1913174.8647__1.8647	28117__B0MWZ9__ALIPUT_01735
ERR1913174.8693__1.8693	820__A0A174RFI5__SAMN05444418_12240
ERR1913174.8735__1.8735	818__A0A0P0F2P7__BT_1771
ERR1913174.8777__1.8777	357276__A0A076ISD9__EL88_07480
ERR1913174.8839__1.8839	371601__I9A9L7__CW1_3649
ERR1913174.8850__1.8850	216816__A0A396FRQ5__DD678_01245
ERR1913174.8853__1.8853	818__A0A3E5HNS1__BSIG_0465
ERR1913174.8869__1.8869	357276__D1K526__GV66_17250
ERR1913174.9215__1.9215	357276__B6W5Q7__DXD47_13945
ERR1913174.9323__1.9323	357276__I8W0U0__BACDOR_02820
ERR1913174.9340__1.9340	204516__U6R9E7__HMPREF1534_03313
ERR1913174.9448__1.9448	357276__A0A076IRV2__BACDOR_02822
ERR1913174.9392__1.9392	818__Q8A3I3__HMPREF2534_00068
ERR1913174.9399__1.9399	106588__A6P303__BACCAP_04887
