ERR1913162.17__1.17	239935__R6JD78__CXU05_09250
ERR1913162.54__1.54	239935__A0A2N8IKW7__pstA
ERR1913162.61__1.61	328814__GCA_004558275.1_00294
ERR1913162.241__1.241	239935__A0A2N8INK7__Amuc_0521
ERR1913162.249__1.249	239935__A0A2N8IEP3__CXT84_03735
ERR1913162.521__1.521	357276__I9FTR0__HMPREF1065_02861
ERR1913162.688__1.688	239935__R6JAS2__CXU02_10725
ERR1913162.747__1.747	28117__B0MTV5__BHV66_06415
ERR1913162.724__1.724	1262869__R7CSQ8__BN625_00058
ERR1913162.898__1.898	1262869__R7CPH9__BN625_01415
ERR1913162.966__1.966	28116__D4WLZ3__C5Z02_24105
ERR1913162.1016__1.1016	39486__G1WN57__DORFOR_02477
ERR1913162.1020__1.1020	1683__C4FDD7__Bang102_002345
ERR1913162.934__1.934	357276__B6VYT9__HMPREF1063_05030
ERR1913162.1108__1.1108	1262882__R5MEN9__BN519_00201
ERR1913162.1207__1.1207	239935__A0A2N8I3G2__CXT89_00720
ERR1913162.1503__1.1503	1099853__U5CA60__NSB1T_01535
ERR1913162.1479__1.1479	818__A0A3E5HVB7__Btheta7330_02386
ERR1913162.2362__1.2362	1550024__A0A0D8IZK1__TQ39_08190
ERR1913162.2254__1.2254	1550024__A0A3B9WH35__TQ39_04960
ERR1913162.2748__1.2748	1262882__A0A356PSJ4__BN519_01180
ERR1913162.2882__1.2882	2173__A0A1D2WXH6__METSMIALI_01616
ERR1913162.3274__1.3274	1262882__R5N0J9__BN519_00773
ERR1913162.3373__1.3373	556259__E5C8M5__BSGG_2976
ERR1913162.3572__1.3572	410072__C0BBK3__ERS852389_00541
ERR1913162.3627__1.3627	1299998__GCA_001494635.1_01263
ERR1913162.3711__1.3711	239935__A0A2N8I8X8__B5G29_00185
ERR1913162.3940__1.3940	823__D0TGE9__ERS852429_03294
ERR1913162.4001__1.4001	1262882__R5MEK3__BN519_00296
ERR1913162.3969__1.3969	28116__D4WPD7__HMPREF1069_02183
ERR1913162.4262__1.4262	39496__A5Z5I2__EUBVEN_00963
ERR1913162.4240__1.4240	239935__A0A2N8HPS5__Amuc_0950
ERR1913162.4532__1.4532	1262882__R5MIC9__BN519_00834
ERR1913162.4894__1.4894	1262869__R7CQ04__BN625_01499
ERR1913162.4936__1.4936	239935__A0A3F3K9J9__DEF40_00940
ERR1913162.5463__1.5463	301302__R5UK77__M72_08681
ERR1913162.5617__1.5617	1297617__A0A0S2W146__IB211_00701
ERR1913162.5777__1.5777	239935__A0A139TM51__CXT91_12120
ERR1913162.6037__1.6037	166486__C7GCP5__ROSINTL182_07683
ERR1913162.6092__1.6092	328814__GCA_004558275.1_02025
ERR1913162.6269__1.6269	214856__I3YPQ3__Alfi_2711
ERR1913162.6321__1.6321	1235835__R9LCU2__C814_02677
ERR1913162.6326__1.6326	357276__A0A0M1W657__HMPREF1064_04629
ERR1913162.6348__1.6348	1262882__R5MGK3__BN519_00655
ERR1913162.6491__1.6491	239935__A0A139TT05__CXU09_03335
ERR1913162.6765__1.6765	1262882__R5N4D8__BN519_01497
ERR1913162.7043__1.7043	1550024__A0A0D8J179__ASJ35_09245
ERR1913162.7179__1.7179	214856__I3YPP3__Alfi_2701
ERR1913162.7313__1.7313	28118__R6F1T8__Odosp_0789
ERR1913162.7518__1.7518	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913162.7548__1.7548	239935__R6K0V8__CXT94_02055
ERR1913162.7591__1.7591	552398__F4XHU2__HMPREF0866_03196
ERR1913162.7637__1.7637	1262882__R5MLE6__BN519_01423
ERR1913162.7873__1.7873	1262882__R5MPY4__BN519_01128
ERR1913162.8002__1.8002	239935__A0A2N8IXN0__CXT95_01765
ERR1913162.8041__1.8041	820__A0A396CMY7__HMPREF1072_03009
ERR1913162.8059__1.8059	28116__A7LXT4__DXF98_03755
ERR1913162.8088__1.8088	1262882__R5ML49__BN519_01361
ERR1913162.8174__1.8174	47678__R5U7A9__C5Z00_03635
ERR1913162.8211__1.8211	487175__R5DYV2__HMPREF9439_00040
ERR1913162.8342__1.8342	239935__A0A2N8HB50__CXU17_02615
ERR1913162.8436__1.8436	1262882__R5MZ58__BN519_00525
ERR1913162.8814__1.8814	371601__E5CE41__ERS852396_04351
ERR1913162.8822__1.8822	239935__A0A2N8HB50__CXU17_02615
ERR1913162.8917__1.8917	1262911__R6HJZ1__BN557_00331
ERR1913162.8928__1.8928	2293125__A0A374BSW4__DW917_13420
ERR1913162.9069__1.9069	1262882__R5MLE6__BN519_01423
ERR1913162.9148__1.9148	239935__A0A2N8HMQ8__pgsA
ERR1913162.9232__1.9232	1262882__R5MFA5__BN519_00331
ERR1913162.9289__1.9289	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913162.9399__1.9399	46503__R6X275__DD461_10840
ERR1913162.9558__1.9558	28118__F9ZAK9__DF785_10030
ERR1913162.9641__1.9641	1262882__R5MSI7__BN519_01601
ERR1913162.9654__1.9654	563769__GeneID:6973156
ERR1913162.9717__1.9717	818__A0A139KCA0__SAMN05216253_102371
ERR1913162.9729__1.9729	214856__I3YPP0__ERS852447_01388
ERR1913162.9832__1.9832	239935__A0A2N8I9P4__CXT85_05050
ERR1913162.10054__1.10054	239935__A0A2N8IYM5__CXT84_05130
ERR1913162.10596__1.10596	1262869__R7CQE2__BN625_01548
ERR1913162.10746__1.10746	214856__I3YPN9__ERS852447_01389
ERR1913162.10792__1.10792	853__A0A2A7A4A9__C4N21_14870
ERR1913162.10934__1.10934	1262992__R5DCV6__BN795_00412
ERR1913162.11074__1.11074	1262882__R5MGX3__BN519_00046
ERR1913162.11194__1.11194	47678__R5UWN2__BACCAC_01649
ERR1913162.11435__1.11435	239935__A0A2N8IAY7__CXU13_02935
ERR1913162.11474__1.11474	239935__B2UPZ6__CXU03_03800
ERR1913162.11624__1.11624	239935__A0A2N8HT44__CXT84_11035
ERR1913162.11697__1.11697	1262882__R5N3H1__BN519_01121
ERR1913162.12000__1.12000	1262882__R5MZ41__BN519_00356
ERR1913162.12377__1.12377	28116__D7K7K3__SAMN05192581_103348
ERR1913162.12402__1.12402	214856__A0A174Z9Y8__ERS852559_00247
ERR1913162.12418__1.12418	1262869__R7CSQ8__BN625_00058
ERR1913162.12720__1.12720	28118__F9ZBW3__Odosp_3541
ERR1913162.12792__1.12792	1160721__W0U5X6__RBI_I01796
ERR1913162.12979__1.12979	1262882__R5MGK3__BN519_00655
ERR1913162.13066__1.13066	239935__A0A2N8HEH9__CXU07_11710
ERR1913162.13168__1.13168	823__D0TDY6__DHP27_09090
ERR1913162.13237__1.13237	239935__A0A2N8ILG3__CXT93_10135
ERR1913162.13408__1.13408	1262882__R5MND9__BN519_00831
ERR1913162.13384__1.13384	239935__A0A2N8HL14__CXT98_09285
ERR1913162.13650__1.13650	328814__GCA_004558275.1_00034
ERR1913162.14022__1.14022	239935__A0A2N8HT44__CXT84_11035
ERR1913162.14034__1.14034	1262882__R5N1R4__BN519_00788
ERR1913162.14151__1.14151	1897011__A0A1Q6RET2__BHW41_04000
ERR1913162.14258__1.14258	1550024__A0A0D8IWM4__TQ39_15635
ERR1913162.14247__1.14247	239935__A0A2N8I8X8__B5G29_00185
ERR1913162.14421__1.14421	820__A0A139KJR5__M093_4469
ERR1913162.14446__1.14446	823__D7IXG8__ERS852560_01232
ERR1913162.14521__1.14521	357276__A0A076IN21__BSEG_03078
ERR1913162.14465__1.14465	328814__GCA_004558275.1_02028
ERR1913162.14498__1.14498	214856__A0A174EQR4__rsmA
ERR1913162.14781__1.14781	823__A0A355XN73__DXC05_07000
ERR1913162.14863__1.14863	1262869__R7CNL6__BN625_01290
ERR1913162.15052__1.15052	1262882__R5N5S3__BN519_00085
ERR1913162.15162__1.15162	39029__A0A0J6WW00__AB840_08435
ERR1913162.15190__1.15190	239935__R7E524__CXT91_06180
ERR1913162.15773__1.15773	821__A0A3E4KIM1__M097_3660
ERR1913162.15950__1.15950	214856__I3YPP3__Alfi_2701
ERR1913162.16123__1.16123	1262882__R5N1T9__BN519_00804
ERR1913162.16310__1.16310	357276__A0A076IN21__BSEG_03078
ERR1913162.16372__1.16372	239935__A0A2N8ITX2__CXT86_11265
ERR1913162.16615__1.16615	28117__B0MWP2__ALIPUT_01468
ERR1913162.17298__1.17298	28116__I9ST00__M088_5588
ERR1913162.17309__1.17309	823__A0A395YS82__M091_1569
ERR1913162.17409__1.17409	823__A0A355XLH0__fepA_1
ERR1913162.17456__1.17456	28117__B0MXR4__BHV66_08025
ERR1913162.17473__1.17473	1263000__R5EXT3__BN466_02213
ERR1913162.17677__1.17677	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913162.17835__1.17835	239935__A0A2N8ILG3__CXT93_10135
ERR1913162.18105__1.18105	47678__R5UU99__C5Z00_11925
ERR1913162.18153__1.18153	1550024__A0A3B9WGK5__TQ39_08450
