ERR1913286.212__1.212	33043__A0A173WWJ5__ERS852386_00339
ERR1913286.231__1.231	28117__B0MUT8__ALIPUT_00879
ERR1913286.350__1.350	817__A0A2M9V8W4__M140_0910
ERR1913286.729__1.729	165179__A0A174UI01__DXB80_12165
ERR1913286.1240__1.1240	165179__A0A229I1J2__DXB80_03950
ERR1913286.1264__1.1264	33043__D5HFF6__yihX
ERR1913286.1525__1.1525	360807__A0A174F8N1__ERS852444_00648
ERR1913286.1859__1.1859	165179__R6C5D6__PREVCOP_04658
ERR1913286.2030__1.2030	239935__A0A2N8HTZ8__CXU09_01270
ERR1913286.2173__1.2173	165179__A0A3E5DRF6__DXC61_00200
ERR1913286.2561__1.2561	165179__A0A174X1C3__DXB80_12745
ERR1913286.2765__1.2765	165179__D1PDG7__DXB80_11180
ERR1913286.2887__1.2887	28052__A0A174K6D6__ERS852451_01708
ERR1913286.2888__1.2888	165179__A0A174IYW3__DXC61_01235
ERR1913286.2891__1.2891	357276__A0A0K2HKT7__B5F95_21090
ERR1913286.2964__1.2964	1133319__W4UMP2__JCM10512_51
ERR1913286.3330__1.3330	165179__A0A174SA26__PREVCOP_05758
ERR1913286.3395__1.3395	33043__D5HF50__ERS852386_02415
ERR1913286.3565__1.3565	165179__A0A3E5DR10__DXC61_03505
ERR1913286.3631__1.3631	165179__A0A3E5AE59__DXC61_12885
ERR1913286.4011__1.4011	165179__A0A3E4SB80__DXC61_12880
ERR1913286.4269__1.4269	301302__R5VCU3__cbiK_2
ERR1913286.4399__1.4399	165179__A0A229I6N7__DXC61_06720
ERR1913286.4476__1.4476	649756__D4MUP2__atpH_2
ERR1913286.4486__1.4486	360807__C0G0B4__ERS852444_02399
ERR1913286.4526__1.4526	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913286.4569__1.4569	39491__A0A395ZHW9__DXC13_02590
ERR1913286.4620__1.4620	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913286.4855__1.4855	1897011__A0A1Q6RH12__BHW41_01505
ERR1913286.4925__1.4925	357276__A0A076IS73__GV66_00410
ERR1913286.4951__1.4951	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913286.5235__1.5235	39491__A0A2U2EK03__ERE_28780
