ERR1913171.1__1.1	74426__group_4823
ERR1913171.7__1.7	357276__I8WC65__EL88_00520
ERR1913171.109__1.109	39491__D6DXZ8__DXB72_15035
ERR1913171.144__1.144	820__A0A174CG08__DXB62_13215
ERR1913171.219__1.219	371601__D4WBK5__BN891_3970
ERR1913171.225__1.225	357276__A0A076J726__IY41_15030
ERR1913171.328__1.328	338188__A0A174ETX3__ERS852397_01955
ERR1913171.302__1.302	818__A0A174TT69__SAMN02910322_02680
ERR1913171.361__1.361	626933__H1DGX0__HMPREF9449_01506
ERR1913171.387__1.387	204516__U6RPN2__HMPREF1534_00368
ERR1913171.436__1.436	853__A0A2A7B9I6__DW855_13690
ERR1913171.487__1.487	357276__A0A0K2HG61__BACDOR_02028
ERR1913171.830__1.830	106588__A6P0S4__BACCAP_04090
ERR1913171.612__1.612	39491__A0A396FSR4__ERS852580_02287
ERR1913171.1032__1.1032	204516__U6RN30__HMPREF1534_00370
ERR1913171.1129__1.1129	820__A0A374QGD2__ERS852421_02382
ERR1913171.1203__1.1203	357276__I8WEY2__ABI39_04185
ERR1913171.1264__1.1264	33039__R6P9Z4__ERS852502_00114
ERR1913171.1387__1.1387	357276__I9QXD4__IY41_00345
ERR1913171.1474__1.1474	39491__C4Z872__LD38_07250
ERR1913171.1609__1.1609	39491__A0A395ZDC6__addB
ERR1913171.1569__1.1569	820__A0A174QT76__B5G17_18060
ERR1913171.1876__1.1876	39488__A0A173SK21__EUBHAL_00799
ERR1913171.1883__1.1883	39491__A0A395ZGU6__ERS852417_01456
ERR1913171.1897__1.1897	40518__R5E6N4__DXD93_01325
ERR1913171.1958__1.1958	818__A0A174RX04__BJP75_008800
ERR1913171.2130__1.2130	820__R9I2U8__DXC68_09590
ERR1913171.2093__1.2093	40518__R5DYP7__envC
ERR1913171.2104__1.2104	818__A0A174RFL1__ERS852511_03380
ERR1913171.2237__1.2237	40518__R5DXW3__DXD86_07900
ERR1913171.2336__1.2336	28117__B0MTY2__BHV66_06485
ERR1913171.2379__1.2379	47678__R5UT79__ERS852558_03890
ERR1913171.2473__1.2473	820__A0A3E4XDK3__ERS852554_03650
ERR1913171.2479__1.2479	820__A0A1T4IYF4__mprA_1
ERR1913171.2523__1.2523	239935__A0A2N8HT18__CXT93_06135
ERR1913171.2432__1.2432	820__A0A3E4VZY4__ERS852554_01211
ERR1913171.2631__1.2631	1897011__A0A1Q6REU3__BHW41_04025
ERR1913171.2620__1.2620	820__A0A3E4G8F8__ERS852421_01645
ERR1913171.2596__1.2596	820__A7V470__HMPREF1072_02076
ERR1913171.2786__1.2786	820__A0A3E4GA19__SAMN05444418_10562
ERR1913171.2797__1.2797	357276__A0A0M1VZP2__IY41_00605
ERR1913171.2882__1.2882	818__A0A0N7IB02__BT_3500
ERR1913171.2864__1.2864	820__A0A374Q854__HMPREF1073_03281
ERR1913171.2939__1.2939	39491__C4ZF05__vpr
ERR1913171.2943__1.2943	47678__A5ZJ80__BACCAC_02965
ERR1913171.3042__1.3042	820__A0A374Q854__HMPREF1073_03281
ERR1913171.3051__1.3051	818__A0A139JW76__BJP75_002555
ERR1913171.3254__1.3254	820__A0A374Q854__HMPREF1073_03281
ERR1913171.3271__1.3271	371601__I9UQS7__B5E52_06635
ERR1913171.3302__1.3302	360807__A0A0M6WZU2__ROSEINA2194_04025
ERR1913171.3356__1.3356	208479__R5F452__HMPREF1085_04960
ERR1913171.3448__1.3448	820__A7VAR9__ERS852421_00197
ERR1913171.3521__1.3521	39491__R6TNE7__T1815_09811
ERR1913171.3785__1.3785	821__A0A174T998__DXB82_10860
ERR1913171.3870__1.3870	820__A0A1T4IY71__HMPREF2141_02402
ERR1913171.3896__1.3896	290053__E6SSI8__Bache_0130
ERR1913171.4202__1.4202	820__A0A3E4VZT7__DXB48_16145
ERR1913171.4522__1.4522	28116__A7M0W7__SAMN05444282_11172
ERR1913171.4538__1.4538	28117__B0MTH2__ALIPUT_00061
ERR1913171.4604__1.4604	820__A0A139KHX1__HMPREF2141_00289
ERR1913171.4622__1.4622	239935__A0A2N8HB50__CXU17_02615
ERR1913171.4737__1.4737	418240__A0A174AX68__ERS852478_00844
ERR1913171.4712__1.4712	820__A0A139K4T0__ERS852510_03146
ERR1913171.4810__1.4810	821__A0A173XDD3__DXB82_17180
ERR1913171.4912__1.4912	820__A0A174M9V5__M093_0237
ERR1913171.4984__1.4984	47678__R5UES7__sipS
ERR1913171.5191__1.5191	246787__R6LGB3__BcellWH2_02361
ERR1913171.5278__1.5278	820__R9I3N4__M093_0061
ERR1913171.5366__1.5366	820__A0A3E4VZT7__DXB48_16145
ERR1913171.5386__1.5386	820__A0A374MXK3__HMPREF1072_00166
ERR1913171.5583__1.5583	88431__A0A174LBC0__DORLON_00105
ERR1913171.5548__1.5548	166486__C7GCP5__ROSINTL182_07683
ERR1913171.5562__1.5562	820__A0A173YYG4__evgS_3
ERR1913171.5618__1.5618	820__A7VAR9__ERS852421_00197
ERR1913171.5630__1.5630	487174__K0WRP3__HMPREF9448_02660
ERR1913171.5676__1.5676	823__A0A173W1W2__M095_4076
ERR1913171.5683__1.5683	820__A0A139KHX1__HMPREF2141_00289
ERR1913171.5757__1.5757	1150298__A0A174MSM0__toxA_2
ERR1913171.5847__1.5847	40518__R5DYT8__mscS
ERR1913171.5998__1.5998	820__A0A139KHD8__ERS417307_00569
ERR1913171.6112__1.6112	818__A0A3E5HDS4__BJP75_002620
ERR1913171.6129__1.6129	357276__I8WPR6__EL88_06675
ERR1913171.6158__1.6158	820__A0A174F0C1__nreB
ERR1913171.6261__1.6261	47678__R5UES7__sipS
ERR1913171.6308__1.6308	357276__B6W1Y1__BSEG_03960
ERR1913171.6314__1.6314	1150298__R7JL35__ERS852498_02809
ERR1913171.6394__1.6394	820__A0A174A6K0__M093_0079
ERR1913171.6361__1.6361	820__A0A396EUU8__luxQ_3
ERR1913171.6710__1.6710	1150298__A0A174R918__ERS852535_01749
ERR1913171.6880__1.6880	820__A7V859__ERS852462_00341
ERR1913171.6931__1.6931	204516__U6R9H3__HMPREF1534_03348
ERR1913171.6991__1.6991	820__A0A139JUD3__DXC91_19380
ERR1913171.7155__1.7155	40518__R5DNY7__RBATCC27255_00367
ERR1913171.7242__1.7242	649756__D4MZ50__CL2_08760
ERR1913171.7340__1.7340	28116__A0A139L6N6__HMPREF2532_02529
ERR1913171.7546__1.7546	1262992__R5DA07__BN795_01576
ERR1913171.7598__1.7598	246787__R6KRT7__BACCELL_01801
ERR1913171.7529__1.7529	214856__A0A174H6R3__ERS852447_02809
ERR1913171.7645__1.7645	292800__A0A096B9D4__HMPREF0372_02292
ERR1913171.7818__1.7818	28116__A0A1Y4PWN5__M088_3731
ERR1913171.7868__1.7868	357276__I9R994__BACDOR_04044
ERR1913171.7894__1.7894	357276__C3R5C9__HMPREF1063_00213
ERR1913171.8006__1.8006	28116__A0A1Y4Q112__evgS_13
ERR1913171.8294__1.8294	39491__A0A396FSN2__EUBREC_0707
ERR1913171.8282__1.8282	40518__R5DZ88__DXD93_06320
ERR1913171.8457__1.8457	357276__A0A076ITH2__BSEG_03273
ERR1913171.8458__1.8458	820__A0A374Q1D8__SAMN05444418_112114
ERR1913171.8473__1.8473	28117__B0MUB4__BHV66_01895
ERR1913171.8542__1.8542	487174__K0X4F7__DDY40_08055
ERR1913171.8615__1.8615	823__D0TCC2__HMPREF1075_01590
ERR1913171.8639__1.8639	818__A0A174TXD9__C799_03229
ERR1913171.8820__1.8820	357276__I9QPN0__B5F95_09195
ERR1913171.8833__1.8833	823__A0A355XLT7__HMPREF1075_03402
ERR1913171.9110__1.9110	820__A0A173YYG4__evgS_3
ERR1913171.9133__1.9133	239935__A0A2N8IJI1__B5G29_04615
ERR1913171.9217__1.9217	821__I9R3W6__DXC16_12455
ERR1913171.9324__1.9324	357276__D1K3K9__EL88_23995
ERR1913171.9890__1.9890	216816__C2GUV2__APC1478_0430
ERR1913171.10075__1.10075	47678__A5ZEA3__ERS852558_00257
ERR1913171.10110__1.10110	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913171.10125__1.10125	820__A0A3E4RU03__M093_0563
ERR1913171.10233__1.10233	820__A7VAR9__ERS852421_00197
ERR1913171.10451__1.10451	820__A0A174R952__DXB48_02570
ERR1913171.10537__1.10537	820__A0A374MXK3__HMPREF1072_00166
ERR1913171.10508__1.10508	820__A0A174DZ97__SAMN05444418_101240
ERR1913171.10590__1.10590	371601__A0A1C7H1Z9__BN890_35950
ERR1913171.10664__1.10664	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913171.10622__1.10622	204516__U6REI9__HMPREF1534_02357
ERR1913171.10645__1.10645	1262911__R6GPM2__BN557_00937
ERR1913171.10734__1.10734	1981510__A0A2K9P4L7__B9O19_01417
ERR1913171.10739__1.10739	357276__I9R2M6__BSEG_03499
ERR1913171.10756__1.10756	39486__B0G9D1__DXC93_13935
ERR1913171.10893__1.10893	1262746__R5S759__BN750_00759
ERR1913171.10923__1.10923	823__E1YSG0__DHP27_00465
ERR1913171.11214__1.11214	357276__A0A0M1W4C0__DXD47_07095
ERR1913171.11515__1.11515	357276__A0A076IN30__DXD47_09350
ERR1913171.11559__1.11559	821__R6F3Y1__SAMN04487923_104318
ERR1913171.11598__1.11598	820__A0A139K4T0__ERS852510_03146
ERR1913171.11727__1.11727	818__R7KWE7__HMPREF2534_03255
ERR1913171.11740__1.11740	246787__A0A3D6AWJ7__AA416_00506
ERR1913171.11726__1.11726	360807__A0A173VD35__suhB
ERR1913171.11766__1.11766	820__A0A3E4VXP2__yesR
ERR1913171.12094__1.12094	357276__I8VN30__HMPREF1065_03051
ERR1913171.12110__1.12110	823__A0A173RD26__B5F32_03910
ERR1913171.12197__1.12197	820__A0A174A6K0__M093_0079
ERR1913171.12294__1.12294	239935__R6J9Y2__CXT85_07000
ERR1913171.12432__1.12432	818__A0A0N7IAS6__HMPREF2534_04869
ERR1913171.12614__1.12614	28117__B0MTV3__BHV66_06405
ERR1913171.12792__1.12792	626933__H1DGX0__HMPREF9449_01506
ERR1913171.12810__1.12810	40518__R5DS23__DXD86_01715
ERR1913171.13044__1.13044	216816__D6ZWI5__B5781_1661
ERR1913171.13140__1.13140	1262746__R5SVF6__BN750_00768
ERR1913171.13282__1.13282	820__A0A3E4VZT7__DXB48_16145
ERR1913171.13292__1.13292	88431__A0A174EMW0__thiD_1
ERR1913171.13402__1.13402	47678__R5UAG4__DW706_17045
ERR1913171.13431__1.13431	820__A0A139K4T0__ERS852510_03146
ERR1913171.13443__1.13443	239935__A0A139TPU7__CXT91_06575
ERR1913171.14346__1.14346	820__A0A3E4RU03__M093_0563
ERR1913171.14559__1.14559	39491__A0A173TAZ5__DXB99_09520
ERR1913171.14607__1.14607	47678__R5U7A9__C5Z00_03635
ERR1913171.14763__1.14763	820__A0A374QGD2__ERS852421_02382
ERR1913171.14782__1.14782	246787__A0A3D6AXH7__BACCELL_04262
ERR1913171.14823__1.14823	357276__I9QXD4__IY41_00345
ERR1913171.14828__1.14828	28118__R6FBF6__Odosp_2396
ERR1913171.14864__1.14864	357276__I9QBT7__BSEG_03340
ERR1913171.14919__1.14919	544645__A0A3E4T484__DXC42_11405
ERR1913171.14922__1.14922	28116__A0A139L3C0__C5Z02_05550
ERR1913171.14957__1.14957	357276__A0A076IN21__BSEG_03078
ERR1913171.15040__1.15040	454155__F3QYB1__HMPREF9442_03204
ERR1913171.15125__1.15125	820__A0A139KHX1__HMPREF2141_00289
ERR1913171.15208__1.15208	820__A0A174QLF0__SAMN05444418_109151
ERR1913171.15293__1.15293	28117__B0MY36__BHV66_05185
ERR1913171.15382__1.15382	357276__A0A076IS46__BACDOR_03265
ERR1913171.15412__1.15412	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913171.15586__1.15586	357276__B6W1Y1__BSEG_03960
ERR1913171.15646__1.15646	820__A0A139K024__B5G17_02060
ERR1913171.15672__1.15672	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913171.15784__1.15784	820__A0A174M9V5__M093_0237
ERR1913171.15746__1.15746	357276__A0A0M1W4C0__DXD47_07095
ERR1913171.15842__1.15842	820__R9I324__HMPREF2141_02414
ERR1913171.16160__1.16160	820__A7V8C2__ERS852554_01338
ERR1913171.16231__1.16231	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1913171.16274__1.16274	33039__R6P284__spoIIIE
ERR1913171.16278__1.16278	823__K6AMD2__B5F32_04565
ERR1913171.16361__1.16361	487174__R5F5Z4__DIT83_00635
ERR1913171.16399__1.16399	820__A0A1T4IYF4__mprA_1
ERR1913171.16421__1.16421	310298__B3JFI7__BACCOP_00636
ERR1913171.16525__1.16525	820__A0A139KH21__DXC80_01780
ERR1913171.16532__1.16532	204516__U6R7W5__HMPREF1534_03766
ERR1913171.16554__1.16554	1262992__R5DH34__BN795_00678
ERR1913171.16755__1.16755	820__A0A3E4RU03__M093_0563
ERR1913171.16779__1.16779	166486__D4L457__ROSINTL182_07087
ERR1913171.16780__1.16780	47678__R5UAI1__BACCAC_01922
ERR1913171.16788__1.16788	820__A0A078S4C2__ERS417307_00828
ERR1913171.16795__1.16795	820__A0A3E4XDK3__ERS852554_03650
ERR1913171.16947__1.16947	1262920__R5KD76__BN467_01465
ERR1913171.17008__1.17008	823__D0TBY4__M090_0431
ERR1913171.17130__1.17130	357276__B6VT86__IY41_22515
ERR1913171.17200__1.17200	39488__R6GBC5__DXD91_06450
ERR1913171.17294__1.17294	820__A7VAS1__HMPREF2141_03259
ERR1913171.17308__1.17308	357276__A6L053__ABI39_04450
ERR1913171.17471__1.17471	901__B6WRB3__DESPIGER_0300
ERR1913171.17546__1.17546	357276__C3R9Y0__HMPREF1064_01889
ERR1913171.17547__1.17547	357276__C3R9Y0__HMPREF1064_01889
ERR1913171.17585__1.17585	820__A0A174GYA8__DXB64_07370
ERR1913171.17697__1.17697	28118__F9Z857__DER54_07670
ERR1913171.17760__1.17760	357276__A0A0M1W4C0__DXD47_07095
ERR1913171.17859__1.17859	239935__B2UPZ6__CXU03_03800
ERR1913171.17936__1.17936	39491__A0A173TAZ5__DXB99_09520
ERR1913171.17893__1.17893	166486__D4L0E1__ypdA_4
ERR1913171.18149__1.18149	357276__A0A076IRV2__BACDOR_02822
ERR1913171.18275__1.18275	40518__R5DYU1__DXD86_01160
ERR1913171.18405__1.18405	820__A0A374Q854__HMPREF1073_03281
ERR1913171.18434__1.18434	823__A0A355XFH7__ERS852513_00769
ERR1913171.18474__1.18474	28116__F7L4N5__BACOVA_00137
ERR1913171.18535__1.18535	28117__B0MWH8__BHV66_01330
ERR1913171.18505__1.18505	487174__K0XH97__HMPREF9448_01909
ERR1913171.18615__1.18615	1981510__A0A2K9P4B3__B9O19_01956
ERR1913171.18770__1.18770	40518__R5E2F3__artQ
ERR1913171.18759__1.18759	39491__A0A395V464__EUBREC_1509
ERR1913171.18811__1.18811	357276__C3R5A0__B5F00_02960
ERR1913171.18714__1.18714	39491__C4Z9J5__DXB69_02495
ERR1913171.18960__1.18960	47678__R5U558__ERS852558_02232
ERR1913171.18969__1.18969	28117__B0N028__BHV66_05935
ERR1913171.19088__1.19088	39491__A0A396FUZ3__phoR_1
ERR1913171.19226__1.19226	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913171.19289__1.19289	820__A0A174QLF0__SAMN05444418_109151
ERR1913171.19295__1.19295	39491__C4ZCH3__EUR_17560
ERR1913171.19447__1.19447	820__A0A3E4IBC1__M094_0628
ERR1913171.19557__1.19557	301301__A0A395V7N0__ERS852391_02330
ERR1913171.19668__1.19668	820__A0A3E4GE89__DXB48_02565
ERR1913171.19614__1.19614	818__A0A0N7I9H8__ERS852461_00040
ERR1913171.19622__1.19622	820__A0A396EUU8__luxQ_3
ERR1913171.19744__1.19744	246787__A0A3D6AWR4__HMPREF1062_04729
ERR1913171.19759__1.19759	626933__H1DGX0__HMPREF9449_01506
ERR1913171.19821__1.19821	820__A0A3E4WA06__ERS852554_03404
ERR1913171.19915__1.19915	820__A0A139KHX1__HMPREF2141_00289
ERR1913171.19926__1.19926	357276__I9FTR0__HMPREF1065_02861
ERR1913171.19958__1.19958	47678__A5ZL09__BACCAC_03608
ERR1913171.20187__1.20187	239935__A0A2N8HHY4__DEF40_10850
ERR1913171.20251__1.20251	371601__C3QVE5__CW1_1049
ERR1913171.20370__1.20370	820__A0A174TRB5__DXD40_11305
ERR1913171.20374__1.20374	820__A0A174QLF0__SAMN05444418_109151
ERR1913171.20555__1.20555	357276__B6W1Y5__IY41_11405
ERR1913171.20582__1.20582	820__A0A173YYG4__evgS_3
ERR1913171.20686__1.20686	39491__A0A396FGM9__fliU_1
ERR1913171.20720__1.20720	818__Q89ZX6__ERS852511_03600
ERR1913171.20869__1.20869	357276__I9QBT7__BSEG_03340
ERR1913171.20832__1.20832	357276__I8VQA2__HMPREF1065_04183
ERR1913171.20953__1.20953	246787__R6KUE5__BcellWH2_01117
ERR1913171.21039__1.21039	357276__A0A076IS73__GV66_00410
ERR1913171.21309__1.21309	357276__I9RD92__BACDOR_04262
ERR1913171.21348__1.21348	387090__S0F7Y3__BACCOPRO_02028
ERR1913171.21525__1.21525	820__A0A396EXA7__DXB37_15530
ERR1913171.21773__1.21773	239935__A0A2N8HZW2__A4V05_11120
ERR1913171.21864__1.21864	820__A0A078S4C2__ERS417307_00828
ERR1913171.21892__1.21892	357276__D1JYA3__BSEG_00395
ERR1913171.22010__1.22010	820__A0A174F0C1__nreB
ERR1913171.21957__1.21957	214856__R6Z5D0__resA_4
ERR1913171.22213__1.22213	357276__A0A076ITH2__BSEG_03273
ERR1913171.22262__1.22262	626929__F3PIZ9__B5F24_03600
ERR1913171.22277__1.22277	626929__F3PIK9__HMPREF9445_01807
ERR1913171.22424__1.22424	1628085__A0A2U1AX94__C7386_1283
ERR1913171.22499__1.22499	39491__A0A395ZHW9__DXC13_02590
ERR1913171.22543__1.22543	820__A0A3E4WA06__ERS852554_03404
ERR1913171.22761__1.22761	39491__A0A395ZKJ0__DXD13_11010
ERR1913171.22836__1.22836	418240__C6J8M5__yiaD
ERR1913171.22916__1.22916	1796613__A0A1V0QDA8__A4V03_02465
ERR1913171.22952__1.22952	818__A0A3E5HHL6__C799_04659
ERR1913171.22960__1.22960	487174__K0X068__DDY40_07105
ERR1913171.23055__1.23055	40518__R5DRG6__ylbJ
ERR1913171.23339__1.23339	47678__R5U7X8__C5Z00_18270
ERR1913171.23463__1.23463	216816__A0A2U0BT35__BL1206_1860
ERR1913171.23725__1.23725	33038__A0A2N5NWR8__CDL18_14140
ERR1913171.23992__1.23992	39491__A0A395V0H3__ERS852417_01192
ERR1913171.23996__1.23996	820__A0A3E4WCC2__lptB_1
ERR1913171.24178__1.24178	820__E5VA63__DXC80_01025
ERR1913171.24247__1.24247	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913171.24276__1.24276	820__A7UYX8__DXD40_11635
ERR1913171.24361__1.24361	28116__C3QMW5__M089_4133
ERR1913171.24322__1.24322	357276__D1K526__GV66_17250
ERR1913171.24488__1.24488	821__R6F3Y1__SAMN04487923_104318
ERR1913171.24533__1.24533	357276__A0A076IN30__DXD47_09350
ERR1913171.24711__1.24711	818__A0A174VV39__BT_3492
ERR1913171.24725__1.24725	33038__A0A2N5NRJ3__CDL20_13245
ERR1913171.24991__1.24991	820__A0A139K9Q2__DXD40_08795
ERR1913171.25002__1.25002	357276__D1K3K9__EL88_23995
ERR1913171.25006__1.25006	556259__I0PYJ6__BSGG_5210
ERR1913171.25009__1.25009	853__A0A3E2V168__FAEPRAM212_00929
ERR1913171.25160__1.25160	216816__Q8G585__APC1473_0508
ERR1913171.25217__1.25217	28116__A0A3D2LPA1__CUY_3388
ERR1913171.25233__1.25233	745368__A0A1T4WAW2__SAMN02745178_00328
ERR1913171.25256__1.25256	820__A0A1T4IY71__HMPREF2141_02402
ERR1913171.25327__1.25327	820__A0A139KJR5__M093_4469
ERR1913171.25340__1.25340	292800__A0A1C7FRP6__HMPREF9460_00386
ERR1913171.25420__1.25420	246787__I8V2S2__BACCELL_02524
ERR1913171.25431__1.25431	357276__A0A076IP73__BACDOR_04237
ERR1913171.25560__1.25560	853__A0A329UEG4__CHR60_00585
ERR1913171.25586__1.25586	820__A0A174TRB5__DXD40_11305
ERR1913171.25725__1.25725	214856__A0A173ZUI6__ERS852447_00955
ERR1913171.25879__1.25879	39491__A0A395ZHV7__ykvU
ERR1913171.26000__1.26000	357276__A0A076IS73__GV66_00410
ERR1913171.26081__1.26081	360807__A0A173WJE3__mcp4_4
ERR1913171.26095__1.26095	47678__R5UU25__DXB67_16190
ERR1913171.26142__1.26142	47678__R5UAY9__DW706_07200
ERR1913171.26108__1.26108	84112__C8WJ12__Elen_2090
ERR1913171.26121__1.26121	357276__C3R9Y0__HMPREF1064_01889
ERR1913171.26203__1.26203	1150298__R7JTG8__smf
ERR1913171.26225__1.26225	820__A0A174A6K0__M093_0079
ERR1913171.26279__1.26279	820__A0A3E4PYB0__yejM
ERR1913171.26320__1.26320	454155__F3QT51__HMPREF9442_01368
ERR1913171.26392__1.26392	166486__R6AY46__ROSINTL182_06128
ERR1913171.26458__1.26458	39491__A0A395V5L2__ERE_28270
