ERR1913214.431__1.431	821__A0A3E4WAR6__DXD64_10735
ERR1913214.507__1.507	310298__B3JFI7__BACCOP_00636
ERR1913214.752__1.752	1262736__R5Z142__BN496_00440
ERR1913214.1096__1.1096	357276__C3R9Y0__HMPREF1064_01889
ERR1913214.1403__1.1403	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913214.1416__1.1416	1628085__A0A2U1BFW2__C7386_10288
ERR1913214.1493__1.1493	291644__I9TBY1__HMPREF1532_01991
ERR1913214.1580__1.1580	35833__E5Y355__HMPREF0179_00616
ERR1913214.1581__1.1581	28111__E5WZR2__HMPREF1016_02168
ERR1913214.1685__1.1685	1262935__R5GS65__BN773_01399
ERR1913214.2131__1.2131	357276__B6W1J2__BACDOR_03380
ERR1913214.2570__1.2570	487174__K0XRA9__HMPREF9448_00572
ERR1913214.2620__1.2620	357276__B6VYT9__HMPREF1063_05030
ERR1913214.3155__1.3155	853__A0A2A7A4A9__C4N21_14870
ERR1913214.3981__1.3981	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913214.4004__1.4004	818__A0A3E5HHE1__Btheta7330_00796
ERR1913214.4060__1.4060	1150298__R7JTW4__yvhJ
ERR1913214.4465__1.4465	671267__R9I7B5__C802_04018
ERR1913214.4588__1.4588	357276__I9R4T1__IY41_06800
ERR1913214.4863__1.4863	1262935__R5GCB7__BN773_00067
ERR1913214.5023__1.5023	1501391__GCA_000786575.1_00042
ERR1913214.5007__1.5007	28111__E5WUU3__HMPREF1016_00520
ERR1913214.5280__1.5280	357276__A0A076J8D4__HMPREF1064_00553
ERR1913214.5313__1.5313	821__A0A0P0M3U7__DXB90_14325
ERR1913214.5561__1.5561	28116__A0A1Y4Q112__evgS_13
ERR1913214.5980__1.5980	39492__A0A174ZP27__EUBSIR_00033
ERR1913214.6006__1.6006	39492__A0A174ZHV5__msbA_2
ERR1913214.6128__1.6128	47678__A5ZEX0__DW706_08045
ERR1913214.6229__1.6229	1299998__GCA_001494635.1_00422
ERR1913214.6283__1.6283	820__A7V470__HMPREF1072_02076
ERR1913214.6569__1.6569	214856__A0A174FWM7__ERS852559_00590
ERR1913214.6765__1.6765	820__A0A374Q8T2__DXB64_16190
ERR1913214.6953__1.6953	35833__E5Y1J0__HMPREF0179_00049
ERR1913214.7051__1.7051	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913214.7419__1.7419	357276__I9R994__BACDOR_04044
ERR1913214.7462__1.7462	1262935__R5GLG4__BN773_00617
ERR1913214.7596__1.7596	1501391__GCA_000786575.1_00002
ERR1913214.7954__1.7954	291644__I8YWR0__HMPREF1071_01375
ERR1913214.7981__1.7981	1262958__R7GSC8__BN645_00985
ERR1913214.8343__1.8343	301301__A0A395VA99__rpfG_5
