ERR1913261.83__1.83	1150298__A0A174AM35__ERS852498_00645
ERR1913261.267__1.267	301302__A0A173UN64__manA_2
ERR1913261.289__1.289	29361__B6FKH5__CLONEX_00621
ERR1913261.799__1.799	1160721__A0A1C6CMR2__BHW50_00085
ERR1913261.790__1.790	328814__GCA_004558275.1_00058
ERR1913261.991__1.991	28117__R7JPX7__BHV66_00900
ERR1913261.1499__1.1499	39491__A0A395ZG96__DXB69_15120
ERR1913261.1542__1.1542	39491__A0A396FSN2__EUBREC_0707
ERR1913261.1585__1.1585	39491__A0A395V0E5__ERE_31370
ERR1913261.1673__1.1673	1262980__R5C0H7__BN814_00054
ERR1913261.2055__1.2055	823__A0A355WYX8__CF162_07950
ERR1913261.2071__1.2071	853__A0A3E2U7E6__ERS852582_01640
ERR1913261.2268__1.2268	1262933__R7P962__BN736_01206
ERR1913261.2312__1.2312	1262933__R7P9D0__BN736_00117
ERR1913261.2528__1.2528	328814__GCA_004558275.1_00134
ERR1913261.2655__1.2655	1550024__G9RWD3__ASJ35_03625
ERR1913261.2699__1.2699	1150298__A0A174LLX0__dhaD
ERR1913261.2886__1.2886	1262922__R6EVQ0__BN487_00762
ERR1913261.3037__1.3037	1262933__R7PB79__BN736_00852
ERR1913261.3058__1.3058	28117__B0MXR4__BHV66_08025
ERR1913261.3471__1.3471	39491__A0A395ZM93__DXD13_03490
ERR1913261.3488__1.3488	487174__K0WZA7__DDY40_11890
ERR1913261.3845__1.3845	106588__A6P303__BACCAP_04887
ERR1913261.3908__1.3908	1965660__A0A1Y3SAP1__B5G34_10935
ERR1913261.3939__1.3939	360807__A0A0M6X0M8__ERS852444_00740
ERR1913261.4021__1.4021	2108523__A0A2P2FCI8__LAWASA_3772
ERR1913261.4049__1.4049	28118__R6F1C2__rpoE_1
ERR1913261.4057__1.4057	28117__R7JJM9__ALIPUT_00662
ERR1913261.4145__1.4145	28117__R7JN92__BHV66_00550
ERR1913261.4658__1.4658	1262873__R6WJV8__BN605_00615
ERR1913261.4639__1.4639	2108523__A0A2P2FCI7__LAWASA_3763
ERR1913261.4680__1.4680	1262922__R6E5H3__BN487_01250
ERR1913261.4683__1.4683	823__A0A395YS82__M091_1569
ERR1913261.4740__1.4740	39491__A0A395V0E5__ERE_31370
ERR1913261.4954__1.4954	1262933__R7PBZ0__BN736_00523
ERR1913261.5006__1.5006	28118__R6F045__B5F99_10560
ERR1913261.5358__1.5358	823__D0T9E4__DHW69_09115
ERR1913261.5399__1.5399	1262989__R6Y1K4__BN815_00040
ERR1913261.5611__1.5611	1262922__R6E219__BN487_00678
ERR1913261.5805__1.5805	1262922__R6E3T8__BN487_00972
ERR1913261.5951__1.5951	1262873__R6WGS6__BN605_01931
ERR1913261.5930__1.5930	2108523__A0A2P2FCY3__LAWASA_3926
ERR1913261.6139__1.6139	239935__A0A2N8I694__CXU04_06245
ERR1913261.6158__1.6158	1263000__R5EIH8__BN466_01210
ERR1913261.6272__1.6272	28118__F9Z6B5__SAMEA44545918_01808
ERR1913261.6306__1.6306	39491__A0A395ZE48__DXB76_02395
ERR1913261.6281__1.6281	291645__I8WZT8__HMPREF1068_04327
ERR1913261.6291__1.6291	39491__C4Z872__LD38_07250
ERR1913261.6335__1.6335	39491__A0A396FP46__cobD_2
ERR1913261.6626__1.6626	39491__A0A396FPV7__ERS852580_01177
ERR1913261.6663__1.6663	39491__A0A395UWA3__DXB69_11805
ERR1913261.6696__1.6696	39491__C4ZHS4__EUR_24420
ERR1913261.6686__1.6686	301302__R5UNJ6__M72_26701
ERR1913261.6733__1.6733	204516__U6R898__HMPREF1534_03335
ERR1913261.6812__1.6812	28117__B0MVL5__BHV66_01660
ERR1913261.6871__1.6871	28117__B0MZ50__ALIPUT_02424
ERR1913261.6843__1.6843	1501391__GCA_000786575.1_00025
ERR1913261.6992__1.6992	39491__A0A395UYA6__EUBREC_0408
ERR1913261.7154__1.7154	2137880__A0A316NL22__DBY21_08905
ERR1913261.7198__1.7198	487174__K0WTQ3__HMPREF9448_02140
ERR1913261.7227__1.7227	1262922__R6EXS9__BN487_01090
ERR1913261.7231__1.7231	1262922__R6EG39__BN487_01800
