ERR1913257.130__1.130	1550024__A0A0D8IYY8__TQ39_09180
ERR1913257.137__1.137	301302__A0A0M6WU48__M72_10411
ERR1913257.198__1.198	1680__A1A0V3__C8077_03025
ERR1913257.347__1.347	45851__D4S1P9__BUTYVIB_02021
ERR1913257.474__1.474	1681__K2IQE2__uvrD
ERR1913257.476__1.476	1897011__A0A1Q6REY1__BHW41_04470
ERR1913257.703__1.703	239935__A0A2N8HDT1__CXT94_05270
ERR1913257.1141__1.1141	39491__A0A396FSR4__ERS852580_02287
ERR1913257.1347__1.1347	649756__L1PU84__ERS852571_01295
ERR1913257.1595__1.1595	1472761__GCA_002159295.1_00731
ERR1913257.1564__1.1564	1897011__A0A1Q6RG59__BHW41_02475
ERR1913257.1523__1.1523	74426__group_4823
ERR1913257.1720__1.1720	239935__A0A2N8IUQ8__CXU09_01665
ERR1913257.1750__1.1750	239935__A0A2N8HB50__CXU17_02615
ERR1913257.1816__1.1816	853__A0A173T751__C4N24_10280
ERR1913257.1887__1.1887	1550024__A0A3B9WI04__ASJ35_06105
ERR1913257.1959__1.1959	1550024__G9RYX6__ASJ35_10025
ERR1913257.2090__1.2090	204516__U6RFB2__HMPREF1534_01733
ERR1913257.2261__1.2261	39491__A0A396FFW0__ERE_10580
ERR1913257.2315__1.2315	239935__A0A2N8IKW7__pstA
ERR1913257.2539__1.2539	239935__R6IZT7__CXU18_11710
ERR1913257.2559__1.2559	28111__E5WYC1__BACEGG_00354
ERR1913257.2639__1.2639	39491__C4Z9D4__DXD95_00055
ERR1913257.2603__1.2603	39496__A5Z5I2__EUBVEN_00963
ERR1913257.2629__1.2629	39492__B0MP07__ERS852540_02083
ERR1913257.2857__1.2857	40520__A0A174IJ62__DXC87_06795
ERR1913257.2913__1.2913	820__A0A174Q0F0__DXB48_08080
ERR1913257.3076__1.3076	239935__A0A2N8ITG2__Amuc_0335
ERR1913257.3160__1.3160	239935__A0A2N8HT44__CXT84_11035
ERR1913257.3380__1.3380	384639__GCA_003096855.1_01996
ERR1913257.3459__1.3459	1680__R5GRA4__ERS852382_01548
ERR1913257.3477__1.3477	1263107__GCA_000436995.1_00020
ERR1913257.3492__1.3492	626929__R6MDM3__B5F24_06470
ERR1913257.3536__1.3536	28117__B0MT84__ALIPUT_00402
ERR1913257.3694__1.3694	46228__V8C4T8__RUMLAC_02058
ERR1913257.3732__1.3732	2108523__A0A2P2F507__LAWASA_1081
ERR1913257.4020__1.4020	820__A0A3E4QZJ7__C801_01798
ERR1913257.4147__1.4147	28117__B0MU76__ALIPUT_00202
ERR1913257.4303__1.4303	1681__E3EQP9__DXD45_08580
ERR1913257.4410__1.4410	39491__C4ZCV5__DXB99_11855
ERR1913257.4657__1.4657	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913257.4862__1.4862	1897011__A0A1Q6RDN9__BHW41_05070
ERR1913257.4883__1.4883	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913257.4930__1.4930	649756__D4MVS5__yxeP
ERR1913257.5283__1.5283	246787__A0A3D6AWV8__gltP
ERR1913257.5544__1.5544	1681__A0A2U0BVK5__B0156_0307
ERR1913257.5650__1.5650	116085__D4J7P1__DW747_15085
ERR1913257.5759__1.5759	216816__A0A087BBV6__BFS26_06210
ERR1913257.6109__1.6109	1262911__R6GKS1__BN557_00184
ERR1913257.6141__1.6141	418240__C6JH11__ERS852523_02507
ERR1913257.6283__1.6283	239935__A0A2N8HPS5__Amuc_0950
ERR1913257.6560__1.6560	214856__A0A173YXX1__ERS852559_01651
ERR1913257.6564__1.6564	1520810__A0A1H5XYJ5__SAMN02910276_02047
ERR1913257.6755__1.6755	1550024__G9RTW4__TQ39_08265
ERR1913257.6858__1.6858	1262924__R7HUR1__BN585_00057
ERR1913257.6877__1.6877	552398__F4XHU2__HMPREF0866_03196
ERR1913257.7132__1.7132	556499__U2PUP9__HMPREF0682_2087
ERR1913257.7148__1.7148	88431__A0A174UW18__lytR_4
ERR1913257.7256__1.7256	39491__A0A395ZM93__DXD13_03490
ERR1913257.7294__1.7294	820__A0A139K4T0__ERS852510_03146
ERR1913257.7429__1.7429	820__A0A174Q0F0__DXB48_08080
ERR1913257.7466__1.7466	239935__R6JD78__CXU05_09250
ERR1913257.7643__1.7643	360807__C0FSM3__ROSEINA2194_01739
ERR1913257.7638__1.7638	187327__U2TT45__ACDG_00876
ERR1913257.7707__1.7707	907__A0A1M6P8N3__AZ49_10195
ERR1913257.7715__1.7715	39491__A0A395V5R3__EUBREC_1883
ERR1913257.7731__1.7731	1550024__G9RW08__ASJ35_03155
ERR1913257.7732__1.7732	329854__R5LZK1__DXD27_00590
ERR1913257.7776__1.7776	1263107__GCA_000436995.1_00097
ERR1913257.7783__1.7783	216816__A0A1D7MV89__EK5BL_04715
ERR1913257.7835__1.7835	820__A0A374Q854__HMPREF1073_03281
ERR1913257.7898__1.7898	1262911__R6HHR1__BN557_01622
ERR1913257.8332__1.8332	45851__D4RZF4__BUTYVIB_01220
ERR1913257.8382__1.8382	357276__A0A0K2HP62__HMPREF1063_01560
ERR1913257.8444__1.8444	357276__A0A076II57__GV66_07710
ERR1913257.8419__1.8419	820__A0A173XIP7__B5G17_16050
ERR1913257.8484__1.8484	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913257.8535__1.8535	853__D4K7X0__DW905_09540
ERR1913257.8780__1.8780	487175__R5EEJ8__HMPREF9439_00269
ERR1913257.8815__1.8815	1262882__R5MNC1__BN519_00818
ERR1913257.8818__1.8818	39491__D4JMW8__ERS852497_01971
ERR1913257.9330__1.9330	239935__B2URG6__CXU02_00030
ERR1913257.9413__1.9413	239935__A0A2N8HL50__CXT98_09135
ERR1913257.9777__1.9777	820__R9I3Q7__HMPREF1072_01668
ERR1913257.10033__1.10033	1262848__R6TZN4__BN818_00122
ERR1913257.10052__1.10052	1263006__R6MLL2__BN515_00946
ERR1913257.10271__1.10271	239935__A0A2N8IUU3__CXU18_08060
ERR1913257.10355__1.10355	1262924__R7HRI6__BN585_00824
ERR1913257.10345__1.10345	39491__A0A2U2EI54__DXD95_12010
ERR1913257.10551__1.10551	216816__B7GQM4__BLIC_f01073
ERR1913257.10618__1.10618	410072__A0A174A5E2__dtpT
ERR1913257.10595__1.10595	626940__E8LG81__BHW43_02530
ERR1913257.10603__1.10603	28116__D7J6A7__NCTC11153_02798
ERR1913257.11024__1.11024	1680__A0A087DLC6__C8077_00815
ERR1913257.11194__1.11194	820__A0A174KKV6__DXC07_02635
ERR1913257.11385__1.11385	1550024__A0A0D8J179__ASJ35_09245
ERR1913257.11443__1.11443	418240__C6J843__ERS852478_02458
ERR1913257.11524__1.11524	410072__A0A174DFS8__ERS852574_01251
ERR1913257.11593__1.11593	745368__A0A1T4XTU3__SAMN02745178_02321
