ERR1913232.19__1.19	820__A0A139K9Q2__DXD40_08795
ERR1913232.53__1.53	39485__C4Z355__ERS852490_01971
ERR1913232.50__1.50	820__A0A3E4W984__pssA
ERR1913232.162__1.162	626933__H1DGX0__HMPREF9449_01506
ERR1913232.325__1.325	165179__A0A3E5EA43__DXC61_07775
ERR1913232.242__1.242	28116__A7LUQ0__CUY_2205
ERR1913232.244__1.244	310298__B3JH76__BACCOP_01230
ERR1913232.432__1.432	39485__A0A174ZG70__ERS852492_00929
ERR1913232.477__1.477	47678__R5UPZ8__ERS852494_01752
ERR1913232.676__1.676	165179__A0A3E5A5E5__DXC61_13965
ERR1913232.807__1.807	487173__H1CYJ4__HMPREF9453_00432
ERR1913232.812__1.812	147206__GCF_000156215.1_01776
ERR1913232.1429__1.1429	301301__G2SXA1__frc_2
ERR1913232.1737__1.1737	28117__B0MYI9__BHV66_05415
ERR1913232.1958__1.1958	39491__C4Z872__LD38_07250
ERR1913232.2290__1.2290	410072__C0B8M3__ERS852574_02182
ERR1913232.2321__1.2321	69974__A0A090FEL8__MPL3365_630008
ERR1913232.2461__1.2461	39491__A0A0M6WLC7__ERS852497_00640
ERR1913232.2486__1.2486	69974__A0A090FEL8__MPL3365_630008
ERR1913232.2645__1.2645	1262924__R7HMW0__BN585_01951
ERR1913232.2677__1.2677	1897011__A0A1Q6RH85__BHW41_01750
ERR1913232.2926__1.2926	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913232.3127__1.3127	69974__A0A090FEL8__MPL3365_630008
ERR1913232.3198__1.3198	39491__A0A0M6WWT1__dus_2
ERR1913232.3243__1.3243	39485__A0A174Z9M2__yhbU_1
ERR1913232.3322__1.3322	74426__pflB_2
ERR1913232.3324__1.3324	310298__B3JJX9__BACCOP_02203
ERR1913232.3336__1.3336	28118__F9Z3G8__B5F99_01835
ERR1913232.3464__1.3464	371601__A0A1C7H1Z9__BN890_35950
ERR1913232.3520__1.3520	626933__H1DGX0__HMPREF9449_01506
ERR1913232.3651__1.3651	853__A0A174BA00__DW905_01145
ERR1913232.3676__1.3676	39485__A0A174ZNW9__luxQ_1
ERR1913232.3877__1.3877	853__A0A173T0Y8__CGS54_07215
ERR1913232.3918__1.3918	165179__A0A3E5E9I4__DXB80_09745
ERR1913232.4029__1.4029	820__R9I324__HMPREF2141_02414
ERR1913232.4368__1.4368	39488__A0A173RSC6__ERS852450_01530
ERR1913232.4529__1.4529	556259__I0PXW0__BSGG_5187
ERR1913232.4621__1.4621	410072__C0BC88__DXD67_11180
ERR1913232.4740__1.4740	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.5014__1.5014	40518__R5DUU8__DXD86_08440
ERR1913232.5035__1.5035	1262924__R7HU74__BN585_00690
ERR1913232.5092__1.5092	147206__GCF_000156215.1_01944
ERR1913232.5218__1.5218	626933__H1DGX0__HMPREF9449_01506
ERR1913232.5256__1.5256	1262924__R7HLJ9__BN585_01064
ERR1913232.5339__1.5339	853__C7H7F5__DWZ46_01780
ERR1913232.5598__1.5598	1535__A7VNP7__CH238_15000
