ERR1912985.39__1.39	820__A7V092__hldE
ERR1912985.75__1.75	487174__K0XBH1__DIT83_01445
ERR1912985.99__1.99	246787__I8V2S2__BACCELL_02524
ERR1912985.179__1.179	239935__R6JD78__CXU05_09250
ERR1912985.347__1.347	487174__K0WYG8__HMPREF9448_01522
ERR1912985.459__1.459	46506__R6A5T2__DXC41_10795
ERR1912985.508__1.508	820__A0A396EUU8__luxQ_3
ERR1912985.586__1.586	820__A0A174CK74__DXB48_07060
ERR1912985.560__1.560	1897011__A0A1Q6RE54__BHW41_04745
ERR1912985.616__1.616	28117__B0MXX3__BHV66_07695
ERR1912985.622__1.622	246787__A0A0P0FV02__AA416_03728
ERR1912985.746__1.746	39491__A0A396FMT0__EUBREC_3020
ERR1912985.670__1.670	46228__V8BQJ8__DXD17_00240
ERR1912985.672__1.672	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1912985.925__1.925	310297__B5D433__DXC17_02005
ERR1912985.1018__1.1018	818__Q8A3I3__HMPREF2534_00068
ERR1912985.1127__1.1127	1263000__R5EFJ5__BN466_01372
ERR1912985.1128__1.1128	1262761__R6RU22__BN606_01110
ERR1912985.1130__1.1130	820__A0A173XIP7__B5G17_16050
ERR1912985.1366__1.1366	46506__S3YVF9__BACSTE_02487
ERR1912985.1393__1.1393	1304__J7TU69__A6J87_07685
ERR1912985.1646__1.1646	820__A0A139K426__B5G17_09115
ERR1912985.1709__1.1709	46506__B0NUC3__SAMN05444283_1019
ERR1912985.1715__1.1715	820__A0A139K5A6__DXB48_12175
ERR1912985.1732__1.1732	1262886__R6REM1__BN563_00995
ERR1912985.1822__1.1822	360807__A0A0M6WEL6__RIL183_13901
ERR1912985.1846__1.1846	1465754__A0A1H4FGH5__SAMN05444145_11058
ERR1912985.2195__1.2195	1318__T0TTB0__strH_1
ERR1912985.2271__1.2271	410072__A0A174K1W4__apxIB
ERR1912985.2314__1.2314	1304__A0A0A1DX26__SSAL8618_09600
ERR1912985.2355__1.2355	47678__R5U9Z6__HMPREF1061_03205
ERR1912985.2393__1.2393	820__R9I3N4__M093_0061
ERR1912985.2532__1.2532	28117__B0MWP2__ALIPUT_01468
ERR1912985.2537__1.2537	1160721__R6SW95__BHW50_08895
ERR1912985.2545__1.2545	46506__A0A108TAK3__fepA_3
ERR1912985.2561__1.2561	28117__B0MXX3__BHV66_07695
ERR1912985.2620__1.2620	246787__A0A0P0FV02__AA416_03728
ERR1912985.2664__1.2664	246787__A0A0P0GDM7__BcellWH2_03148
ERR1912985.2682__1.2682	823__A0A174WTX5__DD466_11965
ERR1912985.2749__1.2749	246787__A0A139L268__BcellWH2_03192
ERR1912985.2785__1.2785	46506__A0A3E4TL81__HMPREF1181_01022
ERR1912985.2794__1.2794	1263000__R5EGY7__BN466_01478
ERR1912985.2873__1.2873	28117__R7JLP2__ALIPUT_00416
ERR1912985.2889__1.2889	818__A0A0P0F2P7__BT_1771
ERR1912985.2980__1.2980	1628085__A0A1C6BMM1__C7386_11221
ERR1912985.3029__1.3029	818__A0A0P0F2P7__BT_1771
ERR1912985.3074__1.3074	818__A0A139K748__Btheta7330_03034
ERR1912985.3208__1.3208	301301__A0A395V4X8__ERS852391_01546
ERR1912985.3185__1.3185	28117__B0MSS1__ALIPUT_00273
ERR1912985.3260__1.3260	310297__B5CZ21__DXB87_00235
ERR1912985.3352__1.3352	360807__C0FZM4__RIL183_06871
ERR1912985.3377__1.3377	820__A0A173YYG4__evgS_3
ERR1912985.3804__1.3804	28117__B0MXD0__ALIPUT_01669
ERR1912985.3881__1.3881	310297__R5VHE6__BACPLE_02321
ERR1912985.4062__1.4062	394340__purB
ERR1912985.4081__1.4081	818__A0A1H7S810__BJP75_003270
ERR1912985.4186__1.4186	360807__C0FNY7__ERS852392_01257
