ERR1913315.80__1.80	649756__L1Q8X1__DCR88_03995
ERR1913315.105__1.105	301302__A0A173R6H4__M72_21671
ERR1913315.268__1.268	187327__G4Q2R6__Acin_2204
ERR1913315.287__1.287	1262954__R7FHY5__BN611_00403
ERR1913315.492__1.492	821__A0A174K302__CUU_3129
ERR1913315.498__1.498	47678__R5UZM4__DW706_15680
ERR1913315.499__1.499	820__A0A396EUU8__luxQ_3
ERR1913315.598__1.598	187327__G4Q2R6__Acin_2204
ERR1913315.651__1.651	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913315.719__1.719	40520__R7D6G3__DXB81_16300
ERR1913315.625__1.625	357276__B6VYT9__HMPREF1063_05030
ERR1913315.904__1.904	820__A0A3E4W4Y7__B5G17_02055
ERR1913315.920__1.920	187327__G4Q8Z0__Acin_0446
ERR1913315.1026__1.1026	40518__R5E1J2__DXD93_04070
ERR1913315.1063__1.1063	820__A0A173WZS4__DXD90_10250
ERR1913315.1083__1.1083	1680__A0A2R4G1K8__BBMN23_0315
ERR1913315.1150__1.1150	1680__A0A087DHN0__AL0462_1532
ERR1913315.1093__1.1093	821__A0A174T998__DXB82_10860
ERR1913315.1348__1.1348	1150298__A0A174R4D7__tmpC_2
ERR1913315.1328__1.1328	820__A0A174G065__DXB62_08975
ERR1913315.1464__1.1464	28116__F7LC60__AA414_00422
ERR1913315.1479__1.1479	821__A0A174NM17__lacZ_6
ERR1913315.1606__1.1606	820__A0A3E4G3J9__ERS852459_02265
ERR1913315.1632__1.1632	820__A0A139KJR5__M093_4469
ERR1913315.1705__1.1705	40518__R5E2Z2__DXD93_09295
ERR1913315.1910__1.1910	74426__rpoC
ERR1913315.1919__1.1919	1262869__R7CRN3__BN625_01760
ERR1913315.2026__1.2026	292800__A0A174Y0J1__HMPREF0372_03035
ERR1913315.2114__1.2114	47678__R5UES3__CGC64_00760
ERR1913315.2155__1.2155	74426__pdxS
ERR1913315.2220__1.2220	214856__A0A175A6T5__ERS852447_02658
ERR1913315.2449__1.2449	821__A0A173XDD3__DXB82_17180
