ERR1913306.253__1.253	821__A0A396F9T7__M097_3427
ERR1913306.279__1.279	1535__A7VNP5__CH238_15100
ERR1913306.579__1.579	165179__D1PE06__DXC61_05975
ERR1913306.632__1.632	387090__S0F722__BACCOPRO_01630
ERR1913306.601__1.601	165179__A0A174XZU8__DXB80_12180
ERR1913306.663__1.663	1262889__R7HAK5__BN634_00884
ERR1913306.896__1.896	823__D7IW29__DXD05_13365
ERR1913306.1128__1.1128	1262889__R7HD84__BN634_01675
ERR1913306.1215__1.1215	1897011__A0A1Q6RF44__BHW41_03065
ERR1913306.1233__1.1233	823__A0A078SYK6__DXB14_02485
ERR1913306.1703__1.1703	165179__A0A3E5E5H1__DXC61_07220
ERR1913306.1714__1.1714	1501391__GCA_000786575.1_00119
ERR1913306.1807__1.1807	2173__A0A1D2WWE0__METSMIF1_03349
ERR1913306.1878__1.1878	28117__B0MVL5__BHV66_01660
ERR1913306.1894__1.1894	40518__R5DVR2__RBL236_00303
ERR1913306.2075__1.2075	46228__V8BYF1__HMPREF1202_02029
ERR1913306.2306__1.2306	1304__D0EMA3__CKU37_11015
ERR1913306.2330__1.2330	28117__B0MU76__ALIPUT_00202
ERR1913306.2402__1.2402	1262538__GeneID:16384865
ERR1913306.2407__1.2407	360807__A0A173RZE9__polC_2
ERR1913306.2609__1.2609	823__A0A395YVY3__ERS852513_03204
ERR1913306.2640__1.2640	626940__E8LGB7__BN587_02010
ERR1913306.2660__1.2660	28118__F9Z8K4__Odosp_0843
ERR1913306.2686__1.2686	165179__A0A3E5DZ45__DXC61_02820
ERR1913306.2628__1.2628	165179__R6CNX7__DXB80_02200
ERR1913306.2778__1.2778	853__A0A2A7B9I6__DW855_13690
ERR1913306.2898__1.2898	33043__A0A174EI47__inlJ
ERR1913306.2901__1.2901	1263011__R6DUC0__BN553_01945
ERR1913306.2990__1.2990	823__A0A174EFT7__luxQ_5
ERR1913306.3118__1.3118	1501391__GCA_000786575.1_00031
ERR1913306.3668__1.3668	1535__A7VUG9__CLOLEP_02215
ERR1913306.3650__1.3650	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913306.3695__1.3695	33043__A0A174EI47__inlJ
ERR1913306.3711__1.3711	291644__I9T9Y0__HMPREF1071_01813
ERR1913306.3880__1.3880	1150298__A0A174I2L4__ERS852535_01377
ERR1913306.3909__1.3909	165179__D1PGJ6__DXC61_07300
ERR1913306.4076__1.4076	820__A0A139K5A6__DXB48_12175
ERR1913306.4180__1.4180	246787__R6KBH9__HMPREF1062_04676
ERR1913306.4263__1.4263	165179__A0A229I1J2__DXB80_03950
ERR1913306.4492__1.4492	1150298__A0A174DU21__toxA_3
ERR1913306.4503__1.4503	33043__A0A173YLD4__ERS852575_00535
ERR1913306.4551__1.4551	1262886__R6QAH7__BN563_01646
ERR1913306.4683__1.4683	33043__D5HFD3__ybbD
ERR1913306.4713__1.4713	28117__R7JLL3__ALIPUT_02219
ERR1913306.4952__1.4952	165179__A0A3E4SEG4__DXC61_11235
ERR1913306.5011__1.5011	820__A0A174VD39__DXD90_12235
ERR1913306.5026__1.5026	165179__D1PE06__DXC61_05975
ERR1913306.5112__1.5112	33043__A0A174BZH8__ERS852575_02145
ERR1913306.5125__1.5125	1501391__GCA_000786575.1_00141
ERR1913306.5318__1.5318	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913306.5320__1.5320	338188__A0A1C7H5S1__HMPREF1057_02183
ERR1913306.5247__1.5247	33039__D4LYZ5__ERS852390_01248
