ERR1913271.7__1.7	1628085__A0A396QTT4__C7386_103139
ERR1913271.96__1.96	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913271.115__1.115	817__A0A396EUR3__M116_0725
ERR1913271.276__1.276	39488__A0A173V2K5__EHLA_3132
ERR1913271.396__1.396	166486__D4KZ14__inlA_1
ERR1913271.469__1.469	166486__D4KZ27__ROSINTL182_05762
ERR1913271.650__1.650	487174__K0WV13__DIT83_10890
ERR1913271.934__1.934	1628085__A0A374VR48__C7386_10754
ERR1913271.840__1.840	649756__A0A173SJN7__fgs_1
ERR1913271.1018__1.1018	166486__D4L082__yicI_5
ERR1913271.1175__1.1175	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.1285__1.1285	28117__R7JN92__BHV66_00550
ERR1913271.1800__1.1800	216816__E8MU45__DPC6316_1140
ERR1913271.1849__1.1849	166486__D4L378__hcaR
ERR1913271.1861__1.1861	357276__I9QBT7__BSEG_03340
ERR1913271.1934__1.1934	1262888__R6PCV2__BN582_01344
ERR1913271.1935__1.1935	817__Q64PG5__M084_3388
ERR1913271.2178__1.2178	818__A0A139KY34__ERS852461_03898
ERR1913271.2297__1.2297	28116__D4WLZ3__C5Z02_24105
ERR1913271.2362__1.2362	166486__A0A1Q6SCR5__ROSINTL182_05686
ERR1913271.2451__1.2451	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.2458__1.2458	28116__A0A3D2LPA1__CUY_3388
ERR1913271.2559__1.2559	28116__A0A1Y4Q114__DXF98_00470
ERR1913271.2584__1.2584	166486__D4L458__ROSINTL182_07088
ERR1913271.2746__1.2746	853__A8S882__C4N23_07600
ERR1913271.2771__1.2771	821__A0A173XDD3__DXB82_17180
ERR1913271.2773__1.2773	166486__D4KVZ0__ERS852572_03130
ERR1913271.2860__1.2860	1262948__R7EGP9__BN671_01082
ERR1913271.2924__1.2924	817__A0A0K6BNZ4__M084_0181
ERR1913271.3109__1.3109	817__A0A396C3S8__CQW36_02929
ERR1913271.3308__1.3308	28117__R7JJM9__ALIPUT_00662
ERR1913271.3382__1.3382	214856__I3YMC8__ERS852447_02666
ERR1913271.3646__1.3646	821__A0A0P0LH09__ERS852457_03390
ERR1913271.3612__1.3612	166486__D4KX18__ROSINTL182_07596
ERR1913271.3700__1.3700	817__A0A139TF61__M103_2261
ERR1913271.3901__1.3901	28117__R7JPX7__BHV66_00900
ERR1913271.4108__1.4108	818__A0A0P0F2P7__BT_1771
ERR1913271.4075__1.4075	1780376__A0A143XQT4__BN3659_01658
ERR1913271.4153__1.4153	649756__B0NZI4__DCR88_08000
ERR1913271.4202__1.4202	166486__D4KUM5__afr
ERR1913271.4213__1.4213	28116__A7M018__M089_5540
ERR1913271.4446__1.4446	39485__A0A174Z1T6__sfp
ERR1913271.4493__1.4493	649756__A0A174RGG7__senX3_2
ERR1913271.4641__1.4641	28117__B0MYI9__BHV66_05415
ERR1913271.4648__1.4648	1383__GCA_001438885.1_00443
ERR1913271.4592__1.4592	821__A0A173XDD3__DXB82_17180
ERR1913271.4620__1.4620	166486__D4KRN2__ERS852572_01816
ERR1913271.4753__1.4753	1262992__R5CYF8__BN795_01273
ERR1913271.4799__1.4799	40520__A0A174HUC5__DXB81_16470
ERR1913271.4820__1.4820	166486__D4KWZ7__cph2_5
ERR1913271.4853__1.4853	39488__R6GBC5__DXD91_06450
ERR1913271.4956__1.4956	818__A0A3E5HE16__C5Z03_22745
ERR1913271.4997__1.4997	194702__GCA_900460955.1_00530
ERR1913271.4975__1.4975	818__A0A174LEN9__BJP75_006595
ERR1913271.5114__1.5114	166486__D4L337__msbA_4
ERR1913271.5195__1.5195	853__A0A2A7B9I6__DW855_13690
ERR1913271.5264__1.5264	28117__B0MXD0__ALIPUT_01669
ERR1913271.5309__1.5309	33039__A0A173VTT4__frdB_1
ERR1913271.5336__1.5336	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913271.5403__1.5403	487174__K0WVG2__DDY40_00285
ERR1913271.5534__1.5534	1780376__A0A143XSC4__BN3659_01663
ERR1913271.5577__1.5577	169435__B0P958__ANACOL_01304
ERR1913271.5624__1.5624	821__D4VD59__BHV80_04260
ERR1913271.5632__1.5632	821__A0A3E4XY72__NCTC10583_01067
ERR1913271.5674__1.5674	28118__F9Z9B0__SAMEA44545918_02179
ERR1913271.5841__1.5841	1262992__R5DCL9__BN795_01551
ERR1913271.5816__1.5816	28117__B0MWP2__ALIPUT_01468
ERR1913271.5819__1.5819	214856__A0A174A1J3__ERS852447_01000
ERR1913271.5942__1.5942	818__A0A3E5HDU6__C799_04515
ERR1913271.6208__1.6208	1262992__R5CXL9__BN795_01014
ERR1913271.6499__1.6499	166486__D4L284__ERS852572_01651
ERR1913271.6500__1.6500	166486__D4KUC4__arcB_1
ERR1913271.6696__1.6696	487174__K0X694__DIT83_09060
ERR1913271.6928__1.6928	821__D4VD59__BHV80_04260
ERR1913271.7064__1.7064	166486__D4KXZ4__ROSINTL182_05055
ERR1913271.7075__1.7075	487174__K0X524__DDY40_09270
ERR1913271.7378__1.7378	28118__R6FHC4__NCTC10826_00338
ERR1913271.7592__1.7592	39485__A0A174Z8V5__fliU_2
ERR1913271.7655__1.7655	853__A0A173YYY4__DWZ04_09420
ERR1913271.7896__1.7896	166486__D4KZI1__ERS852572_00422
ERR1913271.7956__1.7956	821__C3RB94__DXC03_15585
ERR1913271.8078__1.8078	166486__D4KXK8__xynB_1
ERR1913271.8180__1.8180	821__R6F3Y1__SAMN04487923_104318
ERR1913271.8361__1.8361	853__A0A2A7B9I6__DW855_13690
ERR1913271.8522__1.8522	818__A0A0P0FWH4__Btheta7330_05099
ERR1913271.8885__1.8885	1150298__R7JUS2__ERS852498_02193
ERR1913271.8932__1.8932	218538__C9LQG6__GCWU000321_01798
ERR1913271.9099__1.9099	28117__B0MSR5__BHV66_02095
ERR1913271.9159__1.9159	853__A0A174BZY1__xerD_1
ERR1913271.9209__1.9209	821__A6L0C7__ERS852556_03520
ERR1913271.9504__1.9504	166486__A0A173V5I7__ERS852572_02640
ERR1913271.9533__1.9533	649756__D4MW63__DCR88_07570
ERR1913271.9586__1.9586	821__A0A174RA14__M099_1655
ERR1913271.9819__1.9819	817__D1JSR5__M071_2945
ERR1913271.9864__1.9864	1531__A0A0E2HBC9__HMPREF1087_04879
ERR1913271.10047__1.10047	487174__K0X2Q8__DDY40_04590
ERR1913271.10081__1.10081	74426__groL
ERR1913271.10299__1.10299	818__A0A0P0F7K1__ERS852461_02719
ERR1913271.10377__1.10377	817__Q64VX6__M085_5191
ERR1913271.11116__1.11116	39485__C4Z434__tilS
ERR1913271.11184__1.11184	649756__D4MVS5__yxeP
ERR1913271.11372__1.11372	166486__A0A173VSP1__ERS852572_03465
ERR1913271.11441__1.11441	818__E5C5U7__SAMN05216253_101163
ERR1913271.11550__1.11550	818__A0A174VV39__BT_3492
ERR1913271.12011__1.12011	166486__D4KZ69__ERS852572_01502
ERR1913271.12033__1.12033	817__Q64W68__M125_1923
ERR1913271.12130__1.12130	487174__K0WVG2__DDY40_00285
ERR1913271.12175__1.12175	818__A0A3E5HHE1__Btheta7330_00796
ERR1913271.12284__1.12284	821__C6ZAA5__ERS852556_00403
ERR1913271.12295__1.12295	817__A0A149N485__HMPREF1056_02940
ERR1913271.12340__1.12340	166486__D4KZ45__ROSINTL182_05738
ERR1913271.12402__1.12402	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.12498__1.12498	817__E4VY01__AE940_09870
ERR1913271.12537__1.12537	821__A0A396F9T7__M097_3427
ERR1913271.12722__1.12722	28116__A0A078Q626__HMPREF1070_02735
ERR1913271.12972__1.12972	487174__K0XK80__DIT83_00335
ERR1913271.13294__1.13294	166486__D4KWN4__ERS852572_01865
ERR1913271.13379__1.13379	166486__D4KWZ7__cph2_5
ERR1913271.13448__1.13448	817__A0A015ZG63__M138_3555
ERR1913271.13502__1.13502	166486__D4KV78__aroA
ERR1913271.13472__1.13472	818__A0A3E5HWN5__BSIG_3066
ERR1913271.13583__1.13583	818__R9HBA6__HMPREF2534_04317
ERR1913271.13701__1.13701	818__A0A139KW23__HMPREF2534_00792
ERR1913271.14106__1.14106	28117__B0MVL5__BHV66_01660
ERR1913271.14182__1.14182	853__A0A2A7B1Y7__C7K05_11930
ERR1913271.14193__1.14193	818__A0A139KMR0__Btheta7330_03958
ERR1913271.14349__1.14349	28117__B0MU57__ALIPUT_00175
ERR1913271.14364__1.14364	817__A0A0E2SZV3__M087_0730
ERR1913271.14457__1.14457	552398__F4XCR9__HMPREF0866_01636
