ERR1913014.505__1.505	487174__K0WU53__DDY40_07650
ERR1913014.748__1.748	1262824__R6RM15__BN719_02410
ERR1913014.1015__1.1015	821__A0A174NM17__lacZ_6
ERR1913014.1070__1.1070	820__A7VAR9__ERS852421_00197
ERR1913014.855__1.855	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1913014.1018__1.1018	47678__R5U819__DW706_12015
ERR1913014.1269__1.1269	239935__A0A2N8IQX1__dnaA
ERR1913014.1245__1.1245	820__A0A3E4VXP2__yesR
ERR1913014.1217__1.1217	821__A0A395VLM8__BvMPK_3650
ERR1913014.1413__1.1413	1099853__G9S2B8__NSB1T_09105
ERR1913014.1721__1.1721	1099853__G9S5I8__NSB1T_01205
ERR1913014.1956__1.1956	820__A0A174GK47__ERS852421_00200
ERR1913014.2090__1.2090	820__A0A078STJ8__DXC68_04690
ERR1913014.2191__1.2191	33025__A0A395JA92__C8D73_108100
ERR1913014.2392__1.2392	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.2396__1.2396	39492__D4JUS6__accD5
ERR1913014.2409__1.2409	39492__D4JWR6__dnaN
ERR1913014.2412__1.2412	357276__B6W1J2__BACDOR_03380
ERR1913014.2459__1.2459	1547__B0N672__DXB93_08305
ERR1913014.2466__1.2466	47678__R5U7U0__DW706_12005
ERR1913014.2516__1.2516	1547__H1AGN0__CLORAM_01193
ERR1913014.2584__1.2584	246787__A0A0P0GNX3__BACCELL_00807
ERR1913014.2609__1.2609	818__A0A139KW23__HMPREF2534_00792
ERR1913014.2779__1.2779	239935__A0A2N8HL91__holA
ERR1913014.2833__1.2833	487174__K0WYI1__DDY40_08675
ERR1913014.2981__1.2981	239935__A0A2N8IDX4__CXU20_07380
ERR1913014.2991__1.2991	1099853__G9S8I7__NSB1T_12985
ERR1913014.3037__1.3037	239935__A0A2N8I390__CXU16_10675
ERR1913014.3064__1.3064	818__A0A1H7S810__BJP75_003270
ERR1913014.3264__1.3264	821__A0A174NVL6__NCTC10583_01782
ERR1913014.3270__1.3270	246787__A0A0P0GF82__HMPREF1062_02163
ERR1913014.3317__1.3317	1262700__R5XUF1__BN695_00765
ERR1913014.3369__1.3369	214856__A0A175A6T5__ERS852447_02658
ERR1913014.3384__1.3384	1262700__R5X8Q0__BN695_00340
ERR1913014.3430__1.3430	33025__A0A395J8P0__C8D73_1144
ERR1913014.3470__1.3470	823__A0A174XJM9__CEQ22_007230
ERR1913014.3473__1.3473	818__A0A3E5GYI4__NCTC10582_00013
ERR1913014.3532__1.3532	1262756__R5X2A8__BN568_00624
ERR1913014.3602__1.3602	487174__K0XKD7__HMPREF9448_01550
ERR1913014.3656__1.3656	239935__A0A139TTZ7__CXU14_07900
ERR1913014.3732__1.3732	818__C6IJ08__BJP75_000645
ERR1913014.3823__1.3823	239935__A0A2N8HJX0__CXU19_08380
ERR1913014.3826__1.3826	28118__F9ZAB2__SAMEA44545918_01079
ERR1913014.4130__1.4130	820__A0A3E4PYB0__yejM
ERR1913014.4221__1.4221	820__A7V8C2__ERS852554_01338
ERR1913014.4323__1.4323	818__A0A3E5HN72__C799_03359
ERR1913014.4436__1.4436	626932__G5H871__HMPREF9450_01131
ERR1913014.4438__1.4438	821__A0A0P0M2J4__DXD46_10295
ERR1913014.4592__1.4592	1262743__R5C054__BN727_01980
ERR1913014.4621__1.4621	292800__G9YVI7__yrrB
ERR1913014.4626__1.4626	820__A0A139JUD3__DXC91_19380
ERR1913014.4633__1.4633	246787__A0A3D6AV26__BcellWH2_02579
ERR1913014.4660__1.4660	292800__A0A174T130__HMPREF9460_00060
ERR1913014.4662__1.4662	818__A0A3E5HN77__HMPREF2534_00072
ERR1913014.4680__1.4680	47678__R5UME6__BACCAC_01239
ERR1913014.4779__1.4779	821__R7P1Q7__M099_2990
ERR1913014.4749__1.4749	33025__A0A395J947__C8D73_11315
ERR1913014.4787__1.4787	1262700__R5XDW9__BN695_01259
ERR1913014.4823__1.4823	818__A0A139K9H8__C5Z03_23905
ERR1913014.4919__1.4919	189722__E0NQU7__HMPREF0658_0548
ERR1913014.5016__1.5016	47678__R5UMP1__CGC64_03365
ERR1913014.5101__1.5101	246787__R6LCL3__AA416_03522
ERR1913014.5128__1.5128	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913014.5219__1.5219	208479__R5F0L7__HMPREF1097_01430
ERR1913014.5334__1.5334	818__A0A0P0FSA3__ERS852557_00283
ERR1913014.5338__1.5338	820__A0A3E4VXP2__yesR
ERR1913014.5470__1.5470	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913014.5501__1.5501	818__E5C5U7__SAMN05216253_101163
ERR1913014.5556__1.5556	246787__A0A3D6AZF8__BACCELL_02529
