ERR1913155.341__1.341	387661__R5DFX1__PRABACTJOHN_01199
ERR1913155.370__1.370	1150298__A0A174PLY5__ERS852406_01056
ERR1913155.397__1.397	376805__F0R8H8__Bacsa_0435
ERR1913155.526__1.526	1150298__R7JPI7__cotI
ERR1913155.617__1.617	338188__C9KT47__BACFIN_05483
ERR1913155.910__1.910	1680__R5GR82__AD0028_0014
ERR1913155.1053__1.1053	39485__A0A175A403__EUBELI_20577
ERR1913155.1109__1.1109	552398__F4XHN7__HMPREF0866_03141
ERR1913155.1328__1.1328	820__A0A174M9V5__M093_0237
ERR1913155.1409__1.1409	39491__A0A174A751__DXB69_15525
ERR1913155.1568__1.1568	1263044__GCA_000433375.1_01151
ERR1913155.1597__1.1597	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913155.1761__1.1761	1628085__A0A374VKR8__C7386_1272
ERR1913155.1827__1.1827	47678__R5UAI1__BACCAC_01922
ERR1913155.1924__1.1924	214856__A0A174A0R8__ERS852447_00998
ERR1913155.1977__1.1977	100886__E2NNQ5__CATMIT_00187
ERR1913155.2008__1.2008	39491__A0A395V0H6__ERS852580_02570
ERR1913155.2028__1.2028	376805__F0R8H8__Bacsa_0435
ERR1913155.2112__1.2112	1263044__GCA_000433375.1_01150
ERR1913155.2421__1.2421	820__A0A174QLF0__SAMN05444418_109151
ERR1913155.2870__1.2870	39491__A0A395UVM9__DXB76_04540
ERR1913155.2919__1.2919	100886__E2NUH9__CATMIT_02260
ERR1913155.2981__1.2981	1378168__V2YA11__N510_02528
ERR1913155.2993__1.2993	46503__R5DLM3__HMPREF1078_03417
ERR1913155.3022__1.3022	39491__A0A395ZG96__DXB69_15120
ERR1913155.3137__1.3137	40519__U2MCQ8__RUMCAL_00556
ERR1913155.3157__1.3157	40518__R5DP61__DXD86_06345
ERR1913155.3112__1.3112	1262886__R6Q6Q1__BN563_00546
ERR1913155.3184__1.3184	853__A0A174UDE9__C4N25_12775
ERR1913155.3280__1.3280	40518__R5E282__DXD86_08940
ERR1913155.3355__1.3355	33025__A0A395J9P6__C8D73_109115
ERR1913155.3363__1.3363	1262886__R6QNV6__BN563_00627
ERR1913155.3364__1.3364	39490__U2PBH7__HMPREF0373_03331
ERR1913155.3550__1.3550	301302__R5VEI6__cysA_2
ERR1913155.3509__1.3509	821__A0A174NM17__lacZ_6
ERR1913155.3594__1.3594	33043__D5HI09__ERS852575_02656
ERR1913155.3979__1.3979	853__A0A3E2V168__FAEPRAM212_00929
ERR1913155.4101__1.4101	1150298__R7JV71__ERS852498_00755
ERR1913155.4131__1.4131	1262886__R6RDI4__BN563_00643
ERR1913155.4134__1.4134	40518__R5DR39__mreB_2
ERR1913155.4387__1.4387	33043__A0A173ZDC4__malL_1
ERR1913155.4415__1.4415	1150298__A0A174HHW8__yhbU_1
ERR1913155.4465__1.4465	1150298__A0A174DU21__toxA_3
ERR1913155.4698__1.4698	823__A0A355XKQ8__DHP27_04010
ERR1913155.4756__1.4756	40520__R7DCK3__DXD81_02605
ERR1913155.5058__1.5058	100886__A0A174M1X1__CATMIT_00960
ERR1913155.5083__1.5083	74426__rpoB
ERR1913155.5211__1.5211	301302__R5UUM8__ganB_1
ERR1913155.5251__1.5251	100886__A0A174LEG5__ERS852383_05606
ERR1913155.5302__1.5302	823__A0A173UDF6__CEQ22_003270
ERR1913155.5337__1.5337	216816__A0A1V8RHV4__DXD44_06445
ERR1913155.5437__1.5437	40518__R5DLU0__fmt
ERR1913155.5542__1.5542	40518__R5DW64__RBL236_01394
