ERR1913073.257__1.257	1463165__A0A1D3KJ47__BME69_05190
ERR1913073.353__1.353	39491__A0A173TM76__DXB72_10535
ERR1913073.455__1.455	40518__R5DR96__RBATCC27255_01185
ERR1913073.377__1.377	40518__R5DU92__DXD93_03170
ERR1913073.385__1.385	39491__A0A174LTW7__DXD13_08720
ERR1913073.472__1.472	853__A0A174AML0__FPR_08640
ERR1913073.714__1.714	40518__R5DYU1__DXD86_01160
ERR1913073.787__1.787	884684__GCA_002892425.1_01417
ERR1913073.734__1.734	818__A0A0P0F525__C799_04575
ERR1913073.919__1.919	820__A0A139KJ23__celCCA
ERR1913073.988__1.988	47678__A5ZL09__BACCAC_03608
ERR1913073.1031__1.1031	28116__A0A3A9HTT7__BACOVA_05446
ERR1913073.1242__1.1242	40518__R5E6X5__sbcD
ERR1913073.1395__1.1395	853__A0A173XRA8__CGS56_09290
ERR1913073.1436__1.1436	394340__padG
ERR1913073.1720__1.1720	821__C6Z087__DXB90_00750
ERR1913073.1737__1.1737	40518__R5E4X1__DXD93_05270
ERR1913073.1772__1.1772	1686__B6XVK7__BIFCAT_01236
ERR1913073.1820__1.1820	39488__A0A285PP42__cobQ
ERR1913073.1882__1.1882	487175__F3QND6__HMPREF9439_02468
ERR1913073.1886__1.1886	47678__I8UYF7__DW706_16415
ERR1913073.1969__1.1969	28116__D7K2E0__endOF2_3
ERR1913073.2083__1.2083	39491__A0A2U2EED4__ERS852580_01584
ERR1913073.2084__1.2084	40518__R5DUG7__sbcC
ERR1913073.2168__1.2168	28116__E5C5U2__HMPREF2532_02418
ERR1913073.2421__1.2421	853__A0A173TAZ8__DWZ46_14590
ERR1913073.2390__1.2390	310298__B3JMZ2__BACCOP_03297
ERR1913073.2487__1.2487	40518__R5E5W1__RBL263_01034
ERR1913073.2518__1.2518	214856__A0A174BBG7__ERS852447_01289
ERR1913073.2642__1.2642	1263109__GCA_000438135.1_00733
ERR1913073.2623__1.2623	1680__A1A0V3__C8077_03025
ERR1913073.2627__1.2627	214856__A0A174H3U9__ERS852559_00612
ERR1913073.2676__1.2676	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913073.2787__1.2787	1318__T0TTB0__strH_1
ERR1913073.3202__1.3202	820__A7UYG6__M094_0070
ERR1913073.3339__1.3339	328813__A0A1Y3QZD2__B5G41_09470
ERR1913073.3363__1.3363	821__A0A173WG51__BVU_2549
ERR1913073.3412__1.3412	1550024__A0A3B9WI73__ASJ35_03410
ERR1913073.3591__1.3591	1150298__R7JNQ8__ERS852406_00857
ERR1913073.3659__1.3659	39491__A0A395V1R3__T1815_08181
ERR1913073.3870__1.3870	216816__E8MVM4__APC1480_1562
ERR1913073.3876__1.3876	39491__A0A396FGM9__fliU_1
ERR1913073.3940__1.3940	1263109__GCA_000438135.1_00177
ERR1913073.3967__1.3967	310298__B3JHU0__BACCOP_01452
ERR1913073.4093__1.4093	40518__R5DW64__RBL236_01394
ERR1913073.4108__1.4108	821__A0A0P0M4G3__M099_3092
ERR1913073.4206__1.4206	823__D0TCC2__HMPREF1075_01590
ERR1913073.4333__1.4333	216816__A0A1D7MV89__EK5BL_04715
ERR1913073.4365__1.4365	39491__A0A395UYA6__EUBREC_0408
ERR1913073.4420__1.4420	40518__R5E6X5__sbcD
ERR1913073.4687__1.4687	47678__R5UES7__sipS
ERR1913073.4788__1.4788	176090__A0A0A0DF29__SSIN_1565
ERR1913073.4766__1.4766	1686__B6XVK7__BIFCAT_01236
ERR1913073.4839__1.4839	39491__C4ZF05__vpr
ERR1913073.5051__1.5051	820__A7UYX8__DXD40_11635
ERR1913073.5090__1.5090	28116__F7L4X5__M089_2857
ERR1913073.5161__1.5161	853__A0A173XRA8__CGS56_09290
ERR1913073.5277__1.5277	204516__U6R8Z4__HMPREF1534_03879
ERR1913073.5432__1.5432	28117__B0MWP2__ALIPUT_01468
ERR1913073.5447__1.5447	1965631__A0A1Y4ADW2__B5F90_08150
ERR1913073.5424__1.5424	1304__J7TYF2__hk13_3
ERR1913073.5427__1.5427	39491__A0A2U2EKL1__ERS852580_00911
ERR1913073.5474__1.5474	28118__F9Z3G8__B5F99_01835
ERR1913073.5655__1.5655	853__A0A173TAZ8__DWZ46_14590
ERR1913073.5854__1.5854	33043__A0A173W4M0__dnaD
ERR1913073.5933__1.5933	820__A0A174F0C1__nreB
ERR1913073.5968__1.5968	1318__E8K6Z8__gtfB
ERR1913073.6068__1.6068	40518__R5DXW3__DXD86_07900
ERR1913073.6119__1.6119	246787__R6LCL3__AA416_03522
ERR1913073.6087__1.6087	78345__A0A087BJK4__SAMN02745589_1497
ERR1913073.6099__1.6099	40518__R5DU74__RBATCC27255_00707
ERR1913073.6150__1.6150	328813__A0A1Y3QUP2__B5G41_06690
ERR1913073.6178__1.6178	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913073.6245__1.6245	1304__Q55242__V471_04485
ERR1913073.6276__1.6276	28117__B0MT73__ALIPUT_00412
ERR1913073.6373__1.6373	40518__R5DVX3__RBL263_01584
ERR1913073.6444__1.6444	357276__B6W1J2__BACDOR_03380
ERR1913073.6517__1.6517	853__C7H7F8__yccM_1
ERR1913073.6536__1.6536	40518__R5DQW8__sipW_2
ERR1913073.6571__1.6571	40518__R5DUG7__sbcC
ERR1913073.6590__1.6590	33043__A0A173WU55__ganB_2
ERR1913073.6596__1.6596	39483__D4JDT1__HMPREF0367_01249
ERR1913073.6609__1.6609	1304__J7TU69__A6J87_07685
ERR1913073.6963__1.6963	39491__A0A395UXH0__EUBREC_0021
ERR1913073.7020__1.7020	1262911__R6GSH8__BN557_00939
ERR1913073.7104__1.7104	28117__B0MTV5__BHV66_06415
ERR1913073.7196__1.7196	28117__B0MWP2__ALIPUT_01468
ERR1913073.7282__1.7282	40518__R5DUG7__sbcC
ERR1913073.7342__1.7342	39491__A0A395V1R3__T1815_08181
ERR1913073.7422__1.7422	204516__U6RGK1__HMPREF1534_01924
ERR1913073.7446__1.7446	310298__B3JGJ2__BACCOP_00994
ERR1913073.7451__1.7451	28117__B0MWP2__ALIPUT_01468
ERR1913073.7487__1.7487	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913073.7513__1.7513	214856__A0A173ZQB9__ERS852559_00006
ERR1913073.7554__1.7554	820__A7V470__HMPREF1072_02076
ERR1913073.7522__1.7522	1304__F8LL84__TZ98_00083
ERR1913073.7570__1.7570	28117__R7JJM9__ALIPUT_00662
ERR1913073.7612__1.7612	33043__A0A173X7L1__ERS852400_00423
ERR1913073.7613__1.7613	40518__R5DU28__DXD86_07960
ERR1913073.7680__1.7680	40518__R5DQW8__sipW_2
ERR1913073.7801__1.7801	820__A0A174QLF0__SAMN05444418_109151
ERR1913073.7934__1.7934	39491__A0A395ZG74__licR
ERR1913073.8101__1.8101	40518__R5E0G0__RBATCC27255_01787
ERR1913073.8170__1.8170	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913073.8171__1.8171	39486__G1WLK1__DXD50_02145
ERR1913073.8215__1.8215	820__A0A1T4IYF4__mprA_1
ERR1913073.8229__1.8229	1680__A7A7Z9__AAX71_05385
ERR1913073.8429__1.8429	1317__A0A2N6PS84__HMPREF9176_0871
ERR1913073.8588__1.8588	100886__A0A174HGR4__pepD
ERR1913073.8613__1.8613	853__A0A174CVG7__CGS58_09335
ERR1913073.8646__1.8646	28117__B0MZ50__ALIPUT_02424
ERR1913073.8655__1.8655	1263109__GCA_000438135.1_01184
ERR1913073.8664__1.8664	216816__D6DBD7__BL71B_09615
ERR1913073.8759__1.8759	218538__C9LNL5__GCWU000321_01138
ERR1913073.8769__1.8769	1304__D0EMA3__CKU37_11015
ERR1913073.8858__1.8858	310298__B3JED9__BACCOP_00230
ERR1913073.9037__1.9037	1317__A0A2N6PS72__NCTC11391_00163
ERR1913073.9084__1.9084	47678__R5U8S9__DW706_06260
ERR1913073.9315__1.9315	1550024__G9RTA6__TQ39_10970
ERR1913073.9370__1.9370	39491__A0A395V297__EUR_01010
ERR1913073.9376__1.9376	39485__C4Z6J7__ERS852492_02047
ERR1913073.9465__1.9465	33043__D5HFA0__glfT2
ERR1913073.9584__1.9584	1150298__A0A174HEB6__ypdC_2
ERR1913073.9633__1.9633	1150298__A0A174M5S6__ERS852498_01656
ERR1913073.9806__1.9806	1304__J7TYF2__hk13_3
ERR1913073.9868__1.9868	33043__D5HEU4__ftsW_3
ERR1913073.9932__1.9932	39491__A0A396FUZ3__phoR_1
ERR1913073.10122__1.10122	28117__B0MXU6__ALIPUT_01958
ERR1913073.10208__1.10208	40518__R5DQR9__DXD83_00030
ERR1913073.10430__1.10430	1686__B6XTQ6__BIFCAT_00534
ERR1913073.10465__1.10465	88431__A0A174IEH2__DXB16_05910
ERR1913073.10493__1.10493	1343__E8KTC3__cah
ERR1913073.10792__1.10792	1680__A0A0B5BKZ3__DXD60_01450
ERR1913073.10859__1.10859	1304__J7SI29__DL08_08910
ERR1913073.10949__1.10949	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.11199__1.11199	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.11207__1.11207	487174__K0X2Y1__lepB
ERR1913073.11387__1.11387	821__A0A395VLM8__BvMPK_3650
ERR1913073.11469__1.11469	40518__R5DP21__RBATCC27255_00348
ERR1913073.11504__1.11504	40518__R5DXH2__DXD83_10135
ERR1913073.11545__1.11545	1680__A0A3E4SB79__BAD_1517
ERR1913073.11659__1.11659	100886__A0A174KUM0__yaaA_2
ERR1913073.11759__1.11759	214856__A0A174ZTW9__ERS852447_01287
ERR1913073.11861__1.11861	33043__A0A174H1Y6__ERS852575_02698
ERR1913073.11987__1.11987	1304__A0A0A1DX26__SSAL8618_09600
ERR1913073.11990__1.11990	821__A6L0C7__ERS852556_03520
ERR1913073.12016__1.12016	310298__B3JPY4__BACCOP_04016
ERR1913073.12115__1.12115	310298__B3JNG7__BACCOP_03480
ERR1913073.12086__1.12086	821__A6L0C7__ERS852556_03520
ERR1913073.12163__1.12163	1263107__GCA_000436995.1_00244
ERR1913073.12174__1.12174	40518__R5DUU8__DXD86_08440
ERR1913073.12217__1.12217	1680__A0A174BEE7__BSTER_1311
ERR1913073.12362__1.12362	39491__A0A395V297__EUR_01010
ERR1913073.12521__1.12521	28116__A0A3A9HTT7__BACOVA_05446
ERR1913073.12568__1.12568	216816__C5E9N8__DD678_02795
ERR1913073.12578__1.12578	853__A0A173TAZ8__DWZ46_14590
ERR1913073.12617__1.12617	28117__B0N028__BHV66_05935
ERR1913073.12707__1.12707	1262992__R5D586__BN795_00723
ERR1913073.12898__1.12898	2107999__A0A133P7H8__LK7_002910
ERR1913073.12907__1.12907	1680__R5GR82__AD0028_0014
ERR1913073.12946__1.12946	214856__A0A174ZLY7__ERS852447_02456
ERR1913073.12956__1.12956	1680__A0A1X3A7D3__AD0028_1139
ERR1913073.12988__1.12988	39491__A0A395UZ82__EUR_31520
ERR1913073.12996__1.12996	418240__C6JFI6__ERS852523_01129
ERR1913073.13123__1.13123	40518__R5DR72__RBL236_02110
ERR1913073.13535__1.13535	1304__A0A2I1TK21__TZ99_00611
ERR1913073.13580__1.13580	1263109__GCA_000438135.1_00332
ERR1913073.13673__1.13673	291644__I8YWU4__HMPREF1532_01473
ERR1913073.13685__1.13685	40518__R5DPI9__DXD83_07375
ERR1913073.13701__1.13701	40518__R5DSI5__fieF
ERR1913073.13811__1.13811	39491__A0A395ZDC6__addB
ERR1913073.13828__1.13828	301301__A0A395V7C8__RHOM_02390
ERR1913073.13847__1.13847	39491__C4Z9E9__T1815_12341
ERR1913073.13856__1.13856	1263109__GCA_000438135.1_00527
ERR1913073.13862__1.13862	28117__B0MSS1__ALIPUT_00273
ERR1913073.13921__1.13921	487175__R5E3X8__HMPREF9439_02794
ERR1913073.13936__1.13936	39491__A0A395V0H6__ERS852580_02570
ERR1913073.13939__1.13939	1680__R5GRA4__ERS852382_01548
ERR1913073.14085__1.14085	1343__E3CNF4__comA
ERR1913073.14097__1.14097	39491__A0A173TFQ1__rsmF
ERR1913073.14292__1.14292	28118__F9ZBY3__Odosp_3561
ERR1913073.14400__1.14400	100886__A0A174MX77__fruA_1
ERR1913073.14495__1.14495	1796613__A0A1C7GYD6__A4V03_03700
ERR1913073.14553__1.14553	1150298__A0A174LE54__cysA
ERR1913073.14642__1.14642	853__A0A173XRA8__CGS56_09290
ERR1913073.14655__1.14655	216816__D6D9H5__APC1466_0493
ERR1913073.14735__1.14735	40518__R5DYU1__DXD86_01160
ERR1913073.14790__1.14790	28117__B0MTV0__BHV66_06395
ERR1913073.14805__1.14805	853__A0A173T6P2__DWZ46_14595
ERR1913073.14906__1.14906	88431__A0A3D0F1J0__ERS852526_00938
ERR1913073.14985__1.14985	1304__A0A2I1TLS3__DL07_03485
