ERR1913279.29__1.29	363265__G6AYV3__HMPREF0673_01814
ERR1913279.36__1.36	410072__R6LKC9__ERS852525_01807
ERR1913279.91__1.91	363265__R6F9Q7__HMPREF0673_00179
ERR1913279.102__1.102	40518__R5DW64__RBL236_01394
ERR1913279.212__1.212	820__A0A3E4W084__BACUNI_04042
ERR1913279.323__1.323	823__A0A174KUS4__araC_7
ERR1913279.432__1.432	239935__B2UPZ6__CXU03_03800
ERR1913279.615__1.615	328814__GCA_004558275.1_00025
ERR1913279.770__1.770	239935__A0A2N8ITX2__CXT86_11265
ERR1913279.846__1.846	214856__A0A173ZZ16__umuC_2
ERR1913279.1139__1.1139	46228__V8CB66__RUMLAC_02810
ERR1913279.1205__1.1205	40518__R5DUU8__DXD86_08440
ERR1913279.1216__1.1216	165179__A0A3E5E3D6__DXC61_05750
ERR1913279.1247__1.1247	214856__I3YPQ4__Alfi_2712
ERR1913279.1276__1.1276	1550024__A0A0D8J179__ASJ35_09245
ERR1913279.1570__1.1570	28117__R7JJM9__ALIPUT_00662
ERR1913279.1601__1.1601	572010__rpoB
ERR1913279.1651__1.1651	33039__A0A174XLA4__araR
ERR1913279.1672__1.1672	387661__K5YL92__PRABACTJOHN_01669
ERR1913279.2080__1.2080	1680__A1A0V3__C8077_03025
ERR1913279.2279__1.2279	214856__A0A174FW22__ERS852447_02437
ERR1913279.2374__1.2374	35833__E5Y305__HMPREF0179_00566
ERR1913279.2609__1.2609	1735__B7CE14__EUBIFOR_02449
ERR1913279.2817__1.2817	1965538__A0A1Y4W6B1__B5E43_09890
ERR1913279.2964__1.2964	214856__A0A174A1J3__ERS852447_01000
ERR1913279.3472__1.3472	39492__D4JVC7__yfgF
ERR1913279.3514__1.3514	214856__A0A174FX52__yddM
ERR1913279.3547__1.3547	28117__B0MTV5__BHV66_06415
ERR1913279.3623__1.3623	28117__B0MTY2__BHV66_06485
ERR1913279.3649__1.3649	214856__A0A174ZEW0__ERS852447_00985
ERR1913279.3678__1.3678	823__A0A073I9P2__CF162_18000
ERR1913279.3694__1.3694	487174__K0XER9__DDY40_08885
ERR1913279.3792__1.3792	1263006__R6MRG8__BN515_00513
ERR1913279.3823__1.3823	40518__R5E1J7__RBL236_02062
ERR1913279.3904__1.3904	363265__G6B0R4__HMPREF0673_02482
ERR1913279.3890__1.3890	214856__A0A174G1M7__ERS852559_00594
ERR1913279.4144__1.4144	242750__D1PVH0__HMPREF0645_0955
ERR1913279.4187__1.4187	817__A0A0E2SQU5__M067_3544
ERR1913279.4321__1.4321	820__A0A139K426__B5G17_09115
ERR1913279.4523__1.4523	74426__rpoC
ERR1913279.4539__1.4539	820__A0A3E4PYB0__yejM
ERR1913279.4576__1.4576	39492__D4MMN2__EUBSIR_00964
ERR1913279.4961__1.4961	74426__infB
ERR1913279.5049__1.5049	214856__R6XQX8__ERS852559_02550
ERR1913279.5107__1.5107	33039__A0A3D0EY88__ERS852390_03120
ERR1913279.5191__1.5191	214856__A0A174G1M7__ERS852559_00594
ERR1913279.5244__1.5244	165179__A0A3E5AEF7__DXC61_05000
ERR1913279.5320__1.5320	1262929__R6FRG9__BN691_01453
ERR1913279.5379__1.5379	820__A7V092__hldE
ERR1913279.5445__1.5445	74426__purL
ERR1913279.5630__1.5630	28117__B0MZ50__ALIPUT_02424
ERR1913279.5597__1.5597	360807__A0A173WJE3__mcp4_4
ERR1913279.5611__1.5611	28117__B0MXX2__ALIPUT_01984
ERR1913279.5796__1.5796	214856__A0A174ZJU0__ERS852559_00619
ERR1913279.5820__1.5820	33039__D4M4L7__ripA
ERR1913279.5822__1.5822	544644__GCA_001915615.1_02194
ERR1913279.5845__1.5845	1965576__A0A1Y4L5L1__B5F19_13760
ERR1913279.5916__1.5916	28117__R7JIJ8__BHV66_01635
ERR1913279.5942__1.5942	214856__A0A174A1J3__ERS852447_01000
ERR1913279.5946__1.5946	33039__D4M6I1__nadB_2
ERR1913279.6019__1.6019	823__A0A173W8N5__ERS852513_00780
ERR1913279.6093__1.6093	820__A0A139K337__ERS852459_02375
