ERR1913190.25__1.25	39491__C4ZC33__DXC13_11585
ERR1913190.335__1.335	28117__B0MSS1__ALIPUT_00273
ERR1913190.431__1.431	165179__A0A3E5DX33__PREVCOP_05190
ERR1913190.835__1.835	214856__A0A174ZLY7__ERS852447_02456
ERR1913190.859__1.859	1262882__R5MLT4__BN519_01496
ERR1913190.870__1.870	1263000__R5F0H4__BN466_00249
ERR1913190.913__1.913	33025__A0A395J947__C8D73_11315
ERR1913190.1224__1.1224	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913190.1362__1.1362	165179__D1PEW8__DXB80_13775
ERR1913190.1374__1.1374	165179__A0A3E5E920__DXB80_11625
ERR1913190.1376__1.1376	214856__A0A173ZQD5__ERS852559_00002
ERR1913190.1578__1.1578	214856__A0A174G1M7__ERS852559_00594
ERR1913190.1739__1.1739	165179__D1P8Q2__trpF
ERR1913190.1790__1.1790	371601__E5CE41__ERS852396_04351
ERR1913190.2071__1.2071	1262882__R5MT08__BN519_01706
ERR1913190.2319__1.2319	165179__A0A174W369__PREVCOP_04548
ERR1913190.2463__1.2463	1897011__A0A1Q6RGE4__BHW41_02910
ERR1913190.2613__1.2613	301301__A0A395V8G6__RHOM_11005
ERR1913190.2793__1.2793	165179__D1PHV2__PREVCOP_06822
ERR1913190.2873__1.2873	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913190.2885__1.2885	1262992__R5DAK8__BN795_01248
ERR1913190.2900__1.2900	46228__B5CP97__RUMLAC_01288
ERR1913190.3220__1.3220	301301__A0A395VFD3__ERS852391_02492
ERR1913190.3251__1.3251	360807__A0A174D2B1__ROSEINA2194_00224
ERR1913190.3263__1.3263	1501391__GCA_000786575.1_00059
ERR1913190.3301__1.3301	1262882__R5MHZ2__BN519_00742
ERR1913190.3371__1.3371	1628085__A0A2U1BHQ4__C7386_101458
ERR1913190.3457__1.3457	165179__D1PHD6__DXC61_03380
ERR1913190.3853__1.3853	1263000__R5EKT2__BN466_02168
ERR1913190.4164__1.4164	165179__A0A229I9X5__CFT61_01205
ERR1913190.4255__1.4255	46228__V8CE19__DXD17_01950
ERR1913190.4437__1.4437	214856__R6Z590__ERS852447_01059
ERR1913190.4381__1.4381	1263000__R5EHB0__BN466_01647
ERR1913190.4577__1.4577	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.4638__1.4638	357276__C3R9Y0__HMPREF1064_01889
ERR1913190.4649__1.4649	301301__A0A395VA18__RHOM_11700
ERR1913190.4791__1.4791	1897011__A0A1Q6RC30__BHW41_06700
ERR1913190.4822__1.4822	301301__A0A395V4S5__RHOM_15770
ERR1913190.4905__1.4905	165179__A0A174WGF6__PREVCOP_04095
ERR1913190.5120__1.5120	46503__R6X5E7__PARMER_00245
ERR1913190.5395__1.5395	28117__B0MTV3__BHV66_06405
ERR1913190.5580__1.5580	1897011__A0A1Q6RFC7__BHW41_03540
ERR1913190.5825__1.5825	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913190.6116__1.6116	820__A0A174GK47__ERS852421_00200
ERR1913190.6278__1.6278	214856__I3YMN6__Alfi_1938
ERR1913190.6301__1.6301	1262882__R5N3H1__BN519_01121
ERR1913190.6312__1.6312	1263000__R5EDV4__BN466_01097
ERR1913190.6361__1.6361	1686__B6XUW3__BIFCAT_00676
ERR1913190.6415__1.6415	1262882__R5N3H1__BN519_01121
ERR1913190.6487__1.6487	1262911__R6GKS1__BN557_00184
ERR1913190.6542__1.6542	1262882__R5MEI8__BN519_00283
ERR1913190.6762__1.6762	1262882__R5N3T7__BN519_01188
ERR1913190.6771__1.6771	165179__R6XIF8__DXC61_07265
ERR1913190.6806__1.6806	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913190.6858__1.6858	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913190.6902__1.6902	165179__A0A174SA26__PREVCOP_05758
ERR1913190.6982__1.6982	1262882__R5N5D7__BN519_01676
ERR1913190.7262__1.7262	28117__B0MU57__ALIPUT_00175
ERR1913190.7565__1.7565	301301__A0A395VAM3__yfiN_2
ERR1913190.7806__1.7806	1897011__A0A1Q6RJY0__BHW41_00040
ERR1913190.7883__1.7883	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913190.7988__1.7988	165179__R6CNX7__DXB80_02200
