ERR1913140.348__1.348	1262882__R5N3T7__BN519_01188
ERR1913140.368__1.368	165179__D1PCT4__DXB80_09470
ERR1913140.384__1.384	33039__D4M1A4__ERS852502_00742
ERR1913140.584__1.584	39492__B0MN61__epsF_2
ERR1913140.676__1.676	357276__B6W5Q7__DXD47_13945
ERR1913140.950__1.950	166486__D4L0E1__ypdA_4
ERR1913140.987__1.987	165179__A0A174W369__PREVCOP_04548
ERR1913140.995__1.995	33039__D4M379__selB
ERR1913140.764__1.764	165179__A0A3E5E3D6__DXC61_05750
ERR1913140.964__1.964	820__A0A374MMF0__HMPREF1073_03811
ERR1913140.1136__1.1136	905__D2RP20__SAMN02910455_00969
ERR1913140.1097__1.1097	901__B6WXF1__DESPIGER_1660
ERR1913140.1177__1.1177	165179__D1P8K1__DXB80_06045
ERR1913140.1192__1.1192	626940__R6WJH5__DCQ00_09290
ERR1913140.1215__1.1215	39492__D4JTG7__EUBSIR_00572
ERR1913140.1302__1.1302	1263000__R5EMU9__BN466_00667
ERR1913140.1311__1.1311	328814__GCA_004558275.1_01000
ERR1913140.1319__1.1319	2292352__A0A374UKE7__DXC23_09500
ERR1913140.1562__1.1562	2293125__A0A374BSV3__DW917_13360
ERR1913140.1643__1.1643	33043__A0A174H1B6__ERS852575_02702
ERR1913140.1762__1.1762	165179__D1PGU8__PREVCOP_06463
ERR1913140.1771__1.1771	28117__B0MXG8__ALIPUT_01814
ERR1913140.1888__1.1888	2292352__A0A374UMB7__DXC23_09370
ERR1913140.2056__1.2056	1897011__A0A1Q6RI93__BHW41_01175
ERR1913140.2062__1.2062	1150298__A0A174R4D7__tmpC_2
ERR1913140.2362__1.2362	10680__GeneID:1261099
ERR1913140.2476__1.2476	1318__A0A3E4U4G4__CYK20_06290
ERR1913140.2902__1.2902	626940__E8LCL1__BHW43_00460
ERR1913140.3083__1.3083	165179__A0A3E5E643__DXB80_06030
ERR1913140.3124__1.3124	1147152__GeneID:14182017
ERR1913140.3148__1.3148	46503__K6A7H7__DCY29_03460
ERR1913140.3323__1.3323	165179__A0A3E5E2B6__DXB80_02820
ERR1913140.3402__1.3402	166486__D4KVZ2__cbiT
ERR1913140.3453__1.3453	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913140.3588__1.3588	165179__A0A174K816__DXB80_12000
ERR1913140.3620__1.3620	10680__GeneID:1261099
ERR1913140.3626__1.3626	1262936__R7J2D3__BN799_01784
ERR1913140.3842__1.3842	1262929__R6F8A0__BN691_00413
ERR1913140.3859__1.3859	39491__A0A174LTW7__DXD13_08720
ERR1913140.4140__1.4140	1124654__GeneID:14005781
ERR1913140.4483__1.4483	165179__A0A174W369__PREVCOP_04548
ERR1913140.4574__1.4574	1262936__R7IYW6__BN799_00686
ERR1913140.4579__1.4579	165179__A0A229I9X5__CFT61_01205
ERR1913140.4605__1.4605	1262911__R6HN87__BN557_00926
ERR1913140.4771__1.4771	1262911__R6GSH0__BN557_00934
ERR1913140.4806__1.4806	1263044__GCA_000433375.1_00023
ERR1913140.4950__1.4950	187979__A0A174AJG6__dosP_4
ERR1913140.5089__1.5089	1262936__R7IYW8__BN799_00842
ERR1913140.5103__1.5103	1262929__R6EV27__BN691_00137
ERR1913140.5077__1.5077	357276__B6VXX7__HMPREF1063_02683
ERR1913140.5079__1.5079	204516__U6R9H3__HMPREF1534_03348
ERR1913140.5190__1.5190	1124654__GeneID:14005768
ERR1913140.5204__1.5204	1262936__R7IZE2__BN799_01121
ERR1913140.5403__1.5403	823__A0A174U5E4__BDI_3390
ERR1913140.5484__1.5484	820__A7V8C2__ERS852554_01338
ERR1913140.5541__1.5541	1262936__R7IZY5__BN799_01013
ERR1913140.5657__1.5657	165179__A0A174SR12__DXB80_04410
ERR1913140.5703__1.5703	853__E2ZJT1__C4N23_03535
ERR1913140.5723__1.5723	1897011__A0A1Q6RFG1__BHW41_03725
ERR1913140.5728__1.5728	1262936__R7IZE2__BN799_01121
ERR1913140.5915__1.5915	165179__R6CNX7__DXB80_02200
ERR1913140.6012__1.6012	626940__E8LDM4__mreC
ERR1913140.6083__1.6083	165179__D1PAJ7__PREVCOP_04222
ERR1913140.6210__1.6210	901__B6WQH5__DESPIG_00299
ERR1913140.6253__1.6253	165179__A0A3E5A5E5__DXC61_13965
ERR1913140.6490__1.6490	564886__GeneID:6973115
ERR1913140.6923__1.6923	166486__D4KRN2__ERS852572_01816
ERR1913140.6979__1.6979	10680__GeneID:1261099
ERR1913140.7050__1.7050	1735__B7C7R1__EUBIFOR_00209
ERR1913140.7274__1.7274	165179__D1P9T6__PREVCOP_04016
ERR1913140.7400__1.7400	563769__GeneID:6973158
ERR1913140.7344__1.7344	166486__D4L0Q4__ERS852572_03675
ERR1913140.7593__1.7593	626940__E8LBE7__BN587_01102
ERR1913140.7798__1.7798	853__A0A3E2U7E6__ERS852582_01640
