ERR1913260.118__1.118	39488__A0A173UQ83__mutY
ERR1913260.260__1.260	357276__A0A076IS26__EL88_15950
ERR1913260.324__1.324	360807__C0FVL5__ERS852392_00391
ERR1913260.331__1.331	1550024__A0A3B9WKM9__ASJ35_18565
ERR1913260.366__1.366	820__A0A174F0C1__nreB
ERR1913260.453__1.453	40518__R5DU92__DXD93_03170
ERR1913260.455__1.455	216816__B3DR71__CE159_04070
ERR1913260.915__1.915	45851__R5LRY3__BUTYVIB_01906
ERR1913260.934__1.934	1520815__A0A1I3PQ86__SAMN02910435_01613
ERR1913260.965__1.965	1680__A0A1V8QAM8__BIFADO_02272
ERR1913260.1074__1.1074	820__A0A139K5A6__DXB48_12175
ERR1913260.1106__1.1106	1628085__A0A374VP93__C7386_10150
ERR1913260.1189__1.1189	1680__A0A0B5BL52__ERS852382_00480
ERR1913260.1270__1.1270	410072__A0A173WD04__penA_2
ERR1913260.1312__1.1312	214851__D1PKC5__SUBVAR_04800
ERR1913260.1369__1.1369	74426__group_4823
ERR1913260.1372__1.1372	1262911__R6H0S8__BN557_01079
ERR1913260.1486__1.1486	28117__B0MWX3__BHV66_03010
ERR1913260.1420__1.1420	357276__A0A076IP73__BACDOR_04237
ERR1913260.1645__1.1645	239935__A0A2N8ITG2__Amuc_0335
ERR1913260.2086__1.2086	1150298__A0A174HHW8__yhbU_1
ERR1913260.2168__1.2168	820__A7VAR9__ERS852421_00197
ERR1913260.2252__1.2252	239935__R6J5N6__CXT99_10770
ERR1913260.2325__1.2325	239935__A0A2N8HAQ1__DEF40_05290
ERR1913260.2521__1.2521	1680__A0A087DKM6__B0042_0664
ERR1913260.2497__1.2497	74426__gap
ERR1913260.2702__1.2702	239935__A0A139TT05__CXU09_03335
ERR1913260.2930__1.2930	1262736__R5YA02__BN496_01443
ERR1913260.3106__1.3106	301301__A0A395V573__RHOM_13925
ERR1913260.3054__1.3054	471189__GCA_003340385.1_00054
ERR1913260.3524__1.3524	2292352__A0A374ULV9__DXC23_07855
ERR1913260.3669__1.3669	1262736__R5YCY9__BN496_00487
ERR1913260.3742__1.3742	1550024__G9RQ59__TQ39_14360
ERR1913260.3963__1.3963	1262848__R6U0K1__BN818_00616
ERR1913260.4166__1.4166	39488__A0A285PPV7__DXD91_14610
ERR1913260.4821__1.4821	239935__A0A2N8IEP3__CXT84_03735
ERR1913260.4955__1.4955	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913260.5059__1.5059	1897011__A0A1Q6RH35__BHW41_01705
ERR1913260.5176__1.5176	39491__A0A395ZHW3__ERS852417_01359
ERR1913260.5278__1.5278	1681__A0A292FUY6__DD684_00535
ERR1913260.5258__1.5258	745368__A0A1T4Y437__SAMN02745178_02934
ERR1913260.5750__1.5750	1681__A0A0M4LK35__LMG13200_0631
ERR1913260.5870__1.5870	40518__R5DS23__DXD86_01715
ERR1913260.6015__1.6015	40518__R5E426__DXD93_04485
ERR1913260.6019__1.6019	116085__D4J8F8__DW747_09060
