ERR1913299.35__1.35	28052__A0A174HF53__ERS852499_00436
ERR1913299.38__1.38	301302__R5UNC5__M72_02681
ERR1913299.39__1.39	28052__A0A174KNE1__ptsI_2
ERR1913299.161__1.161	820__A7V470__HMPREF1072_02076
ERR1913299.186__1.186	61171__B9Y5T8__HOLDEFILI_01170
ERR1913299.469__1.469	39492__D4JT87__clpC
ERR1913299.545__1.545	39488__A0A174B7Y0__ERS852450_00913
ERR1913299.532__1.532	818__A0A174RFL1__ERS852511_03380
ERR1913299.534__1.534	39492__D4JWG3__EUBSIR_00308
ERR1913299.605__1.605	357276__A0A076IRV2__BACDOR_02822
ERR1913299.623__1.623	357276__I9R002__HMPREF1064_01826
ERR1913299.662__1.662	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913299.849__1.849	39492__D4JU30__EUBSIR_00838
ERR1913299.872__1.872	39492__D4JT87__clpC
ERR1913299.874__1.874	39492__D4JV70__EUBSIR_01253
ERR1913299.989__1.989	820__A7V8C2__ERS852554_01338
ERR1913299.999__1.999	28117__B0MY82__BHV66_04755
ERR1913299.1117__1.1117	47678__R5UT79__ERS852558_03890
ERR1913299.1125__1.1125	384639__GCA_003096855.1_01192
ERR1913299.1072__1.1072	823__A0A078SLK0__ERS852513_02755
ERR1913299.1296__1.1296	291644__I8Y0K6__HMPREF1532_04085
ERR1913299.1323__1.1323	39492__D4JRR5__ERS852540_02089
ERR1913299.1324__1.1324	357276__A0A076INK2__BSEG_04225
ERR1913299.1393__1.1393	301302__A0A173RZU9__M72_23561
ERR1913299.1594__1.1594	357276__B6VW91__BACDOR_01584
ERR1913299.1634__1.1634	39492__D4MIK7__EUBSIR_00676
ERR1913299.1677__1.1677	39492__D4JS46__EUBSIR_02553
ERR1913299.1683__1.1683	39485__A0A175A403__EUBELI_20577
ERR1913299.1686__1.1686	39491__A0A396FRK0__ERS852417_00541
ERR1913299.1732__1.1732	39492__D4JX50__EUBSIR_00410
ERR1913299.1787__1.1787	853__A0A2A7B1Y7__C7K05_11930
ERR1913299.1795__1.1795	39491__A0A395ZDC6__addB
ERR1913299.1839__1.1839	371601__E5CE41__ERS852396_04351
ERR1913299.1973__1.1973	384639__GCA_003096855.1_01173
ERR1913299.2034__1.2034	39492__D4JX40__EUBSIR_00020
ERR1913299.2052__1.2052	28052__A0A174N8X0__ERS852499_02136
ERR1913299.2142__1.2142	239935__A0A2N8IEP3__CXT84_03735
ERR1913299.2193__1.2193	1262911__R6GQM3__BN557_01245
ERR1913299.2217__1.2217	28052__A0A174NHE1__spoIIIE
ERR1913299.2255__1.2255	820__R9I324__HMPREF2141_02414
ERR1913299.2285__1.2285	671267__R9IEN1__C802_02405
ERR1913299.2332__1.2332	357276__G5SMD3__BSEG_02959
ERR1913299.2402__1.2402	39492__D4JRM9__bglB_2
ERR1913299.2493__1.2493	39491__C4ZC33__DXC13_11585
ERR1913299.2582__1.2582	39492__D4MIK7__EUBSIR_00676
ERR1913299.2596__1.2596	204516__U6RH18__HMPREF1534_01847
ERR1913299.2764__1.2764	357276__A0A076IYG1__B5F95_22465
ERR1913299.2859__1.2859	39492__D4JVN3__spsA
ERR1913299.2868__1.2868	39492__D4JWG6__EUBSIR_00253
ERR1913299.2875__1.2875	820__A7VAS1__HMPREF2141_03259
ERR1913299.2835__1.2835	40518__R5DX93__DXD93_03055
ERR1913299.2969__1.2969	39492__D4JV38__EUBSIR_01205
ERR1913299.2972__1.2972	39491__A0A395ZG74__licR
ERR1913299.3135__1.3135	61171__B9Y5T8__HOLDEFILI_01170
ERR1913299.3166__1.3166	28052__R7N8Y9__macB_4
ERR1913299.3174__1.3174	301302__A0A173T3P5__ERS852420_01836
ERR1913299.3193__1.3193	371601__D0TRG1__HMPREF1074_04676
ERR1913299.3207__1.3207	820__A0A396EUU8__luxQ_3
ERR1913299.3717__1.3717	1262911__R6GMK4__BN557_00535
ERR1913299.3727__1.3727	823__A0A173VPM3__DHW69_17170
ERR1913299.3763__1.3763	239935__A0A2N8IVR0__CXT87_07115
ERR1913299.3824__1.3824	39491__A0A173QT73__alaS_2
ERR1913299.3913__1.3913	871324__A0A1M6HHE1__SAMN05444350_11871
ERR1913299.4089__1.4089	1263044__GCA_000433375.1_01143
