ERR1913233.21__1.21	204516__U6RJY4__HMPREF1534_01494
ERR1913233.188__1.188	1262743__R5C054__BN727_01980
ERR1913233.227__1.227	147206__GCF_000156215.1_02003
ERR1913233.514__1.514	69974__A0A090FEL8__MPL3365_630008
ERR1913233.551__1.551	69974__A0A090FEL8__MPL3365_630008
ERR1913233.618__1.618	28117__B0MYM2__BHV66_04910
ERR1913233.809__1.809	487174__K0X3H8__HMPREF9448_02822
ERR1913233.886__1.886	165179__A0A3E5DN34__DXC61_07865
ERR1913233.901__1.901	106588__A6P303__BACCAP_04887
ERR1913233.993__1.993	39491__A0A395V1Y4__DXB99_08035
ERR1913233.1041__1.1041	39485__A0A175A403__EUBELI_20577
ERR1913233.1136__1.1136	165179__D1PHV2__PREVCOP_06822
ERR1913233.1297__1.1297	487174__K0WRZ5__HMPREF9448_02826
ERR1913233.1332__1.1332	47678__I9ECI0__HMPREF1061_03742
ERR1913233.1367__1.1367	410072__R6LKC9__ERS852525_01807
ERR1913233.1511__1.1511	165179__A0A229I7F5__DXB80_02650
ERR1913233.1601__1.1601	487173__H1D2L5__HMPREF9453_01853
ERR1913233.1645__1.1645	28118__F9Z3G8__B5F99_01835
ERR1913233.1841__1.1841	487173__H1D1S1__HMPREF9453_01559
ERR1913233.1899__1.1899	487175__R5EAP9__HMPREF9439_01753
ERR1913233.1991__1.1991	39485__A0A174ZLH6__EUBELI_01564
ERR1913233.1996__1.1996	28118__R6F7E0__SAMEA44545918_02355
ERR1913233.2066__1.2066	39491__A0A396FQV7__T1815_10751
ERR1913233.2024__1.2024	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913233.2095__1.2095	165179__A0A3E5AGH1__DXB80_05820
ERR1913233.2210__1.2210	820__A0A3E4RU03__M093_0563
ERR1913233.2272__1.2272	384639__GCA_003096855.1_00972
ERR1913233.2384__1.2384	216816__C2GW26__chb
ERR1913233.2488__1.2488	1262924__R7HM98__BN585_01697
ERR1913233.2571__1.2571	410072__C0BF38__DXD67_15395
ERR1913233.2601__1.2601	69974__A0A090FEL8__MPL3365_630008
ERR1913233.2756__1.2756	39491__A0A395ZBW8__DXC13_08840
ERR1913233.2878__1.2878	69974__A0A090FEL8__MPL3365_630008
ERR1913233.3088__1.3088	853__A8S882__C4N23_07600
ERR1913233.3089__1.3089	2293125__A0A374BLR6__DW917_15555
ERR1913233.3253__1.3253	301301__A0A395VEZ0__mcp4_1
ERR1913233.3257__1.3257	853__A0A173YYY4__DWZ04_09420
ERR1913233.3443__1.3443	204516__U6R921__HMPREF1534_03932
ERR1913233.3417__1.3417	1034346__A0A2V2FX78__DES51_12041
ERR1913233.3643__1.3643	853__A8S882__C4N23_07600
ERR1913233.3742__1.3742	1262924__R7HQB7__BN585_02057
ERR1913233.3770__1.3770	165179__A0A3E5AHY4__CFT61_07675
ERR1913233.3850__1.3850	820__A7V470__HMPREF1072_02076
ERR1913233.4516__1.4516	853__A0A173T0Y8__CGS54_07215
ERR1913233.4643__1.4643	165179__A0A3E5EB26__CFT61_02800
ERR1913233.4838__1.4838	28117__B0MWC6__BHV66_00965
ERR1913233.4917__1.4917	47678__R5USZ3__DXB67_12245
ERR1913233.5288__1.5288	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913233.5217__1.5217	1262924__R7HRA8__BN585_01680
ERR1913233.5456__1.5456	165179__A0A3E5DV57__DXB80_11400
ERR1913233.5505__1.5505	47678__A5ZHL2__DXB67_12495
ERR1913233.5555__1.5555	310298__B3JN71__BACCOP_03383
ERR1913233.5598__1.5598	39491__C4Z9E9__T1815_12341
ERR1913233.5641__1.5641	69974__A0A090FEL8__MPL3365_630008
ERR1913233.6155__1.6155	1262911__R6GQM3__BN557_01245
ERR1913233.6226__1.6226	1262911__R6HJT1__BN557_00291
ERR1913233.6265__1.6265	28117__B0MY40__BHV66_05170
ERR1913233.6548__1.6548	626933__H1DGX0__HMPREF9449_01506
ERR1913233.7003__1.7003	69974__A0A090FEL8__MPL3365_630008
ERR1913233.7024__1.7024	39485__A0A174YMC1__recN
ERR1913233.7055__1.7055	853__A0A3E2V168__FAEPRAM212_00929
ERR1913233.7404__1.7404	626933__H1DGX0__HMPREF9449_01506
ERR1913233.7428__1.7428	204516__U6RR96__HMPREF1534_00277
ERR1913233.7530__1.7530	823__A0A174KUS4__araC_7
ERR1913233.7583__1.7583	204516__U6RNF5__HMPREF1534_00381
ERR1913233.7749__1.7749	818__Q8A3A6__Btheta7330_00071
ERR1913233.7768__1.7768	301301__A0A395V7C8__RHOM_02390
ERR1913233.7773__1.7773	28117__B0MY82__BHV66_04755
ERR1913233.7882__1.7882	626933__H1DGX0__HMPREF9449_01506
ERR1913233.8214__1.8214	626933__H1DGX0__HMPREF9449_01506
ERR1913233.8272__1.8272	410072__A0A173SHF2__COPCOM_03201
ERR1913233.8368__1.8368	39491__A0A395UYA6__EUBREC_0408
ERR1913233.8551__1.8551	1262948__R7EG47__BN671_01193
ERR1913233.8631__1.8631	40518__R5DYT8__mscS
ERR1913233.8757__1.8757	1735__B7C7R7__EUBIFOR_00217
ERR1913233.9013__1.9013	69974__A0A090FEL8__MPL3365_630008
ERR1913233.9084__1.9084	39491__A0A395ZHW9__DXC13_02590
ERR1913233.9103__1.9103	165179__A0A3E5DN34__DXC61_07865
ERR1913233.9166__1.9166	301302__R5USI9__prsA3
ERR1913233.9230__1.9230	216816__D6ZSV1__CE169_00930
ERR1913233.9434__1.9434	1262992__R5D733__BN795_00375
ERR1913233.9398__1.9398	853__A0A173T6P2__DWZ46_14595
ERR1913233.9688__1.9688	853__C7H7F8__yccM_1
ERR1913233.9704__1.9704	28116__E5CEE4__SAMN05444282_12363
ERR1913233.9918__1.9918	1262911__R6GPI7__BN557_00907
ERR1913233.10094__1.10094	487173__H1D0E0__HMPREF9453_01078
ERR1913233.10105__1.10105	1262924__R7HTA4__BN585_00391
ERR1913233.10222__1.10222	39485__A0A174YTF7__ERS852490_01271
ERR1913233.10295__1.10295	165179__A0A3E5A554__DXB80_13805
ERR1913233.10328__1.10328	1262924__R7HRJ9__BN585_00557
ERR1913233.10477__1.10477	69974__A0A090FEL8__MPL3365_630008
ERR1913233.10500__1.10500	310298__B3JNG7__BACCOP_03480
ERR1913233.10524__1.10524	69974__A0A090FEL8__MPL3365_630008
ERR1913233.10644__1.10644	39491__A0A173VYV1__DXC13_02710
ERR1913233.10779__1.10779	39491__A0A395ZEI6__ERE_07950
ERR1913233.11026__1.11026	853__C7H7F8__yccM_1
ERR1913233.11130__1.11130	33039__D4M0U9__mucD
ERR1913233.11133__1.11133	216816__A0A0A6VPB9__B624_1780
ERR1913233.11293__1.11293	410072__C0B9A6__yvhJ
ERR1913233.11329__1.11329	39492__R6RT40__prkC_3
ERR1913233.11355__1.11355	853__A0A173T0Y8__CGS54_07215
ERR1913233.11395__1.11395	165179__A0A3E4SID1__DXB80_01945
ERR1913233.11545__1.11545	1628085__A0A3E2Y1L0__C7386_11254
ERR1913233.11551__1.11551	74426__purL
ERR1913233.11561__1.11561	292800__A0A174SJV9__dppA_6
ERR1913233.11602__1.11602	28116__A0A1G8P076__AA414_01051
ERR1913233.11674__1.11674	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913233.11745__1.11745	1262924__R7HSH9__BN585_00133
ERR1913233.11838__1.11838	1262989__R6ZDV1__BN815_00926
ERR1913233.11946__1.11946	1262913__R7JJ84__BN646_02214
ERR1913233.12035__1.12035	1262924__R7HQ14__BN585_00419
ERR1913233.12191__1.12191	39491__D6E408__EUBREC_1466
ERR1913233.12383__1.12383	823__A0A355XLT7__HMPREF1075_03402
ERR1913233.12384__1.12384	626933__H1DGX0__HMPREF9449_01506
ERR1913233.12393__1.12393	165179__A0A3E5ED28__PREVCOP_06655
ERR1913233.12484__1.12484	1262992__R5DDW9__BN795_00572
ERR1913233.12890__1.12890	310298__B3JNG7__BACCOP_03480
ERR1913233.12988__1.12988	626933__H1DGX0__HMPREF9449_01506
ERR1913233.12989__1.12989	853__A0A173XRA8__CGS56_09290
ERR1913233.13276__1.13276	487173__H1D020__HMPREF9453_00958
ERR1913233.13313__1.13313	28117__B0MWC6__BHV66_00965
ERR1913233.13420__1.13420	28117__B0MTD2__ALIPUT_00428
ERR1913233.13428__1.13428	39491__A0A395ZHW3__ERS852417_01359
ERR1913233.13531__1.13531	165179__A0A3E5A5E5__DXC61_13965
ERR1913233.13592__1.13592	39491__A0A396FJJ9__DXB76_11995
ERR1913233.13632__1.13632	1262743__R5C054__BN727_01980
ERR1913233.13732__1.13732	487173__H1D1P1__HMPREF9453_01529
ERR1913233.13747__1.13747	69974__A0A090FEL8__MPL3365_630008
ERR1913233.13782__1.13782	310298__B3JNG7__BACCOP_03480
ERR1913233.13796__1.13796	74426__asnS
ERR1913233.14048__1.14048	1680__A0A1X3A7D3__AD0028_1139
ERR1913233.13992__1.13992	69974__A0A090FEL8__MPL3365_630008
ERR1913233.14233__1.14233	204516__U6RFB2__HMPREF1534_01733
ERR1913233.14261__1.14261	47678__A5ZHL2__DXB67_12495
ERR1913233.14308__1.14308	1160721__R6TB54__RBI_I01327
ERR1913233.14310__1.14310	328814__GCA_004558275.1_00078
ERR1913233.14404__1.14404	165179__D1PGU8__PREVCOP_06463
ERR1913233.14438__1.14438	69974__A0A090FEL8__MPL3365_630008
ERR1913233.14476__1.14476	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913233.14645__1.14645	853__A0A2A7B9I6__DW855_13690
ERR1913233.14696__1.14696	28116__A0A078Q626__HMPREF1070_02735
ERR1913233.14776__1.14776	165179__D1PCL6__DXB80_13435
ERR1913233.14922__1.14922	1262948__R7EGL5__BN671_00676
ERR1913233.14972__1.14972	301301__A0A395VAX9__ERS852391_01264
ERR1913233.15021__1.15021	204516__U6R9E6__HMPREF1534_03149
ERR1913233.15096__1.15096	2293125__A0A374BLR6__DW917_15555
ERR1913233.15152__1.15152	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913233.15210__1.15210	39492__R6SPM9__pheT
ERR1913233.15382__1.15382	69974__A0A090FEL8__MPL3365_630008
ERR1913233.15357__1.15357	204516__U6R9E7__HMPREF1534_03313
ERR1913233.15569__1.15569	2293125__A0A374CIC9__DW917_02045
ERR1913233.15655__1.15655	39491__C4ZC33__DXC13_11585
ERR1913233.15634__1.15634	28117__B0MXW9__ALIPUT_01981
ERR1913233.15843__1.15843	204516__U6RR96__HMPREF1534_00277
ERR1913233.16088__1.16088	69974__A0A090FEL8__MPL3365_630008
ERR1913233.16371__1.16371	853__A8SB03__C4Q21_07960
ERR1913233.16434__1.16434	39491__D6E408__EUBREC_1466
ERR1913233.16878__1.16878	39491__D4JM76__DXC13_02150
ERR1913233.17265__1.17265	39491__A0A173TFQ1__rsmF
ERR1913233.17357__1.17357	47678__R5UPZ8__ERS852494_01752
ERR1913233.17520__1.17520	301301__A0A395V4S5__RHOM_15770
ERR1913233.17563__1.17563	69974__A0A090FEL8__MPL3365_630008
ERR1913233.17778__1.17778	165179__A0A174IPI3__CFT61_10940
ERR1913233.17969__1.17969	69974__A0A090FEL8__MPL3365_630008
ERR1913233.18029__1.18029	165179__A0A174SA26__PREVCOP_05758
ERR1913233.18232__1.18232	69974__A0A090FEL8__MPL3365_630008
ERR1913233.18365__1.18365	853__A0A2A7AXC8__C4N21_14120
ERR1913233.18531__1.18531	487173__H1D020__HMPREF9453_00958
ERR1913233.18646__1.18646	853__A0A2A7B1Y7__C7K05_11930
ERR1913233.18692__1.18692	410072__C0B4V0__ERS852481_02420
ERR1913233.18800__1.18800	39491__C4ZCV5__DXB99_11855
ERR1913233.18971__1.18971	2292284__A0A374V9L1__DXC10_09375
ERR1913233.19068__1.19068	820__A0A3E4W9W8__C801_01069
ERR1913233.19112__1.19112	39485__A0A174ZA08__EUBELI_01019
ERR1913233.19287__1.19287	216816__A0A2U0BLP0__tsaB
ERR1913233.19446__1.19446	1262924__R7HPX8__BN585_00310
ERR1913233.19419__1.19419	39485__A0A174YQX9__ERS852490_00864
ERR1913233.19786__1.19786	418240__A0A174L567__ERS852478_01510
ERR1913233.19863__1.19863	39491__D6DXZ8__DXB72_15035
ERR1913233.19870__1.19870	28117__B0MTH2__ALIPUT_00061
ERR1913233.19896__1.19896	853__A0A2A7B9I6__DW855_13690
ERR1913233.19929__1.19929	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913233.19967__1.19967	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913233.20125__1.20125	1262929__R6EYU3__BN691_00676
ERR1913233.20309__1.20309	216816__C5EC66__tcrA
ERR1913233.20458__1.20458	69974__A0A090FEL8__MPL3365_630008
ERR1913233.20688__1.20688	649756__D4MV02__CL2_23590
ERR1913233.20701__1.20701	39491__D4JM76__DXC13_02150
ERR1913233.20825__1.20825	853__A0A2J4JL53__CRH10_10795
ERR1913233.21078__1.21078	165179__D1PCL6__DXB80_13435
ERR1913233.21303__1.21303	1262743__R5C3A8__BN727_00457
ERR1913233.21345__1.21345	1965632__A0A1Y4A853__B5F91_11650
ERR1913233.21405__1.21405	821__U6RDC2__DXD46_15675
ERR1913233.21588__1.21588	310297__B5CZI0__BACPLE_02145
ERR1913233.21651__1.21651	40518__R5DYP7__envC
ERR1913233.21764__1.21764	165179__A0A3E5DV57__DXB80_11400
ERR1913233.22018__1.22018	310298__B3JPY4__BACCOP_04016
ERR1913233.22055__1.22055	69974__A0A090FEL8__MPL3365_630008
ERR1913233.22190__1.22190	310298__B3JH75__BACCOP_01229
ERR1913233.22638__1.22638	39491__A0A2U2EI54__DXD95_12010
ERR1913233.22807__1.22807	165179__A0A3E5DY64__CFT61_10025
ERR1913233.23087__1.23087	853__A0A173T751__C4N24_10280
ERR1913233.23085__1.23085	310298__B3JED9__BACCOP_00230
ERR1913233.23278__1.23278	165179__D1PHC0__PREVCOP_06640
ERR1913233.23336__1.23336	165179__A0A229I1J2__DXB80_03950
ERR1913233.23410__1.23410	820__A0A174DZ97__SAMN05444418_101240
ERR1913233.23590__1.23590	69974__A0A090FEL8__MPL3365_630008
ERR1913233.23683__1.23683	853__A0A173T751__C4N24_10280
ERR1913233.23703__1.23703	301301__A0A395VAZ8__RHOM_11660
ERR1913233.23742__1.23742	853__A0A173XRA8__CGS56_09290
ERR1913233.23818__1.23818	69974__A0A090FEL8__MPL3365_630008
ERR1913233.23883__1.23883	1262824__R6S4Q8__BN719_00032
ERR1913233.24266__1.24266	1262924__R7HUJ5__BN585_00830
ERR1913233.24361__1.24361	88431__A0A3D0EZN6__DORLON_02944
ERR1913233.24451__1.24451	204516__U6R921__HMPREF1534_03932
ERR1913233.24419__1.24419	820__A0A139JY23__B5G17_06330
ERR1913233.24527__1.24527	69974__A0A090FEL8__MPL3365_630008
ERR1913233.24637__1.24637	69974__A0A090FEL8__MPL3365_630008
ERR1913233.24741__1.24741	39491__A0A395V1Y4__DXB99_08035
ERR1913233.24887__1.24887	374840__GeneID:2546403
ERR1913233.24932__1.24932	853__A0A173XRA8__CGS56_09290
ERR1913233.24976__1.24976	69974__A0A090FEL8__MPL3365_630008
ERR1913233.24982__1.24982	69974__A0A090FEL8__MPL3365_630008
ERR1913233.25059__1.25059	165179__D1PHC0__PREVCOP_06640
ERR1913233.25181__1.25181	69974__A0A090FEL8__MPL3365_630008
ERR1913233.25193__1.25193	821__A0A174AYT0__DXC02_03530
ERR1913233.25214__1.25214	69974__A0A090FEL8__MPL3365_630008
ERR1913233.25256__1.25256	165179__D1PCY7__DXB80_02765
ERR1913233.25324__1.25324	165179__A0A3E5EAM5__DXC61_07785
