ERR1912964.104__1.104	1680__A0A087DKM6__B0042_0664
ERR1912964.183__1.183	1235835__R9LCU2__C814_02677
ERR1912964.355__1.355	371601__I9UUB0__SAMN04487924_11836
ERR1912964.615__1.615	384638__B7ATG4__BACPEC_01434
ERR1912964.636__1.636	1161942__bcrC_2
ERR1912964.655__1.655	33043__A0A173WU55__ganB_2
ERR1912964.892__1.892	40518__R5E8B6__RB5AMG_00876
ERR1912964.1000__1.1000	1262942__R7QVK2__BN520_01389
ERR1912964.1027__1.1027	165179__D1PES9__DXB80_11585
ERR1912964.1154__1.1154	165179__A0A3E5DX33__PREVCOP_05190
ERR1912964.1188__1.1188	853__A0A174C5M1__CGS58_04460
ERR1912964.1223__1.1223	216816__A0A1S2VTC3__BLIC_e00847
ERR1912964.1466__1.1466	46503__R6Y2Q2__DCY29_15375
ERR1912964.1574__1.1574	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.1685__1.1685	1150298__A0A174EBT8__ERS852406_01739
ERR1912964.1647__1.1647	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1912964.1859__1.1859	1262761__R6QXL2__BN606_02127
ERR1912964.2026__1.2026	901__B6WUV2__DESPIGER_1904
ERR1912964.2296__1.2296	1681__E4VB35__BIFI_0413
ERR1912964.2381__1.2381	239935__R7DVL7__CXT93_01180
ERR1912964.2397__1.2397	1262744__R6FST0__BN744_00381
ERR1912964.2430__1.2430	853__C7H1R8__DW905_06675
ERR1912964.2570__1.2570	46503__A7AG53__DD461_14240
ERR1912964.2621__1.2621	216816__E8MVM4__APC1480_1562
ERR1912964.2678__1.2678	239935__A0A139TPD4__CXT86_06450
ERR1912964.3103__1.3103	165179__A0A3E5EBQ2__DXC61_01930
ERR1912964.3335__1.3335	1262915__R6IA24__BN574_00988
ERR1912964.3418__1.3418	239935__A0A2N8I1R3__CXU05_06075
ERR1912964.3520__1.3520	1262986__R6A8H3__BN492_00409
ERR1912964.3851__1.3851	33043__A0A173WPI1__ERS852400_02100
ERR1912964.4088__1.4088	239935__A0A2N8HMQ8__pgsA
ERR1912964.4191__1.4191	39485__C4Z2I5__ERS852492_02214
ERR1912964.4420__1.4420	487174__K0XEE4__DDY40_09500
ERR1912964.4595__1.4595	384638__B7APF2__BACPEC_00558
ERR1912964.4655__1.4655	46506__R6AEP1__HMPREF1181_01415
ERR1912964.4854__1.4854	33043__A0A173YSY7__tilS
ERR1912964.5130__1.5130	239935__B2UPZ6__CXU03_03800
ERR1912964.5116__1.5116	239935__A0A2N8IUW6__Amuc_1525
ERR1912964.5124__1.5124	1263000__R5EKG2__BN466_02040
ERR1912964.5405__1.5405	853__R6QDR1__C4N27_08170
ERR1912964.5459__1.5459	216816__B7GQF0__CE170_00160
ERR1912964.5805__1.5805	239935__A0A139TQT9__Amuc_1197
ERR1912964.5877__1.5877	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1912964.6030__1.6030	39492__D4JTF2__mutS2
ERR1912964.6044__1.6044	1262961__R6E0C8__BN710_00049
ERR1912964.6101__1.6101	165179__A0A3E5EAT2__DXC61_07585
ERR1912964.6321__1.6321	165179__A0A174X1C3__DXB80_12745
ERR1912964.6387__1.6387	901__B6WUI5__DESPIGER_1817
ERR1912964.6558__1.6558	28118__F9ZAK9__DF785_10030
ERR1912964.6855__1.6855	239935__A0A2N8HT44__CXT84_11035
ERR1912964.6871__1.6871	239935__R6J5N6__CXT99_10770
ERR1912964.6992__1.6992	39496__A5Z5I2__EUBVEN_00963
ERR1912964.6995__1.6995	40519__U2KBF3__RUMCAL_01572
ERR1912964.7056__1.7056	165179__A0A229I1J2__DXB80_03950
ERR1912964.7095__1.7095	1263044__GCA_000433375.1_01147
ERR1912964.7104__1.7104	944036__A0A196SFU8__AV274_2407
ERR1912964.7133__1.7133	28118__F9ZC62__DF785_13495
ERR1912964.7248__1.7248	853__A0A173YYY4__DWZ04_09420
ERR1912964.7281__1.7281	33043__A0A173WXS1__ERS852445_00262
ERR1912964.7459__1.7459	33043__A0A174AHE2__ERS852445_01187
ERR1912964.7510__1.7510	239935__A0A2N8HT44__CXT84_11035
ERR1912964.7561__1.7561	410072__A0A173S248__ERS852525_02992
ERR1912964.7603__1.7603	33043__A8SWM2__ERS852575_01910
ERR1912964.7648__1.7648	901__B6WVN3__DHV46_02690
ERR1912964.7654__1.7654	239935__A0A2N8I368__CXT95_04550
ERR1912964.7733__1.7733	74426__rpoC
ERR1912964.7793__1.7793	1161942__alr
ERR1912964.7880__1.7880	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1912964.8122__1.8122	239935__A0A2N8IZ16__CXT84_05850
ERR1912964.8150__1.8150	853__A0A173XRA8__CGS56_09290
ERR1912964.8214__1.8214	301301__A0A395V407__ERS852391_02230
ERR1912964.8332__1.8332	1263000__R5EJ27__BN466_01916
ERR1912964.8312__1.8312	1262761__R6RU22__BN606_01110
ERR1912964.8584__1.8584	901__B6WUY7__DHV46_11425
ERR1912964.8651__1.8651	310297__B5CUD7__BHV76_11070
ERR1912964.8909__1.8909	301302__R5UL57__ERS852420_00622
ERR1912964.9273__1.9273	853__A0A174C5M1__CGS58_04460
ERR1912964.9291__1.9291	33043__A0A174E9K7__sigF_1
ERR1912964.9329__1.9329	1262761__R6RP35__BN606_00461
ERR1912964.9468__1.9468	33043__A0A173X520__ERS852575_01617
ERR1912964.9696__1.9696	165179__D1PHM6__DXC61_06700
ERR1912964.9902__1.9902	239935__A0A2N8HL91__holA
ERR1912964.9913__1.9913	40519__U2M5N8__RUMCAL_02017
ERR1912964.9985__1.9985	1262911__R6H2J2__BN557_01228
ERR1912964.10118__1.10118	239935__A0A2N8I1R3__CXU05_06075
ERR1912964.10171__1.10171	1161942__cssS
ERR1912964.10252__1.10252	33043__A0A374K1H3__ykoD_2
ERR1912964.10343__1.10343	239935__A0A2N8HT18__CXT93_06135
ERR1912964.10527__1.10527	823__A6LER2__ERS852513_00365
ERR1912964.10594__1.10594	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1912964.10908__1.10908	165179__D1PCT4__DXB80_09470
ERR1912964.11294__1.11294	239935__A0A2N8HPS5__Amuc_0950
ERR1912964.11375__1.11375	46503__K5ZAK9__NCTC13052_03308
ERR1912964.11435__1.11435	1262761__R6QUM5__BN606_02048
ERR1912964.11446__1.11446	338188__R6SAC6__ERS852397_01653
ERR1912964.11527__1.11527	33043__A0A173WPI1__ERS852400_02100
ERR1912964.11538__1.11538	487174__R5FN40__HMPREF9448_01366
ERR1912964.11599__1.11599	33043__A0A173YUV6__ERS852386_00507
ERR1912964.11658__1.11658	1263030__R5CZV8__BN705_01159
ERR1912964.11678__1.11678	239935__A0A2N8I3G2__CXT89_00720
ERR1912964.11892__1.11892	1262869__R7CT13__BN625_00558
ERR1912964.11927__1.11927	1263027__R7A6V9__BN699_01262
ERR1912964.12119__1.12119	216816__A0A0M0VK23__BLGT_09805
ERR1912964.12230__1.12230	165179__A0A3E4SB95__DXC61_13455
ERR1912964.12258__1.12258	1897011__A0A1Q6RJI3__BHW41_00255
ERR1912964.12342__1.12342	384638__B7AVZ3__BACPEC_02893
ERR1912964.12354__1.12354	1161942__bmrA
ERR1912964.12418__1.12418	33043__D5HHT0__ERS852445_02798
ERR1912964.12493__1.12493	239935__A0A2N8IKW7__pstA
