ERR1913139.199__1.199	901__B6WW26__DESPIG_02294
ERR1913139.249__1.249	1124654__GeneID:14005780
ERR1913139.478__1.478	39491__C4Z9Y3__ERS852417_01808
ERR1913139.946__1.946	563769__GeneID:6973156
ERR1913139.1617__1.1617	39490__A0A173UR66__pheA_2
ERR1913139.1703__1.1703	39485__C4Z6V1__ERS852492_02640
ERR1913139.1854__1.1854	562__P0A9K7__AUQ29_19530
ERR1913139.2253__1.2253	165179__D1PDT3__PREVCOP_05375
ERR1913139.2400__1.2400	39777__D1BM01__HMPREF3233_00168
ERR1913139.2616__1.2616	410072__A0A173S248__ERS852525_02992
ERR1913139.2693__1.2693	1263000__R5EXT3__BN466_02213
ERR1913139.3019__1.3019	1262936__R7IZE2__BN799_01121
ERR1913139.3134__1.3134	671267__R9IB12__C802_00696
ERR1913139.3684__1.3684	33039__A0A174ZX07__dapE_1
ERR1913139.3763__1.3763	823__D7IT19__DHP27_03495
ERR1913139.3943__1.3943	821__A0A3E4XY72__NCTC10583_01067
ERR1913139.4134__1.4134	853__A0A173TAZ8__DWZ46_14590
ERR1913139.4150__1.4150	821__A0A174NM17__lacZ_6
ERR1913139.4159__1.4159	360807__A0A173T4V2__ROSEINA2194_02477
ERR1913139.4383__1.4383	1262936__R7J169__BN799_00083
ERR1913139.4597__1.4597	414970__GeneID:5204415
ERR1913139.4582__1.4582	820__A0A3E4VZY4__ERS852554_01211
ERR1913139.4839__1.4839	166486__A0A173V5I7__ERS852572_02640
ERR1913139.4878__1.4878	33043__D5HIL8__ERS852386_02009
ERR1913139.4898__1.4898	348058__GeneID:7353029
ERR1913139.5358__1.5358	68891__A0A0F2DY13__dnaK
ERR1913139.5281__1.5281	820__E5VA63__DXC80_01025
ERR1913139.5382__1.5382	360807__A0A173UCM1__RIL183_07511
ERR1913139.5610__1.5610	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1913139.5759__1.5759	166486__D4L346__ROSINTL182_06263
ERR1913139.5762__1.5762	1897011__A0A1Q6RH58__BHW41_01950
ERR1913139.5675__1.5675	165179__A0A3E5AGH1__DXB80_05820
ERR1913139.5682__1.5682	626940__E8LCB1__BHW43_07535
ERR1913139.5784__1.5784	563038__M9QZ37__HMPREF0851_00384
ERR1913139.5888__1.5888	1262936__R7J2B4__BN799_01114
ERR1913139.5889__1.5889	999425__K8MSC3__HMPREF9186_00081
ERR1913139.5915__1.5915	39491__A0A396FPV7__ERS852580_01177
ERR1913139.6010__1.6010	357276__B6VW91__BACDOR_01584
ERR1913139.6048__1.6048	1262936__R7IZD7__BN799_01020
ERR1913139.6099__1.6099	227940__GeneID:1260616
ERR1913139.6133__1.6133	564886__GeneID:6973115
ERR1913139.6593__1.6593	562__P26458__cydB
ERR1913139.6623__1.6623	853__C7H7F5__DWZ46_01780
ERR1913139.6787__1.6787	823__A0A395YY84__DXC05_19515
ERR1913139.6908__1.6908	301302__A0A0M6W9I4__M72_19871
ERR1913139.6935__1.6935	165179__A0A3E5DR10__DXC61_03505
ERR1913139.6996__1.6996	1263000__R5EI35__BN466_01649
ERR1913139.7342__1.7342	166486__D4L1P5__ERS852572_00758
ERR1913139.7362__1.7362	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913139.7476__1.7476	165179__R6CNX7__DXB80_02200
ERR1913139.7709__1.7709	410072__A0A173S1W0__COPCOM_00541
ERR1913139.7997__1.7997	33043__A0A173ZXG0__ERS852400_00169
ERR1913139.8103__1.8103	328814__GCA_004558275.1_00025
ERR1913139.8251__1.8251	1262936__R7IYW6__BN799_00686
ERR1913139.8351__1.8351	328814__GCA_004558275.1_00061
ERR1913139.8482__1.8482	1263000__R5EGY6__BN466_00973
ERR1913139.8638__1.8638	820__R9I2U8__DXC68_09590
ERR1913139.8746__1.8746	1262936__R7IYF0__BN799_00775
ERR1913139.8885__1.8885	905__D2RMV3__SAMN05216495_10796
ERR1913139.9084__1.9084	418240__C6JAW2__ygaD
ERR1913139.9290__1.9290	1262988__R7N524__BN816_01860
ERR1913139.9592__1.9592	1357825__GeneID:17494397
ERR1913139.9938__1.9938	853__A0A173YYY4__DWZ04_09420
ERR1913139.10100__1.10100	626940__E8LFN2__DCQ00_04835
ERR1913139.10102__1.10102	1262911__R6GSH8__BN557_00939
ERR1913139.10195__1.10195	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913139.10201__1.10201	165179__R6CNX7__DXB80_02200
ERR1913139.10159__1.10159	33043__A0A173SS22__yceG
ERR1913139.10226__1.10226	165179__A0A174W369__PREVCOP_04548
ERR1913139.10240__1.10240	39485__C4Z355__ERS852490_01971
ERR1913139.10246__1.10246	2292352__A0A374UKI4__DXC23_09350
ERR1913139.10287__1.10287	901__B6WXX4__DESPIGER_1515
ERR1913139.10325__1.10325	1262959__R5YD16__BN680_00186
ERR1913139.10774__1.10774	1262936__R7IYW6__BN799_00686
ERR1913139.10902__1.10902	39491__A0A395UXH0__EUBREC_0021
ERR1913139.11269__1.11269	562__P77789__fimF_3
ERR1913139.11515__1.11515	165179__D1PE06__DXC61_05975
ERR1913139.11521__1.11521	1357825__GeneID:17494409
ERR1913139.11605__1.11605	2292352__A0A374UKI4__DXC23_09350
ERR1913139.11959__1.11959	10680__GeneID:1261100
ERR1913139.11986__1.11986	290054__A0A1T4N7L2__SAMN02745114_01501
ERR1913139.12184__1.12184	39491__A0A173VYV1__DXC13_02710
ERR1913139.12123__1.12123	626940__E8LBR4__BHW43_02255
ERR1913139.12480__1.12480	1262911__R6GQM3__BN557_01245
ERR1913139.12664__1.12664	33043__A0A174H1B6__ERS852575_02702
ERR1913139.12758__1.12758	33043__D5HH62__ERS852575_00121
ERR1913139.12831__1.12831	1262936__R7J0V7__BN799_01561
ERR1913139.12879__1.12879	853__A0A3E2V168__FAEPRAM212_00929
ERR1913139.13009__1.13009	33043__A0A173YPE0__thiD
ERR1913139.13035__1.13035	905__D2RKT2__SAMN02910455_01042
ERR1913139.13055__1.13055	33039__D4M2F6__RTO_06900
ERR1913139.13093__1.13093	165179__A0A3E5DRF6__DXC61_00200
ERR1913139.13246__1.13246	562__P0ABQ5__COD41_16240
ERR1913139.13255__1.13255	1262936__R7J1V8__BN799_00957
ERR1913139.13309__1.13309	10680__GeneID:1261099
ERR1913139.13329__1.13329	165179__D1PDT3__PREVCOP_05375
ERR1913139.13450__1.13450	820__A0A174VD39__DXD90_12235
ERR1913139.13590__1.13590	39491__A0A173TAZ5__DXB99_09520
ERR1913139.13720__1.13720	165179__D1P9T6__PREVCOP_04016
ERR1913139.13791__1.13791	821__R9HFW2__DXD01_00365
ERR1913139.13849__1.13849	1262911__R6H2J2__BN557_01228
ERR1913139.13984__1.13984	820__A0A3E4PYB0__yejM
ERR1913139.13993__1.13993	823__A0A355XKQ8__DHP27_04010
ERR1913139.14112__1.14112	39491__A0A395ZHW9__DXC13_02590
ERR1913139.14266__1.14266	1318__A0A3E4U9L7__HMPREF1195_00704
ERR1913139.14329__1.14329	1262936__R7J0Q9__BN799_01513
ERR1913139.14404__1.14404	1262936__R7J358__BN799_01390
ERR1913139.14470__1.14470	820__A0A3E4WCX3__C801_02709
ERR1913139.14659__1.14659	1262911__R6HN72__BN557_00911
ERR1913139.14688__1.14688	227940__GeneID:1260616
ERR1913139.14778__1.14778	165179__D1PES9__DXB80_11585
ERR1913139.14925__1.14925	165179__A0A229I2W6__PREVCOP_04332
ERR1913139.15170__1.15170	165179__A0A3E5DWQ1__DXB80_06635
ERR1913139.15122__1.15122	907__G0VLK7__SAMN04488492_1145
ERR1913139.15123__1.15123	360807__A0A1Q6T5F1__fliF
ERR1913139.15246__1.15246	165179__D1PHV2__PREVCOP_06822
ERR1913139.15347__1.15347	820__A0A3E4XM43__DXC91_13960
ERR1913139.15472__1.15472	155148__GeneID:921005
ERR1913139.15484__1.15484	1262936__R7J0Q9__BN799_01513
ERR1913139.15552__1.15552	626940__R6WRD5__BN587_01498
ERR1913139.15789__1.15789	901__B6WQM5__cobM
ERR1913139.16090__1.16090	454155__F3QQI8__HMPREF9442_00430
ERR1913139.16255__1.16255	165179__R6CNX7__DXB80_02200
ERR1913139.16295__1.16295	165179__R6CNX7__DXB80_02200
ERR1913139.16356__1.16356	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913139.16360__1.16360	626940__E8LF75__HMPREF9443_01516
ERR1913139.16369__1.16369	1262911__R6H072__BN557_00615
ERR1913139.16376__1.16376	820__A7V049__DXB48_04755
ERR1913139.16550__1.16550	1263107__GCA_000436995.1_00208
ERR1913139.16608__1.16608	1357825__GeneID:17494398
ERR1913139.16779__1.16779	227940__GeneID:1260616
ERR1913139.16976__1.16976	1262936__R7J247__BN799_01051
ERR1913139.17030__1.17030	165179__D1PE06__DXC61_05975
ERR1913139.17287__1.17287	905__D2RNQ4__SAMN02910455_01348
ERR1913139.17446__1.17446	901__B6WUN6__DHV46_11020
ERR1913139.17871__1.17871	853__C7H7F8__yccM_1
ERR1913139.18069__1.18069	1263000__R5EXT3__BN466_02213
ERR1913139.18157__1.18157	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913139.18098__1.18098	40519__U2KNI1__RUMCAL_02150
ERR1913139.18101__1.18101	1897011__A0A1Q6RI94__BHW41_01260
ERR1913139.18209__1.18209	39491__A0A3E4YFT8__DXB69_10940
ERR1913139.18324__1.18324	165179__R6PNJ9__PREVCOP_04730
ERR1913139.18409__1.18409	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913139.18598__1.18598	165179__R6C3K4__PREVCOP_05795
ERR1913139.18606__1.18606	33043__A0A173W4M0__dnaD
ERR1913139.18723__1.18723	39491__A0A396FS17__envC
ERR1913139.18743__1.18743	165179__A0A3E5A832__DXC61_13685
ERR1913139.18759__1.18759	562__A0A376L0A6__CQA14_19985
ERR1913139.18837__1.18837	328814__GCA_004558275.1_00063
ERR1913139.18871__1.18871	820__A0A174QLF0__SAMN05444418_109151
ERR1913139.19016__1.19016	165179__A0A3E5E7J5__DXC61_10360
ERR1913139.19049__1.19049	671232__F5TZ46__C6A30_02720
