ERR1913048.648__1.648	166486__D4KZH8__ERS852572_00419
ERR1913048.735__1.735	901__B6WRI9__DESPIGER_0385
ERR1913048.745__1.745	853__A0A174C5M1__CGS58_04460
ERR1913048.1036__1.1036	39491__D6E558__DXB69_00810
ERR1913048.1468__1.1468	1263000__R5EUG9__BN466_01476
ERR1913048.1597__1.1597	39485__C4Z028__ERS852492_00100
ERR1913048.2609__1.2609	166486__D4KYD7__ERS852572_03817
ERR1913048.2696__1.2696	39485__A0A174YNW2__cph2_3
ERR1913048.2749__1.2749	1897011__A0A1Q6RBT0__BHW41_06785
ERR1913048.2755__1.2755	28116__A7M0H0__DXA80_15290
ERR1913048.2847__1.2847	292800__G9YPX7__ERS852518_06690
ERR1913048.2872__1.2872	28116__A7M0H0__DXA80_15290
ERR1913048.2952__1.2952	821__A0A174NM17__lacZ_6
ERR1913048.2998__1.2998	28117__B0MTS2__ALIPUT_00159
ERR1913048.3098__1.3098	572010__ppdK
ERR1913048.3280__1.3280	1897011__A0A1Q6RH29__BHW41_01570
ERR1913048.3568__1.3568	147206__GCF_000156215.1_01776
ERR1913048.3731__1.3731	1897011__A0A1Q6RF44__BHW41_03065
ERR1913048.3914__1.3914	204516__U6R838__HMPREF1534_03867
ERR1913048.4088__1.4088	853__C7H7F8__yccM_1
ERR1913048.4180__1.4180	1262911__R6H1A6__BN557_01286
ERR1913048.4658__1.4658	901__B6WQ99__BHW59_02695
ERR1913048.4898__1.4898	39491__D6E408__EUBREC_1466
ERR1913048.4940__1.4940	384639__GCA_003096855.1_00996
ERR1913048.5038__1.5038	39496__A5Z5I2__EUBVEN_00963
ERR1913048.5323__1.5323	901__B6WY50__DESPIGER_1446
ERR1913048.5357__1.5357	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913048.5979__1.5979	1263000__R5F0P4__BN466_00308
ERR1913048.6139__1.6139	166486__D4KWM8__ROSINTL182_06037
ERR1913048.6425__1.6425	821__A0A174K302__CUU_3129
ERR1913048.6466__1.6466	1262777__R5VJS3__BN512_00127
ERR1913048.6707__1.6707	28117__B0MTS2__ALIPUT_00159
ERR1913048.7090__1.7090	544645__A0A1Y3VLV6__pgeF
ERR1913048.7993__1.7993	410072__A0A173XQG6__ERS852574_01620
ERR1913048.8131__1.8131	552398__F4XHJ7__HMPREF0866_03101
ERR1913048.8277__1.8277	28117__R7JPX7__BHV66_00900
ERR1913048.8579__1.8579	1263000__R5EMU9__BN466_00667
ERR1913048.8704__1.8704	1897011__A0A1Q6RC34__BHW41_06455
ERR1913048.8766__1.8766	901__B6WWB4__DESPIGER_2273
ERR1913048.8815__1.8815	39491__A0A173VH71__ERS852497_01827
ERR1913048.8870__1.8870	1262927__R7EX56__BN677_00089
ERR1913048.8972__1.8972	901__B6WVD2__DESPIGER_2029
ERR1913048.9039__1.9039	246787__A0A0P0FS62__HMPREF1062_05447
ERR1913048.9184__1.9184	1897011__A0A1Q6REW8__BHW41_04435
ERR1913048.9221__1.9221	28117__B0MT38__BHV66_05995
ERR1913048.9267__1.9267	28117__B0MY40__BHV66_05170
ERR1913048.10079__1.10079	166486__D4L449__ROSINTL182_08802
ERR1913048.10192__1.10192	1263000__R5EAZ0__BN466_00537
