ERR1913143.22__1.22	40518__R5DP61__DXD86_06345
ERR1913143.59__1.59	357276__A0A076J0Y3__IY41_06810
ERR1913143.70__1.70	214856__R6YC22__ERS852447_01215
ERR1913143.96__1.96	820__A0A3E4XM43__DXC91_13960
ERR1913143.112__1.112	39486__B0G7N0__DXC93_07990
ERR1913143.132__1.132	1897011__A0A1Q6RG37__BHW41_02405
ERR1913143.464__1.464	239935__R7DVW2__CXU02_03915
ERR1913143.467__1.467	239935__A0A2N8HTZ8__CXU09_01270
ERR1913143.519__1.519	239935__A0A2N8IRL2__CXU06_01170
ERR1913143.614__1.614	820__A0A3E4RU03__M093_0563
ERR1913143.765__1.765	239935__A0A2N8IRH4__CXT92_05605
ERR1913143.790__1.790	239935__A0A2N8I694__CXU04_06245
ERR1913143.651__1.651	820__A0A396EWL3__ERS417307_03868
ERR1913143.878__1.878	1262882__A0A356PSJ4__BN519_01180
ERR1913143.886__1.886	239935__A0A2N8IEP3__CXT84_03735
ERR1913143.981__1.981	239935__A0A2N8IUK0__CXU01_07370
ERR1913143.1222__1.1222	1262882__R5MIW5__BN519_00945
ERR1913143.1242__1.1242	39492__D4JRR5__ERS852540_02089
ERR1913143.1282__1.1282	823__D0TGE9__ERS852429_03294
ERR1913143.1284__1.1284	1262882__R5MIY9__BN519_01097
ERR1913143.1497__1.1497	1262882__R5MIQ8__BN519_01036
ERR1913143.1858__1.1858	1501391__GCA_000786575.1_00060
ERR1913143.1867__1.1867	46506__B0NQN6__AA415_00632
ERR1913143.1924__1.1924	239935__A0A2N8HAQ1__DEF40_05290
ERR1913143.2024__1.2024	328814__GCA_004558275.1_01976
ERR1913143.1961__1.1961	820__A0A3E4G8F8__ERS852421_01645
ERR1913143.2127__1.2127	357276__A0A076IYE6__IY41_04275
ERR1913143.2227__1.2227	1263000__R5EGY6__BN466_00973
ERR1913143.2316__1.2316	47678__R5UER2__CGC64_00710
ERR1913143.2450__1.2450	1501391__GCA_000786575.1_00092
ERR1913143.2537__1.2537	1501391__GCA_000786575.1_00020
ERR1913143.2502__1.2502	239935__A0A139TMG9__CXU07_10650
ERR1913143.2736__1.2736	820__A0A139KHD8__ERS417307_00569
ERR1913143.2753__1.2753	88431__A0A174EDE9__yxeP_2
ERR1913143.2785__1.2785	384638__B7APN3__BACPEC_00639
ERR1913143.2879__1.2879	651822__GCA_000210715.1_00753
ERR1913143.2886__1.2886	1262911__R6H2B5__BN557_01151
ERR1913143.3172__1.3172	1501391__GCA_000786575.1_00137
ERR1913143.3164__1.3164	820__A0A3E4W4Y7__B5G17_02055
ERR1913143.3502__1.3502	214856__R6XNE7__ERS852447_02267
ERR1913143.3526__1.3526	706562__GCA_900112995.1_02127
