ERR1913314.38__1.38	28116__R6DIL2__DXD69_10970
ERR1913314.105__1.105	301302__A0A0M6WKN8__M72_27741
ERR1913314.135__1.135	187327__G4Q6E0__ACDG_00710
ERR1913314.222__1.222	823__A0A078TE44__DD466_14830
ERR1913314.240__1.240	40520__R7D6R4__RUMOBE_02718
ERR1913314.209__1.209	820__A0A396EUU8__luxQ_3
ERR1913314.247__1.247	47678__A5ZEP4__DXB67_14045
ERR1913314.253__1.253	820__A0A3E4WCX3__C801_02709
ERR1913314.270__1.270	649756__D4MW45__DCR88_11455
ERR1913314.405__1.405	292800__A0A1C7FRR6__A4U99_16870
ERR1913314.495__1.495	630129__A0A3E5HJB5__AH68_08040
ERR1913314.553__1.553	820__A0A139KIL9__DXC68_05945
ERR1913314.512__1.512	1262743__R5C054__BN727_01980
ERR1913314.518__1.518	820__A0A139K426__B5G17_09115
ERR1913314.689__1.689	572010__sigA
ERR1913314.693__1.693	187327__G4Q2R6__Acin_2204
ERR1913314.758__1.758	820__A0A396EWL3__ERS417307_03868
ERR1913314.772__1.772	823__A0A174VHT1__DHP27_04775
ERR1913314.810__1.810	28037__S7XMY1__comM
ERR1913314.750__1.750	410072__A0A3E4GT65__ERS852574_02325
ERR1913314.840__1.840	821__A0A0P0LQT3__DXC03_05050
ERR1913314.888__1.888	28116__A0A1Y4PHM7__DXA80_25130
ERR1913314.912__1.912	820__A0A3E4XDK3__ERS852554_03650
ERR1913314.958__1.958	820__A0A139JV05__B5G17_18125
ERR1913314.1001__1.1001	821__A0A174K302__CUU_3129
ERR1913314.1132__1.1132	626929__F3PKH5__HMPREF9445_02532
ERR1913314.1193__1.1193	1262980__R5BMR8__BN814_00052
ERR1913314.1336__1.1336	1680__A0A173XYA2__B0703_0121
ERR1913314.1345__1.1345	1150298__R7JPI7__cotI
ERR1913314.1444__1.1444	40518__R5DZ88__DXD93_06320
ERR1913314.1481__1.1481	820__A0A139KHX1__HMPREF2141_00289
ERR1913314.1625__1.1625	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913314.1773__1.1773	820__A0A3E4RU03__M093_0563
ERR1913314.1816__1.1816	1685__A0A3D8UE34__NRBB18_0294
ERR1913314.1871__1.1871	820__A0A139K4T0__ERS852510_03146
ERR1913314.1962__1.1962	820__A0A3E4G3J9__ERS852459_02265
ERR1913314.1980__1.1980	28117__B0MZ50__ALIPUT_02424
ERR1913314.1982__1.1982	39488__A0A173RDQ1__EUBHAL_02348
ERR1913314.2089__1.2089	1263107__GCA_000436995.1_00117
ERR1913314.2350__1.2350	1680__A0A0C2YPV2__AL0462_1474
ERR1913314.2356__1.2356	820__A0A139KG60__M094_2679
ERR1913314.2389__1.2389	823__A0A395YZ10__NCTC11152_02955
ERR1913314.2556__1.2556	1896974__A0A1Q6H2Z3__BHV77_11085
ERR1913314.2562__1.2562	823__A0A355XIK0__CEQ22_011965
ERR1913314.2635__1.2635	187327__G4Q3P7__Acin_0528
ERR1913314.2640__1.2640	40520__R7D6T7__DXD81_06600
