ERR1913220.32__1.32	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913220.12__1.12	1262911__R6GPI7__BN557_00907
ERR1913220.193__1.193	1262911__R6GSH0__BN557_00934
ERR1913220.210__1.210	1263006__R6LMY4__BN515_01429
ERR1913220.157__1.157	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913220.168__1.168	1263006__R6LLQ1__BN515_01046
ERR1913220.332__1.332	1262911__R6GT12__BN557_01070
ERR1913220.412__1.412	820__A0A174KKV6__DXC07_02635
ERR1913220.574__1.574	1263006__R6LM98__BN515_00610
ERR1913220.613__1.613	1624__A0A385XQ15__LSCP400_16231
ERR1913220.553__1.553	301301__A0A395V3Q5__sufB
ERR1913220.937__1.937	458033__GCA_001482755.1_02203
ERR1913220.865__1.865	1262882__R5N0C3__BN519_00731
ERR1913220.1069__1.1069	357276__D1K3K9__EL88_23995
ERR1913220.1118__1.1118	1263006__R6LUR7__BN515_01572
ERR1913220.1173__1.1173	1308__Q5M5Z8__STACADC2_0257
ERR1913220.1183__1.1183	239935__A0A139TQT9__Amuc_1197
ERR1913220.1307__1.1307	239935__A0A2N8HBP0__CXT94_04450
ERR1913220.1367__1.1367	239935__A0A2N8HPS5__Amuc_0950
ERR1913220.1466__1.1466	1263006__R6MMN2__BN515_01202
ERR1913220.1566__1.1566	2173__A0A1D2WUJ0__Msm_1370
ERR1913220.1572__1.1572	820__A0A3E4PYB0__yejM
ERR1913220.1715__1.1715	1284680__A0A095YXX5__HMPREF1627_03125
ERR1913220.1811__1.1811	1584__A0A0R1JI00__LBVIB44_08835
ERR1913220.2010__1.2010	820__A0A3E4FZM1__adaA_2
ERR1913220.2018__1.2018	820__A0A174I980__gldH
ERR1913220.2160__1.2160	1263006__R6LR21__BN515_00462
ERR1913220.2191__1.2191	239935__A0A2N8I1R3__CXU05_06075
ERR1913220.2197__1.2197	1624__H7G0J2__B6U52_05715
ERR1913220.2205__1.2205	78258__I8J9L8__HMPREF9017_00052
ERR1913220.2207__1.2207	1262911__R6GTZ4__BN557_01440
ERR1913220.2757__1.2757	1680__A0A0B5BL52__ERS852382_00480
ERR1913220.2960__1.2960	820__A0A174CK74__DXB48_07060
ERR1913220.3027__1.3027	1263006__R6LHU1__BN515_01203
ERR1913220.3165__1.3165	39485__A0A174YYW2__benM
ERR1913220.3173__1.3173	1263006__R6M2H0__BN515_00628
ERR1913220.3297__1.3297	40518__R5DYM0__DXD86_08165
ERR1913220.3320__1.3320	1262882__R5MXW0__BN519_00317
ERR1913220.3543__1.3543	1550024__G9RWE3__TQ39_04170
ERR1913220.3639__1.3639	1358__A0A166J899__IV65_GL000263
ERR1913220.3783__1.3783	1624__A0A2A2WXQ2__B6U40_07920
ERR1913220.3836__1.3836	394340__nifJ
ERR1913220.3912__1.3912	74426__yccM
ERR1913220.3959__1.3959	1680__A0A173YLK6__BAD_0868
