ERR1913049.341__1.341	1262886__R6QAT8__BN563_00993
ERR1913049.338__1.338	1262911__R6HJT1__BN557_00291
ERR1913049.549__1.549	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913049.555__1.555	901__B6WTX7__DESPIGER_1193
ERR1913049.1042__1.1042	46228__B5CT56__RUMLAC_02679
ERR1913049.1394__1.1394	853__A0A174CVG7__CGS58_09335
ERR1913049.1737__1.1737	214856__A0A175A6T5__ERS852447_02658
ERR1913049.1871__1.1871	1897011__A0A1Q6RH73__BHW41_01885
ERR1913049.2012__1.2012	674529__A0A174RBF7__SAMN05444400_1464
ERR1913049.2152__1.2152	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.2417__1.2417	1262911__R6GLI1__BN557_01518
ERR1913049.2545__1.2545	1262927__R7EX56__BN677_00089
ERR1913049.2558__1.2558	487174__K0WZU9__HMPREF9448_01159
ERR1913049.2603__1.2603	556259__E5CE08__BSGG_4023
ERR1913049.2692__1.2692	1501391__GCA_000786575.1_00027
ERR1913049.3208__1.3208	901__B6WRB3__DESPIGER_0300
ERR1913049.3351__1.3351	901__B6WRB3__DESPIGER_0300
ERR1913049.3642__1.3642	166486__D4KY84__ERS852572_02606
ERR1913049.3717__1.3717	853__A0A173RZ39__C4N22_01650
ERR1913049.3763__1.3763	28117__B0MWX3__BHV66_03010
ERR1913049.3784__1.3784	901__B6WXD6__DHV46_02215
ERR1913049.4214__1.4214	214856__R5UN64__ERS852447_02669
ERR1913049.4728__1.4728	820__A0A3E4RU03__M093_0563
ERR1913049.5074__1.5074	376805__F0R8B1__Bacsa_3573
ERR1913049.5078__1.5078	214856__R5UN64__ERS852447_02669
ERR1913049.5157__1.5157	216816__A0A133LD41__NL89_06245
ERR1913049.5204__1.5204	1262889__R7HDI0__BN634_01483
ERR1913049.5214__1.5214	1263000__R5EVY6__BN466_01709
ERR1913049.5260__1.5260	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913049.5303__1.5303	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913049.5382__1.5382	360807__A0A174F8N1__ERS852444_00648
ERR1913049.5999__1.5999	166486__D4KZY5__ROSINTL182_07635
ERR1913049.6472__1.6472	901__B6WXI1__DESPIGER_1636
ERR1913049.6908__1.6908	246787__R6KK25__HMPREF1062_01860
ERR1913049.7361__1.7361	1262927__R7EX56__BN677_00089
ERR1913049.7469__1.7469	901__B6WTW8__DESPIGER_1202
ERR1913049.7497__1.7497	572010__nifJ
ERR1913049.7812__1.7812	28117__B0MTH2__ALIPUT_00061
ERR1913049.7937__1.7937	853__D4K7X0__DW905_09540
ERR1913049.8039__1.8039	446660__GCA_003428235.1_01424
ERR1913049.8148__1.8148	1263000__R5EMU9__BN466_00667
ERR1913049.8149__1.8149	216816__C2GUV2__APC1478_0430
ERR1913049.8112__1.8112	818__A0A3E5H5M0__SAMN05216253_12081
