ERR1913157.902__1.902	239935__A0A2N8IRW0__A4V05_11620
ERR1913157.985__1.985	410072__A0A173XQG6__ERS852574_01620
ERR1913157.1021__1.1021	901__B6WXF1__DESPIGER_1660
ERR1913157.1324__1.1324	1263030__R5CZV8__BN705_01159
ERR1913157.1480__1.1480	33043__D5HFA0__glfT2
ERR1913157.1749__1.1749	239935__B2URG6__CXU02_00030
ERR1913157.1909__1.1909	165179__A0A3E5AF88__DXC61_14960
ERR1913157.2517__1.2517	239935__A0A2N8I1R3__CXU05_06075
ERR1913157.2524__1.2524	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913157.3441__1.3441	239935__A0A2N8IMC3__CXT96_03840
ERR1913157.3456__1.3456	61171__B9Y5T9__HOLDEFILI_01171
ERR1913157.3457__1.3457	1262761__R6RY17__BN606_01538
ERR1913157.3706__1.3706	239935__A0A2N8HT18__CXT93_06135
ERR1913157.3831__1.3831	246787__A0A0P0GCR8__xynD_3
ERR1913157.4204__1.4204	239935__R7DVL7__CXT93_01180
ERR1913157.4351__1.4351	1680__A0A174BEE7__BSTER_1311
ERR1913157.4372__1.4372	823__A6LHJ7__ERS852380_00253
ERR1913157.4375__1.4375	1680__A0A087DHN0__AL0462_1532
ERR1913157.4562__1.4562	33043__A0A173X520__ERS852575_01617
ERR1913157.4730__1.4730	239935__R6J9Y2__CXT85_07000
ERR1913157.4690__1.4690	33043__D5HDZ9__ERS852386_00394
ERR1913157.4798__1.4798	1262915__R6HNX3__BN574_00253
ERR1913157.5187__1.5187	33043__D5HIC8__vspIM
ERR1913157.5349__1.5349	1235835__R9LCU2__C814_02677
ERR1913157.5565__1.5565	33043__D5HFE3__lacR
ERR1913157.5735__1.5735	360807__A0A0M6WIL3__ERS852444_01365
ERR1913157.5898__1.5898	239935__A0A2N8HUU6__CXT90_06150
ERR1913157.6313__1.6313	901__B6WXF1__DESPIGER_1660
ERR1913157.6660__1.6660	33043__D5HIE6__ERS852445_01796
ERR1913157.6742__1.6742	1680__A0A087DLC6__C8077_00815
ERR1913157.6753__1.6753	853__A0A3E2V168__FAEPRAM212_00929
ERR1913157.6793__1.6793	216816__Q8G4D7__DD721_10575
ERR1913157.7032__1.7032	823__D0TCC2__HMPREF1075_01590
ERR1913157.7077__1.7077	1263000__R5EQI3__BN466_00125
ERR1913157.7164__1.7164	1262915__R6HDZ3__BN574_00306
ERR1913157.7178__1.7178	239935__R6JAS2__CXU02_10725
ERR1913157.7305__1.7305	1262961__R6DWA0__BN710_00347
ERR1913157.8314__1.8314	239935__A0A2N8IKW7__pstA
ERR1913157.8515__1.8515	33043__D5HIL8__ERS852386_02009
ERR1913157.9310__1.9310	239935__A0A2N8IEP3__CXT84_03735
ERR1913157.9641__1.9641	853__A0A173RZ39__C4N22_01650
ERR1913157.9731__1.9731	1680__A0A2R4G1K8__BBMN23_0315
ERR1913157.9901__1.9901	165179__D1P9T6__PREVCOP_04016
ERR1913157.9963__1.9963	239935__A0A2N8I6R6__CXU04_04335
ERR1913157.10068__1.10068	853__A0A173YYY4__DWZ04_09420
ERR1913157.10399__1.10399	1262959__R5Y0V4__BN680_01500
ERR1913157.10490__1.10490	572010__nifJ
ERR1913157.10545__1.10545	1263000__R5EQI3__BN466_00125
ERR1913157.10557__1.10557	33043__A0A174BBC4__ERS852575_02261
ERR1913157.10709__1.10709	901__B6WVE1__DESPIGER_2036
ERR1913157.10785__1.10785	1680__A0A174BEE7__BSTER_1311
