ERR1913062.179__1.179	33039__D4M2F6__RTO_06900
ERR1913062.326__1.326	46503__R6WQ01__PARMER_03826
ERR1913062.426__1.426	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913062.411__1.411	204516__U6REI9__HMPREF1534_02357
ERR1913062.806__1.806	384639__GCA_003096855.1_00975
ERR1913062.948__1.948	487174__K0X347__DIT83_07775
ERR1913062.1262__1.1262	853__A0A174C5M1__CGS58_04460
ERR1913062.1456__1.1456	1262948__R7E9D8__BN671_02221
ERR1913062.2079__1.2079	821__C6ZAA5__ERS852556_00403
ERR1913062.2046__1.2046	820__A0A374QGD2__ERS852421_02382
ERR1913062.2129__1.2129	2293125__A0A374BSW4__DW917_13420
ERR1913062.2183__1.2183	544644__GCA_001915615.1_00029
ERR1913062.2152__1.2152	166486__D4KVZ2__cbiT
ERR1913062.2313__1.2313	1262924__R7HKX0__BN585_01279
ERR1913062.2487__1.2487	165179__D1PHC0__PREVCOP_06640
ERR1913062.2488__1.2488	2293125__A0A374BSW4__DW917_13420
ERR1913062.2591__1.2591	165179__A0A174UTZ7__DXC61_06705
ERR1913062.2601__1.2601	1735__B7CCS4__EUBIFOR_02002
ERR1913062.2610__1.2610	853__A0A174C5M1__CGS58_04460
ERR1913062.2805__1.2805	544644__GCA_001915615.1_01915
ERR1913062.3009__1.3009	166486__R6B4E4__sinR_2
ERR1913062.3024__1.3024	410072__C0B543__DXD67_15070
ERR1913062.3039__1.3039	301301__A0A395V9A0__RHOM_08800
ERR1913062.3236__1.3236	310298__B3JGJ2__BACCOP_00994
ERR1913062.3300__1.3300	2293125__A0A374BSW4__DW917_13420
ERR1913062.3430__1.3430	39488__A0A173SKQ5__DXD91_03870
ERR1913062.3468__1.3468	165179__D1PHM6__DXC61_06700
ERR1913062.3502__1.3502	166486__D4KUE4__ROSINTL182_08606
ERR1913062.3673__1.3673	853__A0A174BA00__DW905_01145
ERR1913062.3886__1.3886	1034346__A0A318KFK9__DES51_1172
ERR1913062.3972__1.3972	310298__B3JK97__BACCOP_02326
ERR1913062.4066__1.4066	166486__D4KJ71__ERS852572_03479
ERR1913062.4117__1.4117	166486__D4KJ71__ERS852572_03479
ERR1913062.4186__1.4186	1262930__R5ZWP2__BN693_01542
ERR1913062.4196__1.4196	28116__F7L4N5__BACOVA_00137
ERR1913062.4435__1.4435	1628085__A0A2U1BE16__C7386_104119
ERR1913062.4576__1.4576	39496__A5Z7Y0__EUBVEN_01820
ERR1913062.4642__1.4642	853__A0A173RZ39__C4N22_01650
ERR1913062.4819__1.4819	310298__B3JLT9__BACCOP_02886
ERR1913062.4867__1.4867	310298__B3JQJ5__BACCOP_04231
ERR1913062.4937__1.4937	291645__I8XPK0__HMPREF1068_01554
ERR1913062.4979__1.4979	1262948__R7E8R3__BN671_00101
ERR1913062.5030__1.5030	1262930__R6AC77__BN693_01683
ERR1913062.5378__1.5378	166486__D4L082__yicI_5
ERR1913062.5432__1.5432	165179__A0A3E5A5E5__DXC61_13965
ERR1913062.5537__1.5537	165179__R6XLJ7__CFT61_06250
ERR1913062.5911__1.5911	384638__B7AN60__BACPEC_00112
ERR1913062.5913__1.5913	821__A0A174NVL6__NCTC10583_01782
ERR1913062.5915__1.5915	1262930__R6AEC7__BN693_00159
ERR1913062.5981__1.5981	820__A0A174R952__DXB48_02570
ERR1913062.6055__1.6055	820__A0A174F0C1__nreB
