ERR1913042.39__1.39	39491__A0A395ZDC6__addB
ERR1913042.40__1.40	626933__H1DGX0__HMPREF9449_01506
ERR1913042.123__1.123	69974__A0A090FEL8__MPL3365_630008
ERR1913042.172__1.172	853__A0A173T8T3__DW882_06555
ERR1913042.221__1.221	39491__C4ZF05__vpr
ERR1913042.286__1.286	165179__A0A174SA26__PREVCOP_05758
ERR1913042.507__1.507	165179__A0A3E5EAM5__DXC61_07785
ERR1913042.555__1.555	165179__A0A174SA26__PREVCOP_05758
ERR1913042.658__1.658	69974__A0A090FEL8__MPL3365_630008
ERR1913042.629__1.629	69974__A0A090FEL8__MPL3365_630008
ERR1913042.810__1.810	69974__A0A090FEL8__MPL3365_630008
ERR1913042.710__1.710	69974__A0A090FEL8__MPL3365_630008
ERR1913042.718__1.718	310298__B3JK49__BACCOP_02273
ERR1913042.926__1.926	820__A0A3E4FZM1__adaA_2
ERR1913042.1020__1.1020	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913042.1052__1.1052	1262743__R5C054__BN727_01980
ERR1913042.1076__1.1076	165179__A0A3E5E8N5__DXC61_13460
ERR1913042.1157__1.1157	821__A0A174NM17__lacZ_6
ERR1913042.1227__1.1227	216816__C2GTV2__BLIF_0674
ERR1913042.1288__1.1288	39491__A0A395ZF49__DXB69_05290
ERR1913042.1355__1.1355	165179__W1I4H6__DXB80_13655
ERR1913042.1398__1.1398	165179__A0A3E5A5E5__DXC61_13965
ERR1913042.1413__1.1413	418240__C6JAX8__ERS852478_02355
ERR1913042.1584__1.1584	39491__C4Z875__T1815_09771
ERR1913042.1604__1.1604	39485__A0A174ZG70__ERS852492_00929
ERR1913042.1630__1.1630	88431__A6BJD4__DXB16_02900
ERR1913042.1745__1.1745	626933__H1DGX0__HMPREF9449_01506
ERR1913042.1749__1.1749	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913042.1828__1.1828	1262924__R7HRW7__BN585_01894
ERR1913042.1757__1.1757	28117__R7JJM9__ALIPUT_00662
ERR1913042.1900__1.1900	821__I9R3W6__DXC16_12455
ERR1913042.1907__1.1907	39485__C4Z0S8__hisK
ERR1913042.2025__1.2025	69974__A0A090FEL8__MPL3365_630008
