ERR1913204.80__1.80	1262882__R5ML49__BN519_01361
ERR1913204.77__1.77	487174__R5F2W8__HMPREF9448_01730
ERR1913204.174__1.174	301302__A0A0M6WF57__M72_22681
ERR1913204.183__1.183	214856__R6Y7P0__ERS852447_00307
ERR1913204.256__1.256	214856__R6Z186__ERS852447_00718
ERR1913204.325__1.325	214856__A0A174AYS4__ERS852447_01192
ERR1913204.473__1.473	239935__B2UL21__CXT98_03395
ERR1913204.484__1.484	1150298__A0A173ZI89__ERS852498_03535
ERR1913204.456__1.456	1262882__R5MYS0__BN519_00284
ERR1913204.472__1.472	214856__I3YPP0__ERS852447_01388
ERR1913204.802__1.802	1262882__R5MEK3__BN519_00296
ERR1913204.680__1.680	1501391__GCA_000786575.1_00108
ERR1913204.928__1.928	239935__A0A2N8J1K0__CXT97_05765
ERR1913204.908__1.908	1262911__R6H212__BN557_01031
ERR1913204.1009__1.1009	39492__B0MM84__lgt
ERR1913204.1018__1.1018	821__A0A396F9T7__M097_3427
ERR1913204.993__1.993	39492__B0MPL6__EUBSIR_01779
ERR1913204.1000__1.1000	487174__R5FN40__HMPREF9448_01366
ERR1913204.1342__1.1342	47678__R5UFW6__ERS852558_01575
ERR1913204.1414__1.1414	818__C6IJ08__BJP75_000645
ERR1913204.1868__1.1868	239935__R6JWJ7__CXT94_02580
ERR1913204.1950__1.1950	214856__R6Y2Y4__ERS852447_01086
ERR1913204.2065__1.2065	47678__A5ZH12__DXB67_04890
ERR1913204.2100__1.2100	471189__GCA_003340385.1_00088
ERR1913204.2278__1.2278	818__A0A3E5HXH0__NCTC13706_02166
ERR1913204.2191__1.2191	214856__R6Z590__ERS852447_01059
ERR1913204.2800__1.2800	1262882__R5MEN9__BN519_00201
ERR1913204.2900__1.2900	1262882__R5MRS7__BN519_01490
ERR1913204.3278__1.3278	818__A0A2J6AAA9__NCTC10582_00162
ERR1913204.3294__1.3294	487174__K0XKB7__DDY40_03475
ERR1913204.3517__1.3517	214856__A0A173YXX1__ERS852559_01651
ERR1913204.3708__1.3708	821__A0A3E4KIM1__M097_3660
ERR1913204.3814__1.3814	410072__C0B7P0__DXD67_07205
ERR1913204.3884__1.3884	649756__E5VJS7__mecR1_3
ERR1913204.3890__1.3890	47678__R5UXY0__CGC64_03535
ERR1913204.4123__1.4123	239935__R7E524__CXT91_06180
ERR1913204.4132__1.4132	214856__A0A173W3Y5__ERS852559_02032
ERR1913204.4310__1.4310	239935__A0A2N8I791__CXT99_09415
ERR1913204.4346__1.4346	301302__R5UTG6__M72_25801
ERR1913204.4325__1.4325	214856__R6Y9P5__ERS852559_01811
ERR1913204.4469__1.4469	1262882__R5MEK3__BN519_00296
ERR1913204.4560__1.4560	239935__A0A139TVJ4__CXT86_02020
ERR1913204.4585__1.4585	487174__R5G1E8__DIT83_00510
ERR1913204.4600__1.4600	1262882__R5MIY9__BN519_01097
ERR1913204.4680__1.4680	214856__I3YPP1__Alfi_2699
ERR1913204.4879__1.4879	214856__R6XUN2__rcsC_1
ERR1913204.4950__1.4950	1262882__R5MF58__BN519_00393
ERR1913204.5016__1.5016	47678__A5ZLX1__C5Z00_04825
ERR1913204.5036__1.5036	214856__R6Z5D0__resA_4
ERR1913204.5073__1.5073	214856__I3YPP3__Alfi_2701
ERR1913204.5159__1.5159	1262882__R5MN65__BN519_00771
ERR1913204.5326__1.5326	214856__R6Z7Q9__ERS852447_02172
ERR1913204.5444__1.5444	301302__R5UKE6__M72_05651
ERR1913204.5619__1.5619	487175__F3QN25__HMPREF9439_02355
ERR1913204.5771__1.5771	214856__I3YPP9__Alfi_2707
ERR1913204.5849__1.5849	328813__A0A1Y3QZ64__B5G41_14235
ERR1913204.5871__1.5871	214856__R6XNE7__ERS852447_02267
ERR1913204.5967__1.5967	301302__R5UJV1__ERS852420_01672
ERR1913204.5954__1.5954	214856__I3YPQ6__Alfi_2714
ERR1913204.6072__1.6072	239935__A0A2N8IQU3__CXU22_05890
ERR1913204.6161__1.6161	214856__R6Z288__ERS852447_00734
ERR1913204.6162__1.6162	214856__A0A175A6T5__ERS852447_02658
ERR1913204.6360__1.6360	1262911__R6H174__BN557_01246
ERR1913204.6549__1.6549	214856__I3YMN6__Alfi_1938
ERR1913204.6603__1.6603	214856__R6XS46__ERS852559_00812
ERR1913204.6870__1.6870	214856__I3YPQ4__Alfi_2712
ERR1913204.6920__1.6920	39492__D4MMN2__EUBSIR_00964
ERR1913204.6968__1.6968	1262882__R5N3A4__BN519_01270
ERR1913204.7034__1.7034	214856__I3YPN5__Alfi_2693
ERR1913204.7173__1.7173	487174__K0XDI7__DIT83_12065
ERR1913204.7213__1.7213	1262882__R5MMD8__BN519_01576
ERR1913204.7390__1.7390	239935__R7E524__CXT91_06180
ERR1913204.7454__1.7454	1262882__R5N4P6__BN519_01346
ERR1913204.7496__1.7496	487174__R5F3K6__DDY40_04230
ERR1913204.7656__1.7656	487174__K0WWT0__DIT83_10190
ERR1913204.7685__1.7685	28116__C3QMW5__M089_4133
ERR1913204.7729__1.7729	487174__K0XG34__HMPREF9448_02234
ERR1913204.7902__1.7902	39492__D4JRZ7__smc
ERR1913204.7933__1.7933	214856__A0A174CRY5__ERS852559_01060
ERR1913204.7997__1.7997	487174__K0X2Y1__lepB
ERR1913204.8273__1.8273	239935__A0A2N8HAQ1__DEF40_05290
ERR1913204.8314__1.8314	1262882__R5MFR3__BN519_00473
ERR1913204.8471__1.8471	214856__I3YPQ3__Alfi_2711
ERR1913204.8668__1.8668	1897011__A0A1Q6REU9__BHW41_04345
ERR1913204.8771__1.8771	1262911__R6HMT5__BN557_00797
ERR1913204.8974__1.8974	1262882__R5MHZ2__BN519_00742
ERR1913204.9022__1.9022	1262882__R5MZZ3__BN519_00482
ERR1913204.9032__1.9032	214856__R6YC22__ERS852447_01215
