ERR1912978.144__1.144	1297617__A0A0S2W8P7__BIV19_11120
ERR1912978.294__1.294	649756__A0A173S1U5__DCR88_06920
ERR1912978.295__1.295	649756__A0A173S1U5__DCR88_06920
ERR1912978.494__1.494	165179__A0A3E5E3D6__DXC61_05750
ERR1912978.672__1.672	33038__A0A3E4V548__DXD36_06385
ERR1912978.908__1.908	28052__R7NAW0__ERS852499_00868
ERR1912978.980__1.980	820__A0A174LJB2__HMPREF1072_04112
ERR1912978.1156__1.1156	821__C6Z451__BHV80_04265
ERR1912978.1316__1.1316	28052__A0A174MGP2__lyc_2
ERR1912978.1394__1.1394	2292352__A0A374UKZ5__DXC23_11285
ERR1912978.1736__1.1736	39485__C4Z069__EUBELI_00981
ERR1912978.1858__1.1858	301302__A0A173S3L8__vpr
ERR1912978.1958__1.1958	329854__R5MCJ1__DXD57_00165
ERR1912978.1965__1.1965	1263076__GCA_000437615.1_00013
ERR1912978.1992__1.1992	33038__A0A2N5NVQ3__CDL19_02550
ERR1912978.2015__1.2015	1262743__R5C054__BN727_01980
ERR1912978.2097__1.2097	487174__W0ES49__HMPREF9448_00709
ERR1912978.2137__1.2137	1262911__R6GPA9__BN557_00286
ERR1912978.2281__1.2281	853__A0A2A7B9I6__DW855_13690
ERR1912978.2265__1.2265	301301__A0A395VG51__RHOM_05870
ERR1912978.2490__1.2490	329854__A0A3E4KRT8__BACINT_02510
ERR1912978.2581__1.2581	239935__A0A2N8ITW6__CXT91_06265
ERR1912978.2626__1.2626	39496__A5Z6L0__EUBVEN_01343
ERR1912978.2638__1.2638	1262921__R5LSI3__BN473_01312
ERR1912978.2899__1.2899	649756__D4MU45__ERS852425_01466
ERR1912978.2989__1.2989	821__A0A396F9T7__M097_3427
ERR1912978.3046__1.3046	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1912978.3049__1.3049	33038__A0A2N5PW99__DXD36_03540
ERR1912978.3019__1.3019	33038__A7B2B8__CDL19_04760
ERR1912978.3021__1.3021	820__R9HP61__DXC91_01090
ERR1912978.3188__1.3188	239935__A0A2N8IEP3__CXT84_03735
ERR1912978.3377__1.3377	821__D4VD59__BHV80_04260
ERR1912978.3399__1.3399	239935__A0A2N8IEP3__CXT84_03735
ERR1912978.3530__1.3530	301301__A0A395V747__ERS852391_01535
ERR1912978.3591__1.3591	329854__B3C787__BACINT_00778
ERR1912978.3677__1.3677	28052__A0A174JVY9__ERS852451_01194
ERR1912978.3759__1.3759	39485__A0A174ZQ05__EUBELI_01606
ERR1912978.3764__1.3764	28052__A0A174HXG0__galK_3
ERR1912978.3819__1.3819	33038__A0A2N5P0D0__CDL18_07990
ERR1912978.3943__1.3943	33038__A0A2N5PPH4__DXD36_06695
ERR1912978.3913__1.3913	823__D0TDY6__DHP27_09090
ERR1912978.4167__1.4167	360807__A0A0M6WR80__RIL183_05221
ERR1912978.4168__1.4168	301301__A0A395VCJ3__cbiT
ERR1912978.4253__1.4253	39485__A0A174YWE7__EUBELI_00979
ERR1912978.4340__1.4340	28116__R6JIR4__DXA80_14190
ERR1912978.4461__1.4461	1965604__A0A1Y4EWD0__B5F54_04425
ERR1912978.4463__1.4463	1263076__GCA_000437615.1_00026
ERR1912978.4681__1.4681	671267__R9IB12__C802_00696
ERR1912978.5092__1.5092	820__R9I3Q7__HMPREF1072_01668
ERR1912978.5141__1.5141	39491__D4JMW8__ERS852497_01971
ERR1912978.5393__1.5393	360807__A0A396ADE9__ROSEINA2194_02917
ERR1912978.5579__1.5579	39485__A0A174YZE2__spoIIE
ERR1912978.5705__1.5705	1160721__R6T8U0__atpF
ERR1912978.6008__1.6008	821__A0A0P0LJ37__DXB82_14270
ERR1912978.6020__1.6020	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.6191__1.6191	1262824__R6RVE9__BN719_01395
ERR1912978.6224__1.6224	853__A0A3E2U7E6__ERS852582_01640
ERR1912978.6348__1.6348	239935__A0A2N8IUK0__CXU01_07370
ERR1912978.6396__1.6396	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.6487__1.6487	487174__K0WZA7__DDY40_11890
ERR1912978.6642__1.6642	39485__C4Z6J7__ERS852492_02047
ERR1912978.6712__1.6712	360807__C0FMY6__ROSEINA2194_00074
ERR1912978.6694__1.6694	28052__A0A174KUL2__phoR_1
ERR1912978.6735__1.6735	33038__A0A2N5NVF0__CDL23_09615
ERR1912978.6737__1.6737	28052__A0A174K6D6__ERS852451_01708
ERR1912978.6769__1.6769	40519__U2MCQ8__RUMCAL_00556
ERR1912978.6816__1.6816	820__A0A174GK47__ERS852421_00200
ERR1912978.6825__1.6825	821__C6ZAA5__ERS852556_00403
ERR1912978.6861__1.6861	706562__GCA_900112995.1_01419
ERR1912978.6834__1.6834	821__D4VD59__BHV80_04260
ERR1912978.6906__1.6906	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1912978.6966__1.6966	33038__A0A2N5PPG0__CDL25_06295
ERR1912978.6948__1.6948	821__A0A396F598__CUU_3259
ERR1912978.7030__1.7030	33038__F7JZ41__CCY17_00135
ERR1912978.7189__1.7189	28052__R7N6Q7__rafA
ERR1912978.7246__1.7246	1547__H1ANU0__DXB93_06245
ERR1912978.7251__1.7251	33038__A7B8N9__CDL21_10000
ERR1912978.7310__1.7310	39485__A0A174Z9M2__yhbU_1
ERR1912978.7384__1.7384	88431__A0A174G8Q6__ERS852526_02711
ERR1912978.7530__1.7530	28117__B0MXX3__BHV66_07695
ERR1912978.7647__1.7647	1160721__R6T617__truA
ERR1912978.7893__1.7893	360807__A0A396AFY2__ERS852444_00427
ERR1912978.7918__1.7918	33038__A0A2N5PVP0__C5Y99_01390
ERR1912978.7977__1.7977	301301__A0A395V407__ERS852391_02230
ERR1912978.8047__1.8047	28052__A0A174LHM7__ERS852451_02351
ERR1912978.8042__1.8042	457421__C5ERC0__CBFG_04276
ERR1912978.8241__1.8241	33038__A0A2N5NWR8__CDL18_14140
ERR1912978.8266__1.8266	552398__T5S086__HMPREF0866_01580
ERR1912978.8298__1.8298	1263000__R5EPJ2__BN466_00954
ERR1912978.8480__1.8480	562__P77789__fimF_3
ERR1912978.8889__1.8889	329854__R7E733__DXD57_00120
ERR1912978.8910__1.8910	1263000__R5ECB4__BN466_00733
ERR1912978.9167__1.9167	821__R6F3Y1__SAMN04487923_104318
ERR1912978.9231__1.9231	39485__A0A174YVB5__lyc
ERR1912978.9310__1.9310	1262988__R7N5T2__BN816_00768
ERR1912978.9390__1.9390	338188__A0A174ETX3__ERS852397_01955
ERR1912978.9407__1.9407	33038__A0A3E4K696__HMPREF1201_01836
ERR1912978.9540__1.9540	823__A0A174MNW4__M091_0199
ERR1912978.9747__1.9747	1965604__A0A1Y4ELT7__B5F54_15250
ERR1912978.10075__1.10075	28052__A0A174MKP3__ERS852451_02483
ERR1912978.10194__1.10194	487174__K0WUJ5__HMPREF9448_02567
ERR1912978.10635__1.10635	28052__R7N7E0__cynR_4
ERR1912978.10720__1.10720	28116__F7LBW8__C5Z02_16055
ERR1912978.10769__1.10769	39485__A0A174ZNW9__luxQ_1
ERR1912978.10830__1.10830	329854__R5M3H6__DXD27_08960
ERR1912978.10831__1.10831	33038__A0A396G387__HMPREF1201_01180
ERR1912978.11022__1.11022	165179__A0A229I7F5__DXB80_02650
ERR1912978.11112__1.11112	487174__K0X1V7__DIT83_03020
ERR1912978.11221__1.11221	1263000__R5ESM1__BN466_01440
ERR1912978.11468__1.11468	487174__K0X5B1__DDY40_01695
ERR1912978.11550__1.11550	33039__A0A173VXR3__ERS852577_04630
ERR1912978.11557__1.11557	39485__A0A174YVB5__lyc
