ERR1913166.89__1.89	1262743__R5C7C5__BN727_00596
ERR1913166.436__1.436	820__A0A374Q8T2__DXB64_16190
ERR1913166.662__1.662	28117__B0MXR4__BHV66_08025
ERR1913166.554__1.554	28117__B0MZ50__ALIPUT_02424
ERR1913166.786__1.786	338188__R6S8N0__BACFIN_06127
ERR1913166.810__1.810	35833__E5Y1H2__HMPREF0179_00031
ERR1913166.1243__1.1243	820__A0A3E4W984__pssA
ERR1913166.1273__1.1273	1262882__R5N708__BN519_00095
ERR1913166.1351__1.1351	823__A0A173TL14__M095_0764
ERR1913166.1416__1.1416	454155__F3QT57__HMPREF9442_01374
ERR1913166.1480__1.1480	46503__K5ZW30__HMPREF1060_00319
ERR1913166.1549__1.1549	820__A0A139KH21__DXC80_01780
ERR1913166.1731__1.1731	820__A0A174DZ97__SAMN05444418_101240
ERR1913166.1849__1.1849	572010__ppdK
ERR1913166.2083__1.2083	820__A0A374Q8T2__DXB64_16190
ERR1913166.2101__1.2101	357276__A0A076IXE0__HMPREF1064_04364
ERR1913166.2161__1.2161	820__A0A3E4PYB0__yejM
ERR1913166.2245__1.2245	820__A0A174F0C1__nreB
ERR1913166.2267__1.2267	820__A0A3E4XM43__DXC91_13960
ERR1913166.2435__1.2435	820__A0A3E4QZJ7__C801_01798
ERR1913166.2551__1.2551	1262882__R5MJM8__BN519_01064
ERR1913166.2689__1.2689	204516__U6RAM4__HMPREF1534_03439
ERR1913166.2708__1.2708	1262882__R5MND9__BN519_00831
ERR1913166.2785__1.2785	820__A0A174QLF0__SAMN05444418_109151
ERR1913166.2900__1.2900	820__A0A174CG08__DXB62_13215
ERR1913166.2974__1.2974	1550024__A0A0D8IZK5__TQ39_07980
ERR1913166.3112__1.3112	820__A0A3E4G8F8__ERS852421_01645
ERR1913166.3230__1.3230	823__A0A173W404__DHP27_04905
ERR1913166.3235__1.3235	39492__D4JTW6__ERS852540_00220
ERR1913166.3294__1.3294	1262882__R5MS31__BN519_01529
ERR1913166.3302__1.3302	674529__R6W4L4__SAMN05444400_105128
ERR1913166.3344__1.3344	357276__I9QBT7__BSEG_03340
ERR1913166.3410__1.3410	338188__A0A1Q6HA80__ERS852397_00522
ERR1913166.3416__1.3416	1262992__R5DAK8__BN795_01248
ERR1913166.3502__1.3502	820__A0A1Q6IDS8__chtA
ERR1913166.3700__1.3700	674529__A0A174K9D7__SAMN05444400_1164
ERR1913166.3776__1.3776	1262882__R5MEK3__BN519_00296
ERR1913166.3890__1.3890	1262882__R5MEN2__BN519_00200
ERR1913166.4030__1.4030	820__A0A174GYA8__DXB64_07370
ERR1913166.3987__1.3987	820__A0A139K8N1__ERS852554_00951
ERR1913166.4439__1.4439	823__A0A355XN73__DXC05_07000
ERR1913166.4682__1.4682	820__A0A3E4QZJ7__C801_01798
ERR1913166.4707__1.4707	674529__A0A174PUY5__SAMN05444400_103201
ERR1913166.4767__1.4767	487174__K0XLH2__HMPREF9448_01152
ERR1913166.4859__1.4859	239935__R6JD78__CXU05_09250
ERR1913166.4968__1.4968	239935__A0A2N8IF99__lpdA
ERR1913166.4973__1.4973	39491__A0A395V464__EUBREC_1509
ERR1913166.5105__1.5105	820__A0A174NUS8__DXC80_12885
