ERR1913060.366__1.366	1262930__R6ACJ7__BN693_00131
ERR1913060.381__1.381	820__A0A174GYA8__DXB64_07370
ERR1913060.401__1.401	310298__B3JQ37__BACCOP_04069
ERR1913060.826__1.826	165179__A0A229I2W6__PREVCOP_04332
ERR1913060.981__1.981	28118__F9ZBL4__NCTC10826_02348
ERR1913060.1048__1.1048	1262930__R6AHV3__BN693_00495
ERR1913060.1067__1.1067	823__A0A395YZG9__M092_4358
ERR1913060.1396__1.1396	1262930__R6A1N0__BN693_00917
ERR1913060.1437__1.1437	649756__A0A173TB83__HMPREF0369_01758
ERR1913060.1499__1.1499	28116__A7LS02__DXF98_24100
ERR1913060.1563__1.1563	39488__A0A173RGK1__ERS852450_00574
ERR1913060.1758__1.1758	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913060.1978__1.1978	310298__B3JFH4__BACCOP_00624
ERR1913060.1984__1.1984	410072__C0B9G6__ERS852481_03113
ERR1913060.2535__1.2535	820__A0A3E4GE89__DXB48_02565
ERR1913060.2618__1.2618	357276__C3RA36__HMPREF1065_03270
ERR1913060.2884__1.2884	410072__A0A174IE93__DXD67_12120
ERR1913060.2927__1.2927	410072__C0B9G6__ERS852481_03113
ERR1913060.3166__1.3166	1262930__R6A468__BN693_01366
ERR1913060.3189__1.3189	310298__B3JEE8__BACCOP_00239
ERR1913060.3285__1.3285	310298__B3JLT9__BACCOP_02886
ERR1913060.3309__1.3309	853__A0A173YYY4__DWZ04_09420
ERR1913060.3537__1.3537	1262930__R5ZZI5__BN693_01682
ERR1913060.3704__1.3704	2293125__A0A374BMK9__DW917_16190
ERR1913060.3755__1.3755	166486__A0A173RAP7__ROSINTL182_07969
ERR1913060.3765__1.3765	818__R6VB25__BSIG_5053
ERR1913060.3815__1.3815	357276__I8WPR6__EL88_06675
ERR1913060.3857__1.3857	357276__A0A0M1W1I8__ABI39_13620
ERR1913060.3837__1.3837	821__A0A173XDD3__DXB82_17180
ERR1913060.3848__1.3848	310298__B3JNR4__BACCOP_03579
ERR1913060.4053__1.4053	2293125__A0A374CMK5__DW917_00330
ERR1913060.4191__1.4191	2293125__A0A374BMK9__DW917_16190
ERR1913060.4242__1.4242	204516__U6R9E6__HMPREF1534_03149
ERR1913060.4294__1.4294	39492__D4JRV7__EUBSIR_01513
ERR1913060.4367__1.4367	166486__D4KZ24__ROSINTL182_05766
ERR1913060.4413__1.4413	821__A0A0P0LNX8__ERS852509_03015
ERR1913060.4606__1.4606	821__A0A174V2F3__NCTC10583_01474
ERR1913060.4656__1.4656	166486__A0A173RAP7__ROSINTL182_07969
ERR1913060.4739__1.4739	544644__GCA_001915615.1_01854
ERR1913060.5004__1.5004	818__A0A139JVX2__ERS852557_01101
ERR1913060.5044__1.5044	544644__GCA_001915615.1_01048
ERR1913060.5130__1.5130	165179__D1PHD6__DXC61_03380
ERR1913060.5232__1.5232	820__A0A3E4PYB0__yejM
ERR1913060.5202__1.5202	166486__D4KY48__gmr_5
ERR1913060.5288__1.5288	310298__B3JHN9__BACCOP_01401
ERR1913060.5405__1.5405	46503__R6X8Q3__fepA_2
ERR1913060.5353__1.5353	166486__D4L2T9__lytM
ERR1913060.5430__1.5430	821__C6Z087__DXB90_00750
ERR1913060.5498__1.5498	301301__A0A395V8J8__RHOM_11280
ERR1913060.5509__1.5509	2293125__A0A374CMK5__DW917_00330
ERR1913060.5550__1.5550	853__C7H1R8__DW905_06675
ERR1913060.5564__1.5564	820__A0A3E5E0T0__ERS852554_00312
ERR1913060.5598__1.5598	487174__K0X0F6__HMPREF9448_01444
ERR1913060.5668__1.5668	818__A0A139JVX2__ERS852557_01101
ERR1913060.5677__1.5677	1262930__R6AYG5__BN693_00491
ERR1913060.5824__1.5824	2293125__A0A374C9I8__DW917_06795
ERR1913060.5928__1.5928	166486__C7GE31__ganB_3
ERR1913060.6010__1.6010	820__A0A139KG60__M094_2679
ERR1913060.6064__1.6064	821__E5UMZ6__BVU_1450
ERR1913060.6266__1.6266	820__A0A3E4W9D9__B5G17_12400
ERR1913060.6304__1.6304	1099853__U5CKV1__NSB1T_12505
ERR1913060.6507__1.6507	39486__B0G9P9__DXC93_15995
ERR1913060.6603__1.6603	166486__D4L458__ROSINTL182_07088
ERR1913060.6918__1.6918	821__A0A174WBC9__ERS852556_03145
ERR1913060.6992__1.6992	360807__A0A0M6WXW5__ROSEINA2194_00331
ERR1913060.7057__1.7057	328814__GCA_004558275.1_00079
ERR1913060.7106__1.7106	853__A0A174BA00__DW905_01145
ERR1913060.7186__1.7186	821__I9R3W6__DXC16_12455
ERR1913060.7200__1.7200	1262924__R7HPU8__BN585_00010
ERR1913060.7396__1.7396	410072__A0A174AQ98__COPCOM_03377
ERR1913060.7444__1.7444	39496__A5Z7Y6__EUBVEN_01827
ERR1913060.7674__1.7674	821__A0A174RA14__M099_1655
ERR1913060.7795__1.7795	46506__A0A108TAK3__fepA_3
ERR1913060.7948__1.7948	165179__D1PGU8__PREVCOP_06463
ERR1913060.7976__1.7976	853__A0A2A7A628__CGS57_13755
ERR1913060.8168__1.8168	39486__B0G7S3__HMPREF9457_01465
ERR1913060.8144__1.8144	544644__GCA_001915615.1_00029
ERR1913060.8255__1.8255	1262948__R7EBV7__BN671_00578
ERR1913060.8314__1.8314	1262930__R6AQL4__BN693_01311
ERR1913060.8316__1.8316	410072__C0BBL2__DXD67_02635
ERR1913060.8711__1.8711	394340__aspS
ERR1913060.9082__1.9082	166486__D4L449__ROSINTL182_08802
ERR1913060.9295__1.9295	487174__R5FN40__HMPREF9448_01366
ERR1913060.9324__1.9324	28118__F9Z4H5__DHW44_02810
ERR1913060.9325__1.9325	1262930__R5ZVH8__BN693_01324
ERR1913060.9381__1.9381	853__A0A2A7AXC8__C4N21_14120
ERR1913060.9446__1.9446	823__A6LEF1__CF162_12695
ERR1913060.9583__1.9583	358743__A0A0F0CG77__DWZ14_01305
ERR1913060.9597__1.9597	310298__B3JJX9__BACCOP_02203
ERR1913060.9637__1.9637	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913060.9655__1.9655	1262930__R5ZXU1__BN693_01352
ERR1913060.9816__1.9816	821__A0A0P0M6M0__M097_4734
ERR1913060.9812__1.9812	39486__B0G7Q6__DXD18_07840
ERR1913060.9847__1.9847	357276__A0A0M1W657__HMPREF1064_04629
ERR1913060.9955__1.9955	166486__D4L0J8__ROSINTL182_08089
ERR1913060.10011__1.10011	165179__D1PGU8__PREVCOP_06463
ERR1913060.10043__1.10043	88431__A0A3D0EZT9__ERS852423_01745
ERR1913060.10070__1.10070	166486__D4L0J8__ROSINTL182_08089
ERR1913060.10090__1.10090	310298__B3JFK4__BACCOP_00654
ERR1913060.10142__1.10142	1262930__R6ALN3__BN693_00602
ERR1913060.10295__1.10295	2293125__A0A374BSW4__DW917_13420
ERR1913060.10683__1.10683	357276__I9G0T7__BACDOR_04266
ERR1913060.10746__1.10746	820__A0A3E4FZM1__adaA_2
ERR1913060.10769__1.10769	165179__A0A174SA26__PREVCOP_05758
ERR1913060.10856__1.10856	35833__E5Y1J0__HMPREF0179_00049
ERR1913060.10826__1.10826	626933__H1DGX0__HMPREF9449_01506
ERR1913060.10871__1.10871	165179__D1PHD6__DXC61_03380
ERR1913060.10957__1.10957	46503__A7AG53__DD461_14240
ERR1913060.11153__1.11153	39488__A0A174D9D0__EUBHAL_02073
ERR1913060.11143__1.11143	884684__GCA_002892425.1_01408
ERR1913060.11396__1.11396	310298__B3JQJ5__BACCOP_04231
ERR1913060.11486__1.11486	28052__R7NBF1__yycG_1
