ERR1913247.224__1.224	100886__E2NQ59__ERS852383_05954
ERR1913247.281__1.281	823__A0A174PDQ0__DXC05_08200
ERR1913247.211__1.211	1965576__A0A1Y4LW31__B5F19_01850
ERR1913247.368__1.368	47678__R5UG30__ERS852558_03525
ERR1913247.385__1.385	1262911__R6H1P0__BN557_00940
ERR1913247.623__1.623	246787__A0A3D6AQP8__AA416_04153
ERR1913247.641__1.641	216816__B3DRY8__DPC6320_0936
ERR1913247.705__1.705	218538__C9LQG5__GCWU000321_01796
ERR1913247.945__1.945	10678__GeneID:2777481
ERR1913247.1004__1.1004	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913247.986__1.986	214856__I3YPP3__Alfi_2701
ERR1913247.994__1.994	357276__B6W5Q9__HMPREF1063_03125
ERR1913247.1112__1.1112	562__A0A376L0A6__CQA14_19985
ERR1913247.1225__1.1225	2173__A0A1D2WT86__METSMIF1_02584
ERR1913247.1305__1.1305	432201__GeneID:14182722
ERR1913247.1286__1.1286	216816__A0A061M1M5__HMPREF0177_01046
ERR1913247.1633__1.1633	10678__GeneID:2777405
ERR1913247.1789__1.1789	246787__I9QX02__HMPREF1062_01641
ERR1913247.2019__1.2019	1550024__A0A0D8J259__TQ39_04100
ERR1913247.2106__1.2106	1550024__G9RTW4__TQ39_08265
ERR1913247.2192__1.2192	216816__D6D9J4__DPC6320_0487
ERR1913247.2196__1.2196	28116__A7LS06__HMPREF2532_04668
ERR1913247.2357__1.2357	562__P23837__phoQ
ERR1913247.2833__1.2833	357276__I8WC65__EL88_00520
ERR1913247.3133__1.3133	216816__D6DBD5__DXC32_04335
ERR1913247.3120__1.3120	357276__I8VQA2__HMPREF1065_04183
ERR1913247.3194__1.3194	10868__GeneID:1261859
ERR1913247.3195__1.3195	10678__GeneID:2777386
ERR1913247.3197__1.3197	328814__GCA_004558275.1_00139
ERR1913247.3294__1.3294	214856__I3YK71__ERS852559_02472
ERR1913247.3310__1.3310	357276__A0A0P0M2G3__BACDOR_03913
ERR1913247.3255__1.3255	39492__D4JRR5__ERS852540_02089
ERR1913247.3267__1.3267	357276__A0A076ISD9__EL88_07480
ERR1913247.3453__1.3453	216816__A0A2U0BLP0__tsaB
ERR1913247.3388__1.3388	216816__Q8G5T7__HMPREF0175_0394
ERR1913247.3485__1.3485	1263109__GCA_000438135.1_00177
ERR1913247.3531__1.3531	214856__R6Y6H8__ERS852447_01719
ERR1913247.4012__1.4012	10678__GeneID:2777426
ERR1913247.4124__1.4124	562__P32704__COD56_15900
ERR1913247.4197__1.4197	1262873__R6WB31__BN605_01664
ERR1913247.4252__1.4252	1262911__R6H2B5__BN557_01151
ERR1913247.4379__1.4379	216816__A0A0S2MI06__pepV
ERR1913247.4473__1.4473	357276__I9FGI3__EL88_12385
ERR1913247.4500__1.4500	10678__GeneID:2777494
ERR1913247.4541__1.4541	1262911__R6GY78__BN557_00532
ERR1913247.4572__1.4572	40518__R5DVL2__penA
ERR1913247.4665__1.4665	40518__R5DY73__DXD86_02865
ERR1913247.4794__1.4794	216816__A0A3D8U3T8__DXD41_09580
ERR1913247.4820__1.4820	214856__I3YPQ0__ERS852447_01379
ERR1913247.4869__1.4869	564886__GeneID:6973115
ERR1913247.5034__1.5034	1232426__typA
ERR1913247.5041__1.5041	216816__B3DPC3__CE169_06855
ERR1913247.5086__1.5086	1262911__R6GMD8__BN557_01647
ERR1913247.5067__1.5067	100886__E2NR13__CATMIT_01017
ERR1913247.5126__1.5126	40518__R5E5W1__RBL263_01034
ERR1913247.5415__1.5415	216816__C5E9N8__DD678_02795
ERR1913247.5728__1.5728	100886__R7GJP9__amiC
ERR1913247.5794__1.5794	10678__GeneID:2777424
ERR1913247.5986__1.5986	630129__S2ZXU6__BKAS_1980
ERR1913247.6211__1.6211	544644__GCA_001915615.1_02043
